config,sched,seed,n_active,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
D26,SUS+CQI@0.75,30000,23,2814.2,51.1,46.31,0.5896,0.4086,3.686
D26,SU+CQI,30000,23,3372.4,52.11,48.77,0.6216,0.377,1.0
D26,PPO,30000,23,3565.4,51.82,49.3,0.6358,0.3623,2.201
D26,SUS+CQI@0.75,30001,19,3037.9,80.22,73.86,0.5424,0.4561,3.946
D26,SU+CQI,30001,19,1908.2,73.67,70.64,0.5182,0.4804,1.0
D26,PPO,30001,19,4076.8,81.3,78.65,0.58,0.4184,2.504
D26,SUS+CQI@0.75,30002,32,1755.3,110.12,100.02,0.4896,0.5089,3.994
D26,SU+CQI,30002,32,-5124.5,80.43,77.06,0.3731,0.6254,1.0
D26,PPO,30002,32,1806.5,106.01,99.98,0.4967,0.5018,3.456
D26,SUS+CQI@0.75,30003,21,1367.3,37.06,32.26,0.5343,0.4642,3.767
D26,SU+CQI,30003,21,2123.3,38.71,35.98,0.5901,0.4089,1.0
D26,PPO,30003,21,2100.8,37.79,35.44,0.5929,0.4058,1.735
D26,SUS+CQI@0.75,30004,18,4519.2,74.67,68.34,0.6044,0.3947,3.863
D26,SU+CQI,30004,18,2577.6,65.43,62.37,0.5476,0.4516,1.0
D26,PPO,30004,18,5056.0,74.32,70.84,0.6292,0.3696,2.992
D26,SUS+CQI@0.75,30005,24,4234.2,69.88,63.73,0.6046,0.3932,3.923
D26,SU+CQI,30005,24,3660.6,65.74,62.68,0.5923,0.4053,1.0
D26,PPO,30005,24,4974.4,69.87,67.37,0.6416,0.356,2.585
D26,SUS+CQI@0.75,30006,28,4210.6,98.73,89.38,0.5514,0.4466,3.994
D26,SU+CQI,30006,28,-783.8,76.34,72.74,0.4461,0.5518,1.0
D26,PPO,30006,28,4157.2,94.04,88.96,0.5591,0.4388,3.276
D26,SUS+CQI@0.75,30007,19,4275.3,56.91,54.37,0.6599,0.3391,3.412
D26,SU+CQI,30007,19,4086.6,55.72,53.78,0.653,0.3463,1.0
D26,PPO,30007,19,4489.9,57.05,55.35,0.6731,0.3263,2.351
D26,SUS+CQI@0.75,30008,19,5347.7,86.54,77.39,0.6075,0.3908,3.928
D26,SU+CQI,30008,19,2809.5,73.5,70.25,0.5466,0.4522,1.0
D26,PPO,30008,19,6215.8,85.74,81.49,0.6447,0.354,2.902
D26,SUS+CQI@0.75,30009,16,5466.5,48.51,44.83,0.8341,0.1647,3.326
D26,SU+CQI,30009,16,5549.6,48.12,45.69,0.8462,0.1526,1.0
D26,PPO,30009,16,5775.4,48.46,46.31,0.8642,0.1346,2.338
D26,SUS+CQI@0.75,30010,18,1702.4,51.53,44.5,0.5229,0.4757,3.865
D26,SU+CQI,30010,18,2466.8,51.98,48.76,0.5697,0.4294,1.0
D26,PPO,30010,18,2931.2,52.72,49.97,0.5936,0.4055,2.154
D26,SUS+CQI@0.75,30011,30,1628.1,111.98,103.63,0.4881,0.5098,3.985
D26,SU+CQI,30011,30,-3885.5,87.76,84.51,0.3968,0.6005,1.0
D26,PPO,30011,30,2486.6,112.06,107.52,0.5086,0.4892,2.708
D26,SUS+CQI@0.75,30012,17,2248.1,37.66,33.12,0.6005,0.3981,3.6
D26,SU+CQI,30012,17,2967.1,39.12,36.44,0.6601,0.3387,1.0
D26,PPO,30012,17,3045.4,38.51,36.45,0.6711,0.328,1.828
D26,SUS+CQI@0.75,30013,32,4165.4,78.41,71.86,0.5835,0.4146,3.962
D26,SU+CQI,30013,32,2937.8,71.27,68.31,0.5542,0.4439,1.0
D26,PPO,30013,32,4764.3,77.57,74.84,0.6128,0.3859,2.563
D26,SUS+CQI@0.75,30014,16,-3384.8,49.34,44.09,0.355,0.6427,3.873
D26,SU+CQI,30014,16,-2213.6,51.99,49.41,0.3971,0.6007,1.0
D26,PPO,30014,16,-1956.3,52.74,50.27,0.4052,0.5922,1.793
D26,SUS+CQI@0.75,30015,30,4267.2,95.19,88.66,0.5614,0.4368,3.977
D26,SU+CQI,30015,30,487.4,78.48,75.69,0.4775,0.5206,1.0
D26,PPO,30015,30,4967.3,94.71,91.62,0.5852,0.4129,2.66
D26,SUS+CQI@0.75,30016,24,5153.0,106.77,99.94,0.5706,0.4278,3.764
D26,SU+CQI,30016,24,-902.5,81.78,78.59,0.4464,0.5518,1.0
D26,PPO,30016,24,5862.6,106.72,102.87,0.5903,0.4082,3.132
D26,SUS+CQI@0.75,30017,26,3003.6,87.91,81.96,0.5345,0.464,3.989
D26,SU+CQI,30017,26,-891.9,71.67,68.13,0.4435,0.5548,1.0
D26,PPO,30017,26,3496.7,86.77,84.47,0.554,0.4445,2.882
D26,SUS+CQI@0.75,30018,24,3282.4,65.62,59.77,0.574,0.4251,3.813
D26,SU+CQI,30018,24,2546.1,61.16,57.89,0.554,0.4449,1.0
D26,PPO,30018,24,4009.9,65.62,63.23,0.6111,0.388,2.64
D26,SUS+CQI@0.75,30019,28,4804.4,76.6,70.94,0.6126,0.3847,3.896
D26,SU+CQI,30019,28,2579.8,66.59,63.59,0.5461,0.4514,1.0
D26,PPO,30019,28,5315.5,75.82,73.32,0.6381,0.3596,2.762
D26,SUS+CQI@0.75,30020,30,4262.5,81.0,74.41,0.5835,0.4158,3.962
D26,SU+CQI,30020,30,3026.2,73.87,71.18,0.5556,0.4436,1.0
D26,PPO,30020,30,5070.0,80.52,78.2,0.6183,0.3811,2.58
D26,SUS+CQI@0.75,30021,21,3492.2,43.87,40.26,0.6749,0.3227,3.372
D26,SU+CQI,30021,21,3798.2,44.53,41.71,0.6981,0.2998,1.0
D26,PPO,30021,21,3915.3,44.36,42.07,0.709,0.2886,2.138
D26,SUS+CQI@0.75,30022,20,4657.0,65.11,60.49,0.6436,0.3552,3.744
D26,SU+CQI,30022,20,3919.3,61.2,58.36,0.6187,0.3805,1.0
D26,PPO,30022,20,5390.2,65.79,63.72,0.6817,0.3173,2.458
D26,SUS+CQI@0.75,30023,28,3804.6,118.79,108.29,0.5267,0.472,3.986
D26,SU+CQI,30023,28,-3159.4,88.26,85.09,0.4117,0.5868,1.0
D26,PPO,30023,28,3979.1,115.22,108.89,0.5363,0.4623,3.412
D26,SUS+CQI@0.75,30024,19,1939.8,76.45,67.42,0.5065,0.492,3.953
D26,SU+CQI,30024,19,1049.4,69.57,66.11,0.493,0.5054,1.0
D26,PPO,30024,19,3269.0,77.04,73.43,0.5573,0.4413,2.606
D26,SUS+CQI@0.75,30025,22,8719.6,100.77,91.53,0.701,0.2978,3.943
D26,SU+CQI,30025,22,5338.2,84.52,80.72,0.6158,0.3828,1.0
D26,PPO,30025,22,9790.2,100.36,96.4,0.7447,0.2543,3.246
D26,SUS+CQI@0.75,30026,27,4926.9,69.99,62.81,0.6384,0.3603,3.921
D26,SU+CQI,30026,27,4383.3,65.76,61.96,0.6278,0.3711,1.0
D26,PPO,30026,27,5917.6,70.18,67.15,0.6908,0.3081,2.606
D26,SUS+CQI@0.75,30027,22,6038.7,93.06,87.01,0.6204,0.378,3.955
D26,SU+CQI,30027,22,3320.5,80.92,77.9,0.5535,0.4447,1.0
D26,PPO,30027,22,6803.2,93.4,90.66,0.6475,0.3508,2.747
D26,SUS+CQI@0.75,30028,16,8557.4,79.93,73.41,0.7986,0.1993,3.74
D26,SU+CQI,30028,16,6987.8,72.44,68.73,0.7434,0.2544,1.0
D26,PPO,30028,16,9083.5,79.23,75.76,0.831,0.167,3.078
D26,SUS+CQI@0.75,30029,18,3402.7,65.25,56.44,0.5747,0.4242,3.847
D26,SU+CQI,30029,18,3530.3,62.66,58.79,0.5933,0.4057,1.0
D26,PPO,30029,18,4764.9,66.34,62.69,0.6431,0.3557,2.537
D26,SUS+CQI@0.75,30030,30,3183.1,108.15,98.02,0.5192,0.479,3.998
D26,SU+CQI,30030,30,-698.5,89.04,86.09,0.4532,0.5449,1.0
D26,PPO,30030,30,4199.5,107.29,102.91,0.5494,0.4489,3.042
D26,SUS+CQI@0.75,30031,21,1640.3,62.39,54.95,0.509,0.489,3.901
D26,SU+CQI,30031,21,1753.6,60.58,56.73,0.5223,0.4758,1.0
D26,PPO,30031,21,2958.0,63.88,60.8,0.5671,0.431,2.424
D26,SUS+CQI@0.75,30032,31,5055.7,92.43,83.33,0.5861,0.4123,3.982
D26,SU+CQI,30032,31,2093.2,78.26,74.27,0.5185,0.48,1.0
D26,PPO,30032,31,5907.9,91.44,87.34,0.6204,0.3783,2.959
D26,SUS+CQI@0.75,30033,23,6491.7,62.15,56.91,0.7882,0.2107,3.682
D26,SU+CQI,30033,23,6033.1,59.18,55.99,0.7718,0.2273,1.0
D26,PPO,30033,23,7131.7,62.33,59.97,0.8331,0.1656,2.531
D26,SUS+CQI@0.75,30034,30,4350.3,113.18,103.4,0.5424,0.4558,3.987
D26,SU+CQI,30034,30,-1068.7,88.18,85.17,0.4458,0.5525,1.0
D26,PPO,30034,30,5226.1,111.74,107.2,0.5694,0.429,3.087
D26,SUS+CQI@0.75,30035,21,4039.4,51.1,47.09,0.6742,0.3254,3.558
D26,SU+CQI,30035,21,4285.8,51.15,48.43,0.693,0.3066,1.0
D26,PPO,30035,21,4619.6,51.68,49.53,0.715,0.2845,2.224
D26,SUS+CQI@0.75,30036,20,2408.3,37.63,34.52,0.6194,0.3797,3.281
D26,SU+CQI,30036,20,2626.4,38.15,35.59,0.637,0.3628,1.0
D26,PPO,30036,20,2739.0,38.04,35.94,0.6477,0.352,1.9
D26,SUS+CQI@0.75,30037,18,3145.0,72.59,68.07,0.5589,0.4392,3.699
D26,SU+CQI,30037,18,2628.9,69.27,66.73,0.5476,0.4506,1.0
D26,PPO,30037,18,3933.3,74.02,71.51,0.5886,0.4096,2.418
D26,SUS+CQI@0.75,30038,29,1152.3,106.96,96.78,0.4781,0.5205,3.979
D26,SU+CQI,30038,29,-5182.5,79.88,74.52,0.368,0.6304,1.0
D26,PPO,30038,29,1174.3,102.87,96.36,0.4849,0.5137,3.335
D26,SUS+CQI@0.75,30039,20,2482.8,37.6,32.84,0.6217,0.3765,3.618
D26,SU+CQI,30039,20,3245.1,39.34,36.36,0.6864,0.3123,1.0
D26,PPO,30039,20,3264.4,38.58,36.06,0.6922,0.3066,1.914
STORM2,SUS+CQI@0.75,30000,23,2641.2,109.85,106.27,0.5242,0.4702,3.989
STORM2,SU+CQI,30000,23,-2935.2,86.97,85.25,0.4213,0.5742,1.0
STORM2,PPO,30000,23,3284.2,111.29,109.34,0.5391,0.4557,2.817
STORM2,SUS+CQI@0.75,30001,19,1011.5,86.83,81.33,0.4932,0.4999,3.974
STORM2,SU+CQI,30001,19,-1587.8,74.16,72.61,0.4409,0.5545,1.0
STORM2,PPO,30001,19,1608.0,87.33,84.04,0.5109,0.483,2.645
STORM2,SUS+CQI@0.75,30002,32,-5431.6,119.5,110.06,0.394,0.6007,4.0
STORM2,SU+CQI,30002,32,-14636.4,79.43,77.54,0.2773,0.7177,1.0
STORM2,PPO,30002,32,-5800.9,113.72,107.75,0.3916,0.603,3.84
STORM2,SUS+CQI@0.75,30003,21,-3582.3,79.36,72.79,0.3953,0.5999,3.997
STORM2,SU+CQI,30003,21,-6558.4,64.42,62.42,0.3395,0.6557,1.0
STORM2,PPO,30003,21,-3097.5,78.19,75.81,0.4123,0.5825,2.553
STORM2,SUS+CQI@0.75,30004,18,-8.6,80.01,72.77,0.4615,0.5294,3.957
STORM2,SU+CQI,30004,18,-4094.0,61.6,58.69,0.3707,0.6243,1.0
STORM2,PPO,30004,18,-252.7,77.13,71.63,0.4577,0.5343,3.798
STORM2,SUS+CQI@0.75,30005,24,-493.9,103.45,96.08,0.4559,0.5367,3.996
STORM2,SU+CQI,30005,24,-5767.6,80.49,78.1,0.3695,0.6258,1.0
STORM2,PPO,30005,24,-280.0,101.8,96.93,0.463,0.5307,3.655
STORM2,SUS+CQI@0.75,30006,28,-1764.7,115.99,107.31,0.4404,0.5543,4.0
STORM2,SU+CQI,30006,28,-10018.4,80.51,77.92,0.3185,0.6763,1.0
STORM2,PPO,30006,28,-2351.8,109.76,104.44,0.4344,0.5604,3.911
STORM2,SUS+CQI@0.75,30007,19,4279.0,99.48,95.18,0.571,0.4247,3.884
STORM2,SU+CQI,30007,19,-1128.8,77.17,74.83,0.4492,0.5471,1.0
STORM2,PPO,30007,19,4765.2,99.65,97.62,0.5858,0.4109,3.112
STORM2,SUS+CQI@0.75,30008,19,3405.4,98.04,90.11,0.5448,0.4512,3.982
STORM2,SU+CQI,30008,19,-1175.8,76.88,75.01,0.4497,0.5466,1.0
STORM2,PPO,30008,19,3793.8,96.36,92.02,0.5591,0.4369,3.647
STORM2,SUS+CQI@0.75,30009,16,5847.8,92.85,86.48,0.6262,0.3656,3.955
STORM2,SU+CQI,30009,16,3554.8,81.26,79.61,0.5741,0.4226,1.0
STORM2,PPO,30009,16,6734.7,93.64,90.94,0.6586,0.3339,3.089
STORM2,SUS+CQI@0.75,30010,18,-195.5,78.64,72.65,0.464,0.5313,3.991
STORM2,SU+CQI,30010,18,-2149.8,68.61,66.44,0.4234,0.5723,1.0
STORM2,PPO,30010,18,737.1,79.49,77.34,0.4946,0.5014,2.702
STORM2,SUS+CQI@0.75,30011,30,-1757.5,123.59,116.89,0.4461,0.5485,3.999
STORM2,SU+CQI,30011,30,-9630.6,89.98,88.07,0.3368,0.6593,1.0
STORM2,PPO,30011,30,-1201.3,123.36,119.26,0.4572,0.5383,3.552
STORM2,SUS+CQI@0.75,30012,17,888.6,78.39,73.12,0.493,0.503,3.983
STORM2,SU+CQI,30012,17,-340.3,71.71,69.7,0.4678,0.5298,1.0
STORM2,PPO,30012,17,1819.7,79.74,77.43,0.5228,0.4741,2.516
STORM2,SUS+CQI@0.75,30013,32,-1977.4,131.54,124.09,0.4423,0.5526,4.0
STORM2,SU+CQI,30013,32,-12238.5,88.13,86.57,0.3091,0.6855,1.0
STORM2,PPO,30013,32,-1473.3,130.4,126.17,0.4521,0.5426,3.848
STORM2,SUS+CQI@0.75,30014,16,-5133.8,49.94,45.38,0.3298,0.6589,3.924
STORM2,SU+CQI,30014,16,-4234.3,51.76,49.65,0.359,0.6346,1.0
STORM2,PPO,30014,16,-3909.9,53.09,50.71,0.3672,0.625,1.878
STORM2,SUS+CQI@0.75,30015,30,399.0,130.39,125.0,0.4812,0.5151,4.0
STORM2,SU+CQI,30015,30,-10975.0,84.1,82.22,0.3172,0.6783,1.0
STORM2,PPO,30015,30,531.0,128.51,125.42,0.4847,0.5118,3.498
STORM2,SUS+CQI@0.75,30016,24,2996.7,115.34,109.23,0.5265,0.4679,3.934
STORM2,SU+CQI,30016,24,-4587.9,83.88,82.08,0.393,0.6015,1.0
STORM2,PPO,30016,24,3667.5,115.19,111.84,0.5415,0.4532,3.859
STORM2,SUS+CQI@0.75,30017,26,-2138.5,106.1,98.92,0.4342,0.561,4.0
STORM2,SU+CQI,30017,26,-9333.8,75.18,73.34,0.3205,0.6747,1.0
STORM2,PPO,30017,26,-2134.2,103.4,98.91,0.4367,0.5582,3.535
STORM2,SUS+CQI@0.75,30018,24,-520.1,102.83,97.22,0.4624,0.5331,3.992
STORM2,SU+CQI,30018,24,-7125.7,75.08,72.98,0.3461,0.6492,1.0
STORM2,PPO,30018,24,-5.4,102.09,99.59,0.4757,0.5196,3.448
STORM2,SUS+CQI@0.75,30019,28,-4457.1,105.81,96.55,0.3975,0.5975,4.0
STORM2,SU+CQI,30019,28,-12434.0,71.18,67.78,0.2797,0.715,1.0
STORM2,PPO,30019,28,-5505.1,98.34,91.34,0.3829,0.6116,3.961
STORM2,SUS+CQI@0.75,30020,30,942.5,133.56,127.42,0.4861,0.5098,4.0
STORM2,SU+CQI,30020,30,-8851.0,92.89,90.72,0.3486,0.647,1.0
STORM2,PPO,30020,30,1037.0,131.44,127.75,0.4888,0.5064,3.515
STORM2,SUS+CQI@0.75,30021,21,4922.7,109.57,105.21,0.5766,0.4189,3.969
STORM2,SU+CQI,30021,21,666.3,91.44,89.72,0.4918,0.504,1.0
STORM2,PPO,30021,21,5638.2,110.53,108.53,0.5957,0.4,3.037
STORM2,SUS+CQI@0.75,30022,20,1643.9,93.06,87.38,0.5044,0.4893,3.983
STORM2,SU+CQI,30022,20,-2970.0,73.56,71.37,0.4092,0.5861,1.0
STORM2,PPO,30022,20,2116.5,93.24,89.43,0.518,0.477,3.177
STORM2,SUS+CQI@0.75,30023,28,547.3,124.37,116.51,0.4783,0.5169,3.993
STORM2,SU+CQI,30023,28,-7866.2,88.6,86.76,0.3549,0.641,1.0
STORM2,PPO,30023,28,735.7,122.13,117.15,0.4847,0.5108,3.713
STORM2,SUS+CQI@0.75,30024,19,490.6,86.7,79.78,0.4791,0.5138,3.995
STORM2,SU+CQI,30024,19,-1854.8,74.3,72.53,0.4344,0.5614,1.0
STORM2,PPO,30024,19,1384.4,86.91,83.96,0.5074,0.4875,2.866
STORM2,SUS+CQI@0.75,30025,22,5424.3,119.0,110.44,0.5727,0.42,3.994
STORM2,SU+CQI,30025,22,-319.9,93.02,91.24,0.4707,0.5254,1.0
