world,sched,seed,reward,goodput_mbps,deadline_miss_rate,mu_depth
P055,SUS+CQI@0.60,40000,4499.0,86.41,0.4063,3.99
P055,SUS+CQI@0.65,40000,4483.2,86.28,0.4071,3.982
P055,SUS+CQI@0.70,40000,4468.3,86.19,0.4079,3.975
P055,SUS+CQI@0.75,40000,4407.9,85.91,0.4098,3.953
P055,SUS+CQI@0.80,40000,4378.5,85.78,0.4107,3.921
P055,SUS+CQI@0.60,40001,1968.3,85.88,0.4792,4.0
P055,SUS+CQI@0.65,40001,1931.2,85.73,0.4801,3.999
P055,SUS+CQI@0.70,40001,1947.6,85.81,0.4796,3.997
P055,SUS+CQI@0.75,40001,1831.5,85.39,0.4824,3.992
P055,SUS+CQI@0.80,40001,1558.6,84.29,0.4894,3.968
P055,SUS+CQI@0.60,40002,435.8,116.13,0.5186,4.0
P055,SUS+CQI@0.65,40002,562.4,116.51,0.5169,4.0
P055,SUS+CQI@0.70,40002,689.6,116.92,0.5152,4.0
P055,SUS+CQI@0.75,40002,874.6,117.52,0.5125,4.0
P055,SUS+CQI@0.80,40002,843.1,117.19,0.5139,3.994
P055,SUS+CQI@0.60,40003,5615.6,132.9,0.4312,4.0
P055,SUS+CQI@0.65,40003,5699.7,133.11,0.4301,4.0
P055,SUS+CQI@0.70,40003,5744.7,133.26,0.4295,4.0
P055,SUS+CQI@0.75,40003,5738.5,133.23,0.4297,4.0
P055,SUS+CQI@0.80,40003,5580.7,132.46,0.4327,3.996
P055,SUS+CQI@0.60,40004,4239.3,80.71,0.4166,3.998
P055,SUS+CQI@0.65,40004,4273.8,80.84,0.4155,3.992
P055,SUS+CQI@0.70,40004,4290.3,80.91,0.4154,3.987
P055,SUS+CQI@0.75,40004,4304.9,80.97,0.4147,3.974
P055,SUS+CQI@0.80,40004,4296.1,80.93,0.4149,3.937
P055,SUS+CQI@0.60,40005,3974.9,97.37,0.4383,3.984
P055,SUS+CQI@0.65,40005,4060.3,97.6,0.4366,3.979
P055,SUS+CQI@0.70,40005,4104.3,97.73,0.4359,3.973
P055,SUS+CQI@0.75,40005,4136.6,97.8,0.4347,3.964
P055,SUS+CQI@0.80,40005,4215.6,98.03,0.433,3.937
P055,SUS+CQI@0.60,40006,7500.1,101.04,0.3334,3.975
P055,SUS+CQI@0.65,40006,7576.5,101.28,0.3315,3.968
P055,SUS+CQI@0.70,40006,7656.2,101.65,0.3296,3.954
P055,SUS+CQI@0.75,40006,7663.9,101.71,0.3292,3.933
P055,SUS+CQI@0.80,40006,7587.5,101.4,0.3315,3.89
P055,SUS+CQI@0.60,40007,1590.7,81.01,0.4858,3.999
P055,SUS+CQI@0.65,40007,1639.3,81.2,0.4848,3.998
P055,SUS+CQI@0.70,40007,1695.3,81.51,0.4831,3.988
P055,SUS+CQI@0.75,40007,1655.2,81.25,0.4847,3.982
P055,SUS+CQI@0.80,40007,1433.3,80.25,0.4906,3.965
P055,SUS+Deadline-PF,40000,1962.9,75.06,0.4811,3.986
P055,SUS+PF,40000,1865.9,74.64,0.483,3.982
P055,SUS+Random,40000,1368.9,72.38,0.4978,3.993
P055,SUS+MW,40000,4755.1,87.23,0.4019,3.967
P055,SUS+EDF,40000,-2253.4,56.39,0.6054,3.999
P055,SU+CQI,40000,1881.9,77.13,0.4705,1.0
P055,SU+Deadline-PF,40000,-1515.9,60.66,0.5775,1.0
P055,SU+PF,40000,-1174.3,62.71,0.5623,1.0
P055,SU+Random,40000,-4941.8,46.13,0.6691,1.0
P055,SU+MW,40000,1561.7,75.25,0.4871,1.0
P055,SU+EDF,40000,-8297.7,33.83,0.7586,1.0
P055,SUS+Deadline-PF,40001,-1628.2,69.65,0.5733,3.999
P055,SUS+PF,40001,-1371.6,71.13,0.5648,3.998
P055,SUS+Random,40001,-2694.8,65.69,0.5962,3.999
P055,SUS+MW,40001,1849.0,84.98,0.4851,3.994
P055,SUS+EDF,40001,-6901.6,47.41,0.7045,4.0
P055,SU+CQI,40001,125.5,80.02,0.5152,1.0
P055,SU+Deadline-PF,40001,-4775.0,56.73,0.6502,1.0
P055,SU+PF,40001,-4484.9,58.6,0.6364,1.0
P055,SU+Random,40001,-8734.8,40.8,0.7387,1.0
P055,SU+MW,40001,-227.2,77.8,0.5316,1.0
P055,SU+EDF,40001,-15039.0,18.58,0.8781,1.0
P055,SUS+Deadline-PF,40002,-9838.6,67.9,0.7065,4.0
P055,SUS+PF,40002,-9770.9,68.9,0.7007,4.0
P055,SUS+Random,40002,-11831.2,60.72,0.7351,4.0
P055,SUS+MW,40002,-1256.2,106.96,0.5582,4.0
P055,SUS+EDF,40002,-16177.6,43.1,0.8089,4.0
P055,SU+CQI,40002,-7178.0,88.72,0.6311,1.0
P055,SU+Deadline-PF,40002,-13745.7,53.57,0.7642,1.0
P055,SU+PF,40002,-14190.1,53.76,0.7614,1.0
P055,SU+Random,40002,-18289.9,36.69,0.8298,1.0
P055,SU+MW,40002,-8901.4,79.93,0.6704,1.0
P055,SU+EDF,40002,-21302.1,29.79,0.8675,1.0
P055,SUS+Deadline-PF,40003,-4804.3,86.68,0.6229,4.0
P055,SUS+PF,40003,-4916.3,86.23,0.6223,4.0
P055,SUS+Random,40003,-5283.5,84.36,0.6283,4.0
P055,SUS+MW,40003,5317.3,130.44,0.444,4.0
P055,SUS+EDF,40003,-13272.5,51.67,0.7688,4.0
P055,SU+CQI,40003,-3554.0,99.23,0.5746,1.0
P055,SU+Deadline-PF,40003,-10305.1,64.48,0.7131,1.0
P055,SU+PF,40003,-11130.9,63.86,0.7163,1.0
P055,SU+Random,40003,-15025.9,46.92,0.7834,1.0
P055,SU+MW,40003,-4830.3,92.67,0.6068,1.0
P055,SU+EDF,40003,-21434.6,26.17,0.8793,1.0
P055,SUS+Deadline-PF,40004,2277.0,70.44,0.4829,3.995
P055,SUS+PF,40004,2422.1,71.5,0.4763,3.993
P055,SUS+Random,40004,367.7,63.28,0.5361,3.998
P055,SUS+MW,40004,3952.5,78.76,0.4314,3.989
P055,SUS+EDF,40004,-4289.4,41.97,0.683,4.0
P055,SU+CQI,40004,1594.5,72.45,0.4784,1.0
P055,SU+Deadline-PF,40004,-1100.0,57.09,0.5791,1.0
P055,SU+PF,40004,-1030.4,58.42,0.5697,1.0
P055,SU+Random,40004,-5505.7,38.85,0.7038,1.0
P055,SU+MW,40004,890.7,68.35,0.5104,1.0
P055,SU+EDF,40004,-10022.9,23.84,0.8173,1.0
P055,SUS+Deadline-PF,40005,1390.5,85.59,0.5012,3.996
P055,SUS+PF,40005,1250.8,85.31,0.5039,3.994
P055,SUS+Random,40005,825.9,82.5,0.5162,3.997
P055,SUS+MW,40005,4254.2,97.69,0.4368,3.977
P055,SUS+EDF,40005,-2207.1,68.65,0.5931,3.999
P055,SU+CQI,40005,-438.7,81.44,0.5292,1.0
P055,SU+Deadline-PF,40005,-4119.7,63.27,0.629,1.0
P055,SU+PF,40005,-3943.0,64.61,0.6185,1.0
P055,SU+Random,40005,-6634.0,52.39,0.6843,1.0
P055,SU+MW,40005,-1388.9,76.5,0.5606,1.0
P055,SU+EDF,40005,-8783.7,44.86,0.7321,1.0
P055,SUS+Deadline-PF,40006,3180.9,81.62,0.4537,3.993
P055,SUS+PF,40006,3108.3,81.52,0.4563,3.99
P055,SUS+Random,40006,3713.0,83.7,0.4398,3.993
