world,sched,seed,reward,goodput_mbps,deadline_miss_rate,mu_depth
V60max,SUS+CQI@0.60,40000,2685.2,29.48,0.2877,3.629
V60max,SUS+CQI@0.65,40000,2726.5,29.67,0.2835,3.574
V60max,SUS+CQI@0.70,40000,2759.3,29.81,0.2797,3.502
V60max,SUS+CQI@0.75,40000,2831.3,30.12,0.2721,3.391
V60max,SUS+CQI@0.80,40000,2891.1,30.36,0.2656,3.245
V60max,SUS+CQI@0.60,40001,2538.5,40.66,0.3863,3.982
V60max,SUS+CQI@0.65,40001,2516.9,40.56,0.388,3.971
V60max,SUS+CQI@0.70,40001,2514.7,40.58,0.3883,3.956
V60max,SUS+CQI@0.75,40001,2506.9,40.53,0.3887,3.916
V60max,SUS+CQI@0.80,40001,2504.6,40.49,0.389,3.833
V60max,SUS+CQI@0.60,40002,5331.6,59.53,0.2885,3.983
V60max,SUS+CQI@0.65,40002,5374.2,59.74,0.2864,3.978
V60max,SUS+CQI@0.70,40002,5328.0,59.44,0.2895,3.977
V60max,SUS+CQI@0.75,40002,5305.2,59.25,0.291,3.965
V60max,SUS+CQI@0.80,40002,5244.5,58.95,0.2944,3.936
V60max,SUS+CQI@0.60,40003,6792.4,101.99,0.3625,4.0
V60max,SUS+CQI@0.65,40003,6790.8,101.93,0.3628,4.0
V60max,SUS+CQI@0.70,40003,6810.8,102.02,0.3625,3.999
V60max,SUS+CQI@0.75,40003,6758.7,101.8,0.364,3.997
V60max,SUS+CQI@0.80,40003,6645.2,101.14,0.3673,3.984
V60max,SUS+CQI@0.60,40004,4585.1,71.7,0.3848,3.992
V60max,SUS+CQI@0.65,40004,4607.3,71.8,0.3841,3.988
V60max,SUS+CQI@0.70,40004,4640.0,71.94,0.3829,3.978
V60max,SUS+CQI@0.75,40004,4617.8,71.79,0.3843,3.955
V60max,SUS+CQI@0.80,40004,4616.6,71.75,0.3844,3.911
V60max,SUS+CQI@0.60,40005,4791.5,87.2,0.3982,3.963
V60max,SUS+CQI@0.65,40005,4866.7,87.51,0.3958,3.95
V60max,SUS+CQI@0.70,40005,4930.9,87.94,0.3942,3.948
V60max,SUS+CQI@0.75,40005,4941.1,87.96,0.3944,3.925
V60max,SUS+CQI@0.80,40005,4969.1,88.12,0.3937,3.883
V60max,SUS+CQI@0.60,40006,5957.7,69.15,0.2878,3.926
V60max,SUS+CQI@0.65,40006,5981.7,69.23,0.2866,3.905
V60max,SUS+CQI@0.70,40006,5998.9,69.31,0.2859,3.873
V60max,SUS+CQI@0.75,40006,6010.8,69.37,0.2859,3.811
V60max,SUS+CQI@0.80,40006,6042.9,69.46,0.2845,3.705
V60max,SUS+CQI@0.60,40007,1841.4,32.06,0.3991,3.874
V60max,SUS+CQI@0.65,40007,1839.0,32.05,0.3997,3.855
V60max,SUS+CQI@0.70,40007,1845.7,32.07,0.3997,3.824
V60max,SUS+CQI@0.75,40007,1859.6,32.15,0.3985,3.761
V60max,SUS+CQI@0.80,40007,1897.3,32.29,0.3953,3.615
V60max,SUS+Deadline-PF,40000,2681.0,29.49,0.2881,3.423
V60max,SUS+PF,40000,2697.7,29.57,0.2858,3.421
V60max,SUS+Random,40000,2623.0,29.22,0.2931,3.477
V60max,SUS+MW,40000,2719.3,29.64,0.2854,3.429
V60max,SUS+EDF,40000,2583.4,28.99,0.2988,3.559
V60max,SU+CQI,40000,3238.9,32.04,0.2297,1.0
V60max,SU+Deadline-PF,40000,3050.7,31.17,0.2476,1.0
V60max,SU+PF,40000,3040.1,31.12,0.248,1.0
V60max,SU+Random,40000,2500.9,28.51,0.308,1.0
V60max,SU+MW,40000,2973.3,30.81,0.261,1.0
V60max,SU+EDF,40000,1885.6,25.11,0.3901,1.0
V60max,SUS+Deadline-PF,40001,2186.4,38.92,0.4112,3.935
V60max,SUS+PF,40001,2174.0,38.91,0.4112,3.934
V60max,SUS+Random,40001,1687.4,36.88,0.4408,3.958
V60max,SUS+MW,40001,2342.8,39.77,0.4009,3.93
V60max,SUS+EDF,40001,1235.3,33.97,0.4821,3.992
V60max,SU+CQI,40001,3200.9,43.71,0.3422,1.0
V60max,SU+Deadline-PF,40001,2693.4,40.87,0.3823,1.0
V60max,SU+PF,40001,2675.4,40.94,0.3806,1.0
V60max,SU+Random,40001,715.9,32.12,0.5048,1.0
V60max,SU+MW,40001,2955.1,42.55,0.3617,1.0
V60max,SU+EDF,40001,-2396.7,19.32,0.7001,1.0
V60max,SUS+Deadline-PF,40002,4591.3,55.2,0.3335,3.989
V60max,SUS+PF,40002,4535.8,55.13,0.3347,3.987
V60max,SUS+Random,40002,3022.8,48.34,0.4109,3.996
V60max,SUS+MW,40002,4487.3,54.97,0.3418,3.984
V60max,SUS+EDF,40002,2109.3,42.3,0.4785,4.0
V60max,SU+CQI,40002,4680.9,57.64,0.3118,1.0
V60max,SU+Deadline-PF,40002,3828.8,52.12,0.3698,1.0
V60max,SU+PF,40002,3566.8,51.61,0.3772,1.0
V60max,SU+Random,40002,324.9,36.79,0.5415,1.0
V60max,SU+MW,40002,3906.5,54.08,0.3611,1.0
V60max,SU+EDF,40002,-1597.2,29.23,0.6377,1.0
V60max,SUS+Deadline-PF,40003,3293.7,84.75,0.4625,4.0
V60max,SUS+PF,40003,3474.4,86.29,0.4539,4.0
V60max,SUS+Random,40003,1583.5,78.02,0.5029,4.0
V60max,SUS+MW,40003,6319.3,99.43,0.3796,3.999
V60max,SUS+EDF,40003,-4096.9,51.95,0.6604,4.0
V60max,SU+CQI,40003,3022.7,88.37,0.4472,1.0
V60max,SU+Deadline-PF,40003,-1854.7,63.54,0.5926,1.0
V60max,SU+PF,40003,-2094.7,64.48,0.5864,1.0
V60max,SU+Random,40003,-6466.2,45.24,0.6983,1.0
V60max,SU+MW,40003,1982.1,83.67,0.4824,1.0
V60max,SU+EDF,40003,-12001.3,26.22,0.826,1.0
V60max,SUS+Deadline-PF,40004,3546.7,66.14,0.4282,3.986
V60max,SUS+PF,40004,3646.6,66.78,0.4231,3.98
V60max,SUS+Random,40004,1676.7,58.52,0.4917,3.995
V60max,SUS+MW,40004,4252.3,69.72,0.4025,3.984
V60max,SUS+EDF,40004,-1724.7,42.57,0.6241,3.999
V60max,SU+CQI,40004,2868.3,66.54,0.4315,1.0
V60max,SU+Deadline-PF,40004,1519.9,58.09,0.4944,1.0
V60max,SU+PF,40004,1547.6,58.91,0.4872,1.0
V60max,SU+Random,40004,-3082.7,38.55,0.6524,1.0
V60max,SU+MW,40004,2170.6,62.64,0.4677,1.0
V60max,SU+EDF,40004,-7524.0,23.31,0.7907,1.0
V60max,SUS+Deadline-PF,40005,2879.3,78.71,0.4556,3.983
V60max,SUS+PF,40005,2768.7,78.52,0.4579,3.975
V60max,SUS+Random,40005,2564.8,76.91,0.465,3.99
V60max,SUS+MW,40005,4946.5,87.73,0.3978,3.963
V60max,SUS+EDF,40005,637.5,67.18,0.5284,3.999
V60max,SU+CQI,40005,1631.7,75.65,0.4787,1.0
V60max,SU+Deadline-PF,40005,-941.0,62.78,0.5633,1.0
V60max,SU+PF,40005,-884.5,63.91,0.5548,1.0
V60max,SU+Random,40005,-3526.4,51.52,0.6331,1.0
V60max,SU+MW,40005,777.5,71.73,0.5123,1.0
V60max,SU+EDF,40005,-5333.6,44.67,0.6852,1.0
V60max,SUS+Deadline-PF,40006,5268.2,65.87,0.3189,3.909
V60max,SUS+PF,40006,5326.2,66.24,0.3153,3.892
V60max,SUS+Random,40006,5265.2,65.8,0.3191,3.928
V60max,SUS+MW,40006,6000.5,69.24,0.2874,3.832
V60max,SUS+EDF,40006,3950.5,58.89,0.385,3.992
V60max,SU+CQI,40006,5448.5,67.46,0.3051,1.0
V60max,SU+Deadline-PF,40006,3916.0,59.71,0.3799,1.0
V60max,SU+PF,40006,3821.5,59.89,0.3781,1.0
V60max,SU+Random,40006,1204.5,47.62,0.4927,1.0
V60max,SU+MW,40006,5435.0,67.23,0.3101,1.0
V60max,SU+EDF,40006,-2667.8,31.98,0.6581,1.0
V60max,SUS+Deadline-PF,40007,1665.7,31.15,0.415,3.8
V60max,SUS+PF,40007,1644.5,31.04,0.4164,3.797
V60max,SUS+Random,40007,1406.2,30.08,0.4349,3.837
V60max,SUS+MW,40007,1733.3,31.61,0.4103,3.78
V60max,SUS+EDF,40007,1373.5,29.51,0.4449,3.899
V60max,SU+CQI,40007,2507.9,35.25,0.346,1.0
V60max,SU+Deadline-PF,40007,2202.9,33.24,0.3777,1.0
V60max,SU+PF,40007,2182.1,33.2,0.3765,1.0
V60max,SU+Random,40007,866.3,27.12,0.4819,1.0
V60max,SU+MW,40007,2231.8,33.75,0.373,1.0
V60max,SU+EDF,40007,-308.0,21.56,0.5877,1.0
CSI02,SUS+CQI@0.60,40000,2338.4,27.96,0.3118,3.656
CSI02,SUS+CQI@0.65,40000,2371.4,28.11,0.3076,3.599
CSI02,SUS+CQI@0.70,40000,2400.3,28.2,0.3045,3.528
CSI02,SUS+CQI@0.75,40000,2444.9,28.42,0.2996,3.442
CSI02,SUS+CQI@0.80,40000,2526.7,28.77,0.2916,3.306
CSI02,SUS+CQI@0.60,40001,2105.2,38.68,0.4031,3.982
CSI02,SUS+CQI@0.65,40001,2061.0,38.55,0.4052,3.975
CSI02,SUS+CQI@0.70,40001,2075.1,38.62,0.404,3.963
CSI02,SUS+CQI@0.75,40001,2064.4,38.57,0.404,3.929
CSI02,SUS+CQI@0.80,40001,2042.7,38.47,0.4057,3.847
CSI02,SUS+CQI@0.60,40002,4521.1,56.02,0.3214,3.989
