world,sched,seed,reward,goodput_mbps,deadline_miss_rate,mu_depth
D26,SUS+CQI@0.60,40000,2608.3,28.43,0.3152,3.331
D26,SUS+CQI@0.65,40000,2626.8,28.51,0.3137,3.269
D26,SUS+CQI@0.70,40000,2649.5,28.56,0.3114,3.198
D26,SUS+CQI@0.75,40000,2682.4,28.71,0.308,3.093
D26,SUS+CQI@0.80,40000,2736.9,28.92,0.3019,2.961
D26,SUS+CQI@0.60,40001,2325.3,38.55,0.4174,3.887
D26,SUS+CQI@0.65,40001,2347.8,38.62,0.4162,3.862
D26,SUS+CQI@0.70,40001,2368.3,38.72,0.415,3.82
D26,SUS+CQI@0.75,40001,2387.1,38.77,0.4138,3.751
D26,SUS+CQI@0.80,40001,2402.2,38.86,0.4131,3.625
D26,SUS+CQI@0.60,40002,4924.2,55.7,0.3311,3.947
D26,SUS+CQI@0.65,40002,4965.6,55.95,0.3286,3.934
D26,SUS+CQI@0.70,40002,4934.5,55.78,0.3309,3.921
D26,SUS+CQI@0.75,40002,4908.1,55.62,0.3324,3.894
D26,SUS+CQI@0.80,40002,4882.0,55.48,0.3339,3.835
D26,SUS+CQI@0.60,40003,6513.2,97.91,0.3881,3.999
D26,SUS+CQI@0.65,40003,6518.1,97.87,0.388,3.996
D26,SUS+CQI@0.70,40003,6552.3,98.02,0.3871,3.995
D26,SUS+CQI@0.75,40003,6465.7,97.64,0.3897,3.988
D26,SUS+CQI@0.80,40003,6380.1,97.32,0.3917,3.97
D26,SUS+CQI@0.60,40004,4389.8,68.25,0.4124,3.984
D26,SUS+CQI@0.65,40004,4461.1,68.57,0.41,3.976
D26,SUS+CQI@0.70,40004,4528.1,68.85,0.4074,3.961
D26,SUS+CQI@0.75,40004,4538.3,68.93,0.4074,3.935
D26,SUS+CQI@0.80,40004,4503.0,68.76,0.4085,3.878
D26,SUS+CQI@0.60,40005,4562.9,83.8,0.4235,3.947
D26,SUS+CQI@0.65,40005,4518.9,83.56,0.4252,3.935
D26,SUS+CQI@0.70,40005,4614.0,83.87,0.4228,3.923
D26,SUS+CQI@0.75,40005,4564.2,83.66,0.4244,3.894
D26,SUS+CQI@0.80,40005,4661.3,84.2,0.4212,3.838
D26,SUS+CQI@0.60,40006,6054.5,67.81,0.3028,3.876
D26,SUS+CQI@0.65,40006,6067.9,67.84,0.3025,3.85
D26,SUS+CQI@0.70,40006,6105.1,67.92,0.301,3.805
D26,SUS+CQI@0.75,40006,6135.7,68.11,0.2997,3.731
D26,SUS+CQI@0.80,40006,6206.9,68.41,0.2963,3.616
D26,SUS+CQI@0.60,40007,1726.0,30.65,0.4282,3.663
D26,SUS+CQI@0.65,40007,1751.2,30.78,0.4261,3.622
D26,SUS+CQI@0.70,40007,1768.7,30.83,0.4253,3.566
D26,SUS+CQI@0.75,40007,1813.0,31.0,0.4217,3.443
D26,SUS+CQI@0.80,40007,1877.2,31.28,0.4167,3.311
D26,SUS+Deadline-PF,40000,2689.4,28.77,0.3061,2.961
D26,SUS+PF,40000,2670.6,28.69,0.308,2.96
D26,SUS+Random,40000,2606.4,28.36,0.3152,3.027
D26,SUS+MW,40000,2662.9,28.65,0.3107,2.982
D26,SUS+EDF,40000,2572.1,28.17,0.321,3.101
D26,SU+CQI,40000,3015.7,30.17,0.2717,1.0
D26,SU+Deadline-PF,40000,2875.6,29.47,0.2877,1.0
D26,SU+PF,40000,2859.8,29.48,0.2877,1.0
D26,SU+Random,40000,2396.8,27.17,0.3412,1.0
D26,SU+MW,40000,2778.9,29.14,0.3007,1.0
D26,SU+EDF,40000,1746.7,24.04,0.4165,1.0
D26,SUS+Deadline-PF,40001,2110.7,37.47,0.4334,3.655
D26,SUS+PF,40001,2095.0,37.43,0.4339,3.651
D26,SUS+Random,40001,1692.6,35.71,0.4587,3.707
D26,SUS+MW,40001,2258.9,38.21,0.4243,3.645
D26,SUS+EDF,40001,1528.8,34.65,0.4749,3.793
D26,SU+CQI,40001,3181.9,42.44,0.3615,1.0
D26,SU+Deadline-PF,40001,2701.7,39.78,0.3983,1.0
D26,SU+PF,40001,2660.1,39.75,0.399,1.0
D26,SU+Random,40001,746.4,31.06,0.521,1.0
D26,SU+MW,40001,2933.0,41.24,0.3811,1.0
D26,SU+EDF,40001,-2035.5,20.44,0.6853,1.0
D26,SUS+Deadline-PF,40002,4192.8,51.8,0.3732,3.886
D26,SUS+PF,40002,4121.4,51.62,0.3757,3.88
D26,SUS+Random,40002,2918.6,46.13,0.4368,3.925
D26,SUS+MW,40002,4255.6,52.5,0.3725,3.869
D26,SUS+EDF,40002,2493.4,42.99,0.4731,3.978
D26,SU+CQI,40002,4704.6,56.13,0.3297,1.0
D26,SU+Deadline-PF,40002,3795.5,50.46,0.3889,1.0
D26,SU+PF,40002,3688.8,50.8,0.3865,1.0
D26,SU+Random,40002,143.1,34.25,0.5678,1.0
D26,SU+MW,40002,3963.4,52.83,0.377,1.0
D26,SU+EDF,40002,-1275.1,30.2,0.6326,1.0
D26,SUS+Deadline-PF,40003,3362.0,82.88,0.4776,3.992
D26,SUS+PF,40003,3167.5,82.46,0.4789,3.989
D26,SUS+Random,40003,979.6,72.74,0.5365,3.998
D26,SUS+MW,40003,5804.9,94.61,0.4116,3.981
D26,SUS+EDF,40003,-3126.1,53.71,0.6526,4.0
D26,SU+CQI,40003,3226.5,87.2,0.4561,1.0
D26,SU+Deadline-PF,40003,-1355.2,63.48,0.5949,1.0
D26,SU+PF,40003,-1987.0,62.89,0.5961,1.0
D26,SU+Random,40003,-6478.7,43.22,0.7111,1.0
D26,SU+MW,40003,2352.6,84.17,0.4871,1.0
D26,SU+EDF,40003,-12335.7,24.53,0.8382,1.0
D26,SUS+Deadline-PF,40004,3194.7,61.82,0.4634,3.925
D26,SUS+PF,40004,3260.1,62.52,0.4583,3.914
D26,SUS+Random,40004,1392.8,54.65,0.5237,3.956
D26,SUS+MW,40004,3971.1,66.22,0.4332,3.907
D26,SUS+EDF,40004,-1521.2,40.81,0.6371,3.989
D26,SU+CQI,40004,3103.1,65.62,0.4396,1.0
D26,SU+Deadline-PF,40004,1509.4,55.71,0.5171,1.0
D26,SU+PF,40004,1404.1,56.39,0.5097,1.0
D26,SU+Random,40004,-3251.8,35.7,0.6765,1.0
D26,SU+MW,40004,2116.1,61.23,0.4865,1.0
D26,SU+EDF,40004,-7553.5,22.81,0.7988,1.0
D26,SUS+Deadline-PF,40005,2761.3,75.33,0.4775,3.924
D26,SUS+PF,40005,2654.8,75.04,0.4793,3.912
D26,SUS+Random,40005,2198.1,72.59,0.4948,3.937
D26,SUS+MW,40005,4492.3,83.09,0.4302,3.873
D26,SUS+EDF,40005,1367.3,67.86,0.525,3.978
D26,SU+CQI,40005,1745.5,74.56,0.4893,1.0
D26,SU+Deadline-PF,40005,-601.9,62.11,0.5685,1.0
D26,SU+PF,40005,-849.8,62.38,0.5669,1.0
D26,SU+Random,40005,-3835.4,47.68,0.6565,1.0
D26,SU+MW,40005,937.1,71.45,0.5208,1.0
D26,SU+EDF,40005,-5015.0,45.05,0.6847,1.0
D26,SUS+Deadline-PF,40006,5532.4,65.29,0.3269,3.703
D26,SUS+PF,40006,5484.3,65.06,0.3286,3.69
D26,SUS+Random,40006,5303.3,64.12,0.3369,3.754
D26,SUS+MW,40006,6155.7,68.14,0.2999,3.634
D26,SUS+EDF,40006,4821.6,61.4,0.3643,3.864
D26,SU+CQI,40006,5527.6,66.01,0.3197,1.0
D26,SU+Deadline-PF,40006,3997.1,58.64,0.3922,1.0
D26,SU+PF,40006,3990.6,59.13,0.3874,1.0
D26,SU+Random,40006,918.4,44.53,0.5234,1.0
D26,SU+MW,40006,5347.2,65.32,0.3332,1.0
D26,SU+EDF,40006,-2150.8,33.19,0.6476,1.0
D26,SUS+Deadline-PF,40007,1686.8,30.42,0.4326,3.389
D26,SUS+PF,40007,1665.8,30.35,0.4341,3.387
D26,SUS+Random,40007,1418.3,29.2,0.4537,3.454
D26,SUS+MW,40007,1778.4,30.85,0.4258,3.343
D26,SUS+EDF,40007,1564.4,29.73,0.4443,3.499
D26,SU+CQI,40007,2395.1,33.72,0.3733,1.0
D26,SU+Deadline-PF,40007,2089.6,31.94,0.4044,1.0
D26,SU+PF,40007,2055.5,31.87,0.4044,1.0
D26,SU+Random,40007,791.4,26.05,0.5046,1.0
D26,SU+MW,40007,2077.0,32.19,0.4041,1.0
D26,SU+EDF,40007,-80.3,21.84,0.5841,1.0
STORM2,SUS+CQI@0.60,40000,2624.8,78.21,0.4587,3.996
STORM2,SUS+CQI@0.65,40000,2652.1,78.33,0.4576,3.99
STORM2,SUS+CQI@0.70,40000,2659.0,78.31,0.4581,3.98
STORM2,SUS+CQI@0.75,40000,2656.1,78.36,0.4582,3.963
STORM2,SUS+CQI@0.80,40000,2680.5,78.5,0.4566,3.929
STORM2,SUS+CQI@0.60,40001,559.7,80.04,0.511,4.0
STORM2,SUS+CQI@0.65,40001,564.5,80.06,0.5112,3.998
STORM2,SUS+CQI@0.70,40001,577.8,80.22,0.51,3.996
STORM2,SUS+CQI@0.75,40001,478.6,79.8,0.5128,3.993
STORM2,SUS+CQI@0.80,40001,312.8,79.06,0.5166,3.972
STORM2,SUS+CQI@0.60,40002,-1399.8,108.43,0.5471,4.0
STORM2,SUS+CQI@0.65,40002,-1271.6,108.88,0.5452,4.0
STORM2,SUS+CQI@0.70,40002,-1100.8,109.39,0.5432,4.0
STORM2,SUS+CQI@0.75,40002,-1013.3,109.35,0.5428,4.0
STORM2,SUS+CQI@0.80,40002,-1083.0,108.97,0.5447,4.0
STORM2,SUS+CQI@0.60,40003,3967.0,126.1,0.4584,4.0
STORM2,SUS+CQI@0.65,40003,4006.2,126.14,0.4579,4.0
STORM2,SUS+CQI@0.70,40003,3960.5,125.98,0.4586,4.0
STORM2,SUS+CQI@0.75,40003,4028.2,126.2,0.4578,3.998
STORM2,SUS+CQI@0.80,40003,3791.4,124.96,0.4631,3.997
STORM2,SUS+CQI@0.60,40004,2396.7,73.12,0.4649,3.999
STORM2,SUS+CQI@0.65,40004,2386.8,73.1,0.4654,3.995
STORM2,SUS+CQI@0.70,40004,2456.4,73.28,0.4636,3.989
STORM2,SUS+CQI@0.75,40004,2519.6,73.64,0.4619,3.979
STORM2,SUS+CQI@0.80,40004,2388.0,72.97,0.4657,3.949
STORM2,SUS+CQI@0.60,40005,2379.7,90.5,0.4729,3.987
STORM2,SUS+CQI@0.65,40005,2534.7,91.06,0.4695,3.982
STORM2,SUS+CQI@0.70,40005,2615.8,91.41,0.4681,3.982
STORM2,SUS+CQI@0.75,40005,2622.4,91.36,0.4674,3.968
STORM2,SUS+CQI@0.80,40005,2549.7,91.05,0.4698,3.935
STORM2,SUS+CQI@0.60,40006,6392.7,96.15,0.3631,3.985
STORM2,SUS+CQI@0.65,40006,6486.8,96.56,0.3597,3.977
STORM2,SUS+CQI@0.70,40006,6561.7,96.91,0.3581,3.968
STORM2,SUS+CQI@0.75,40006,6635.6,97.14,0.3553,3.951
STORM2,SUS+CQI@0.80,40006,6614.3,97.19,0.3562,3.909
STORM2,SUS+CQI@0.60,40007,159.2,74.97,0.5216,3.999
STORM2,SUS+CQI@0.65,40007,161.7,74.93,0.5224,3.997
STORM2,SUS+CQI@0.70,40007,184.1,74.94,0.5217,3.992
STORM2,SUS+CQI@0.75,40007,22.0,74.18,0.5268,3.986
STORM2,SUS+CQI@0.80,40007,-118.7,73.62,0.5302,3.974
STORM2,SUS+Deadline-PF,40000,74.1,66.78,0.533,3.993
STORM2,SUS+PF,40000,25.9,66.88,0.5318,3.989
STORM2,SUS+Random,40000,-805.4,63.04,0.5562,3.994
STORM2,SUS+MW,40000,2893.1,79.34,0.4534,3.974
STORM2,SUS+EDF,40000,-4469.2,46.73,0.6681,3.999
STORM2,SU+CQI,40000,662.5,72.27,0.5039,1.0
STORM2,SU+Deadline-PF,40000,-3999.0,49.91,0.6476,1.0
STORM2,SU+PF,40000,-3949.3,51.23,0.635,1.0
STORM2,SU+Random,40000,-6582.6,39.58,0.7105,1.0
STORM2,SU+MW,40000,-59.1,68.56,0.5317,1.0
STORM2,SU+EDF,40000,-9355.8,29.18,0.7896,1.0
STORM2,SUS+Deadline-PF,40001,-3951.4,60.33,0.6281,4.0
STORM2,SUS+PF,40001,-3664.1,61.63,0.617,3.999
STORM2,SUS+Random,40001,-4379.4,58.93,0.6341,3.999
STORM2,SUS+MW,40001,433.3,79.12,0.5169,3.993
STORM2,SUS+EDF,40001,-8318.8,41.4,0.7391,4.0
STORM2,SU+CQI,40001,-817.4,76.14,0.5377,1.0
STORM2,SU+Deadline-PF,40001,-7457.5,45.64,0.7161,1.0
STORM2,SU+PF,40001,-7593.9,46.17,0.7087,1.0
STORM2,SU+Random,40001,-10589.1,33.51,0.7802,1.0
STORM2,SU+MW,40001,-1510.1,72.65,0.5626,1.0
STORM2,SU+EDF,40001,-16008.5,14.9,0.8998,1.0
STORM2,SUS+Deadline-PF,40002,-12493.1,57.24,0.7489,4.0
STORM2,SUS+PF,40002,-12619.2,57.75,0.7442,4.0
STORM2,SUS+Random,40002,-13783.7,53.66,0.7632,4.0
STORM2,SUS+MW,40002,-3267.9,98.72,0.5893,4.0
STORM2,SUS+EDF,40002,-18007.4,36.07,0.8382,4.0
STORM2,SU+CQI,40002,-8051.8,85.26,0.6451,1.0
STORM2,SU+Deadline-PF,40002,-16869.2,41.21,0.8148,1.0
