world,sched,seed,reward
P055,SUS+MW@0.60,40000,4783.3
P055,SUS+MW@0.65,40000,4812.6
P055,SUS+MW@0.70,40000,4785.2
P055,SUS+MW@0.75,40000,4755.1
P055,SUS+MW@0.80,40000,4660.9
P055,SUS+MW@0.60,40001,1936.8
P055,SUS+MW@0.65,40001,1988.3
P055,SUS+MW@0.70,40001,1950.4
P055,SUS+MW@0.75,40001,1849.0
P055,SUS+MW@0.80,40001,1694.5
P055,SUS+MW@0.60,40002,-1644.7
P055,SUS+MW@0.65,40002,-1479.5
P055,SUS+MW@0.70,40002,-1324.1
P055,SUS+MW@0.75,40002,-1256.2
P055,SUS+MW@0.80,40002,-1000.8
P055,SUS+MW@0.60,40003,4993.6
P055,SUS+MW@0.65,40003,5150.0
P055,SUS+MW@0.70,40003,5196.6
P055,SUS+MW@0.75,40003,5317.3
P055,SUS+MW@0.80,40003,5446.7
P055,SUS+MW@0.60,40004,3796.7
P055,SUS+MW@0.65,40004,3854.3
P055,SUS+MW@0.70,40004,3962.8
P055,SUS+MW@0.75,40004,3952.5
P055,SUS+MW@0.80,40004,4051.9
P055,SUS+MW@0.60,40005,3925.6
P055,SUS+MW@0.65,40005,4041.6
P055,SUS+MW@0.70,40005,4098.4
P055,SUS+MW@0.75,40005,4254.2
P055,SUS+MW@0.80,40005,4299.4
P055,SUS+MW@0.60,40006,7857.3
P055,SUS+MW@0.65,40006,7870.3
P055,SUS+MW@0.70,40006,7933.2
P055,SUS+MW@0.75,40006,8010.5
P055,SUS+MW@0.80,40006,7953.6
P055,SUS+MW@0.60,40007,1593.2
P055,SUS+MW@0.65,40007,1658.7
P055,SUS+MW@0.70,40007,1615.5
P055,SUS+MW@0.75,40007,1633.7
P055,SUS+MW@0.80,40007,1505.0
V60max,SUS+MW@0.60,40000,2604.8
V60max,SUS+MW@0.65,40000,2638.6
V60max,SUS+MW@0.70,40000,2670.6
V60max,SUS+MW@0.75,40000,2719.3
V60max,SUS+MW@0.80,40000,2777.7
V60max,SUS+MW@0.60,40001,2318.3
V60max,SUS+MW@0.65,40001,2308.5
V60max,SUS+MW@0.70,40001,2311.1
V60max,SUS+MW@0.75,40001,2342.8
V60max,SUS+MW@0.80,40001,2314.4
V60max,SUS+MW@0.60,40002,4360.7
V60max,SUS+MW@0.65,40002,4415.0
V60max,SUS+MW@0.70,40002,4484.2
