config,sched,seed,n_active,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
CSI02,SUS+CQI@0.70,30000,23,2542.9,50.37,46.46,0.591,0.3981,3.924
CSI02,SUS+CQI@0.70,30001,19,2328.6,78.26,72.98,0.534,0.4583,3.983
CSI02,SUS+CQI@0.70,30002,32,1087.5,107.88,100.64,0.49,0.506,4.0
CSI02,SUS+CQI@0.70,30003,21,1374.0,37.01,33.44,0.5514,0.4424,3.97
CSI02,SUS+CQI@0.70,30004,18,2980.9,69.42,64.11,0.5645,0.4263,3.968
CSI02,SUS+CQI@0.70,30005,24,3711.7,68.25,63.69,0.6004,0.3888,3.991
CSI02,SUS+CQI@0.70,30006,28,3943.9,97.24,91.6,0.5615,0.433,3.998
CSI02,SUS+CQI@0.70,30007,19,4023.0,56.59,54.71,0.6632,0.3273,3.684
CSI02,SUS+CQI@0.70,30008,19,5222.2,85.51,79.7,0.6228,0.3719,3.978
CSI02,SUS+CQI@0.70,30009,16,4932.3,47.13,43.87,0.8132,0.1727,3.687
CSI02,SUS+CQI@0.70,30010,18,1798.7,51.46,46.48,0.5441,0.449,3.975
CSI02,SUS+CQI@0.70,30011,30,1208.9,110.26,104.95,0.4936,0.5002,4.0
CSI02,SUS+CQI@0.70,30012,17,2152.0,37.35,33.8,0.6114,0.3785,3.874
CSI02,SUS+CQI@0.70,30013,32,3991.2,77.97,73.38,0.5939,0.4001,3.989
CSI02,SUS+CQI@0.70,30014,16,-3881.1,47.66,43.17,0.3468,0.6408,3.954
CSI02,SUS+CQI@0.70,30015,30,4002.8,94.67,90.23,0.5691,0.425,3.994
CSI02,SUS+CQI@0.70,30016,24,4780.8,105.87,101.45,0.5773,0.4188,3.932
CSI02,SUS+CQI@0.70,30017,26,2697.4,87.03,83.19,0.5405,0.4553,3.998
CSI02,SUS+CQI@0.70,30018,24,3121.9,65.23,60.82,0.5835,0.4121,3.942
CSI02,SUS+CQI@0.70,30019,28,4436.4,75.47,71.75,0.6165,0.3757,3.966
CSI02,SUS+CQI@0.70,30020,30,4252.5,81.06,76.73,0.5998,0.3968,3.993
CSI02,SUS+CQI@0.70,30021,21,3196.4,43.24,40.21,0.6717,0.3171,3.748
CSI02,SUS+CQI@0.70,30022,20,4003.8,63.27,59.34,0.6312,0.3606,3.921
CSI02,SUS+CQI@0.70,30023,28,2796.7,115.13,107.86,0.5219,0.4737,3.966
CSI02,SUS+CQI@0.70,30024,19,1530.8,74.84,68.13,0.5096,0.4848,3.996
CSI02,SUS+CQI@0.70,30025,22,7315.3,95.57,88.61,0.677,0.3116,3.991
CSI02,SUS+CQI@0.70,30026,27,3912.6,66.57,60.25,0.6127,0.3727,3.992
CSI02,SUS+CQI@0.70,30027,22,5369.7,91.22,86.71,0.6166,0.3771,3.989
CSI02,SUS+CQI@0.70,30028,16,6519.8,73.18,66.91,0.7265,0.2546,3.918
CSI02,SUS+CQI@0.70,30029,18,2719.7,62.41,55.69,0.5637,0.424,3.957
CSI02,SUS+CQI@0.70,30030,30,2256.5,104.45,97.46,0.5149,0.479,3.998
CSI02,SUS+CQI@0.70,30031,21,936.2,59.87,53.84,0.4967,0.4933,3.982
