K,phase,sched,seed,reward,goodput_mbps,deadline_miss_rate,mu_depth
8,test,SUS+CQI@0.80,30040,3711.9,42.23,0.2925,3.113
8,test,SUS+PF,30040,3486.0,41.2,0.3092,3.136
8,test,SUS+Random,30040,3357.0,40.49,0.3184,3.25
8,test,SU+CQI,30040,3959.9,43.55,0.2732,1.0
8,test,SU+PF,30040,3540.4,41.63,0.3036,1.0
8,test,SU+Random,30040,2454.6,36.34,0.3843,1.0
8,test,PPO,30040,4253.2,44.67,0.2517,2.206
8,test,SUS+CQI@0.80,30041,4437.2,40.29,0.1735,2.466
8,test,SUS+PF,30041,4387.1,40.07,0.1777,2.478
8,test,SUS+Random,30041,4432.8,40.27,0.1738,2.576
8,test,SU+CQI,30041,4344.1,39.95,0.1797,1.0
8,test,SU+PF,30041,4158.2,39.1,0.1959,1.0
8,test,SU+Random,30041,4188.6,39.06,0.1952,1.0
8,test,PPO,30041,4583.8,40.97,0.1599,2.152
8,test,SUS+CQI@0.80,30042,6099.0,47.59,0.0557,2.95
8,test,SUS+PF,30042,6104.9,47.55,0.056,2.953
8,test,SUS+Random,30042,6032.8,47.15,0.0627,3.086
8,test,SU+CQI,30042,5717.9,45.93,0.088,1.0
8,test,SU+PF,30042,5768.7,46.08,0.0839,1.0
8,test,SU+Random,30042,5284.6,43.79,0.1261,1.0
8,test,PPO,30042,6155.2,47.75,0.0512,2.516
8,test,SUS+CQI@0.80,30043,2294.8,36.02,0.3682,2.54
8,test,SUS+PF,30043,2299.8,36.04,0.3682,2.565
8,test,SUS+Random,30043,2276.7,35.95,0.3699,2.621
8,test,SU+CQI,30043,2292.0,36.12,0.3677,1.0
8,test,SU+PF,30043,2203.3,35.71,0.3738,1.0
8,test,SU+Random,30043,2135.4,35.31,0.3807,1.0
8,test,PPO,30043,2353.8,36.32,0.363,1.83
8,test,SUS+CQI@0.80,30044,2740.0,38.8,0.3458,2.243
8,test,SUS+PF,30044,2730.8,38.72,0.3469,2.25
8,test,SUS+Random,30044,2635.4,38.3,0.3538,2.319
8,test,SU+CQI,30044,2643.3,38.47,0.3511,1.0
8,test,SU+PF,30044,2644.2,38.44,0.3516,1.0
8,test,SU+Random,30044,2460.7,37.48,0.3667,1.0
8,test,PPO,30044,2809.1,39.17,0.34,2.156
8,test,SUS+CQI@0.80,30045,2005.9,17.75,0.149,1.747
8,test,SUS+PF,30045,2005.8,17.75,0.149,1.754
8,test,SUS+Random,30045,2002.8,17.73,0.1497,1.801
8,test,SU+CQI,30045,1996.0,17.72,0.1505,1.0
8,test,SU+PF,30045,1999.6,17.73,0.1497,1.0
8,test,SU+Random,30045,2008.6,17.77,0.1482,1.0
8,test,PPO,30045,2006.4,17.76,0.149,1.566
8,test,SUS+CQI@0.80,30046,1546.8,19.88,0.3273,2.491
8,test,SUS+PF,30046,1521.2,19.72,0.3316,2.49
8,test,SUS+Random,30046,1541.0,19.86,0.3273,2.565
8,test,SU+CQI,30046,1654.8,20.33,0.3136,1.0
8,test,SU+PF,30046,1626.5,20.2,0.3184,1.0
8,test,SU+Random,30046,1568.4,19.89,0.3279,1.0
8,test,PPO,30046,1738.5,20.8,0.3004,1.669
8,test,SUS+CQI@0.80,30047,4463.1,46.29,0.2527,2.97
8,test,SUS+PF,30047,4098.4,44.55,0.2781,2.976
8,test,SUS+Random,30047,3937.6,43.74,0.2901,3.084
8,test,SU+CQI,30047,4509.7,46.72,0.2476,1.0
8,test,SU+PF,30047,4140.6,44.91,0.274,1.0
8,test,SU+Random,30047,2878.0,39.15,0.3615,1.0
8,test,PPO,30047,4897.9,48.3,0.2211,2.337
8,test,SUS+CQI@0.80,30048,3502.5,34.94,0.2254,2.425
8,test,SUS+PF,30048,3513.0,34.94,0.2251,2.47
8,test,SUS+Random,30048,3431.6,34.56,0.2325,2.581
8,test,SU+CQI,30048,3467.9,34.87,0.2265,1.0
8,test,SU+PF,30048,3454.7,34.71,0.229,1.0
8,test,SU+Random,30048,3298.8,33.88,0.246,1.0
8,test,PPO,30048,3535.2,35.08,0.2208,1.88
8,test,SUS+CQI@0.80,30049,3396.8,29.21,0.1401,2.459
8,test,SUS+PF,30049,3385.5,29.15,0.1419,2.462
8,test,SUS+Random,30049,3368.0,29.06,0.1438,2.528
8,test,SU+CQI,30049,3444.7,29.47,0.1331,1.0
8,test,SU+PF,30049,3377.7,29.11,0.1424,1.0
8,test,SU+Random,30049,3357.5,28.98,0.1466,1.0
8,test,PPO,30049,3467.8,29.56,0.1298,1.804
8,test,SUS+CQI@0.80,30050,5050.6,47.82,0.2072,3.338
8,test,SUS+PF,30050,4913.1,47.21,0.2167,3.369
8,test,SUS+Random,30050,4685.3,46.1,0.2341,3.473
8,test,SU+CQI,30050,5057.7,48.19,0.203,1.0
8,test,SU+PF,30050,4667.1,46.19,0.2327,1.0
8,test,SU+Random,30050,3373.0,40.24,0.3247,1.0
8,test,PPO,30050,5581.3,50.33,0.1687,2.535
8,test,SUS+CQI@0.80,30051,4121.1,44.28,0.2678,3.404
8,test,SUS+PF,30051,4004.3,43.74,0.2762,3.436
8,test,SUS+Random,30051,3840.2,42.93,0.2883,3.551
8,test,SU+CQI,30051,4327.3,45.39,0.251,1.0
8,test,SU+PF,30051,4033.2,43.8,0.2738,1.0
8,test,SU+Random,30051,2805.6,38.12,0.3619,1.0
8,test,PPO,30051,4631.7,46.56,0.2301,2.218
8,test,SUS+CQI@0.80,30052,2252.6,37.01,0.3721,2.36
8,test,SUS+PF,30052,2241.5,36.93,0.3732,2.392
8,test,SUS+Random,30052,2233.8,36.9,0.3734,2.411
8,test,SU+CQI,30052,2227.5,36.95,0.3729,1.0
8,test,SU+PF,30052,2093.3,36.24,0.3841,1.0
8,test,SU+Random,30052,2176.5,36.65,0.3781,1.0
8,test,PPO,30052,2247.7,37.03,0.3718,1.932
8,test,SUS+CQI@0.80,30053,4686.3,36.67,0.0684,2.913
8,test,SUS+PF,30053,4717.8,36.79,0.0651,2.923
8,test,SUS+Random,30053,4627.8,36.41,0.0748,2.998
8,test,SU+CQI,30053,4640.1,36.64,0.0716,1.0
8,test,SU+PF,30053,4725.4,36.99,0.0623,1.0
8,test,SU+Random,30053,4337.3,35.0,0.1088,1.0
8,test,PPO,30053,4848.9,37.48,0.0481,2.045
8,test,SUS+CQI@0.80,30054,3523.6,32.26,0.2078,3.068
8,test,SUS+PF,30054,3526.0,32.17,0.2093,3.087
8,test,SUS+Random,30054,3338.4,31.38,0.2281,3.205
8,test,SU+CQI,30054,3929.3,34.28,0.1646,1.0
8,test,SU+PF,30054,4026.1,34.48,0.1577,1.0
8,test,SU+Random,30054,3297.1,31.2,0.2331,1.0
8,test,PPO,30054,4003.3,34.5,0.155,1.956
8,test,SUS+CQI@0.80,30055,5006.9,37.91,0.0131,2.524
8,test,SUS+PF,30055,5022.3,38.0,0.011,2.524
8,test,SUS+Random,30055,5006.4,37.9,0.0135,2.589
8,test,SU+CQI,30055,4907.4,37.44,0.0245,1.0
8,test,SU+PF,30055,4951.6,37.63,0.0198,1.0
8,test,SU+Random,30055,4897.4,37.38,0.0274,1.0
8,test,PPO,30055,5036.2,38.07,0.0097,2.148
8,test,SUS+CQI@0.80,30056,5397.6,42.29,0.0618,2.8
8,test,SUS+PF,30056,5427.7,42.41,0.059,2.812
8,test,SUS+Random,30056,5314.2,41.79,0.0718,2.918
8,test,SU+CQI,30056,5098.8,41.07,0.0881,1.0
8,test,SU+PF,30056,5148.5,41.17,0.0849,1.0
8,test,SU+Random,30056,4849.0,39.47,0.1169,1.0
8,test,PPO,30056,5380.1,42.17,0.0622,2.336
8,test,SUS+CQI@0.80,30057,2721.8,27.65,0.247,2.72
8,test,SUS+PF,30057,2690.3,27.44,0.2519,2.734
8,test,SUS+Random,30057,2502.3,26.53,0.2747,2.824
8,test,SU+CQI,30057,2897.4,28.46,0.2255,1.0
8,test,SU+PF,30057,2892.3,28.34,0.2282,1.0
8,test,SU+Random,30057,2435.9,26.15,0.2843,1.0
8,test,PPO,30057,2969.4,28.63,0.2146,1.743
8,test,SUS+CQI@0.80,30058,2416.3,27.02,0.2852,2.735
8,test,SUS+PF,30058,2259.1,26.23,0.3016,2.735
8,test,SUS+Random,30058,2208.5,26.02,0.3083,2.799
8,test,SU+CQI,30058,2611.1,27.96,0.2642,1.0
8,test,SU+PF,30058,2326.4,26.57,0.2953,1.0
8,test,SU+Random,30058,2137.3,25.55,0.3192,1.0
8,test,PPO,30058,2553.4,27.49,0.2688,1.733
8,test,SUS+CQI@0.80,30059,5348.6,47.02,0.1463,2.679
8,test,SUS+PF,30059,5333.5,46.98,0.1472,2.685
8,test,SUS+Random,30059,5354.7,47.05,0.1455,2.741
8,test,SU+CQI,30059,4968.2,45.41,0.1739,1.0
8,test,SU+PF,30059,4941.8,45.24,0.175,1.0
8,test,SU+Random,30059,4796.9,44.46,0.1904,1.0
8,test,PPO,30059,5364.3,47.09,0.1446,2.421
48,test,SUS+CQI@0.75,30040,-5900.1,146.12,0.5856,4.0
48,test,SUS+PF,30040,-25836.5,59.33,0.8169,4.0
48,test,SUS+Random,30040,-23481.9,67.09,0.7953,4.0
48,test,SU+CQI,30040,-19874.6,94.45,0.7297,1.0
48,test,SU+PF,30040,-28893.9,52.24,0.8397,1.0
48,test,SU+Random,30040,-31586.0,38.82,0.8736,1.0
48,test,PPO,30040,-5115.4,148.5,0.5748,3.883
48,test,SUS+CQI@0.75,30041,-1121.7,134.04,0.5393,4.0
