K,phase,sched,seed,reward,goodput_mbps,deadline_miss_rate,mu_depth
8,test,SUS+CQI@0.80,30060,4846.8,44.14,0.1706,2.791
8,test,SUS+PF,30060,4855.4,44.18,0.17,2.786
8,test,SUS+Random,30060,4850.2,44.09,0.1712,2.891
8,test,SU+CQI,30060,4495.1,42.7,0.1977,1.0
8,test,SU+PF,30060,4541.9,42.86,0.195,1.0
8,test,SU+Random,30060,4295.4,41.41,0.2194,1.0
8,test,PPO,30060,4835.1,44.05,0.1721,2.432
8,test,SUS+CQI@0.80,30061,5353.8,40.38,0.0122,2.542
8,test,SUS+PF,30061,5356.6,40.39,0.0118,2.537
8,test,SUS+Random,30061,5340.2,40.32,0.0138,2.609
8,test,SU+CQI,30061,5243.4,39.84,0.0248,1.0
8,test,SU+PF,30061,5240.0,39.86,0.0248,1.0
8,test,SU+Random,30061,5182.0,39.52,0.0318,1.0
8,test,PPO,30061,5352.3,40.35,0.0122,2.22
8,test,SUS+CQI@0.80,30062,6420.4,51.97,0.1002,2.911
8,test,SUS+PF,30062,6486.0,52.22,0.0963,2.912
8,test,SUS+Random,30062,6222.9,50.97,0.1164,3.045
8,test,SU+CQI,30062,5898.9,49.96,0.1354,1.0
8,test,SU+PF,30062,5999.8,50.3,0.1296,1.0
8,test,SU+Random,30062,5071.7,45.94,0.2015,1.0
8,test,PPO,30062,6489.8,52.23,0.093,2.769
8,test,SUS+CQI@0.80,30063,2219.2,21.01,0.2023,1.984
8,test,SUS+PF,30063,2206.9,20.96,0.2047,1.988
8,test,SUS+Random,30063,2206.9,20.97,0.2047,2.059
8,test,SU+CQI,30063,2213.9,21.04,0.1993,1.0
8,test,SU+PF,30063,2188.3,20.93,0.2035,1.0
8,test,SU+Random,30063,2181.5,20.85,0.2071,1.0
8,test,PPO,30063,2239.8,21.14,0.1969,1.597
8,test,SUS+CQI@0.80,30064,4485.0,36.0,0.093,2.229
8,test,SUS+PF,30064,4494.2,36.05,0.0922,2.233
8,test,SUS+Random,30064,4476.2,35.91,0.0942,2.3
8,test,SU+CQI,30064,4410.5,35.77,0.1001,1.0
8,test,SU+PF,30064,4429.4,35.85,0.0981,1.0
8,test,SU+Random,30064,4354.8,35.3,0.1092,1.0
8,test,PPO,30064,4496.4,36.07,0.0911,1.991
8,test,SUS+CQI@0.80,30065,2958.3,28.93,0.217,2.317
