K,phase,sched,seed,reward,goodput_mbps,deadline_miss_rate,mu_depth
8,test,SUS+CQI@0.80,30080,3183.0,28.99,0.1974,2.804
8,test,SUS+PF,30080,3175.6,28.87,0.2,2.819
8,test,SUS+Random,30080,2910.3,27.59,0.2309,2.912
8,test,SU+CQI,30080,3470.3,30.37,0.1625,1.0
8,test,SU+PF,30080,3526.5,30.46,0.1567,1.0
8,test,SU+Random,30080,2905.7,27.54,0.2331,1.0
8,test,PPO,30080,3481.1,30.21,0.1572,1.767
8,test,SUS+CQI@0.80,30081,1657.1,16.41,0.2269,2.155
8,test,SUS+PF,30081,1658.2,16.41,0.2269,2.173
8,test,SUS+Random,30081,1601.7,16.1,0.2418,2.253
8,test,SU+CQI,30081,1686.6,16.57,0.2188,1.0
8,test,SU+PF,30081,1672.4,16.46,0.2232,1.0
8,test,SU+Random,30081,1633.6,16.24,0.2336,1.0
8,test,PPO,30081,1721.3,16.73,0.2128,1.421
8,test,SUS+CQI@0.80,30082,3528.6,38.61,0.2809,3.151
8,test,SUS+PF,30082,3400.6,37.9,0.2933,3.162
8,test,SUS+Random,30082,3131.5,36.81,0.3145,3.28
8,test,SU+CQI,30082,3837.8,40.17,0.2544,1.0
8,test,SU+PF,30082,3786.2,39.64,0.2617,1.0
8,test,SU+Random,30082,2660.7,34.52,0.3547,1.0
8,test,PPO,30082,4027.7,40.76,0.2378,2.074
8,test,SUS+CQI@0.80,30083,2828.7,25.7,0.1777,2.31
8,test,SUS+PF,30083,2829.8,25.7,0.1777,2.307
8,test,SUS+Random,30083,2747.6,25.33,0.1894,2.395
8,test,SU+CQI,30083,2870.7,25.9,0.1737,1.0
8,test,SU+PF,30083,2855.9,25.88,0.1742,1.0
8,test,SU+Random,30083,2758.3,25.39,0.1878,1.0
8,test,PPO,30083,2899.9,26.02,0.1676,1.679
8,test,SUS+CQI@0.80,30084,2330.2,21.32,0.1796,2.162
8,test,SUS+PF,30084,2321.6,21.29,0.1802,2.17
8,test,SUS+Random,30084,2320.4,21.28,0.1802,2.248
8,test,SU+CQI,30084,2370.7,21.55,0.1759,1.0
8,test,SU+PF,30084,2278.9,21.09,0.1862,1.0
8,test,SU+Random,30084,2345.9,21.4,0.179,1.0
8,test,PPO,30084,2392.2,21.63,0.1705,1.573
8,test,SUS+CQI@0.80,30085,3069.3,34.31,0.2978,3.018
8,test,SUS+PF,30085,2956.9,33.65,0.3095,3.051
8,test,SUS+Random,30085,2650.4,32.46,0.3334,3.158
8,test,SU+CQI,30085,3700.2,37.35,0.2398,1.0
8,test,SU+PF,30085,3548.0,36.24,0.2579,1.0
8,test,SU+Random,30085,2552.3,31.81,0.3445,1.0
8,test,PPO,30085,3874.8,37.87,0.2226,1.994
8,test,SUS+CQI@0.80,30086,2055.8,32.02,0.3739,3.032
8,test,SUS+PF,30086,1862.5,31.14,0.3903,3.044
8,test,SUS+Random,30086,1721.6,30.49,0.4018,3.182
8,test,SU+CQI,30086,2331.1,33.02,0.3512,1.0
8,test,SU+PF,30086,2187.2,32.22,0.3674,1.0
8,test,SU+Random,30086,1418.3,28.87,0.4294,1.0
8,test,PPO,30086,2450.3,33.55,0.3363,1.792
8,test,SUS+CQI@0.80,30087,2927.0,40.49,0.3407,2.69
8,test,SUS+PF,30087,2821.8,40.04,0.3481,2.695
8,test,SUS+Random,30087,2898.3,40.34,0.343,2.745
8,test,SU+CQI,30087,2974.6,40.86,0.3353,1.0
8,test,SU+PF,30087,2767.7,39.95,0.3494,1.0
8,test,SU+Random,30087,2623.3,39.19,0.3623,1.0
8,test,PPO,30087,3127.3,41.44,0.325,2.134
8,test,SUS+CQI@0.80,30088,3726.8,32.86,0.1725,2.659
8,test,SUS+PF,30088,3737.1,32.88,0.1713,2.669
8,test,SUS+Random,30088,3551.9,32.03,0.192,2.8
8,test,SU+CQI,30088,3810.7,33.38,0.1622,1.0
8,test,SU+PF,30088,3840.9,33.46,0.1602,1.0
8,test,SU+Random,30088,3285.1,30.77,0.2215,1.0
8,test,PPO,30088,3918.3,33.76,0.1474,1.871
8,test,SUS+CQI@0.80,30089,2329.6,31.82,0.349,2.801
8,test,SUS+PF,30089,2318.8,31.75,0.3507,2.814
8,test,SUS+Random,30089,2210.3,31.3,0.3588,2.934
8,test,SU+CQI,30089,2556.0,32.67,0.3307,1.0
8,test,SU+PF,30089,2518.0,32.5,0.3346,1.0
8,test,SU+Random,30089,1942.2,29.82,0.3859,1.0
8,test,PPO,30089,2651.9,33.13,0.3167,1.765
8,test,SUS+CQI@0.80,30090,1157.6,14.11,0.3204,1.978
8,test,SUS+PF,30090,1151.7,14.09,0.3212,1.979
8,test,SUS+Random,30090,1154.4,14.1,0.3204,2.035
8,test,SU+CQI,30090,1226.5,14.43,0.3056,1.0
8,test,SU+PF,30090,1191.5,14.23,0.3115,1.0
8,test,SU+Random,30090,1175.1,14.13,0.3167,1.0
8,test,PPO,30090,1235.4,14.43,0.3004,1.388
8,test,SUS+CQI@0.80,30091,1407.0,14.91,0.2379,1.419
8,test,SUS+PF,30091,1407.3,14.91,0.2379,1.416
8,test,SUS+Random,30091,1407.2,14.91,0.2379,1.433
8,test,SU+CQI,30091,1406.7,14.91,0.2379,1.0
8,test,SU+PF,30091,1407.4,14.91,0.2379,1.0
8,test,SU+Random,30091,1407.2,14.91,0.2379,1.0
8,test,PPO,30091,1407.8,14.91,0.2379,1.46
8,test,SUS+CQI@0.80,30092,2430.4,37.56,0.3764,3.461
8,test,SUS+PF,30092,2218.5,36.72,0.3913,3.488
8,test,SUS+Random,30092,2148.1,36.35,0.3966,3.555
8,test,SU+CQI,30092,3325.7,41.77,0.3131,1.0
8,test,SU+PF,30092,2433.9,37.52,0.3795,1.0
8,test,SU+Random,30092,1631.1,33.76,0.436,1.0
8,test,PPO,30092,3622.3,42.9,0.2945,2.116
8,test,SUS+CQI@0.80,30093,4578.0,39.58,0.1318,2.344
8,test,SUS+PF,30093,4580.8,39.6,0.1311,2.353
8,test,SUS+Random,30093,4570.2,39.54,0.1325,2.388
8,test,SU+CQI,30093,4507.5,39.24,0.138,1.0
8,test,SU+PF,30093,4503.2,39.2,0.1383,1.0
8,test,SU+Random,30093,4494.4,39.13,0.1404,1.0
8,test,PPO,30093,4586.9,39.63,0.1307,2.14
8,test,SUS+CQI@0.80,30094,1561.9,34.56,0.4237,2.81
8,test,SUS+PF,30094,1555.2,34.52,0.4243,2.814
8,test,SUS+Random,30094,1548.6,34.45,0.4251,2.806
8,test,SU+CQI,30094,1730.6,35.48,0.4095,1.0
8,test,SU+PF,30094,1453.5,34.02,0.4317,1.0
8,test,SU+Random,30094,1455.6,34.06,0.4314,1.0
8,test,PPO,30094,1856.9,35.9,0.4018,1.919
8,test,SUS+CQI@0.80,30095,2593.8,26.86,0.2437,2.658
8,test,SUS+PF,30095,2589.5,26.85,0.2441,2.672
8,test,SUS+Random,30095,2593.2,26.86,0.2441,2.711
8,test,SU+CQI,30095,2630.4,27.11,0.2369,1.0
8,test,SU+PF,30095,2601.1,26.97,0.2401,1.0
8,test,SU+Random,30095,2544.2,26.59,0.2505,1.0
8,test,PPO,30095,2684.1,27.33,0.2306,1.713
8,test,SUS+CQI@0.80,30096,1505.9,16.49,0.2571,1.767
8,test,SUS+PF,30096,1489.0,16.4,0.26,1.783
8,test,SUS+Random,30096,1495.2,16.42,0.2585,1.805
8,test,SU+CQI,30096,1503.1,16.48,0.2578,1.0
8,test,SU+PF,30096,1480.6,16.35,0.2621,1.0
8,test,SU+Random,30096,1500.0,16.43,0.2593,1.0
8,test,PPO,30096,1513.4,16.54,0.2564,1.436
8,test,SUS+CQI@0.80,30097,2139.9,20.11,0.1975,2.361
8,test,SUS+PF,30097,2129.5,20.06,0.1987,2.364
8,test,SUS+Random,30097,2143.5,20.12,0.1975,2.395
8,test,SU+CQI,30097,2133.0,20.13,0.1956,1.0
8,test,SU+PF,30097,2094.5,19.95,0.2006,1.0
8,test,SU+Random,30097,2126.8,20.03,0.1994,1.0
8,test,PPO,30097,2192.2,20.39,0.1856,1.563
8,test,SUS+CQI@0.80,30098,3642.3,31.38,0.1309,2.355
8,test,SUS+PF,30098,3643.5,31.39,0.1309,2.361
8,test,SUS+Random,30098,3624.9,31.31,0.1336,2.42
8,test,SU+CQI,30098,3568.2,31.04,0.1388,1.0
8,test,SU+PF,30098,3585.7,31.1,0.1371,1.0
8,test,SU+Random,30098,3559.4,30.93,0.1414,1.0
8,test,PPO,30098,3640.0,31.38,0.1309,1.95
8,test,SUS+CQI@0.80,30099,1587.5,17.21,0.2739,2.22
8,test,SUS+PF,30099,1590.5,17.21,0.2739,2.227
8,test,SUS+Random,30099,1560.6,17.08,0.2793,2.275
8,test,SU+CQI,30099,1670.5,17.64,0.2573,1.0
8,test,SU+PF,30099,1666.8,17.58,0.26,1.0
8,test,SU+Random,30099,1571.2,17.09,0.2786,1.0
8,test,PPO,30099,1683.0,17.69,0.254,1.601
48,test,SUS+CQI@0.75,30080,3722.6,119.0,0.4594,4.0
48,test,SUS+PF,30080,-5955.8,74.89,0.6486,4.0
48,test,SUS+Random,30080,-6335.0,73.16,0.6561,4.0
48,test,SU+CQI,30080,-3138.6,93.91,0.5717,1.0
48,test,SU+PF,30080,-10907.5,57.19,0.7256,1.0
48,test,SU+Random,30080,-14889.9,40.19,0.7997,1.0
48,test,PPO,30080,4018.4,120.43,0.4477,3.268
48,test,SUS+CQI@0.75,30081,3643.7,76.42,0.4217,3.998
48,test,SUS+PF,30081,1031.1,64.55,0.5073,4.0
48,test,SUS+Random,30081,228.5,60.72,0.5343,4.0
48,test,SU+CQI,30081,2495.7,73.04,0.4495,1.0
48,test,SU+PF,30081,-1029.1,56.21,0.5662,1.0
48,test,SU+Random,30081,-4947.0,38.42,0.691,1.0
48,test,PPO,30081,4094.0,78.46,0.3988,2.594
48,test,SUS+CQI@0.75,30082,-1167.1,149.59,0.5377,4.0
48,test,SUS+PF,30082,-18311.2,72.41,0.7618,4.0
48,test,SUS+Random,30082,-18184.8,73.01,0.7615,4.0
48,test,SU+CQI,30082,-14493.3,101.02,0.6876,1.0
48,test,SU+PF,30082,-23412.1,57.15,0.8106,1.0
48,test,SU+Random,30082,-27424.2,39.62,0.8616,1.0
48,test,PPO,30082,-613.1,151.55,0.5274,3.76
48,test,SUS+CQI@0.75,30083,4172.0,106.65,0.443,3.989
48,test,SUS+PF,30083,-4604.5,66.04,0.6418,4.0
48,test,SUS+Random,30083,-5361.1,62.84,0.6587,4.0
48,test,SU+CQI,30083,-1601.2,85.88,0.5514,1.0
48,test,SU+PF,30083,-8056.9,54.16,0.7014,1.0
48,test,SU+Random,30083,-11980.4,37.33,0.7855,1.0
48,test,PPO,30083,4283.6,107.13,0.4337,3.315
48,test,SUS+CQI@0.75,30084,4764.5,91.31,0.4097,4.0
48,test,SUS+PF,30084,5.8,69.36,0.5431,4.0
48,test,SUS+Random,30084,-1410.4,62.78,0.5832,4.0
48,test,SU+CQI,30084,1952.6,81.85,0.4726,1.0
48,test,SU+PF,30084,-3322.4,56.35,0.6222,1.0
48,test,SU+Random,30084,-7422.0,38.44,0.7318,1.0
48,test,PPO,30084,5193.5,93.55,0.3906,2.951
48,test,SUS+CQI@0.75,30085,334.7,138.54,0.5189,4.0
48,test,SUS+PF,30085,-16538.1,63.42,0.7661,4.0
48,test,SUS+Random,30085,-15811.5,66.54,0.7572,4.0
48,test,SU+CQI,30085,-10541.2,98.46,0.6565,1.0
48,test,SU+PF,30085,-19815.7,54.62,0.7976,1.0
48,test,SU+Random,30085,-24026.3,36.5,0.8575,1.0
48,test,PPO,30085,665.7,139.86,0.5103,3.691
48,test,SUS+CQI@0.75,30086,-319.6,146.54,0.5286,4.0
48,test,SUS+PF,30086,-17935.0,66.01,0.7716,4.0
48,test,SUS+Random,30086,-17323.3,70.03,0.7621,4.0
48,test,SU+CQI,30086,-12831.1,100.66,0.6745,1.0
48,test,SU+PF,30086,-21974.4,54.9,0.8082,1.0
48,test,SU+Random,30086,-25786.9,38.7,0.857,1.0
48,test,PPO,30086,312.7,149.07,0.5162,3.781
48,test,SUS+CQI@0.75,30087,-5137.3,157.45,0.5752,4.0
48,test,SUS+PF,30087,-27255.7,60.68,0.8227,4.0
48,test,SUS+Random,30087,-25464.2,67.34,0.8055,4.0
48,test,SU+CQI,30087,-20517.2,100.9,0.7262,1.0
48,test,SU+PF,30087,-30425.0,53.44,0.8434,1.0
48,test,SU+Random,30087,-33657.9,38.9,0.8798,1.0
48,test,PPO,30087,-4586.6,159.18,0.5675,3.954
48,test,SUS+CQI@0.75,30088,1265.9,114.9,0.5069,4.0
48,test,SUS+PF,30088,-10391.6,60.44,0.7227,4.0
48,test,SUS+Random,30088,-12086.3,53.22,0.754,4.0
48,test,SU+CQI,30088,-7084.6,84.76,0.6353,1.0
48,test,SU+PF,30088,-13888.6,49.67,0.7688,1.0
48,test,SU+Random,30088,-17931.6,33.16,0.8385,1.0
48,test,PPO,30088,946.9,111.7,0.5067,3.904
48,test,SUS+CQI@0.75,30089,-1735.8,129.01,0.5482,4.0
48,test,SUS+PF,30089,-17361.2,57.76,0.7836,4.0
48,test,SUS+Random,30089,-17715.8,56.79,0.7869,4.0
48,test,SU+CQI,30089,-11977.0,91.43,0.6784,1.0
48,test,SU+PF,30089,-20330.1,49.77,0.8105,1.0
48,test,SU+Random,30089,-24297.6,33.76,0.8656,1.0
48,test,PPO,30089,-1798.0,127.88,0.5455,3.938
48,test,SUS+CQI@0.75,30090,6278.2,82.11,0.3395,3.992
48,test,SUS+PF,30090,3454.1,68.99,0.4405,3.999
48,test,SUS+Random,30090,1207.5,58.54,0.5182,4.0
48,test,SU+CQI,30090,3730.9,73.64,0.4101,1.0
48,test,SU+PF,30090,619.3,57.7,0.526,1.0
