K,phase,sched,seed,reward,goodput_mbps,deadline_miss_rate,mu_depth
8,pilot,SUS+CQI@0.60,40000,2124.7,16.83,0.0911,2.578
8,pilot,SUS+CQI@0.65,40000,2138.3,16.89,0.0877,2.508
8,pilot,SUS+CQI@0.70,40000,2144.8,16.91,0.0868,2.439
8,pilot,SUS+CQI@0.75,40000,2156.5,16.96,0.0843,2.331
8,pilot,SUS+CQI@0.80,40000,2165.5,17.02,0.0817,2.212
8,pilot,SUS+CQI@0.60,40001,1911.0,21.21,0.2689,2.546
8,pilot,SUS+CQI@0.65,40001,1913.5,21.21,0.2689,2.454
8,pilot,SUS+CQI@0.70,40001,1926.7,21.28,0.2667,2.337
8,pilot,SUS+CQI@0.75,40001,1926.7,21.28,0.2661,2.208
8,pilot,SUS+CQI@0.80,40001,1937.0,21.35,0.2645,2.044
8,pilot,SUS+CQI@0.60,40002,2492.5,20.58,0.1165,2.603
8,pilot,SUS+CQI@0.65,40002,2501.9,20.63,0.1145,2.558
8,pilot,SUS+CQI@0.70,40002,2502.5,20.64,0.1145,2.494
8,pilot,SUS+CQI@0.75,40002,2503.3,20.63,0.1145,2.425
8,pilot,SUS+CQI@0.80,40002,2506.5,20.66,0.1138,2.34
8,pilot,SUS+CQI@0.60,40003,2897.5,33.07,0.298,3.528
8,pilot,SUS+CQI@0.65,40003,2935.1,33.18,0.2953,3.456
8,pilot,SUS+CQI@0.70,40003,2991.4,33.46,0.2903,3.36
8,pilot,SUS+CQI@0.75,40003,3041.7,33.64,0.286,3.23
8,pilot,SUS+CQI@0.80,40003,3131.0,34.09,0.2776,3.023
8,pilot,SUS+CQI@0.60,40004,2240.0,37.03,0.385,3.568
8,pilot,SUS+CQI@0.65,40004,2245.4,37.05,0.385,3.498
8,pilot,SUS+CQI@0.70,40004,2274.0,37.14,0.3832,3.393
8,pilot,SUS+CQI@0.75,40004,2281.7,37.18,0.3826,3.253
8,pilot,SUS+CQI@0.80,40004,2321.0,37.34,0.38,3.035
8,pilot,SUS+CQI@0.60,40005,5109.8,46.36,0.1922,3.642
8,pilot,SUS+CQI@0.65,40005,5216.1,46.8,0.1839,3.578
8,pilot,SUS+CQI@0.70,40005,5296.8,47.12,0.1784,3.473
8,pilot,SUS+CQI@0.75,40005,5356.7,47.33,0.1745,3.329
8,pilot,SUS+CQI@0.80,40005,5423.4,47.7,0.1695,3.138
8,pilot,SUS+CQI@0.60,40006,4489.8,38.12,0.1533,3.558
8,pilot,SUS+CQI@0.65,40006,4495.1,38.11,0.1533,3.491
8,pilot,SUS+CQI@0.70,40006,4531.0,38.32,0.1502,3.401
8,pilot,SUS+CQI@0.75,40006,4621.8,38.66,0.1414,3.262
8,pilot,SUS+CQI@0.80,40006,4686.1,38.97,0.1355,3.061
8,pilot,SUS+CQI@0.60,40007,2097.3,19.87,0.1978,2.48
8,pilot,SUS+CQI@0.65,40007,2097.9,19.87,0.1978,2.454
8,pilot,SUS+CQI@0.70,40007,2101.1,19.88,0.1971,2.417
8,pilot,SUS+CQI@0.75,40007,2101.8,19.87,0.1971,2.34
8,pilot,SUS+CQI@0.80,40007,2103.1,19.9,0.1965,2.245
8,test,SUS+CQI@0.80,30000,3536.5,26.56,0.0078,2.102
8,test,SUS+PF,30000,3527.1,26.52,0.0089,2.108
8,test,SUS+Random,30000,3536.0,26.57,0.0078,2.184
8,test,SU+CQI,30000,3530.0,26.55,0.0084,1.0
8,test,SU+PF,30000,3525.5,26.53,0.0089,1.0
8,test,SU+Random,30000,3533.7,26.52,0.0089,1.0
8,test,PPO,30000,3539.9,26.58,0.0072,1.728
8,test,SUS+CQI@0.80,30001,5584.6,48.85,0.1453,3.074
8,test,SUS+PF,30001,5427.8,48.12,0.1568,3.102
8,test,SUS+Random,30001,5441.5,48.17,0.1565,3.191
8,test,SU+CQI,30001,5363.8,48.05,0.159,1.0
8,test,SU+PF,30001,5129.7,46.96,0.178,1.0
8,test,SU+Random,30001,4589.8,44.33,0.2212,1.0
8,test,PPO,30001,5648.9,49.21,0.1395,2.433
8,test,SUS+CQI@0.80,30002,3584.6,38.74,0.2711,3.047
8,test,SUS+PF,30002,3455.0,38.06,0.2829,3.061
8,test,SUS+Random,30002,3212.5,36.91,0.3024,3.153
8,test,SU+CQI,30002,3808.3,39.77,0.2546,1.0
8,test,SU+PF,30002,3665.0,39.08,0.2672,1.0
8,test,SU+Random,30002,2775.6,34.83,0.341,1.0
8,test,PPO,30002,4049.7,40.78,0.2326,2.059
8,test,SUS+CQI@0.80,30003,2333.1,19.5,0.1416,2.452
8,test,SUS+PF,30003,2327.4,19.47,0.143,2.458
8,test,SUS+Random,30003,2346.2,19.55,0.1388,2.55
8,test,SU+CQI,30003,2498.7,20.32,0.1093,1.0
8,test,SU+PF,30003,2475.2,20.13,0.1148,1.0
8,test,SU+Random,30003,2407.2,19.79,0.1285,1.0
8,test,PPO,30003,2490.1,20.21,0.11,1.545
8,test,SUS+CQI@0.80,30004,4455.9,40.97,0.1818,2.983
8,test,SUS+PF,30004,4435.0,40.91,0.1837,3.02
8,test,SUS+Random,30004,4433.1,40.84,0.1846,3.033
8,test,SU+CQI,30004,4222.8,40.08,0.1998,1.0
8,test,SU+PF,30004,3948.3,38.81,0.2219,1.0
8,test,SU+Random,30004,3890.3,38.32,0.2314,1.0
8,test,PPO,30004,4515.4,41.19,0.1758,2.231
8,test,SUS+CQI@0.80,30005,3517.8,29.76,0.141,2.982
8,test,SUS+PF,30005,3516.9,29.77,0.141,2.978
8,test,SUS+Random,30005,3473.3,29.61,0.1455,3.051
8,test,SU+CQI,30005,3578.7,30.09,0.1313,1.0
8,test,SU+PF,30005,3553.1,29.98,0.135,1.0
8,test,SU+Random,30005,3418.0,29.22,0.1552,1.0
8,test,PPO,30005,3670.3,30.51,0.118,1.859
8,test,SUS+CQI@0.80,30006,1942.2,29.34,0.3646,2.844
8,test,SUS+PF,30006,1927.6,29.27,0.3653,2.845
8,test,SUS+Random,30006,1922.1,29.22,0.3667,2.947
8,test,SU+CQI,30006,2038.2,29.64,0.3554,1.0
8,test,SU+PF,30006,1971.8,29.38,0.3622,1.0
8,test,SU+Random,30006,1797.4,28.43,0.381,1.0
8,test,PPO,30006,2096.0,29.84,0.3513,1.744
8,test,SUS+CQI@0.80,30007,2633.7,25.69,0.2257,2.525
8,test,SUS+PF,30007,2634.8,25.7,0.2253,2.524
8,test,SUS+Random,30007,2547.7,25.28,0.2376,2.593
8,test,SU+CQI,30007,2744.8,26.23,0.2111,1.0
