config,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
P065,SUS+CQI@0.60,30000,3652.2,132.13,128.24,0.5355,0.4612,4.0
P065,SUS+CQI@0.60,30001,2246.4,106.89,101.29,0.5181,0.4783,4.0
P065,SUS+CQI@0.60,30002,-7163.0,137.18,129.3,0.3907,0.6045,4.0
P065,SUS+CQI@0.60,30003,-4199.6,93.13,86.61,0.3973,0.598,4.0
P065,SUS+CQI@0.60,30004,1258.2,97.58,91.13,0.495,0.5016,4.0
P065,SUS+CQI@0.60,30005,331.7,124.18,116.85,0.4746,0.5211,4.0
P065,SUS+CQI@0.60,30006,-3449.7,130.65,122.48,0.4257,0.5705,4.0
P065,SUS+CQI@0.60,30007,4925.1,115.86,111.16,0.5721,0.4249,3.996
P065,SUS+CQI@0.65,30000,3748.3,132.51,128.62,0.5372,0.4595,4.0
P065,SUS+CQI@0.65,30001,2303.7,107.1,101.44,0.5192,0.4772,4.0
P065,SUS+CQI@0.65,30002,-6976.6,138.15,130.01,0.3922,0.603,4.0
P065,SUS+CQI@0.65,30003,-4214.7,93.21,86.38,0.3968,0.5987,4.0
P065,SUS+CQI@0.65,30004,1405.6,98.33,91.85,0.4976,0.4988,4.0
P065,SUS+CQI@0.65,30005,448.6,124.76,117.21,0.4764,0.5193,4.0
P065,SUS+CQI@0.65,30006,-3310.1,131.35,123.12,0.4275,0.5686,4.0
P065,SUS+CQI@0.65,30007,5023.6,116.12,111.39,0.5743,0.4227,3.996
P065,SUS+CQI@0.70,30000,3796.1,132.77,128.79,0.5378,0.4588,4.0
P065,SUS+CQI@0.70,30001,2274.4,106.99,101.36,0.5185,0.4778,3.995
P065,SUS+CQI@0.70,30002,-6948.4,138.58,129.81,0.3922,0.6029,4.0
P065,SUS+CQI@0.70,30003,-4260.6,93.31,86.18,0.3955,0.6,4.0
P065,SUS+CQI@0.70,30004,1510.7,99.0,92.18,0.4994,0.4971,3.998
P065,SUS+CQI@0.70,30005,425.9,124.85,117.09,0.4758,0.5199,4.0
P065,SUS+CQI@0.70,30006,-3028.4,132.51,124.21,0.4313,0.565,4.0
P065,SUS+CQI@0.70,30007,4968.5,116.06,111.06,0.5729,0.4244,3.99
P065,SUS+CQI@0.75,30000,3723.5,132.58,128.45,0.5365,0.4601,3.999
P065,SUS+CQI@0.75,30001,2211.3,106.4,100.7,0.5171,0.4793,3.989
P065,SUS+CQI@0.75,30002,-6865.1,139.11,129.89,0.3928,0.6025,4.0
P065,SUS+CQI@0.75,30003,-4370.5,92.96,85.6,0.3933,0.6022,4.0
P065,SUS+CQI@0.75,30004,1500.2,99.19,92.09,0.4988,0.4977,3.993
P065,SUS+CQI@0.75,30005,291.6,124.56,116.41,0.4732,0.5225,4.0
P065,SUS+CQI@0.75,30006,-2967.6,132.79,123.8,0.4314,0.5647,4.0
P065,SUS+CQI@0.75,30007,4966.5,115.9,111.12,0.5733,0.4241,3.977
P065,SUS+CQI@0.80,30000,3491.5,131.85,127.39,0.5323,0.4643,3.993
P065,SUS+CQI@0.80,30001,2063.3,105.9,100.04,0.5141,0.4821,3.966
P065,SUS+CQI@0.80,30002,-6902.3,139.21,129.72,0.392,0.6033,4.0
P065,SUS+CQI@0.80,30003,-4543.3,92.49,84.9,0.3895,0.6059,3.992
P065,SUS+CQI@0.80,30004,1383.4,98.79,91.53,0.4961,0.5004,3.978
P065,SUS+CQI@0.80,30005,250.8,124.56,116.03,0.4726,0.5233,3.998
P065,SUS+CQI@0.80,30006,-2911.9,133.33,123.86,0.4317,0.5646,4.0
P065,SUS+CQI@0.80,30007,4882.0,115.73,110.76,0.5711,0.4258,3.955
P065,SU+CQI,30000,-4918.2,97.28,95.33,0.3999,0.5964,1.0
P065,SU+CQI,30001,-2877.6,84.64,82.93,0.4233,0.5725,1.0
P065,SU+CQI,30002,-18334.8,90.36,88.23,0.2669,0.7273,1.0
P065,SU+CQI,30003,-8797.3,71.9,70.17,0.3213,0.6738,1.0
P065,SU+CQI,30004,-4263.8,73.6,70.61,0.3867,0.6093,1.0
P065,SU+CQI,30005,-7133.6,92.77,90.13,0.3662,0.6295,1.0
P065,SU+CQI,30006,-12936.4,90.23,87.66,0.3066,0.6894,1.0
P065,SU+CQI,30007,-2013.7,87.56,85.05,0.4389,0.5571,1.0
P065,PPO-HL,30000,4624.6,134.47,132.76,0.5543,0.4423,2.716
P065,PPO-HL,30001,3322.9,108.5,106.33,0.5443,0.4518,2.767
P065,PPO-HL,30002,-7202.0,135.01,127.16,0.3883,0.6063,3.929
P065,PPO-HL,30003,-3456.8,92.75,90.4,0.4157,0.5799,2.907
