K,sched,seed,reward,goodput_mbps,mu_depth,deadline_miss_rate,n_active
16,PPO-zs,10000,5108.9,49.8,2.587,0.2141,12
16,PPO-zs,10001,4999.4,48.74,2.547,0.2136,14
16,PPO-zs,10002,3148.2,34.47,2.099,0.2697,15
16,PPO-zs,10003,2267.6,39.78,2.075,0.3875,13
16,PPO-zs,10004,5236.1,59.11,2.634,0.2742,16
16,PPO-zs,10005,2326.1,19.6,1.742,0.1378,9
16,PPO-zs,10006,4175.9,31.3,2.244,0.0005,9
16,PPO-zs,10007,2109.5,29.39,1.814,0.3404,8
16,SUS+CQI,10000,4166.1,45.57,3.872,0.2808,12
16,SUS+CQI,10001,4384.4,46.19,3.803,0.2581,14
16,SUS+CQI,10002,2375.4,31.11,3.802,0.3434,15
16,SUS+CQI,10003,1414.2,36.18,3.954,0.4452,13
16,SUS+CQI,10004,4688.6,56.67,3.889,0.3061,16
16,SUS+CQI,10005,2253.3,19.24,2.712,0.1537,9
16,SUS+CQI,10006,4177.6,31.32,2.359,0.0005,9
16,SUS+CQI,10007,1896.2,28.69,3.42,0.3603,8
16,SU+CQI,10000,4684.1,48.15,1.0,0.2423,12
16,SU+CQI,10001,4653.3,47.54,1.0,0.2366,14
16,SU+CQI,10002,3166.5,34.65,1.0,0.2723,15
16,SU+CQI,10003,2257.1,39.64,1.0,0.3919,13
16,SU+CQI,10004,4448.3,56.28,1.0,0.3133,16
16,SU+CQI,10005,2359.4,19.81,1.0,0.1309,9
16,SU+CQI,10006,4182.3,31.34,1.0,0.0,9
16,SU+CQI,10007,2255.1,29.96,1.0,0.3305,8
24,PPO-zs,10000,4163.0,60.24,2.717,0.3528,18
24,PPO-zs,10001,7576.8,72.49,3.189,0.2046,20
24,PPO-zs,10002,4740.8,51.16,2.532,0.2628,22
24,PPO-zs,10003,8129.9,79.81,3.393,0.2212,20
24,PPO-zs,10004,5707.5,81.14,2.925,0.3428,24
24,PPO-zs,10005,3359.4,29.74,1.992,0.1689,14
24,PPO-zs,10006,3239.8,35.34,2.18,0.2688,14
24,PPO-zs,10007,3913.7,48.82,2.338,0.3089,13
24,SUS+CQI,10000,3053.3,55.24,3.982,0.4105,18
