K,sched,seed,reward,goodput_mbps,deadline_miss_rate,mu_depth
16,SUS+CQI@0.60,30000,2171.3,26.04,0.286,2.176
16,SUS+CQI@0.65,30000,2171.4,26.04,0.286,2.144
16,SUS+CQI@0.70,30000,2171.3,26.04,0.286,2.12
16,SUS+CQI@0.75,30000,2171.3,26.04,0.286,2.06
16,SUS+CQI@0.80,30000,2171.3,26.04,0.286,1.991
16,SU+CQI,30000,2172.7,26.04,0.286,1.0
16,PPO,30000,2171.8,26.04,0.286,1.727
16,SUS+CQI@0.60,30001,4221.0,46.32,0.2698,3.413
16,SUS+CQI@0.65,30001,4236.7,46.41,0.2683,3.361
16,SUS+CQI@0.70,30001,4269.2,46.53,0.2664,3.306
16,SUS+CQI@0.75,30001,4285.1,46.57,0.2659,3.225
16,SUS+CQI@0.80,30001,4320.9,46.74,0.2634,3.113
16,SU+CQI,30001,4350.6,47.09,0.2596,1.0
16,PPO,30001,4725.6,48.64,0.2359,2.488
16,SUS+CQI@0.60,30002,3300.4,62.87,0.4056,3.924
16,SUS+CQI@0.65,30002,3331.4,62.97,0.4044,3.911
16,SUS+CQI@0.70,30002,3370.7,63.14,0.4029,3.897
16,SUS+CQI@0.75,30002,3411.2,63.31,0.4013,3.864
16,SUS+CQI@0.80,30002,3450.6,63.43,0.3999,3.811
16,SU+CQI,30002,2828.9,61.58,0.4188,1.0
16,PPO,30002,4009.8,66.09,0.3741,2.546
16,SUS+CQI@0.60,30003,885.8,17.04,0.3901,2.11
16,SUS+CQI@0.65,30003,885.8,17.04,0.3901,2.082
16,SUS+CQI@0.70,30003,885.8,17.04,0.3901,2.048
16,SUS+CQI@0.75,30003,888.7,17.05,0.3896,2.01
16,SUS+CQI@0.80,30003,888.7,17.05,0.389,1.964
16,SU+CQI,30003,876.3,17.02,0.3896,1.0
16,PPO,30003,883.4,17.05,0.3885,1.553
16,SUS+CQI@0.60,30004,3262.9,39.33,0.3078,3.547
16,SUS+CQI@0.65,30004,3310.8,39.47,0.3042,3.48
16,SUS+CQI@0.70,30004,3350.4,39.67,0.3014,3.372
16,SUS+CQI@0.75,30004,3418.3,39.98,0.2964,3.235
16,SUS+CQI@0.80,30004,3512.5,40.34,0.2897,3.025
16,SU+CQI,30004,3567.5,40.92,0.2822,1.0
16,PPO,30004,3829.6,41.78,0.2646,2.051
16,SUS+CQI@0.60,30005,2739.8,35.47,0.3319,3.539
16,SUS+CQI@0.65,30005,2769.0,35.59,0.3295,3.484
16,SUS+CQI@0.70,30005,2802.1,35.73,0.3268,3.421
16,SUS+CQI@0.75,30005,2845.7,35.9,0.3238,3.319
16,SUS+CQI@0.80,30005,2903.9,36.17,0.3181,3.178
16,SU+CQI,30005,3075.3,37.07,0.3012,1.0
