age,speed_bin,mean_align,align_db,mean_cqi_bias_bps
0,all(5-40),0.86586,-0.626,0.0
0,5-15,0.87508,-0.579,0.0
0,15-30,0.86715,-0.619,0.0
0,30-40,0.85614,-0.675,0.0
1,all(5-40),0.85665,-0.672,0.0083
1,5-15,0.87349,-0.587,0.0021
1,15-30,0.85937,-0.658,0.0059
1,30-40,0.8382,-0.767,0.0181
2,all(5-40),0.83157,-0.801,0.0325
2,5-15,0.86879,-0.611,0.0085
2,15-30,0.83778,-0.769,0.023
2,30-40,0.79037,-1.022,0.0705
3,all(5-40),0.79618,-0.99,0.0705
3,5-15,0.86139,-0.648,0.0192
3,15-30,0.80613,-0.936,0.0502
3,30-40,0.7259,-1.391,0.1518
4,all(5-40),0.75645,-1.212,0.1189
4,5-15,0.85179,-0.697,0.0337
4,15-30,0.76868,-1.143,0.0856
4,30-40,0.65854,-1.814,0.2529
5,all(5-40),0.71729,-1.443,0.1728
5,5-15,0.84051,-0.755,0.0515
5,15-30,0.72925,-1.371,0.1267
5,30-40,0.59877,-2.227,0.361
