policy,seed,reward,goodput_mbps,deadline_miss_rate,mu_depth
GenieFT@329,10000,3017.1,85.85,0.4459,3.148
GenieFT@329,10001,6393.0,95.18,0.3578,3.749
GenieFT@329,10002,6629.8,76.57,0.29,3.773
GenieFT@329,10003,2870.5,88.64,0.4587,3.923
GenieFT@329,10004,5955.3,116.18,0.4111,3.982
GenieFT@329,10005,4571.4,41.24,0.1753,3.228
GenieFT@329,10006,3372.5,48.04,0.3537,3.253
GenieFT@329,10007,6495.5,78.17,0.3037,3.604
GenieFT@329,10008,2667.4,65.9,0.4387,3.658
GenieFT@329,10009,6219.1,111.57,0.3998,3.917
GenieFT@329,10010,909.0,56.19,0.4941,3.226
GenieFT@329,10011,8106.9,113.47,0.3409,3.592
GenieFT@329,10012,3766.4,77.15,0.4052,2.746
GenieFT@329,10013,5822.6,57.26,0.2203,3.492
GenieFT@329,10014,6639.6,101.09,0.3613,3.522
GenieFT@329,10015,5188.7,52.7,0.2323,3.318
GenieFT@329,10016,7870.7,93.76,0.3023,3.826
GenieFT@329,10017,5299.9,78.08,0.3657,3.79
GenieFT@329,10018,2619.8,96.0,0.468,3.74
GenieFT@329,10019,6464.2,86.5,0.3326,3.733
GenieFresh@409,10000,2619.4,84.55,0.4548,3.968
GenieFresh@409,10001,6042.9,93.1,0.3685,4.0
GenieFresh@409,10002,6382.0,74.99,0.2993,3.998
GenieFresh@409,10003,2727.2,87.17,0.4636,4.0
GenieFresh@409,10004,4136.2,106.74,0.4532,4.0
GenieFresh@409,10005,4083.5,39.04,0.2178,3.922
GenieFresh@409,10006,2817.4,45.71,0.3833,3.996
GenieFresh@409,10007,6128.3,76.23,0.3181,4.0
GenieFresh@409,10008,2350.6,64.36,0.4484,3.983
GenieFresh@409,10009,4775.9,104.06,0.435,4.0
GenieFresh@409,10010,-13.1,52.09,0.5283,4.0
GenieFresh@409,10011,7833.5,111.86,0.3492,4.0
GenieFresh@409,10012,3715.9,76.9,0.4068,3.978
GenieFresh@409,10013,5283.4,54.77,0.2515,3.992
GenieFresh@409,10014,6381.0,99.82,0.3673,4.0
GenieFresh@409,10015,4665.1,50.38,0.2642,3.947
GenieFresh@409,10016,7682.1,92.58,0.3073,4.0
GenieFresh@409,10017,5266.5,77.49,0.3657,4.0
GenieFresh@409,10018,1853.3,91.5,0.4878,4.0
GenieFresh@409,10019,5967.4,83.64,0.3502,4.0
