threshold,seed,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
0.5,10000,7296.2229,71.7609,0.7858,0.1772,0.0346,3.9999,0.5988
0.6,10000,7150.9688,70.9564,0.7843,0.1877,0.0256,3.9994,0.6017
0.7,10000,7249.9543,71.4482,0.7893,0.1895,0.0199,3.9978,0.6042
0.8,10000,7065.2823,70.4823,0.7819,0.2047,0.0117,3.9749,0.5979
0.9,10000,7034.8404,69.8894,0.786,0.2083,0.0043,3.6526,0.5914
0.5,10001,10753.3354,91.7195,0.873,0.1008,0.0241,3.9956,0.7664
0.6,10001,10578.2272,90.3895,0.8722,0.1,0.026,3.995,0.7699
0.7,10001,10576.3087,90.6099,0.8703,0.1085,0.0195,3.9888,0.7723
0.8,10001,10655.6032,91.1685,0.8743,0.1102,0.0139,3.9478,0.7669
0.9,10001,10224.3705,89.0569,0.8628,0.1289,0.0059,3.6737,0.7601
0.5,10002,11628.3591,99.0064,0.8759,0.1028,0.0191,3.9995,0.7787
0.6,10002,11759.4056,99.5747,0.8813,0.1028,0.0142,3.9986,0.7807
0.7,10002,11843.1566,100.1089,0.884,0.1052,0.0094,3.9947,0.7833
0.8,10002,11653.891,99.0929,0.8802,0.1095,0.0082,3.968,0.7814
0.9,10002,11198.8046,96.6813,0.8685,0.1272,0.0025,3.7405,0.7712
0.5,10003,9514.7107,84.9453,0.8436,0.1416,0.0126,3.9981,0.7167
0.6,10003,9367.8902,84.1927,0.8388,0.1484,0.011,3.9988,0.7176
0.7,10003,9517.2827,84.9134,0.8446,0.1453,0.0088,3.9958,0.7214
0.8,10003,9377.4636,84.345,0.8402,0.1536,0.0038,3.97,0.7136
0.9,10003,8561.3522,80.4676,0.8139,0.1821,0.0014,3.7228,0.7014
0.5,10004,14052.336,115.1636,0.9041,0.0844,0.0097,3.9975,0.7941
0.6,10004,14030.4063,115.7085,0.9014,0.09,0.0071,3.9976,0.7967
0.7,10004,14157.8694,116.3442,0.904,0.0898,0.0044,3.9909,0.8003
0.8,10004,13943.7691,115.8611,0.8971,0.0972,0.0045,3.9627,0.797
0.9,10004,13187.4805,112.4621,0.8801,0.1157,0.0022,3.7037,0.7741
0.5,10005,8666.8722,71.8138,0.9015,0.0818,0.0161,3.9278,0.793
0.6,10005,8746.5846,71.5739,0.9094,0.0773,0.012,3.9195,0.8015
0.7,10005,8905.8835,73.7606,0.904,0.0879,0.0067,3.8745,0.7915
0.8,10005,8874.3717,73.3607,0.9046,0.0929,0.0008,3.7939,0.7993
0.9,10005,8985.9607,74.9543,0.9011,0.0975,0.0,3.2493,0.7839
0.5,10006,6524.0133,60.2415,0.8189,0.1341,0.0444,3.9888,0.6873
0.6,10006,6494.4007,60.2373,0.8186,0.1418,0.0374,3.9778,0.6917
