seed,n_active,mean_speed,sched,reward,throughput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,total_fail_rate,mu_depth,jain
10010,16,18.7,PPO-L2b,5561.3,52.42,16.06,0.8197,0.1783,0.0,0.1783,1.31,0.6077
10010,16,18.7,SUS+CQI,4174.9,43.16,6.46,0.7577,0.1903,0.0496,0.2399,3.988,0.6333
10010,16,18.7,SUS+Deadline-PF,3838.4,41.31,6.37,0.7346,0.2105,0.0524,0.263,3.992,0.6012
10010,16,18.7,SUS+PF,3780.4,41.26,6.44,0.731,0.2158,0.0504,0.2662,3.994,0.6065
10010,16,18.7,SUS+Random,3348.0,38.64,6.33,0.7062,0.2383,0.0527,0.291,3.992,0.5951
10010,16,18.7,SU+CQI,5917.7,55.77,18.0,0.8225,0.1763,0.0,0.1763,1.0,0.6014
10010,16,18.7,SU+Deadline-PF,5131.8,50.75,18.12,0.7967,0.202,0.0,0.202,1.0,0.5891
10010,16,18.7,SU+PF,4963.2,51.05,18.0,0.7792,0.2187,0.0,0.2187,1.0,0.5941
10010,16,18.7,SU+Random,2636.8,35.39,16.42,0.67,0.3265,0.0,0.3265,1.0,0.6247
10011,22,18.1,PPO-L2b,10284.9,86.14,19.38,0.8946,0.1044,0.0,0.1044,1.663,0.7333
10011,22,18.1,SUS+CQI,9193.5,78.23,11.45,0.8754,0.0822,0.0406,0.1228,3.979,0.7776
10011,22,18.1,SUS+Deadline-PF,8911.7,76.75,11.59,0.8619,0.0863,0.0488,0.1351,3.984,0.7641
10011,22,18.1,SUS+PF,8769.3,76.01,11.47,0.861,0.087,0.0503,0.1373,3.977,0.7691
10011,22,18.1,SUS+Random,7981.0,70.61,11.3,0.8424,0.1001,0.0552,0.1552,3.984,0.7637
10011,22,18.1,SU+CQI,9510.3,84.85,23.68,0.8551,0.1441,0.0,0.1441,1.0,0.6601
10011,22,18.1,SU+Deadline-PF,8197.1,71.65,23.33,0.864,0.1342,0.0,0.1342,1.0,0.7272
10011,22,18.1,SU+PF,7795.6,73.9,23.36,0.8204,0.1781,0.0,0.1781,1.0,0.7211
10011,22,18.1,SU+Random,5235.3,56.52,21.68,0.7487,0.2481,0.0,0.2481,1.0,0.7796
10012,17,18.9,PPO-L2b,6799.4,62.73,18.63,0.8337,0.1657,0.0,0.1657,1.106,0.6015
10012,17,18.9,SUS+CQI,4990.6,49.65,7.76,0.7851,0.1762,0.0371,0.2133,3.992,0.6124
10012,17,18.9,SUS+Deadline-PF,4812.4,48.35,7.67,0.7798,0.1823,0.0364,0.2187,3.993,0.6062
10012,17,18.9,SUS+PF,4933.6,49.33,7.76,0.7833,0.1746,0.0403,0.2148,3.991,0.6091
10012,17,18.9,SUS+Random,4190.0,43.83,7.37,0.7578,0.2058,0.0347,0.2405,3.994,0.6049
10012,17,18.9,SU+CQI,6995.1,64.45,19.41,0.8361,0.1625,0.0,0.1625,1.0,0.6073
10012,17,18.9,SU+Deadline-PF,5789.5,55.46,19.1,0.811,0.1873,0.0,0.1873,1.0,0.5982
10012,17,18.9,SU+PF,5891.1,57.39,19.23,0.8043,0.1948,0.0,0.1948,1.0,0.5981
10012,17,18.9,SU+Random,3474.9,40.34,17.58,0.7196,0.2782,0.0,0.2782,1.0,0.6163
10013,29,17.6,PPO-L2b,11914.5,102.64,17.56,0.8745,0.1246,0.0,0.1246,2.226,0.7036
