seed,sched,reward,throughput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
10000,PPO,8534.3855,79.1072,20.9181,0.8251,0.1737,0.0,1.8632,0.593
10000,SUS+CQI,7296.2229,71.7609,13.3445,0.7858,0.1772,0.0346,3.9999,0.5988
10000,SUS+DPF,6332.2295,66.3858,13.4454,0.7555,0.2043,0.0383,4.0,0.5718
10000,SUS+PF,6447.0905,67.8588,13.4855,0.7566,0.1945,0.0473,3.9999,0.5724
10000,SUS+Rnd,4787.0925,56.1591,12.5408,0.7042,0.2459,0.0467,3.9998,0.582
10000,SU+CQI,8307.7309,79.9555,25.3734,0.8076,0.1913,0.0,1.0,0.5716
10000,SU+DPF,6211.6082,64.9517,25.1188,0.7628,0.2345,0.0,1.0,0.5706
10000,SU+PF,6168.4353,67.8418,25.2313,0.7457,0.2518,0.0,1.0,0.566
10000,SU+Rnd,2832.1009,45.4728,23.0363,0.6226,0.374,0.0,1.0,0.6062
10001,PPO,11370.1752,95.5634,11.6069,0.8903,0.108,0.0,2.8756,0.758
10001,SUS+CQI,10753.3354,91.7195,8.1967,0.873,0.1008,0.0241,3.9956,0.7664
10001,SUS+DPF,8764.0326,79.0269,8.0383,0.8274,0.1236,0.0478,3.9991,0.7464
10001,SUS+PF,8799.7888,80.9259,8.1367,0.819,0.1292,0.0494,3.9972,0.7481
10001,SUS+Rnd,7746.0154,73.7365,7.4749,0.7943,0.1537,0.0498,3.9991,0.7607
10001,SU+CQI,8719.3348,85.5073,19.5237,0.7968,0.2021,0.0,1.0,0.5624
10001,SU+DPF,7267.2949,67.0739,18.2088,0.819,0.1779,0.0,1.0,0.7543
10001,SU+PF,6226.943,70.3209,18.4572,0.7337,0.2643,0.0,1.0,0.7374
10001,SU+Rnd,3818.991,54.5093,16.4927,0.6474,0.349,0.0,1.0,0.7938
10002,PPO,12647.8114,105.5148,11.3245,0.8962,0.1016,0.0001,3.2906,0.7717
10002,SUS+CQI,11628.3591,99.0064,8.9987,0.8759,0.1028,0.0191,3.9995,0.7787
10002,SUS+DPF,9356.2454,83.682,9.0042,0.8268,0.1276,0.0424,3.9995,0.7432
10002,SUS+PF,9114.723,86.0184,9.09,0.8048,0.1526,0.0405,4.0,0.7405
10002,SUS+Rnd,7685.9506,74.9119,7.9617,0.7784,0.1728,0.0465,4.0,0.7751
10002,SU+CQI,8384.8821,88.396,20.645,0.7634,0.2351,0.0,1.0,0.5169
10002,SU+DPF,7299.3988,68.2549,19.1141,0.8055,0.1905,0.0,1.0,0.7519
10002,SU+PF,5950.9361,71.5495,19.4657,0.7089,0.2881,0.0,1.0,0.7322
10002,SU+Rnd,3425.8107,56.0684,17.1646,0.6136,0.3836,0.0,1.0,0.795
10003,PPO,10244.4717,88.955,13.7503,0.865,0.1331,0.0,2.8795,0.7011
10003,SUS+CQI,9514.7107,84.9453,10.5414,0.8436,0.1416,0.0126,3.9981,0.7167
10003,SUS+DPF,7764.2622,74.4127,10.5043,0.7906,0.1774,0.0293,3.9997,0.6847
10003,SUS+PF,7851.1152,76.9658,10.5282,0.7883,0.1768,0.0318,3.9999,0.6881
10003,SUS+Rnd,5881.097,63.6613,9.6117,0.7274,0.2376,0.0323,4.0,0.7048
10003,SU+CQI,8168.6023,82.9651,22.195,0.7806,0.2177,0.0,1.0,0.5449
10003,SU+DPF,6401.8573,64.5721,21.4799,0.7722,0.2247,0.0,1.0,0.6801
10003,SU+PF,5537.1965,67.7108,21.8155,0.7047,0.294,0.0,1.0,0.6594
10003,SU+Rnd,2899.6713,50.4179,19.4471,0.5998,0.3956,0.0,1.0,0.7407
10004,PPO,14365.5707,117.2924,15.6333,0.9105,0.0873,0.0004,3.4537,0.7869
10004,SUS+CQI,14052.336,115.1636,13.9594,0.9041,0.0844,0.0097,3.9975,0.7941
10004,SUS+DPF,13132.9649,109.5542,14.0469,0.8849,0.0963,0.0173,3.9976,0.7825
10004,SUS+PF,13225.7579,111.6037,14.0601,0.8829,0.0971,0.0189,3.9984,0.791
10004,SUS+Rnd,10131.8227,90.9164,13.1352,0.8258,0.1494,0.0224,3.9998,0.7953
10004,SU+CQI,9707.7624,98.3342,26.2149,0.7812,0.217,0.0,1.0,0.5416
10004,SU+DPF,8574.3765,78.7255,24.9034,0.819,0.1783,0.0,1.0,0.7545
10004,SU+PF,7205.9821,82.9703,25.2989,0.726,0.2713,0.0,1.0,0.7285
10004,SU+Rnd,4486.1888,63.9517,23.1928,0.647,0.349,0.0,1.0,0.8223
10005,PPO,9634.2646,79.0185,23.0989,0.9101,0.0888,0.0,1.9234,0.7718
10005,SUS+CQI,8666.8722,71.8138,16.0439,0.9015,0.0818,0.0161,3.9278,0.793
10005,SUS+DPF,8608.517,71.2699,15.8576,0.9009,0.081,0.017,3.9452,0.796
10005,SUS+PF,8581.6973,71.3433,15.8899,0.897,0.0843,0.017,3.9317,0.788
10005,SUS+Rnd,7939.0421,67.3819,15.7277,0.8783,0.1023,0.0176,3.9469,0.7821
10005,SU+CQI,9438.7439,79.5558,27.7338,0.8919,0.107,0.0,1.0,0.7233
10005,SU+DPF,8711.9663,73.0166,28.016,0.8963,0.1021,0.0,1.0,0.732
