seed,sched,reward,throughput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
10000,PPO,8534.3855,79.1072,20.9181,0.8251,0.1737,0.0,1.8632,0.593
10000,SU+CQI,8307.7309,79.9555,25.3734,0.8076,0.1913,0.0,1.0,0.5716
10000,SU+DPF,6211.6082,64.9517,25.1188,0.7628,0.2345,0.0,1.0,0.5706
10000,SU+PF,6168.4353,67.8418,25.2313,0.7457,0.2518,0.0,1.0,0.566
10000,SU+Rnd,2832.1009,45.4728,23.0363,0.6226,0.374,0.0,1.0,0.6062
10000,SUS+CQI,7249.9543,71.4482,13.5014,0.7893,0.1895,0.0199,3.9978,0.6042
10000,SUS+DPF,6545.5898,67.3259,13.6569,0.765,0.2053,0.0285,3.9991,0.5755
10000,SUS+PF,6684.0152,68.7302,13.5858,0.7674,0.1978,0.0322,3.999,0.577
10000,SUS+Rnd,4913.5696,56.7944,12.7356,0.7111,0.2542,0.0319,3.9999,0.5794
10001,PPO,11370.1752,95.5634,11.6069,0.8903,0.108,0.0,2.8756,0.758
10001,SU+CQI,8719.3348,85.5073,19.5237,0.7968,0.2021,0.0,1.0,0.5624
10001,SU+DPF,7267.2949,67.0739,18.2088,0.819,0.1779,0.0,1.0,0.7543
10001,SU+PF,6226.943,70.3209,18.4572,0.7337,0.2643,0.0,1.0,0.7374
10001,SU+Rnd,3818.991,54.5093,16.4927,0.6474,0.349,0.0,1.0,0.7938
10001,SUS+CQI,10576.3087,90.6099,8.2837,0.8703,0.1085,0.0195,3.9888,0.7723
10001,SUS+DPF,9593.2873,84.5123,8.2992,0.8472,0.1141,0.0365,3.9934,0.7527
10001,SUS+PF,9404.0891,84.7657,8.2272,0.8356,0.1232,0.039,3.9923,0.7573
10001,SUS+Rnd,8069.762,75.7331,7.7029,0.8044,0.1516,0.0409,3.9978,0.7568
10002,PPO,12647.8114,105.5148,11.3245,0.8962,0.1016,0.0001,3.2906,0.7717
10002,SU+CQI,8384.8821,88.396,20.645,0.7634,0.2351,0.0,1.0,0.5169
10002,SU+DPF,7299.3988,68.2549,19.1141,0.8055,0.1905,0.0,1.0,0.7519
10002,SU+PF,5950.9361,71.5495,19.4657,0.7089,0.2881,0.0,1.0,0.7322
10002,SU+Rnd,3425.8107,56.0684,17.1646,0.6136,0.3836,0.0,1.0,0.795
10002,SUS+CQI,11843.1566,100.1089,9.1613,0.884,0.1052,0.0094,3.9947,0.7833
10002,SUS+DPF,10285.6288,90.0763,9.1387,0.849,0.1212,0.0275,3.9971,0.7546
10002,SUS+PF,10158.8324,91.3238,9.0514,0.8377,0.1329,0.027,3.9967,0.7637
10002,SUS+Rnd,8095.5678,77.7885,8.3276,0.7893,0.1839,0.0247,3.9986,0.7682
10003,PPO,10244.4717,88.955,13.7503,0.865,0.1331,0.0,2.8795,0.7011
10003,SU+CQI,8168.6023,82.9651,22.195,0.7806,0.2177,0.0,1.0,0.5449
10003,SU+DPF,6401.8573,64.5721,21.4799,0.7722,0.2247,0.0,1.0,0.6801
10003,SU+PF,5537.1965,67.7108,21.8155,0.7047,0.294,0.0,1.0,0.6594
10003,SU+Rnd,2899.6713,50.4179,19.4471,0.5998,0.3956,0.0,1.0,0.7407
10003,SUS+CQI,9517.2827,84.9134,10.5996,0.8446,0.1453,0.0088,3.9958,0.7214
