seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
10000,Fresh(interim),3859.143,92.4609,88.6655,13.6481,0.5705,0.4268,0.0,3.993,0.6217
10000,PPO,4464.7875,93.7819,91.4827,14.9117,0.5884,0.409,0.0,3.1846,0.6233
10000,SU+CQI,2223.857,85.0079,83.2006,25.5515,0.5329,0.4639,0.0,1.0,0.5604
10000,SU+DPF,-2246.8616,67.8292,62.9372,25.4022,0.4054,0.5891,0.0,1.0,0.5675
10000,SU+PF,-2176.3891,70.3898,63.6563,25.4157,0.4128,0.5827,0.0,1.0,0.5611
10000,SU+Rnd,-7064.431,51.5363,43.2713,23.6792,0.2864,0.7076,0.0,1.0,0.59
10000,SUS+CQI,3868.9039,93.2408,88.3477,13.3891,0.5686,0.4286,0.0,4.0,0.6321
10000,SUS+DPF,2430.4254,88.1846,82.5473,13.5287,0.5292,0.4678,0.0,3.9991,0.6129
10000,SUS+PF,2513.2581,88.7896,82.9455,13.4816,0.5323,0.4646,0.0,3.9985,0.6132
10000,SUS+Rnd,1936.8786,85.972,80.4224,13.8387,0.5168,0.4793,0.0,3.9657,0.5941
10001,Fresh(interim),10018.2727,112.3966,109.0129,8.0631,0.7325,0.2651,0.0,4.0,0.7991
10001,PPO,9983.3169,112.4597,109.4914,8.3383,0.7336,0.2643,0.0,3.7021,0.7927
10001,SU+CQI,2782.1935,83.9442,81.9697,19.0667,0.5484,0.4483,0.0,1.0,0.5994
10001,SU+DPF,-1077.1461,69.5971,61.2252,18.2859,0.4145,0.579,0.0,1.0,0.7531
10001,SU+PF,-1678.1674,72.0613,59.5224,18.467,0.4096,0.5853,0.0,1.0,0.7425
10001,SU+Rnd,-5544.7342,58.7142,43.23,16.7647,0.3021,0.6917,0.0,1.0,0.7764
10001,SUS+CQI,9634.7303,112.6132,107.4136,7.857,0.7202,0.2776,0.0,3.9991,0.8041
10001,SUS+DPF,8010.1639,107.968,99.5112,7.9952,0.6699,0.3275,0.0,4.0,0.8097
10001,SUS+PF,7958.1935,108.1861,99.6689,7.959,0.67,0.3275,0.0,4.0,0.8091
10001,SUS+Rnd,6269.7354,102.2556,92.007,8.0083,0.6199,0.3766,0.0,4.0,0.777
10002,Fresh(interim),9427.0623,90.2275,87.6042,7.2801,0.8095,0.1892,0.0,3.9984,0.8592
10002,PPO,9600.7003,90.6909,88.7117,7.742,0.8183,0.1807,0.0,3.6778,0.8583
10002,SU+CQI,4832.8423,72.366,70.1593,18.2618,0.6474,0.3506,0.0,1.0,0.7173
10002,SU+DPF,2851.0536,66.3447,59.1504,18.2398,0.552,0.445,0.0,1.0,0.7901
10002,SU+PF,2497.9202,66.9975,58.4995,18.2057,0.5473,0.4499,0.0,1.0,0.7886
10002,SU+Rnd,-1148.234,55.5342,41.4098,16.9717,0.4,0.5952,0.0,1.0,0.814
10002,SUS+CQI,9297.8097,90.4323,87.1896,7.1212,0.8038,0.1951,0.0,3.9899,0.8644
10002,SUS+DPF,8435.9682,88.1025,82.862,7.1643,0.7669,0.2317,0.0,3.9982,0.8695
10002,SUS+PF,8384.03,88.0173,82.8315,7.1451,0.7663,0.2324,0.0,3.9973,0.8687
10002,SUS+Rnd,6912.8005,83.5357,75.7257,7.258,0.705,0.2931,0.0,3.9994,0.851
10003,Fresh(interim),7822.6218,111.6287,108.1346,10.6586,0.6545,0.342,0.0,4.0,0.7108
10003,PPO,7904.4593,112.3025,108.8864,10.7177,0.6589,0.3387,0.0,3.7492,0.7152
10003,SU+CQI,477.7858,83.3845,80.756,22.1165,0.4865,0.5097,0.0,1.0,0.5446
10003,SU+DPF,-4271.0121,66.543,57.0458,21.4676,0.3464,0.6474,0.0,1.0,0.6794
10003,SU+PF,-4481.1716,68.9703,57.0874,21.6813,0.3523,0.6424,0.0,1.0,0.666
10003,SU+Rnd,-8732.0852,54.7937,38.6267,19.9532,0.2439,0.75,0.0,1.0,0.7112
10003,SUS+CQI,7600.6573,112.7628,107.1351,10.4922,0.6478,0.3498,0.0,4.0,0.7306
10003,SUS+DPF,4047.8057,102.2356,90.3173,10.6196,0.55,0.4465,0.0,4.0,0.7431
10003,SUS+PF,4204.9485,103.1781,91.6082,10.5747,0.5576,0.439,0.0,4.0,0.7436
10003,SUS+Rnd,1821.1624,95.18,80.8069,10.6157,0.4949,0.5006,0.0,4.0,0.7034
10004,Fresh(interim),12138.0283,145.1117,140.0912,14.1979,0.705,0.291,0.0,4.0,0.7669
10004,PPO,12759.8738,148.1555,143.5944,14.27,0.7208,0.2766,0.0,3.9605,0.7798
10004,SU+CQI,558.2537,99.7722,97.3054,26.1403,0.4882,0.5078,0.0,1.0,0.5298
10004,SU+DPF,-4267.8052,82.0872,70.9028,25.0256,0.3616,0.6318,0.0,1.0,0.751
10004,SU+PF,-4762.944,85.0001,70.0141,25.4043,0.3636,0.6308,0.0,1.0,0.7321
10004,SU+Rnd,-9649.0068,68.6739,50.005,23.5052,0.2629,0.731,0.0,1.0,0.8022
10004,SUS+CQI,12465.6824,148.7803,141.9085,14.193,0.7117,0.2856,0.0,3.9973,0.7957
10004,SUS+DPF,9816.5042,141.1577,127.6566,14.2686,0.6461,0.3506,0.0,4.0,0.837
10004,SUS+PF,9771.7478,142.034,128.4339,14.2338,0.6493,0.3476,0.0,4.0,0.8378
10004,SUS+Rnd,6024.7266,130.2723,110.9877,14.2503,0.5658,0.4294,0.0,4.0,0.7896
10005,Fresh(interim),5028.5674,45.2207,42.8685,12.8596,0.8535,0.1443,0.0,3.8011,0.9277
10005,PPO,5243.4087,45.4214,44.0221,15.1864,0.8757,0.1221,0.0,3.1144,0.9203
10005,SU+CQI,4846.9241,43.9728,42.5327,23.9395,0.845,0.1531,0.0,1.0,0.895
10005,SU+DPF,4489.5833,43.1564,40.74,23.9348,0.8114,0.1861,0.0,1.0,0.9015
10005,SU+PF,4468.3167,43.0567,40.755,23.9458,0.8114,0.1861,0.0,1.0,0.9007
10005,SU+Rnd,3768.033,41.137,37.2054,23.888,0.7441,0.2514,0.0,1.0,0.8941
10005,SUS+CQI,5053.3591,45.3392,42.9736,12.956,0.8554,0.1424,0.0,3.7398,0.9289
10005,SUS+DPF,4974.8841,45.1424,42.6018,12.9151,0.8484,0.1493,0.0,3.7492,0.9306
10005,SUS+PF,4980.0173,45.1454,42.6309,12.9191,0.8491,0.1487,0.0,3.7489,0.9307
10005,SUS+Rnd,4921.9818,44.9164,42.3867,12.8957,0.844,0.1535,0.0,3.7743,0.9282
10006,Fresh(interim),4107.6902,54.1483,50.4734,5.9325,0.6798,0.3183,0.0,3.9965,0.7753
10006,PPO,4497.7204,55.08,52.4739,7.4317,0.7037,0.2948,0.0,3.3131,0.7764
10006,SU+CQI,3742.8177,52.2862,49.7088,17.2703,0.6647,0.3334,0.0,1.0,0.7418
10006,SU+DPF,2829.4339,49.8295,45.5834,17.2327,0.6101,0.388,0.0,1.0,0.7229
10006,SU+PF,2842.5919,49.8172,45.7954,17.247,0.6129,0.3852,0.0,1.0,0.7224
10006,SU+Rnd,865.1139,42.8773,36.7113,16.6171,0.4982,0.4978,0.0,1.0,0.7092
10006,SUS+CQI,4096.7792,54.6861,50.3337,5.8905,0.6764,0.3217,0.0,3.9807,0.7835
10006,SUS+DPF,3459.5828,52.7773,47.6943,5.8764,0.6404,0.3577,0.0,3.9907,0.7701
10006,SUS+PF,3451.6949,52.7899,47.679,5.8787,0.6404,0.3577,0.0,3.9908,0.7703
10006,SUS+Rnd,3069.1353,51.3805,46.1395,6.0917,0.6199,0.3782,0.0,3.9928,0.7476
10007,Fresh(interim),8920.4457,90.7056,87.779,7.2059,0.7798,0.2181,0.0,3.9899,0.8267
10007,PPO,9078.5289,90.9707,88.7013,8.0405,0.7873,0.211,0.0,3.521,0.8284
10007,SU+CQI,4598.248,73.3999,71.1815,18.4495,0.6318,0.3654,0.0,1.0,0.7081
10007,SU+DPF,2493.4796,66.3066,59.9773,18.3761,0.538,0.4575,0.0,1.0,0.7866
10007,SU+PF,2388.6153,67.4345,60.0824,18.3665,0.5419,0.4545,0.0,1.0,0.7812
10007,SU+Rnd,-1206.5522,54.9782,44.1648,17.0532,0.4057,0.5888,0.0,1.0,0.8034
10007,SUS+CQI,8779.2685,90.756,87.1277,7.2673,0.7731,0.2252,0.0,3.9557,0.8338
10007,SUS+DPF,8259.6076,89.4982,84.3262,7.3347,0.7497,0.2482,0.0,3.9828,0.8486
