seed,n_active,imp_reward,imp_thr,imp_sinr,imp_comp,imp_depth,perf_reward,perf_thr,perf_sinr,perf_comp,perf_depth
10000,24,8082.2,78.05,23.2,0.8046,1.239,8570.7,81.79,23.65,0.8128,1.233
10001,27,10667.1,92.95,13.6,0.8651,2.193,10906.7,93.99,14.11,0.8729,2.111
10002,30,11408.7,99.1,12.37,0.866,2.561,11798.7,102.13,13.46,0.8702,2.55
10003,27,9263.9,83.85,14.52,0.8384,2.135,9793.7,87.77,16.41,0.844,2.112
10004,32,12855.4,109.28,16.02,0.8801,2.58,13671.2,115.39,18.54,0.8864,2.523
10005,19,9497.7,79.03,22.83,0.9018,1.545,9771.7,81.69,24.5,0.9014,1.491
10006,19,7686.4,68.84,17.83,0.8499,1.3,7852.3,70.03,17.68,0.8533,1.288
10007,17,7959.4,66.08,14.23,0.9041,1.63,8461.8,69.56,14.82,0.9098,1.612
10008,25,7671.1,73.75,17.36,0.8033,1.634,8085.1,76.24,17.33,0.8148,1.707
10009,30,11999.7,102.86,16.33,0.8773,2.374,12754.9,108.36,18.1,0.8846,2.356
