baseline,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain,first_ack_rate,attempts_per_acked
PPO-L2b-zeroshot,10000,6858.6118,67.4886,66.168,0.7945,0.2034,0.0006,2.3471,0.6126,0.5882,1.4189
PPO-L2b-zeroshot,10001,10114.9829,88.8846,87.5676,0.8608,0.1371,0.0,2.8065,0.7176,0.4858,1.5168
PPO-L2b-zeroshot,10002,10303.4903,92.7031,90.7587,0.8465,0.1517,0.0,2.9986,0.7076,0.4419,1.5662
PPO-L2b-zeroshot,10003,8450.127,80.0385,78.0597,0.816,0.1822,0.0002,2.6348,0.6558,0.4768,1.5293
PPO-L2b-zeroshot,10004,11627.1174,103.2981,100.4737,0.8552,0.1425,0.0004,3.1416,0.7133,0.4545,1.5525
PPO-L2b-zeroshot,10005,8523.2186,71.3089,70.1121,0.901,0.0978,0.0,2.7205,0.7865,0.5166,1.4886
PPO-L2b-zeroshot,10006,6631.4245,59.5848,57.9133,0.8469,0.1505,0.0005,2.4544,0.7015,0.5947,1.4119
PPO-L2b-zeroshot,10007,7306.9853,61.1702,60.0949,0.8987,0.0992,0.0,2.7789,0.8039,0.4521,1.5641
PPO-L2c-trained,10000,6566.7057,66.9867,64.9485,0.777,0.2205,0.0002,3.9896,0.5912,0.432,1.5538
PPO-L2c-trained,10001,10021.1342,88.5705,85.9823,0.858,0.1398,0.0003,4.0,0.7324,0.427,1.5668
PPO-L2c-trained,10002,10689.327,94.6995,92.2559,0.8558,0.1424,0.0,4.0,0.7313,0.4233,1.5749
PPO-L2c-trained,10003,8418.9256,78.8279,75.9586,0.8205,0.1773,0.0003,4.0,0.6803,0.4205,1.5771
PPO-L2c-trained,10004,12012.8459,104.257,101.1085,0.8674,0.1307,0.0004,4.0,0.7406,0.4203,1.58
PPO-L2c-trained,10005,8221.0295,69.904,67.5861,0.8892,0.1089,0.0,3.9822,0.7892,0.4169,1.5751
PPO-L2c-trained,10006,6063.9358,58.4244,55.2807,0.8109,0.1865,0.0005,3.9979,0.6799,0.4555,1.5334
PPO-L2c-trained,10007,7065.7233,59.6656,57.6679,0.8951,0.1032,0.0005,3.9565,0.8133,0.3986,1.6011
