baseline,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain,first_ack_rate,attempts_per_acked
SUS+CQI-cap1,10000,7821.7312,77.1434,75.8132,0.7951,0.2034,0.0,1.0,0.5593,0.9178,1.0799
SUS+CQI-cap1,10001,8066.2027,81.7409,80.2228,0.7804,0.2179,0.0,1.0,0.5559,0.9277,1.0706
SUS+CQI-cap1,10002,7690.6233,83.3877,81.1456,0.75,0.2482,0.0,1.0,0.5121,0.9247,1.0737
SUS+CQI-cap1,10003,7582.6252,79.3702,77.5908,0.7665,0.2322,0.0,1.0,0.5244,0.9185,1.0803
SUS+CQI-cap1,10004,9212.593,95.3772,93.2961,0.7706,0.2274,0.0,1.0,0.5275,0.943,1.0558
SUS+CQI-cap1,10005,8944.1973,76.8073,75.6587,0.8799,0.1188,0.0,1.0,0.7123,0.9193,1.08
SUS+CQI-cap1,10006,7615.4004,69.479,67.856,0.842,0.157,0.0,1.0,0.6305,0.9026,1.0944
SUS+CQI-cap1,10007,7483.2747,64.852,63.511,0.872,0.1262,0.0,1.0,0.7248,0.8931,1.1049
SUS+CQI-cap2,10000,7193.5806,71.5707,69.6038,0.7907,0.2078,0.0002,2.0,0.5892,0.5353,1.4605
SUS+CQI-cap2,10001,9188.6641,85.5725,83.2677,0.828,0.1708,0.0,2.0,0.6711,0.5451,1.4516
SUS+CQI-cap2,10002,9106.7903,88.3302,85.5338,0.8023,0.1956,0.0,2.0,0.6407,0.5452,1.4522
SUS+CQI-cap2,10003,8201.4533,80.2129,77.4633,0.7982,0.1995,0.0,2.0,0.6202,0.5383,1.4608
SUS+CQI-cap2,10004,10796.1948,101.6992,98.826,0.82,0.1788,0.0,2.0,0.6548,0.5776,1.4207
SUS+CQI-cap2,10005,8564.5536,72.8083,70.9903,0.8892,0.1096,0.0,1.9999,0.7631,0.5235,1.47
SUS+CQI-cap2,10006,6702.8514,62.7143,60.182,0.8277,0.1706,0.0,2.0,0.6741,0.5348,1.4562
SUS+CQI-cap2,10007,7222.8085,61.0542,59.5381,0.8944,0.1042,0.0002,1.999,0.7846,0.4913,1.508
SUS+CQI-cap3,10000,6779.6657,68.3098,65.5917,0.7845,0.2136,0.0,3.0,0.6027,0.4639,1.5288
SUS+CQI-cap3,10001,9957.5942,89.144,86.3599,0.8524,0.1461,0.0,3.0,0.7152,0.4609,1.5353
SUS+CQI-cap3,10002,10271.6008,93.8714,91.1217,0.8382,0.1603,0.0,3.0,0.7061,0.4629,1.5366
SUS+CQI-cap3,10003,8493.3172,80.7796,77.6416,0.8155,0.1822,0.0005,3.0,0.6646,0.4455,1.5557
SUS+CQI-cap3,10004,11737.8042,105.552,101.9842,0.8484,0.1492,0.0001,3.0,0.7108,0.4652,1.5373
SUS+CQI-cap3,10005,8542.77,71.9307,69.6895,0.8954,0.1027,0.0002,2.9946,0.7858,0.4417,1.5535
SUS+CQI-cap3,10006,6593.1904,61.0401,58.3229,0.8339,0.1647,0.0,2.9954,0.6908,0.4814,1.5093
SUS+CQI-cap3,10007,7206.28,60.8607,58.9453,0.8951,0.1034,0.0005,2.987,0.8054,0.4219,1.5779
SUS+CQI-cap4,10000,6592.8712,67.0369,64.0929,0.78,0.2179,0.0002,4.0,0.6064,0.4368,1.5531
SUS+CQI-cap4,10001,9945.9419,89.3767,85.7654,0.8522,0.1459,0.0,3.9997,0.7337,0.4205,1.5778
SUS+CQI-cap4,10002,10436.3511,94.4893,90.9773,0.8443,0.1533,0.0,4.0,0.7281,0.417,1.5886
SUS+CQI-cap4,10003,8333.1189,79.6893,75.862,0.8134,0.1847,0.0002,3.9998,0.6848,0.4081,1.5949
SUS+CQI-cap4,10004,11658.1838,104.483,100.1385,0.8524,0.1457,0.0004,3.9986,0.7398,0.4059,1.5997
SUS+CQI-cap4,10005,8281.6795,70.5061,67.8812,0.891,0.1076,0.0,3.9764,0.79,0.4115,1.5843
SUS+CQI-cap4,10006,6243.2286,58.7434,55.5294,0.8232,0.1751,0.0,3.9914,0.6927,0.4571,1.532
SUS+CQI-cap4,10007,7203.2223,60.7052,58.4962,0.8968,0.1008,0.0007,3.936,0.8124,0.3945,1.6076
