baseline,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain,first_ack_rate,attempts_per_acked
SUS+CQI,10000,6592.8712,67.0369,64.0929,0.78,0.2179,0.0002,4.0,0.6064,0.4368,1.5531
SUS+CQI,10001,9945.9419,89.3767,85.7654,0.8522,0.1459,0.0,3.9997,0.7337,0.4205,1.5778
SUS+CQI,10002,10436.3511,94.4893,90.9773,0.8443,0.1533,0.0,4.0,0.7281,0.417,1.5886
SUS+CQI,10003,8333.1189,79.6893,75.862,0.8134,0.1847,0.0002,3.9998,0.6848,0.4081,1.5949
SUS+CQI,10004,11658.1838,104.483,100.1385,0.8524,0.1457,0.0004,3.9986,0.7398,0.4059,1.5997
SUS+CQI,10005,8281.6795,70.5061,67.8812,0.891,0.1076,0.0,3.9764,0.79,0.4115,1.5843
SUS+CQI,10006,6243.2286,58.7434,55.5294,0.8232,0.1751,0.0,3.9914,0.6927,0.4571,1.532
SUS+CQI,10007,7203.2223,60.7052,58.4962,0.8968,0.1008,0.0007,3.936,0.8124,0.3945,1.6076
SUS+Deadline-PF,10000,5910.9228,63.1982,59.9877,0.754,0.243,0.0004,3.9981,0.5859,0.4451,1.524
SUS+Deadline-PF,10001,8690.2246,80.1249,75.0253,0.8313,0.1666,0.0,3.9999,0.7425,0.4333,1.5438
SUS+Deadline-PF,10002,8935.1952,82.5687,77.052,0.8242,0.1725,0.0,4.0,0.7412,0.4429,1.5349
SUS+Deadline-PF,10003,6972.7003,70.8693,64.5398,0.7746,0.2227,0.0004,4.0,0.6855,0.4335,1.5375
SUS+Deadline-PF,10004,10778.5489,97.2434,89.5487,0.8414,0.1556,0.0001,4.0,0.7649,0.4257,1.555
SUS+Deadline-PF,10005,7958.4679,67.9717,64.9769,0.8869,0.1118,0.0,3.988,0.7974,0.4256,1.5592
SUS+Deadline-PF,10006,5968.4197,57.8985,54.2556,0.8058,0.1904,0.0012,3.9968,0.6734,0.4533,1.5302
SUS+Deadline-PF,10007,6820.8727,58.1741,55.3463,0.8893,0.1084,0.001,3.9666,0.8232,0.3999,1.5946
SUS+PF,10000,5775.9498,63.2359,59.8821,0.7469,0.2509,0.0006,3.9989,0.5899,0.4375,1.5489
SUS+PF,10001,8583.5219,81.2206,75.5829,0.8208,0.1773,0.0003,3.9994,0.7464,0.4356,1.5578
SUS+PF,10002,8590.4248,84.0351,77.2878,0.7992,0.1985,0.0002,3.9998,0.7432,0.4423,1.5498
