world,la,seed,n_active,sched,reward,throughput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
genie,0,10000,24,PPO-L2b,8570.7,81.79,23.65,0.8128,0.1862,0.0,1.233,0.5765
genie,0,10000,24,SUS+CQI,7296.2,71.76,13.34,0.7858,0.1772,0.0346,4.0,0.5988
genie,0,10000,24,SU+CQI,8307.7,79.96,25.37,0.8076,0.1913,0.0,1.0,0.5716
genie,1,10000,24,PPO-L2b,8217.7,79.46,23.52,0.8046,0.1941,0.0,1.25,0.5716
genie,1,10000,24,SUS+CQI,6795.2,69.36,13.8,0.7783,0.2195,0.0,4.0,0.591
genie,1,10000,24,SU+CQI,8307.7,79.96,25.37,0.8076,0.1913,0.0,1.0,0.5716
genie,0,10001,27,PPO-L2b,10906.7,93.99,14.11,0.8729,0.1259,0.0,2.111,0.7047
genie,0,10001,27,SUS+CQI,10753.3,91.72,8.2,0.873,0.1008,0.0241,3.996,0.7664
genie,0,10001,27,SU+CQI,8719.3,85.51,19.52,0.7968,0.2021,0.0,1.0,0.5624
genie,1,10001,27,PPO-L2b,9988.6,89.47,13.74,0.8485,0.1506,0.0,2.45,0.6713
genie,1,10001,27,SUS+CQI,9868.4,88.44,8.99,0.8525,0.1454,0.0,4.0,0.7442
genie,1,10001,27,SU+CQI,8719.3,85.51,19.52,0.7968,0.2021,0.0,1.0,0.5624
genie,0,10002,30,PPO-L2b,11798.7,102.13,13.46,0.8702,0.1287,0.0,2.55,0.722
genie,0,10002,30,SUS+CQI,11628.4,99.01,9.0,0.8759,0.1028,0.0191,3.999,0.7787
genie,0,10002,30,SU+CQI,8384.9,88.4,20.65,0.7634,0.2351,0.0,1.0,0.5169
genie,1,10002,30,PPO-L2b,10334.6,93.95,13.17,0.8416,0.1567,0.0,2.775,0.6804
genie,1,10002,30,SUS+CQI,10634.1,95.59,9.76,0.8496,0.1483,0.0,4.0,0.7493
genie,1,10002,30,SU+CQI,8384.9,88.4,20.65,0.7634,0.2351,0.0,1.0,0.5169
genie,0,10003,27,PPO-L2b,9793.7,87.77,16.41,0.844,0.1538,0.0,2.112,0.6581
genie,0,10003,27,SUS+CQI,9514.7,84.95,10.54,0.8436,0.1416,0.0126,3.998,0.7167
genie,0,10003,27,SU+CQI,8168.6,82.97,22.2,0.7806,0.2177,0.0,1.0,0.5449
genie,1,10003,27,PPO-L2b,8548.9,81.39,16.09,0.8106,0.1875,0.0,2.319,0.6146
genie,1,10003,27,SUS+CQI,8389.3,79.93,10.9,0.8147,0.1829,0.0,3.993,0.6909
genie,1,10003,27,SU+CQI,8168.6,82.97,22.2,0.7806,0.2177,0.0,1.0,0.5449
genie,0,10004,32,PPO-L2b,13671.2,115.39,18.54,0.8864,0.1124,0.0,2.523,0.7266
genie,0,10004,32,SUS+CQI,14052.3,115.16,13.96,0.9041,0.0844,0.0097,3.997,0.7941
genie,0,10004,32,SU+CQI,9707.8,98.33,26.21,0.7812,0.217,0.0,1.0,0.5416
genie,1,10004,32,PPO-L2b,11918.9,105.99,17.92,0.853,0.1457,0.0,2.74,0.682
genie,1,10004,32,SUS+CQI,12535.3,110.16,14.29,0.8662,0.1319,0.0,4.0,0.7555
genie,1,10004,32,SU+CQI,9707.8,98.33,26.21,0.7812,0.217,0.0,1.0,0.5416
genie,0,10005,19,PPO-L2b,9771.7,81.69,24.5,0.9014,0.0979,0.0,1.491,0.7477
genie,0,10005,19,SUS+CQI,8666.9,71.81,16.04,0.9015,0.0818,0.0161,3.928,0.793
genie,0,10005,19,SU+CQI,9438.7,79.56,27.73,0.8919,0.107,0.0,1.0,0.7233
genie,1,10005,19,PPO-L2b,9530.4,79.92,23.55,0.8992,0.0993,0.0,1.643,0.735
genie,1,10005,19,SUS+CQI,8176.7,70.34,16.06,0.8859,0.1131,0.0,3.962,0.7727
genie,1,10005,19,SU+CQI,9438.7,79.56,27.73,0.8919,0.107,0.0,1.0,0.7233
genie,0,10006,19,PPO-L2b,7852.3,70.03,17.68,0.8533,0.1453,0.0,1.288,0.6474
genie,0,10006,19,SUS+CQI,6524.0,60.24,7.75,0.8189,0.1341,0.0444,3.989,0.6873
genie,0,10006,19,SU+CQI,8093.0,73.39,19.36,0.8469,0.1518,0.0,1.0,0.6349
genie,1,10006,19,PPO-L2b,7677.5,69.29,17.82,0.8459,0.1527,0.0,1.298,0.6331
genie,1,10006,19,SUS+CQI,6045.2,59.14,8.51,0.8044,0.1932,0.0,3.996,0.6732
genie,1,10006,19,SU+CQI,8093.0,73.39,19.36,0.8469,0.1518,0.0,1.0,0.6349
genie,0,10007,17,PPO-L2b,8461.8,69.56,14.82,0.9098,0.0889,0.0,1.612,0.7824
genie,0,10007,17,SUS+CQI,7121.8,59.64,7.27,0.8891,0.0631,0.0461,3.825,0.8294
genie,0,10007,17,SU+CQI,8250.4,69.89,18.16,0.8908,0.1086,0.0,1.0,0.7396
genie,1,10007,17,PPO-L2b,7923.1,65.9,14.05,0.9024,0.0967,0.0,1.843,0.7678
genie,1,10007,17,SUS+CQI,6836.3,58.54,7.7,0.8878,0.1104,0.0,3.924,0.8123
genie,1,10007,17,SU+CQI,8250.4,69.89,18.16,0.8908,0.1086,0.0,1.0,0.7396
genie,0,10008,25,PPO-L2b,8085.1,76.24,17.33,0.8148,0.1835,0.0,1.707,0.6037
genie,0,10008,25,SUS+CQI,7531.5,71.79,9.91,0.7998,0.168,0.0307,3.998,0.6543
genie,0,10008,25,SU+CQI,7601.6,77.41,21.63,0.7807,0.218,0.0,1.0,0.545
genie,1,10008,25,PPO-L2b,7209.0,71.99,17.3,0.7852,0.2128,0.0,1.845,0.5652
genie,1,10008,25,SUS+CQI,6630.5,68.53,10.68,0.7732,0.2243,0.0,3.997,0.6309
genie,1,10008,25,SU+CQI,7601.6,77.41,21.63,0.7807,0.218,0.0,1.0,0.545
genie,0,10009,30,PPO-L2b,12754.9,108.36,18.1,0.8846,0.114,0.0,2.356,0.7259
genie,0,10009,30,SUS+CQI,12114.1,102.73,13.13,0.8778,0.0968,0.0233,3.998,0.7613
genie,0,10009,30,SU+CQI,9318.8,92.9,25.12,0.7883,0.2098,0.0,1.0,0.5581
genie,1,10009,30,PPO-L2b,11241.9,99.46,17.44,0.8595,0.1392,0.0,2.649,0.6915
genie,1,10009,30,SUS+CQI,11450.0,100.69,13.6,0.8653,0.1331,0.0,3.999,0.7399
genie,1,10009,30,SU+CQI,9318.8,92.9,25.12,0.7883,0.2098,0.0,1.0,0.5581
