world,la,seed,n_active,sched,reward,throughput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
type2,0,10000,24,PPO-L2b,8082.2,78.05,23.2,0.8046,0.1944,0.0,1.239,0.5696
type2,0,10000,24,SUS+CQI,6008.9,63.79,8.81,0.7463,0.1835,0.0686,4.0,0.5988
type2,0,10000,24,SU+CQI,8121.4,79.03,25.6,0.8018,0.1966,0.0,1.0,0.556
type2,0,10000,24,SUS+PF,5106.8,59.16,8.87,0.711,0.198,0.0882,4.0,0.5698
type2,0,10000,24,CQI-greedy,5958.6,63.36,8.66,0.7435,0.1784,0.0765,4.0,0.5956
type2,1,10000,24,PPO-L2b,7972.3,77.49,22.96,0.8031,0.1957,0.0,1.267,0.5656
type2,1,10000,24,SUS+CQI,6321.9,66.07,9.31,0.7671,0.2312,0.0002,4.0,0.6004
type2,1,10000,24,SU+CQI,8121.4,79.03,25.6,0.8018,0.1966,0.0,1.0,0.556
type2,1,10000,24,SUS+PF,5697.2,62.38,9.34,0.7447,0.2525,0.0002,4.0,0.5804
type2,1,10000,24,CQI-greedy,6291.1,65.92,9.44,0.7652,0.2325,0.0002,4.0,0.6001
type2,0,10001,27,PPO-L2b,10667.1,92.95,13.6,0.8651,0.1328,0.0001,2.193,0.7004
type2,0,10001,27,SUS+CQI,9759.5,86.31,7.2,0.8454,0.1093,0.0431,3.997,0.7569
type2,0,10001,27,SU+CQI,8135.2,82.12,19.95,0.7825,0.2159,0.0,1.0,0.5482
type2,0,10001,27,SUS+PF,7958.4,75.73,7.08,0.7941,0.1355,0.0681,3.999,0.7395
type2,0,10001,27,CQI-greedy,9608.0,85.05,7.01,0.8414,0.1064,0.0497,4.0,0.7599
type2,1,10001,27,PPO-L2b,9780.4,87.66,13.11,0.848,0.1501,0.0,2.389,0.6783
type2,1,10001,27,SUS+CQI,9576.7,86.66,8.01,0.8473,0.1503,0.0002,3.998,0.7455
type2,1,10001,27,SU+CQI,8135.2,82.12,19.95,0.7825,0.2159,0.0,1.0,0.5482
type2,1,10001,27,SUS+PF,8496.5,80.68,7.96,0.8157,0.1816,0.0003,4.0,0.7431
type2,1,10001,27,CQI-greedy,9472.1,86.01,7.76,0.844,0.1533,0.0002,4.0,0.7477
type2,0,10002,30,PPO-L2b,11408.7,99.1,12.37,0.866,0.1316,0.0001,2.561,0.7204
type2,0,10002,30,SUS+CQI,10452.3,91.46,7.26,0.8499,0.1152,0.0327,3.999,0.772
type2,0,10002,30,SU+CQI,7590.8,83.11,20.78,0.7464,0.2523,0.0,1.0,0.513
type2,0,10002,30,SUS+PF,7765.0,77.93,7.27,0.7685,0.167,0.0625,4.0,0.7343
type2,0,10002,30,CQI-greedy,10232.5,89.86,7.29,0.8454,0.1139,0.0384,4.0,0.7635
type2,1,10002,30,PPO-L2b,10136.5,92.16,11.77,0.8392,0.1585,0.0,2.817,0.6873
type2,1,10002,30,SUS+CQI,10377.9,93.11,8.06,0.8505,0.1478,0.0002,4.0,0.752
type2,1,10002,30,SU+CQI,7590.8,83.11,20.78,0.7464,0.2523,0.0,1.0,0.513
type2,1,10002,30,SUS+PF,8440.2,83.31,8.05,0.7917,0.2047,0.0,4.0,0.7429
type2,1,10002,30,CQI-greedy,10245.0,92.21,8.01,0.8485,0.1498,0.0008,3.998,0.7491
type2,0,10003,27,PPO-L2b,9263.9,83.85,14.52,0.8384,0.1598,0.0003,2.135,0.6597
type2,0,10003,27,SUS+CQI,8386.4,78.7,7.26,0.8042,0.153,0.0401,3.999,0.7059
type2,0,10003,27,SU+CQI,7613.9,79.76,22.53,0.7661,0.2322,0.0,1.0,0.5242
type2,0,10003,27,SUS+PF,6794.7,70.21,7.2,0.7554,0.1924,0.0499,4.0,0.6849
type2,0,10003,27,CQI-greedy,8142.2,76.95,7.24,0.7992,0.151,0.0474,4.0,0.7065
type2,1,10003,27,PPO-L2b,8339.3,79.72,13.96,0.8096,0.1877,0.0,2.284,0.6218
type2,1,10003,27,SUS+CQI,8319.9,79.04,7.91,0.8152,0.1814,0.0005,4.0,0.6904
type2,1,10003,27,SU+CQI,7613.9,79.76,22.53,0.7661,0.2322,0.0,1.0,0.5242
type2,1,10003,27,SUS+PF,6751.4,71.53,7.82,0.7581,0.2393,0.0,4.0,0.6801
type2,1,10003,27,CQI-greedy,8149.1,77.94,7.67,0.8108,0.1859,0.0004,4.0,0.6957
type2,0,10004,32,PPO-L2b,12855.4,109.28,16.02,0.8801,0.1183,0.0004,2.58,0.7243
type2,0,10004,32,SUS+CQI,12496.8,105.98,10.6,0.8762,0.102,0.0206,3.996,0.7915
type2,0,10004,32,SU+CQI,9347.2,95.74,26.56,0.7754,0.2228,0.0,1.0,0.5352
type2,0,10004,32,SUS+PF,11735.0,102.26,10.64,0.852,0.111,0.0345,3.999,0.7815
type2,0,10004,32,CQI-greedy,11979.9,102.94,10.32,0.8617,0.1085,0.0286,3.999,0.7856
type2,1,10004,32,PPO-L2b,11589.6,103.82,15.65,0.8479,0.1501,0.0,2.677,0.6853
type2,1,10004,32,SUS+CQI,11805.4,104.58,10.95,0.8599,0.1381,0.0001,4.0,0.767
type2,1,10004,32,SU+CQI,9347.2,95.74,26.56,0.7754,0.2228,0.0,1.0,0.5352
type2,1,10004,32,SUS+PF,10923.7,100.5,11.08,0.8362,0.1614,0.0003,4.0,0.7651
type2,1,10004,32,CQI-greedy,11760.7,104.98,10.81,0.8565,0.1407,0.0007,3.998,0.7607
type2,0,10005,19,PPO-L2b,9497.7,79.03,22.83,0.9018,0.0973,0.0,1.545,0.7456
type2,0,10005,19,SUS+CQI,7679.8,65.89,8.99,0.8709,0.0903,0.0372,3.953,0.7955
type2,0,10005,19,SU+CQI,8994.4,77.17,28.28,0.8823,0.1166,0.0,1.0,0.7086
type2,0,10005,19,SUS+PF,7742.7,65.89,9.22,0.8741,0.0832,0.0416,3.932,0.794
type2,0,10005,19,CQI-greedy,7595.1,64.97,9.02,0.8702,0.0831,0.0447,3.939,0.7924
type2,1,10005,19,PPO-L2b,9030.1,76.04,21.84,0.895,0.1043,0.0,1.653,0.7368
type2,1,10005,19,SUS+CQI,7803.4,67.42,9.61,0.8789,0.1196,0.0,3.971,0.7857
type2,1,10005,19,SU+CQI,8994.4,77.17,28.28,0.8823,0.1166,0.0,1.0,0.7086
type2,1,10005,19,SUS+PF,7726.3,67.24,9.57,0.8755,0.1229,0.0,3.974,0.7797
type2,1,10005,19,CQI-greedy,7690.6,66.85,9.44,0.8764,0.122,0.0,3.967,0.7866
type2,0,10006,19,PPO-L2b,7686.4,68.84,17.83,0.8499,0.1485,0.0,1.3,0.642
type2,0,10006,19,SUS+CQI,5738.7,55.58,6.19,0.7912,0.1353,0.0718,3.992,0.6881
type2,0,10006,19,SU+CQI,7698.9,70.96,19.85,0.8364,0.1623,0.0,1.0,0.6266
type2,0,10006,19,SUS+PF,5284.8,53.93,6.18,0.7663,0.1319,0.0992,3.992,0.6645
type2,0,10006,19,CQI-greedy,5855.5,56.22,6.22,0.7941,0.1278,0.0762,3.992,0.6806
type2,1,10006,19,PPO-L2b,7390.7,67.2,18.04,0.8421,0.1567,0.0,1.289,0.632
type2,1,10006,19,SUS+CQI,6034.4,58.29,7.13,0.8083,0.1889,0.0002,3.991,0.6782
type2,1,10006,19,SU+CQI,7698.9,70.96,19.85,0.8364,0.1623,0.0,1.0,0.6266
type2,1,10006,19,SUS+PF,5697.4,56.12,7.01,0.7979,0.1987,0.001,3.996,0.6663
type2,1,10006,19,CQI-greedy,5947.6,57.6,7.01,0.807,0.1911,0.0002,3.997,0.6823
type2,0,10007,17,PPO-L2b,7959.4,66.08,14.23,0.9041,0.0942,0.0,1.63,0.7783
type2,0,10007,17,SUS+CQI,6402.3,54.95,5.19,0.8655,0.0609,0.0721,3.805,0.8236
type2,0,10007,17,SU+CQI,7583.0,65.17,18.34,0.8789,0.1196,0.0,1.0,0.7267
type2,0,10007,17,SUS+PF,6298.3,54.56,5.2,0.8524,0.0662,0.0793,3.846,0.8162
type2,0,10007,17,CQI-greedy,6245.0,54.15,4.98,0.8534,0.0603,0.0847,3.854,0.8205
type2,1,10007,17,PPO-L2b,7649.8,64.1,13.12,0.8972,0.1017,0.0,1.829,0.7672
type2,1,10007,17,SUS+CQI,6709.2,57.35,5.64,0.8842,0.1132,0.0005,3.924,0.8129
type2,1,10007,17,SU+CQI,7583.0,65.17,18.34,0.8789,0.1196,0.0,1.0,0.7267
type2,1,10007,17,SUS+PF,6481.2,56.53,5.66,0.8727,0.1254,0.0005,3.93,0.8209
type2,1,10007,17,CQI-greedy,6528.6,56.15,5.18,0.881,0.1153,0.0011,3.951,0.825
type2,0,10008,25,PPO-L2b,7671.1,73.75,17.36,0.8033,0.1949,0.0002,1.634,0.5951
type2,0,10008,25,SUS+CQI,6616.2,67.44,8.56,0.7594,0.1697,0.0693,3.999,0.6308
type2,0,10008,25,SU+CQI,7046.2,73.6,22.19,0.7677,0.2308,0.0,1.0,0.5228
type2,0,10008,25,SUS+PF,4728.8,57.87,8.4,0.6858,0.221,0.0901,4.0,0.593
type2,0,10008,25,CQI-greedy,6550.1,66.54,8.18,0.7598,0.1719,0.0668,4.0,0.6403
type2,1,10008,25,PPO-L2b,7112.4,71.18,17.17,0.7835,0.214,0.0,1.879,0.5687
type2,1,10008,25,SUS+CQI,6437.2,67.07,9.18,0.7669,0.2288,0.0012,3.993,0.6372
type2,1,10008,25,SU+CQI,7046.2,73.6,22.19,0.7677,0.2308,0.0,1.0,0.5228
type2,1,10008,25,SUS+PF,5038.3,59.8,9.15,0.711,0.2856,0.0008,4.0,0.6027
type2,1,10008,25,CQI-greedy,6626.8,67.75,9.02,0.776,0.2206,0.0008,4.0,0.6369
type2,0,10009,30,PPO-L2b,11999.7,102.86,16.33,0.8773,0.1207,0.0003,2.374,0.7234
type2,0,10009,30,SUS+CQI,10861.3,94.62,10.16,0.8556,0.1056,0.0374,3.998,0.7558
type2,0,10009,30,SU+CQI,8605.7,88.68,25.42,0.772,0.2261,0.0,1.0,0.5424
type2,0,10009,30,SUS+PF,9198.1,86.36,10.27,0.802,0.1374,0.0585,3.999,0.7288
type2,0,10009,30,CQI-greedy,10409.0,92.12,9.85,0.8403,0.11,0.048,4.0,0.7545
type2,1,10009,30,PPO-L2b,10687.7,95.72,15.31,0.8486,0.1493,0.0,2.692,0.696
type2,1,10009,30,SUS+CQI,10631.6,94.87,10.49,0.8523,0.1452,0.0001,4.0,0.7489
type2,1,10009,30,SU+CQI,8605.7,88.68,25.42,0.772,0.2261,0.0,1.0,0.5424
type2,1,10009,30,SUS+PF,9241.2,88.24,10.67,0.8125,0.1854,0.0002,4.0,0.7346
type2,1,10009,30,CQI-greedy,10719.1,94.91,10.36,0.8582,0.14,0.0001,4.0,0.7448
