p_arrival_max,mean_load,sched,seed,reward,goodput_mbps,deadline_miss_rate,mu_depth
0.25,0.2,PPO,10000,2619.5,51.21,0.4032,2.21
0.25,0.2,PPO,10001,6356.3,66.33,0.2427,2.873
0.25,0.2,PPO,10002,6660.3,64.37,0.2089,2.94
0.25,0.2,PPO,10003,5020.7,63.34,0.3153,2.875
0.25,0.2,PPO,10004,7776.5,81.83,0.2532,3.394
0.25,0.2,SUS+CQI,10000,2149.2,49.26,0.4324,3.996
0.25,0.2,SUS+CQI,10001,5676.4,63.16,0.2831,3.978
0.25,0.2,SUS+CQI,10002,6104.5,61.64,0.2441,3.977
0.25,0.2,SUS+CQI,10003,4359.6,60.14,0.354,3.995
0.25,0.2,SUS+CQI,10004,7277.9,79.53,0.2806,3.994
0.25,0.2,SU+CQI,10000,2686.9,51.81,0.4038,1.0
0.25,0.2,SU+CQI,10001,5042.5,61.57,0.3042,1.0
0.25,0.2,SU+CQI,10002,5410.8,59.81,0.27,1.0
0.25,0.2,SU+CQI,10003,3765.8,59.01,0.3706,1.0
0.25,0.2,SU+CQI,10004,5101.4,72.35,0.3473,1.0
0.35,0.25,PPO,10000,2823.2,64.4,0.4216,2.361
0.35,0.25,PPO,10001,6944.9,79.54,0.2794,3.043
0.35,0.25,PPO,10002,6796.0,70.06,0.2384,2.996
0.35,0.25,PPO,10003,4802.1,75.29,0.3683,3.115
0.35,0.25,PPO,10004,6915.5,94.83,0.3446,3.73
0.35,0.25,SUS+CQI,10000,2402.3,62.44,0.4418,3.998
0.35,0.25,SUS+CQI,10001,6230.2,76.01,0.3139,3.994
0.35,0.25,SUS+CQI,10002,6326.1,67.82,0.266,3.987
0.35,0.25,SUS+CQI,10003,4250.2,72.54,0.3959,4.0
0.35,0.25,SUS+CQI,10004,6883.6,94.96,0.3504,3.998
0.35,0.25,SU+CQI,10000,2559.9,63.43,0.433,1.0
0.35,0.25,SU+CQI,10001,4647.7,71.05,0.3619,1.0
0.35,0.25,SU+CQI,10002,5029.5,63.3,0.3149,1.0
0.35,0.25,SU+CQI,10003,2760.4,68.1,0.435,1.0
0.35,0.25,SU+CQI,10004,3122.3,82.03,0.4408,1.0
0.4,0.275,PPO,10000,3268.3,72.98,0.4191,2.422
0.4,0.275,PPO,10001,7096.4,85.68,0.2974,3.121
0.4,0.275,PPO,10002,6860.8,72.76,0.252,3.137
0.4,0.275,PPO,10003,4295.4,80.15,0.3992,3.193
0.4,0.275,PPO,10004,6510.4,101.12,0.3722,3.768
0.4,0.275,SUS+CQI,10000,2776.3,70.88,0.4396,3.998
0.4,0.275,SUS+CQI,10001,6315.4,82.03,0.3305,3.995
0.4,0.275,SUS+CQI,10002,6321.5,70.26,0.2815,3.99
0.4,0.275,SUS+CQI,10003,3727.6,77.39,0.4242,3.999
0.4,0.275,SUS+CQI,10004,6596.7,101.79,0.3742,4.0
0.4,0.275,SU+CQI,10000,2667.4,70.97,0.4388,1.0
0.4,0.275,SU+CQI,10001,4137.1,74.52,0.3917,1.0
0.4,0.275,SU+CQI,10002,4742.7,64.86,0.3371,1.0
0.4,0.275,SU+CQI,10003,1872.0,71.71,0.4681,1.0
0.4,0.275,SU+CQI,10004,2115.6,86.23,0.4706,1.0
0.45,0.3,PPO,10000,2883.8,77.62,0.4375,2.448
0.45,0.3,PPO,10001,6937.5,90.68,0.3222,3.258
0.45,0.3,PPO,10002,7080.9,76.43,0.2584,3.191
0.45,0.3,PPO,10003,3907.6,85.76,0.4198,3.197
0.45,0.3,PPO,10004,6399.3,109.14,0.3895,3.84
0.45,0.3,SUS+CQI,10000,2438.8,75.66,0.4547,3.999
0.45,0.3,SUS+CQI,10001,6182.8,86.98,0.3507,3.998
0.45,0.3,SUS+CQI,10002,6593.5,74.0,0.2847,3.993
0.45,0.3,SUS+CQI,10003,3261.5,82.49,0.4461,3.999
0.45,0.3,SUS+CQI,10004,6552.0,110.15,0.3891,4.0
0.45,0.3,SU+CQI,10000,2114.2,74.95,0.4602,1.0
0.45,0.3,SU+CQI,10001,3326.0,77.02,0.4264,1.0
0.45,0.3,SU+CQI,10002,4626.0,67.16,0.3517,1.0
0.45,0.3,SU+CQI,10003,937.4,75.32,0.4965,1.0
0.45,0.3,SU+CQI,10004,1278.4,91.76,0.4927,1.0
0.5,0.325,PPO,10000,3146.4,86.44,0.4397,2.495
0.5,0.325,PPO,10001,6868.9,97.29,0.3428,3.223
0.5,0.325,PPO,10002,6867.1,77.48,0.2781,3.213
0.5,0.325,PPO,10003,3601.3,91.87,0.4369,3.319
0.5,0.325,PPO,10004,5640.8,114.24,0.4175,3.841
0.5,0.325,SUS+CQI,10000,2668.3,84.34,0.4561,4.0
0.5,0.325,SUS+CQI,10001,6114.6,93.64,0.369,4.0
0.5,0.325,SUS+CQI,10002,6467.3,75.63,0.2988,3.99
0.5,0.325,SUS+CQI,10003,2851.3,87.87,0.4635,4.0
0.5,0.325,SUS+CQI,10004,6027.1,116.09,0.4115,4.0
0.5,0.325,SU+CQI,10000,1902.8,82.0,0.4717,1.0
0.5,0.325,SU+CQI,10001,2462.4,80.76,0.4573,1.0
0.5,0.325,SU+CQI,10002,4329.0,67.94,0.3682,1.0
0.5,0.325,SU+CQI,10003,130.5,79.22,0.5179,1.0
0.5,0.325,SU+CQI,10004,118.9,95.5,0.5167,1.0
0.55,0.35,PPO,10000,2958.6,91.07,0.448,2.503
0.55,0.35,PPO,10001,6949.4,102.35,0.3538,3.325
0.55,0.35,PPO,10002,7162.3,80.77,0.2765,3.262
0.55,0.35,PPO,10003,3530.6,97.35,0.4447,3.372
0.55,0.35,PPO,10004,4628.5,118.38,0.4456,3.888
0.55,0.35,SUS+CQI,10000,2495.5,89.05,0.4627,3.995
0.55,0.35,SUS+CQI,10001,6212.6,98.84,0.3767,3.996
0.55,0.35,SUS+CQI,10002,6686.9,78.45,0.2999,3.987
0.55,0.35,SUS+CQI,10003,2706.8,93.01,0.4707,4.0
0.55,0.35,SUS+CQI,10004,5216.0,121.51,0.4358,4.0
0.55,0.35,SU+CQI,10000,1271.8,84.83,0.4881,1.0
0.55,0.35,SU+CQI,10001,1780.2,82.91,0.4776,1.0
0.55,0.35,SU+CQI,10002,4171.2,69.47,0.3792,1.0
0.55,0.35,SU+CQI,10003,-540.5,82.65,0.531,1.0
0.55,0.35,SU+CQI,10004,-1316.1,98.7,0.5424,1.0
0.65,0.4,PPO,10000,3363.5,107.84,0.4521,2.548
0.65,0.4,PPO,10001,6258.1,110.48,0.3919,3.497
0.65,0.4,PPO,10002,6991.3,84.77,0.3034,3.369
0.65,0.4,PPO,10003,2127.6,105.37,0.4818,3.404
0.65,0.4,PPO,10004,2954.8,129.09,0.4827,3.904
0.65,0.4,SUS+CQI,10000,2928.2,105.61,0.4639,4.0
0.65,0.4,SUS+CQI,10001,5676.5,108.06,0.4072,4.0
0.65,0.4,SUS+CQI,10002,6735.0,83.7,0.3168,3.997
0.65,0.4,SUS+CQI,10003,1365.1,101.35,0.5026,4.0
0.65,0.4,SUS+CQI,10004,3877.0,133.52,0.4677,3.999
0.65,0.4,SU+CQI,10000,-306.3,93.57,0.5244,1.0
0.65,0.4,SU+CQI,10001,-384.6,86.0,0.5281,1.0
0.65,0.4,SU+CQI,10002,3493.3,71.96,0.4119,1.0
0.65,0.4,SU+CQI,10003,-2936.7,87.21,0.5733,1.0
0.65,0.4,SU+CQI,10004,-4172.7,105.15,0.5806,1.0
