baseline,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,first_ack_m1,first_ack_m2,first_ack_m3,first_ack_m4
SUS+CQI,5124.1689,74.5771,0.6668,0.3305,0.0000,3.9365,0.7588,0.9750,1.0245,0.0240,69.8171,0.3594,0.8685,0.9920,0.9741
SUS+Deadline-PF,3611.6831,70.0888,0.6099,0.3867,0.0000,3.9516,0.7657,0.9795,1.0187,0.0185,62.4933,0.3750,0.6217,0.8667,0.9789
SUS+PF,3621.5141,70.3929,0.6126,0.3842,0.0000,3.9495,0.7653,0.9794,1.0200,0.0196,62.8374,0.3750,0.9965,0.9894,0.9788
SUS+Random,2480.5393,66.4728,0.5719,0.4243,0.0000,3.9558,0.7402,0.9762,1.0221,0.0217,57.6363,0.3750,0.6234,0.8629,0.9757
SUS+MW,4614.5866,73.9663,0.6456,0.3514,0.0000,3.9470,0.7636,0.9755,1.0237,0.0231,67.3606,0.3500,0.8730,0.9895,0.9748
SUS+EDF,230.9878,55.9623,0.4795,0.5146,0.0000,3.9774,0.7679,0.9788,1.0127,0.0127,46.2158,0.3750,0.6250,0.8702,0.9785
SU+CQI,1245.9530,57.9601,0.5501,0.4467,0.0000,1.0000,0.6165,0.9996,1.0003,0.0003,55.7429,0.9996,0.0000,0.0000,0.0000
SU+Deadline-PF,-1723.9922,48.0470,0.4280,0.5670,0.0000,1.0000,0.7172,0.9990,1.0005,0.0005,40.4889,0.9990,0.0000,0.0000,0.0000
SU+PF,-2112.7602,49.1432,0.4234,0.5722,0.0000,1.0000,0.7117,0.9992,1.0008,0.0009,39.5458,0.9992,0.0000,0.0000,0.0000
SU+Random,-4857.8716,40.1566,0.3098,0.6848,0.0000,1.0000,0.7286,0.9963,1.0028,0.0031,27.4685,0.9963,0.0000,0.0000,0.0000
SU+MW,406.0993,56.3308,0.5102,0.4858,0.0000,1.0000,0.6545,0.9993,1.0007,0.0007,51.9120,0.9993,0.0000,0.0000,0.0000
SU+EDF,-7415.6180,24.0697,0.2167,0.7768,0.0000,1.0000,0.6043,0.9953,1.0013,0.0013,19.9226,0.9953,0.0000,0.0000,0.0000
