baseline,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,units_m1,first_ack_m1,acks_m2,units_m2,first_ack_m2,acks_m3,units_m3,first_ack_m3,acks_m4,units_m4,first_ack_m4
SUS+CQI,4819.124657851678,73.36769161347308,0.6571191001957061,0.340182450931381,3.0091478093403947e-05,3.9414189094504035,0.7486457571069285,0.983180570962942,1.0165242381885617,0.016311969486161565,68.65640225,152,181,0.8397790055248618,2342,2355,0.99447983014862,12232,12345,0.9908464965573106,225893,229879,0.9826604431026758
SUS+Deadline-PF,3090.380778883787,68.07594336222654,0.5922971348344974,0.4042051842875909,3.0091478093403947e-05,3.9544610802477482,0.7558164666762732,0.9863622961104772,1.0122839094747311,0.012303880990232698,60.31958225,122,144,0.8472222222222222,1913,1920,0.9963541666666667,10620,10697,0.9928017201084416,230846,234121,0.986011506870379
SUS+PF,3085.9421674601067,68.53528891490471,0.5944888200491543,0.4022523015687644,3.0091478093403947e-05,3.9521012177952564,0.7553717115436652,0.9865453827488077,1.0130155767753943,0.012946689394041932,60.613842500000004,140,165,0.8484848484848485,1970,1979,0.9954522486104093,11038,11139,0.9909327587754736,229968,233160,0.9863098301595471
SUS+Random,1998.7720464349113,64.78540682357226,0.5541518273936111,0.44200876862660754,3.0091478093403947e-05,3.9590834854178394,0.7295608007414991,0.9844511730251952,1.0144837291660926,0.014386066403767422,55.6807985,93,115,0.808695652173913,1271,1279,0.9937451133698202,9506,9621,0.988046980563351,232688,236400,0.9842978003384095
SUS+MW,4245.330544205144,72.6587305450364,0.63275458400184,0.3642482188708757,3.0091478093403947e-05,3.9531282775567194,0.7535632909302302,0.9837545331349302,1.0156076215276424,0.015415890408033334,65.865712,136,155,0.8774193548387097,2037,2048,0.99462890625,9996,10071,0.9925528745904081,229949,233866,0.983251092505965
SUS+EDF,-122.85389176268791,54.619801831949104,0.46742897987242843,0.5266144170284592,0.0,3.9781386813841655,0.7565161401863502,0.9857823644929742,1.0082264120028657,0.008296898588120351,44.982335750000004,57,68,0.8382352941176471,543,544,0.9981617647058824,5174,5228,0.9896710022953328,242026,245539,0.985692700548589
SU+CQI,3571.213860418394,66.88050539867639,0.6326248457071386,0.3645815529164884,1.4637002341920375e-05,1.0,0.6927027494575441,0.9512883448908268,1.0457473929960015,0.04359165479842244,64.72692574999999,58228,61198,0.9514690022549757,0,0,nan,0,0,nan,0,0,nan
SU+Deadline-PF,1372.6825232548358,59.10800606409778,0.5374271569195999,0.4581697672096755,6.0182956186807895e-05,1.0,0.7497282095757756,0.9428540269989047,1.0345642612566088,0.03280367867867868,53.12872925,58363,61893,0.9429660866333834,0,0,nan,0,0,nan,0,0,nan
SU+PF,1253.725931590132,60.77445567272207,0.5420553270294937,0.4543695412847776,9.027443428021185e-05,1.0,0.7465853513024436,0.9511315939264193,1.0437076402859582,0.04176248708839364,53.425254,58330,61315,0.9513169697463916,0,0,nan,0,0,nan,0,0,nan
SU+Random,-2296.8231485425595,48.191661941635026,0.40748746835686833,0.5875434475107973,3.0091478093403947e-05,1.0,0.7575009818825178,0.9046966506468093,1.0810926280403903,0.07430138506753377,38.062767750000006,53599,59241,0.9047619047619048,0,0,nan,0,0,nan,0,0,nan
SU+MW,2891.4539666005603,65.6069509526821,0.598628288915827,0.39804157620118275,0.0,1.0,0.7163834047345761,0.9459139118056022,1.048129789860703,0.04551228446927025,61.679281,57785,61077,0.9461008235506001,0,0,nan,0,0,nan,0,0,nan
SU+EDF,-6202.394430414373,28.164175147883867,0.2546786698537218,0.7388353876017856,0.0,1.0,0.6767890382486642,0.8768414966850786,1.0370276265284495,0.032796875,23.747089000000003,54281,61901,0.876900211628245,0,0,nan,0,0,nan,0,0,nan
