world,baseline,seed,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,acks_m2,acks_m3,acks_m4,units_m1,units_m2,units_m3,units_m4
betam,SUS+CQI,10000,2739.3714734949626,74.32255363154766,0.5561825934286431,0.4405568096313017,0.0,3.9955220721956426,0.5979365634135713,0.9780072243710641,1.0213896894012169,0.021152101129572266,70.759634,0,14,80,30501,0,14,81,31188
betam,SUS+CQI,10001,6265.374950501904,87.05750690709928,0.664855775449489,0.3325572370974001,0.0,3.9909234064228865,0.747213278510592,0.989722020176465,1.00949697679572,0.009584364331130392,81.843552,0,6,197,31093,0,6,200,31415
betam,SUS+CQI,10002,6322.389077602504,74.63396692240305,0.7157877709479133,0.28162406988029764,0.0,3.981100045876009,0.8068689999329949,0.9834254143646409,1.0166144801584767,0.016335249583765275,70.209126,0,15,447,30332,0,16,451,30846
betam,SUS+CQI,10003,3660.097551268094,84.02662506709518,0.568735362997658,0.42669789227166277,0.0,3.9985801658266316,0.6852612345531404,0.9804040275299516,1.019168819570695,0.01891275125824502,76.985274,0,2,24,30743,0,2,24,31358
betam,SUS+CQI,10004,6650.092255409878,109.47832337504514,0.6233452507488646,0.3732727799787419,0.0,3.999564318377005,0.737682600667201,0.9737568174526788,1.026329309016183,0.025724377207514144,101.87121,0,2,15,30335,0,2,15,31153
betam,SUS+CQI,10005,4032.4937499176713,41.127684125692895,0.7827216628775576,0.2159792140305294,0.0,3.7621732921693023,0.885737725434109,0.9898580861697859,1.0100342990586002,0.009932818030773677,38.323542,141,1729,5871,19392,170,1734,5897,19610
betam,SUS+CQI,10006,2629.8369071226603,44.92401300972667,0.6172363986519018,0.37987481945113144,0.00024073182474723158,3.91716708654521,0.7317604667868874,0.9904652686762778,1.0090837541811504,0.00918741681005097,41.152288,8,254,2702,27265,8,254,2730,27528
betam,SUS+CQI,10007,6253.341297495749,71.37085986917485,0.7280879864636209,0.2708967851099831,0.0,3.886320888190542,0.7967051875569322,0.9798057089626722,1.0200765773264524,0.01966667753824076,68.106592,3,320,2896,26232,3,327,2947,26781
betam,SUS+Deadline-PF,10000,696.8799465391302,66.82219866510881,0.48645598194130923,0.5095309756709305,0.0,3.966424183883328,0.5838391904105494,0.9819209402395556,1.015841329126151,0.01595778297415155,61.840534,0,14,989,29575,0,14,1006,30121
betam,SUS+Deadline-PF,10001,4339.129047835862,81.23344651637223,0.5906092355452076,0.405251584529815,0.0,3.998232834968872,0.7571487382748076,0.9906409529211572,1.0074527884797575,0.007630245793983363,72.16567,0,2,59,31376,0,2,59,31673
