baseline,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,units_m1,first_ack_m1,acks_m2,units_m2,first_ack_m2,acks_m3,units_m3,first_ack_m3,acks_m4,units_m4,first_ack_m4
SUS+CQI,5124.168890467998,74.57710527748034,0.6668117219909608,0.3305165446001552,4.626014967534678e-05,3.9365211758188554,0.758799999658818,0.9750053141102905,1.0245378455064817,0.023954609589447118,69.81709724999999,178,179,0.994413407821229,2599,2607,0.9969313387034906,13297,13403,0.9920913228381706,220120,226104,0.9735343027987121
SUS+Deadline-PF,3611.683144673787,70.08875764097898,0.6099150339427044,0.3867278605948409,4.576742492059231e-05,3.9516479099358133,0.7656714454127804,0.9795014811500415,1.018696656503518,0.01851364035203683,62.49325,158,158,1.0,2124,2129,0.9976514795678723,11064,11165,0.9909538737124944,226577,231520,0.9786497926744989
SUS+PF,3621.514095564801,70.39294518094526,0.6126229052429829,0.38422448706055634,3.0091478093403947e-05,3.949529252460387,0.7652963444394991,0.979403059378694,1.0199611700593887,0.019646642145537206,62.8373765,164,164,1.0,2211,2217,0.9972936400541272,11515,11624,0.9906228492773572,225472,230417,0.9785389098894612
SUS+Random,2480.539346498187,66.47284032754607,0.5719160018423421,0.4242959774551661,3.0091478093403947e-05,3.9558255689915667,0.7401548617431308,0.9762145691681097,1.0220814044401851,0.02167733702512507,57.636346,139,140,0.9928571428571429,1544,1547,0.9980607627666451,10086,10202,0.9886296804548128,227467,233202,0.9754075865558615
SUS+MW,4614.586573630751,73.9663349033161,0.6456397359474979,0.35142405643394076,4.626014967534678e-05,3.9469790979111057,0.763642126651454,0.9755336099798879,1.0236557451810033,0.023146930682785526,67.36057375,149,150,0.9933333333333333,2229,2234,0.9977618621307073,11300,11397,0.9914889883302623,223936,229832,0.9743464791673918
SUS+EDF,230.98776305347928,55.96232820016222,0.4795131278073247,0.5145953427658758,0.0,3.9773669598848986,0.7678653755988214,0.9787716942920782,1.012716106002102,0.01268025652174467,46.215795,76,76,1.0,676,676,1.0,5244,5292,0.9909297052154195,238779,244052,0.9783939488305771
SU+CQI,1245.9530368726473,57.96007388665477,0.5501011122458477,0.4467010654004768,0.0,1.0,0.616455249326869,0.9996091678441587,1.0003283321680612,0.0003281347717323327,55.74288575,63949,63974,0.9996092162440992,0,0,nan,0,0,nan,0,0,nan
SU+Deadline-PF,-1723.9921765676215,48.0470096817176,0.42797533888535566,0.5669961743052341,0.0,1.0,0.7171720752394799,0.9989681126608498,1.0004694386534245,0.0004843828144536134,40.48890475,63901,63967,0.9989682179873998,0,0,nan,0,0,nan,0,0,nan
SU+PF,-2112.7602471008677,49.1432275049583,0.42340349878476674,0.5721585012128392,3.0091478093403947e-05,1.0,0.7116504664734625,0.9992487979447608,1.0008139413931938,0.000875,39.545788,63896,63944,0.9992493431752784,0,0,nan,0,0,nan,0,0,nan
SU+Random,-4857.871573856972,40.156585193161135,0.30978869671794484,0.6847932407225938,1.6168671581942826e-05,1.0,0.7286439561722097,0.9962820576644527,1.0027802993075001,0.0030939121491797817,27.468479249999998,63562,63799,0.996285208232104,0,0,nan,0,0,nan,0,0,nan
SU+MW,406.09928630811686,56.33076616737857,0.5102432690739649,0.48575098299832487,0.0,1.0,0.6545446303640423,0.9993117157266895,1.0006726847513119,0.0006718906328164082,51.91199425,63909,63953,0.9993119947461417,0,0,nan,0,0,nan,0,0,nan
SU+EDF,-7415.618001343724,24.06967961813367,0.21674433591221276,0.7767535528717127,0.0,1.0,0.6042544786728401,0.9952566473032527,1.0013057231154399,0.001343787114014252,19.92261125,63610,63913,0.9952591804484221,0,0,nan,0,0,nan,0,0,nan
