world,baseline,seed,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,acks_m2,acks_m3,acks_m4,units_m1,units_m2,units_m3,units_m4
global,SUS+CQI,10000,2846.2447914860045,74.87564975389031,0.5586907449209932,0.4380486581389516,0.0,3.99622202645865,0.6041623994981346,0.9684617865204773,1.0305077077206477,0.029785370127025843,71.042968,0,14,72,29946,0,14,72,30924
global,SUS+CQI,10001,6667.652054224124,88.78732566951564,0.6768852671064546,0.3205277454404346,0.0001293493726555426,3.9869291341151745,0.7619054693380518,0.9831129520471563,1.0160461926181135,0.015959114567003198,83.221358,0,6,289,30560,0,6,292,31087
global,SUS+CQI,10002,6655.701739661442,75.90846135542141,0.7290520867033322,0.26835975412487867,0.0,3.9773741487647194,0.818654187509669,0.9737249838605552,1.0260684174823143,0.025387737125239878,71.51934,0,27,541,29598,0,28,543,30409
global,SUS+CQI,10003,4207.785397852392,85.99054614087947,0.5846604215456674,0.41088992974238875,0.0,3.9974396912117096,0.698485210960561,0.97022084862533,1.0293017858294113,0.028705440900562852,79.201446,0,4,45,30088,0,4,46,31012
global,SUS+CQI,10004,7323.5393492289795,112.03303257649527,0.6390955647888685,0.357619093632235,0.0,3.9991489596645278,0.7528301429078337,0.9591869918699187,1.0405119353893248,0.03888229042945552,104.62123,0,0,18,29477,0,0,18,30732
global,SUS+CQI,10005,4082.578345118518,41.32955042667164,0.7866190321532965,0.21208184475479053,0.0,3.750208742482896,0.8895183204310408,0.987275201353389,1.012617716303708,0.012457325488486961,38.523346,163,1843,6257,18582,163,1843,6283,18902
global,SUS+CQI,10006,2734.4872623728656,45.386998798684594,0.6227732306210881,0.37433798748194513,0.00024073182474723158,3.9121727404965485,0.7398157440857753,0.9865751888379457,1.0130718954248366,0.01305423530177746,41.522226,8,272,2897,26733,8,272,2924,27113
global,SUS+CQI,10007,6475.362183799661,72.30527749828431,0.7367174280879865,0.2622673434856176,0.0,3.8726739633566183,0.805028522539478,0.9714845597675519,1.0281771132834963,0.027405362776025236,68.884864,7,433,3178,25136,8,440,3225,25925
global,SUS+Deadline-PF,10000,1142.945275798146,68.6074061434097,0.5003762227238525,0.4958615500376223,0.00012540757461750688,3.9793740692845865,0.5897872773648039,0.9736036355432366,1.0237025060630558,0.023663425532584412,63.703084,0,14,593,29601,0,14,606,30407
global,SUS+Deadline-PF,10001,5007.737860111619,83.91413989374905,0.6132453757599275,0.3830034924330617,0.0,3.9973681628879554,0.7692378776531703,0.9848215983268902,1.0126803533973177,0.012732676364773972,74.961784,0,0,104,30975,0,0,105,31453
global,SUS+Deadline-PF,10002,5321.453106406414,72.14631760461465,0.6651569071497897,0.3311226140407635,0.0,3.9961907127954377,0.832207282071412,0.979042872659894,1.0205895517616217,0.02018968917269227,64.75162,0,8,134,30504,0,8,134,31160
global,SUS+Deadline-PF,10003,1239.5629003944832,76.84323093680698,0.4866510538641686,0.5083138173302107,0.0,3.9996337202950456,0.7035986378278842,0.9823548079974611,1.0153973404593752,0.015189398674834355,65.624926,0,0,12,30942,0,0,12,31498
global,SUS+Deadline-PF,10004,4366.25129371141,104.46194990238203,0.5510677360131414,0.44487390085998646,0.0,4.0,0.7984384472840244,0.9718611946987643,1.0241149802257161,0.0238125,88.958418,0,0,0,30359,0,0,0,31238
global,SUS+Deadline-PF,10005,4007.318475540049,41.12593070115409,0.779149074374797,0.21890224098733355,0.0,3.765951137875832,0.8892232142051452,0.9880865636840571,1.0117707080645748,0.011630837924453567,38.130884,153,1700,6121,19147,153,1700,6143,19452
global,SUS+Deadline-PF,10006,2318.5233817553017,44.11553239848225,0.5965334617236399,0.40057775637939336,0.00024073182474723158,3.927755470097366,0.7228685873281446,0.9818385576320907,1.0175629725000825,0.017646677891464835,39.808116,4,243,2484,27057,4,245,2521,27569
global,SUS+Deadline-PF,10007,5489.672863672872,69.49555354723307,0.6871404399323181,0.3111675126903553,0.0,3.9469100062502824,0.8200102395676593,0.9744026186579378,1.0237548395564013,0.023243917255491256,64.007168,1,159,1616,27992,1,162,1644,28743
global,SUS+PF,10000,1211.857123075593,69.26122258012026,0.5050163029847002,0.49172310007524456,0.0,3.981865603249137,0.5897563138803754,0.9738718105867553,1.0253925179298313,0.025003145049691786,64.181364,0,14,541,29636,0,14,555,30432
