config,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
CSI01-cont,SUS+CQI@0.60,30000,2218.4,49.51,44.77,0.5689,0.3956,3.992
CSI01-cont,SUS+CQI@0.60,30001,1490.5,75.16,68.99,0.5066,0.4764,4.0
CSI01-cont,SUS+CQI@0.60,30002,-62.2,103.43,95.89,0.4666,0.5258,4.0
CSI01-cont,SUS+CQI@0.60,30003,1141.4,36.4,32.27,0.5327,0.4302,3.997
CSI01-cont,SUS+CQI@0.60,30004,1536.8,64.11,57.79,0.5101,0.4654,4.0
CSI01-cont,SUS+CQI@0.60,30005,2898.3,65.16,59.73,0.5656,0.4089,3.977
CSI01-cont,SUS+CQI@0.60,30006,3435.9,95.11,89.33,0.5486,0.4436,3.957
CSI01-cont,SUS+CQI@0.60,30007,3843.5,55.9,53.81,0.653,0.324,3.978
CSI01-cont,SUS+CQI@0.65,30000,2197.7,49.45,44.69,0.5679,0.397,3.991
CSI01-cont,SUS+CQI@0.65,30001,1455.9,74.99,68.8,0.5056,0.4773,4.0
CSI01-cont,SUS+CQI@0.65,30002,72.5,104.17,96.24,0.4684,0.5244,4.0
CSI01-cont,SUS+CQI@0.65,30003,1115.1,36.33,32.16,0.5306,0.4296,3.99
CSI01-cont,SUS+CQI@0.65,30004,1558.5,64.18,57.73,0.5104,0.4634,3.991
CSI01-cont,SUS+CQI@0.65,30005,2940.7,65.32,59.93,0.5674,0.4058,3.99
CSI01-cont,SUS+CQI@0.65,30006,3628.4,95.72,90.2,0.5536,0.4385,3.962
CSI01-cont,SUS+CQI@0.65,30007,3861.4,55.96,53.88,0.6537,0.3224,3.965
CSI01-cont,SUS+CQI@0.70,30000,2179.2,49.34,44.66,0.5673,0.3956,3.985
CSI01-cont,SUS+CQI@0.70,30001,1458.9,74.97,68.9,0.5059,0.4769,3.996
CSI01-cont,SUS+CQI@0.70,30002,244.2,104.72,96.86,0.4717,0.5208,4.0
CSI01-cont,SUS+CQI@0.70,30003,1112.8,36.33,32.1,0.5304,0.4291,3.983
CSI01-cont,SUS+CQI@0.70,30004,1600.0,64.35,57.85,0.512,0.4646,3.994
CSI01-cont,SUS+CQI@0.70,30005,2941.4,65.41,59.84,0.5673,0.4065,3.987
CSI01-cont,SUS+CQI@0.70,30006,3659.0,96.11,90.06,0.5534,0.4395,3.974
CSI01-cont,SUS+CQI@0.70,30007,3845.0,55.83,53.83,0.6533,0.3226,3.945
CSI01-cont,SUS+CQI@0.75,30000,2124.0,49.13,44.44,0.5646,0.3952,3.971
CSI01-cont,SUS+CQI@0.75,30001,1426.4,74.95,68.77,0.5048,0.4764,3.982
CSI01-cont,SUS+CQI@0.75,30002,365.6,105.43,97.43,0.4736,0.5183,4.0
CSI01-cont,SUS+CQI@0.75,30003,1059.6,36.25,31.85,0.526,0.4325,3.961
CSI01-cont,SUS+CQI@0.75,30004,1485.2,63.92,57.38,0.5078,0.4662,3.986
CSI01-cont,SUS+CQI@0.75,30005,2839.7,65.1,59.36,0.5628,0.4109,3.991
CSI01-cont,SUS+CQI@0.75,30006,3809.7,96.69,90.68,0.5569,0.4351,3.985
CSI01-cont,SUS+CQI@0.75,30007,3861.1,55.96,53.89,0.6539,0.322,3.896
CSI01-cont,SUS+CQI@0.80,30000,2089.1,48.98,44.35,0.563,0.3962,3.93
CSI01-cont,SUS+CQI@0.80,30001,1370.3,74.61,68.63,0.5036,0.4779,3.95
CSI01-cont,SUS+CQI@0.80,30002,384.2,105.53,97.44,0.4739,0.5182,3.999
CSI01-cont,SUS+CQI@0.80,30003,977.3,36.01,31.47,0.5205,0.4359,3.909
CSI01-cont,SUS+CQI@0.80,30004,1371.2,63.47,56.97,0.5038,0.4686,3.967
CSI01-cont,SUS+CQI@0.80,30005,2762.5,64.89,59.15,0.5601,0.4148,3.98
CSI01-cont,SUS+CQI@0.80,30006,3834.8,97.04,90.71,0.5569,0.4352,3.992
CSI01-cont,SUS+CQI@0.80,30007,3870.5,55.98,53.97,0.6545,0.3245,3.815
CSI01-cont,SU+CQI,30000,2514.7,48.95,46.62,0.5926,0.3954,1.0
CSI01-cont,SU+CQI,30001,382.7,67.94,66.41,0.4863,0.5088,1.0
CSI01-cont,SU+CQI,30002,-7162.3,72.79,71.04,0.3436,0.6524,1.0
CSI01-cont,SU+CQI,30003,1259.7,35.3,33.48,0.5493,0.4372,1.0
CSI01-cont,SU+CQI,30004,-46.2,55.35,53.1,0.4692,0.5254,1.0
CSI01-cont,SU+CQI,30005,2091.4,59.99,58.01,0.5475,0.4459,1.0
CSI01-cont,SU+CQI,30006,-2091.3,71.53,69.37,0.4249,0.5696,1.0
CSI01-cont,SU+CQI,30007,3658.9,54.44,53.39,0.6465,0.3484,1.0
CSI01-cont,PPO,30000,2742.6,49.55,47.13,0.604,0.3755,2.433
CSI01-cont,PPO,30001,2139.5,75.52,72.23,0.5317,0.4568,2.753
CSI01-cont,PPO,30002,815.8,104.27,98.98,0.4859,0.5071,3.872
CSI01-cont,PPO,30003,1595.0,36.37,34.45,0.5714,0.4125,2.146
CSI01-cont,PPO,30004,2077.3,65.05,60.16,0.5315,0.4481,3.166
CSI01-cont,PPO,30005,3622.0,66.26,63.23,0.5986,0.3825,2.98
CSI01-cont,PPO,30006,3797.8,94.51,90.96,0.5611,0.4316,3.725
CSI01-cont,PPO,30007,4124.0,56.32,55.17,0.6696,0.3177,2.621
CSI01-cqi4,SUS+CQI@0.60,30000,1989.8,48.56,44.01,0.5593,0.4114,3.959
CSI01-cqi4,SUS+CQI@0.60,30001,1396.7,74.46,68.9,0.5058,0.4788,3.999
CSI01-cqi4,SUS+CQI@0.60,30002,-629.0,101.49,93.66,0.4559,0.5368,4.0
CSI01-cqi4,SUS+CQI@0.60,30003,1018.1,35.55,31.99,0.5283,0.4426,3.991
CSI01-cqi4,SUS+CQI@0.60,30004,1347.7,63.59,57.0,0.5037,0.4735,3.989
CSI01-cqi4,SUS+CQI@0.60,30005,2647.4,64.4,58.89,0.5571,0.4191,3.996
CSI01-cqi4,SUS+CQI@0.60,30006,2920.9,93.04,87.43,0.5369,0.4559,3.998
CSI01-cqi4,SUS+CQI@0.60,30007,3844.6,55.88,53.95,0.6539,0.3302,3.841
CSI01-cqi4,SUS+CQI@0.65,30000,1996.0,48.55,44.09,0.56,0.4094,3.951
CSI01-cqi4,SUS+CQI@0.65,30001,1325.2,74.31,68.64,0.5035,0.4793,3.996
CSI01-cqi4,SUS+CQI@0.65,30002,-417.0,102.26,94.47,0.4599,0.5334,4.0
CSI01-cqi4,SUS+CQI@0.65,30003,976.9,35.52,31.77,0.5249,0.4465,3.983
CSI01-cqi4,SUS+CQI@0.65,30004,1448.9,63.65,57.43,0.508,0.4699,3.984
CSI01-cqi4,SUS+CQI@0.65,30005,2668.5,64.48,58.96,0.5578,0.4181,3.995
CSI01-cqi4,SUS+CQI@0.65,30006,3015.2,93.56,87.76,0.5387,0.454,3.998
CSI01-cqi4,SUS+CQI@0.65,30007,3883.5,55.92,54.11,0.6562,0.3274,3.798
CSI01-cqi4,SUS+CQI@0.70,30000,2002.6,48.51,44.13,0.5606,0.4088,3.921
CSI01-cqi4,SUS+CQI@0.70,30001,1299.4,74.15,68.5,0.5027,0.4792,3.987
CSI01-cqi4,SUS+CQI@0.70,30002,-324.2,102.71,94.67,0.4613,0.5316,4.0
CSI01-cqi4,SUS+CQI@0.70,30003,965.0,35.41,31.72,0.5244,0.4442,3.972
CSI01-cqi4,SUS+CQI@0.70,30004,1446.9,63.72,57.37,0.5075,0.4718,3.978
CSI01-cqi4,SUS+CQI@0.70,30005,2637.8,64.45,58.8,0.5563,0.4191,3.994
CSI01-cqi4,SUS+CQI@0.70,30006,3131.8,93.95,88.19,0.5416,0.4504,3.998
CSI01-cqi4,SUS+CQI@0.70,30007,3877.5,55.92,54.09,0.6559,0.3276,3.736
CSI01-cqi4,SUS+CQI@0.75,30000,2012.2,48.52,44.14,0.5614,0.4066,3.896
CSI01-cqi4,SUS+CQI@0.75,30001,1256.1,74.18,68.32,0.5012,0.4816,3.972
CSI01-cqi4,SUS+CQI@0.75,30002,-256.3,103.3,94.86,0.462,0.5308,3.982
CSI01-cqi4,SUS+CQI@0.75,30003,896.8,35.31,31.37,0.519,0.4491,3.946
CSI01-cqi4,SUS+CQI@0.75,30004,1459.1,63.85,57.5,0.5082,0.4711,3.951
CSI01-cqi4,SUS+CQI@0.75,30005,2650.1,64.59,58.84,0.5566,0.42,3.988
CSI01-cqi4,SUS+CQI@0.75,30006,3174.1,94.35,88.27,0.542,0.4504,3.998
CSI01-cqi4,SUS+CQI@0.75,30007,3896.2,56.02,54.17,0.6568,0.3271,3.639
CSI01-cqi4,SUS+CQI@0.80,30000,1998.4,48.4,44.12,0.5606,0.4047,3.823
CSI01-cqi4,SUS+CQI@0.80,30001,1185.2,73.85,67.99,0.499,0.4835,3.923
CSI01-cqi4,SUS+CQI@0.80,30002,-207.8,103.36,95.06,0.4631,0.5297,3.999
CSI01-cqi4,SUS+CQI@0.80,30003,858.5,35.21,31.22,0.5161,0.4509,3.884
CSI01-cqi4,SUS+CQI@0.80,30004,1381.5,63.63,57.24,0.5051,0.4745,3.886
CSI01-cqi4,SUS+CQI@0.80,30005,2556.8,64.24,58.43,0.5527,0.4235,3.973
CSI01-cqi4,SUS+CQI@0.80,30006,3180.6,94.56,88.19,0.5416,0.4505,3.997
CSI01-cqi4,SUS+CQI@0.80,30007,3933.4,56.16,54.37,0.6588,0.3278,3.533
CSI01-cqi4,SU+CQI,30000,2502.9,48.97,46.66,0.5932,0.3956,1.0
CSI01-cqi4,SU+CQI,30001,378.4,68.1,66.34,0.4859,0.5094,1.0
CSI01-cqi4,SU+CQI,30002,-7336.4,72.31,70.3,0.3399,0.6561,1.0
CSI01-cqi4,SU+CQI,30003,1305.7,35.5,33.67,0.5535,0.4351,1.0
