world,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth,jain
K60,SUS-RPS,30000,919.7496,98.4031,98.072,0.4922,0.5023,2.5301,0.5806
K60,SUS+CQI-Feasible,30000,3759.4811,114.4553,110.553,0.5477,0.4486,3.8037,0.5957
K60,SUS+CQI@m=3,30000,3344.9156,113.5171,108.7377,0.5375,0.4588,3.0,0.5842
K60,SUS-RPS,30001,-20495.6481,120.62,119.3815,0.286,0.708,2.068,0.4671
K60,SUS+CQI-Feasible,30001,-7492.6688,181.0413,174.9223,0.4101,0.586,3.9953,0.4512
K60,SUS+CQI@m=3,30001,-11064.9883,166.3763,161.5966,0.3783,0.6177,3.0,0.4111
K60,SUS-RPS,30002,-19515.5223,107.5182,106.1063,0.2798,0.7137,1.9567,0.4677
K60,SUS+CQI-Feasible,30002,-8205.0888,162.1519,155.1426,0.3953,0.6006,3.9964,0.4517
K60,SUS+CQI@m=3,30002,-11034.4893,151.1146,144.4152,0.3672,0.6286,3.0,0.416
K60,SUS-RPS,30003,3300.1217,95.5613,95.2134,0.5494,0.4468,2.667,0.6134
K60,SUS+CQI-Feasible,30003,4619.8309,105.7321,101.467,0.5766,0.4211,3.8291,0.6321
K60,SUS+CQI@m=3,30003,4217.8809,105.0505,99.5891,0.5647,0.4328,2.9979,0.6217
K60,SUS-RPS,30004,-17073.6229,111.2133,109.8887,0.2985,0.6953,2.0572,0.4688
K60,SUS+CQI-Feasible,30004,-6085.0085,163.9537,156.8192,0.414,0.5819,3.9651,0.4696
K60,SUS+CQI@m=3,30004,-8616.3518,153.889,147.597,0.3883,0.6074,3.0,0.435
K60,SUS-RPS,30005,-5258.6963,102.6088,101.8298,0.3952,0.5992,2.059,0.5356
K60,SUS+CQI-Feasible,30005,1656.4732,137.8004,131.8298,0.4988,0.4975,3.9731,0.5583
K60,SUS+CQI@m=3,30005,641.3391,133.5149,128.0369,0.4839,0.5124,3.0,0.5346
K60,SUS-RPS,30006,-13474.8556,112.6084,111.2392,0.3228,0.6709,1.9449,0.49
K60,SUS+CQI-Feasible,30006,-2292.7298,164.1098,158.3657,0.4514,0.5443,3.9867,0.5008
K60,SUS+CQI@m=3,30006,-4625.8324,154.985,149.7063,0.4256,0.57,3.0,0.4675
K60,SUS-RPS,30007,-2863.5471,108.5561,107.7878,0.4292,0.5644,2.3628,0.5427
K60,SUS+CQI-Feasible,30007,3308.0216,138.5957,134.7245,0.5264,0.4694,3.9192,0.5673
K60,SUS+CQI@m=3,30007,1933.7068,134.2461,129.1082,0.5034,0.4923,2.9999,0.5472
K60,SUS-RPS,30008,-19678.5155,113.062,111.5334,0.284,0.7099,2.0821,0.4759
K60,SUS+CQI-Feasible,30008,-7534.2566,169.709,163.2982,0.4057,0.5904,3.9443,0.4565
K60,SUS+CQI@m=3,30008,-10669.9852,157.3117,151.6318,0.3758,0.6201,3.0,0.4177
K60,SUS-RPS,30009,2199.6098,103.2033,102.7608,0.5177,0.4769,2.3686,0.609
K60,SUS+CQI-Feasible,30009,5063.0795,120.5319,115.5342,0.5716,0.425,3.8491,0.6411
K60,SUS+CQI@m=3,30009,4401.3845,119.2556,112.5187,0.5556,0.441,2.9999,0.6296
K60,SUS-RPS,30010,-4196.4514,118.4196,117.9968,0.4174,0.5768,2.3685,0.5278
K60,SUS+CQI-Feasible,30010,2134.1764,150.398,145.3457,0.5064,0.4901,3.8755,0.547
K60,SUS+CQI@m=3,30010,864.26,146.0168,140.1975,0.4883,0.5082,3.0,0.5285
K60,SUS-RPS,30011,-19738.9426,123.1472,121.7351,0.2909,0.7032,1.9943,0.4671
K60,SUS+CQI-Feasible,30011,-6424.5084,184.7175,177.4121,0.418,0.578,3.9868,0.4681
K60,SUS+CQI@m=3,30011,-9820.2427,170.6561,165.0703,0.3879,0.608,3.0,0.4265
K60,SUS-RPS,30012,1902.6984,97.7832,97.3317,0.5135,0.4819,2.4914,0.6312
K60,SUS+CQI-Feasible,30012,4673.9966,116.0785,110.1554,0.5657,0.4313,3.9251,0.6512
K60,SUS+CQI@m=3,30012,4194.4382,114.8112,108.1711,0.5542,0.4429,3.0,0.6392
K60,SUS-RPS,30013,-342.0173,107.4079,106.8718,0.4671,0.5258,2.4696,0.5529
K60,SUS+CQI-Feasible,30013,3210.6201,125.92,122.5615,0.5304,0.4651,3.7852,0.5747
K60,SUS+CQI@m=3,30013,2492.3373,124.0176,119.3471,0.516,0.4794,3.0,0.5637
K60,SUS-RPS,30014,-26019.9928,120.2245,117.7972,0.2572,0.7365,1.978,0.4564
K60,SUS+CQI-Feasible,30014,-11617.9932,186.3819,179.3637,0.3813,0.6141,3.9961,0.4301
K60,SUS+CQI@m=3,30014,-15662.5674,170.2439,164.0129,0.3485,0.6467,3.0,0.3882
K60,SUS-RPS,30015,-9489.4155,112.3782,111.3733,0.3561,0.6388,2.1649,0.5018
K60,SUS+CQI-Feasible,30015,-278.6953,155.8682,150.8053,0.4737,0.5231,3.9518,0.5164
K60,SUS+CQI@m=3,30015,-2181.2924,148.6676,143.5426,0.4498,0.5469,3.0,0.4878
K60,SUS-RPS,30016,-23066.296,115.5761,113.5593,0.2676,0.7265,2.015,0.4599
K60,SUS+CQI-Feasible,30016,-9290.0433,178.2511,172.5727,0.3959,0.6004,3.9942,0.4392
K60,SUS+CQI@m=3,30016,-13065.3392,164.1414,157.9157,0.3618,0.6342,3.0,0.4034
K60,SUS-RPS,30017,-12932.3446,116.1904,115.475,0.3317,0.6617,2.5228,0.4899
K60,SUS+CQI-Feasible,30017,-4320.8081,158.3739,152.7491,0.4297,0.5661,3.9709,0.4837
K60,SUS+CQI@m=3,30017,-6555.4119,149.9472,144.3891,0.4049,0.5907,3.0,0.4548
K60,SUS-RPS,30018,-3149.121,107.5337,107.1108,0.4261,0.5689,2.6369,0.5443
K60,SUS+CQI-Feasible,30018,2007.513,133.613,130.1147,0.5073,0.4892,3.9217,0.5494
K60,SUS+CQI@m=3,30018,822.6469,129.7585,125.0954,0.4875,0.5091,3.0,0.5331
K60,SUS-RPS,30019,-2998.4256,104.0919,103.5349,0.4257,0.569,2.3656,0.5459
K60,SUS+CQI-Feasible,30019,2545.4598,131.6006,127.5531,0.516,0.4805,3.9113,0.5659
K60,SUS+CQI@m=3,30019,1222.4328,127.4541,122.0155,0.4931,0.5032,3.0,0.5473
K60,SUS-RPS,30020,-5814.8514,97.3753,96.4416,0.3854,0.6089,2.1766,0.5225
K60,SUS+CQI-Feasible,30020,-246.693,125.4348,120.5691,0.4726,0.5238,3.9373,0.5362
K60,SUS+CQI@m=3,30020,-1504.4673,121.7908,115.4114,0.4511,0.5453,3.0,0.5208
K60,SUS-RPS,30021,4780.3797,98.9197,98.5247,0.5897,0.4064,3.133,0.6206
K60,SUS+CQI-Feasible,30021,5017.7649,101.5196,99.7231,0.5941,0.4024,3.598,0.6216
K60,SUS+CQI@m=3,30021,4426.0844,100.3898,96.703,0.5765,0.4199,2.9996,0.6168
K60,SUS-RPS,30022,-6232.1369,107.4382,106.9852,0.388,0.6058,2.7237,0.5236
K60,SUS+CQI-Feasible,30022,-1049.7902,135.1983,130.0254,0.4615,0.5344,3.9308,0.521
K60,SUS+CQI@m=3,30022,-2436.0112,130.1252,124.4627,0.4415,0.5544,3.0,0.4987
K60,SUS-RPS,30023,-27140.7315,106.4615,104.9924,0.2411,0.7527,2.0526,0.4338
K60,SUS+CQI-Feasible,30023,-16276.2598,159.5419,151.1824,0.3373,0.6582,3.9584,0.3989
K60,SUS+CQI@m=3,30023,-19116.4315,148.2841,140.6765,0.3133,0.6821,3.0,0.3611
K60,SUS-RPS,30024,-21320.2929,115.9587,114.5775,0.2784,0.7156,2.2315,0.4651
K60,SUS+CQI-Feasible,30024,-11088.9639,168.7618,159.2134,0.3735,0.6222,3.9874,0.442
K60,SUS+CQI@m=3,30024,-13597.9272,158.6732,150.0304,0.3509,0.6448,3.0,0.4048
K60,SUS-RPS,30025,-16080.4015,104.6751,103.3542,0.2979,0.6964,2.046,0.4721
K60,SUS+CQI-Feasible,30025,-6320.8372,151.438,145.6461,0.4078,0.5885,3.9903,0.4653
K60,SUS+CQI@m=3,30025,-8809.632,142.4934,135.8546,0.3797,0.6164,3.0,0.4358
K60,SUS-RPS,30026,-1942.7439,95.3507,94.8907,0.4404,0.554,2.4444,0.5692
K60,SUS+CQI-Feasible,30026,2014.9346,118.2382,112.6135,0.5096,0.4868,3.9692,0.5818
K60,SUS+CQI@m=3,30026,1321.6299,115.818,110.0145,0.4964,0.4999,3.0,0.5609
K60,SUS-RPS,30027,-17785.9453,106.9123,106.1648,0.2932,0.7005,2.5208,0.4833
K60,SUS+CQI-Feasible,30027,-9721.8822,150.044,142.7543,0.3765,0.6189,3.9851,0.4408
K60,SUS+CQI@m=3,30027,-11973.304,140.9496,134.4179,0.3537,0.6413,3.0,0.4085
K60,SUS-RPS,30028,-15442.2687,101.5991,100.5421,0.301,0.6938,2.0259,0.4738
K60,SUS+CQI-Feasible,30028,-6841.6826,144.3725,137.6177,0.3997,0.5968,3.9716,0.4696
K60,SUS+CQI@m=3,30028,-9198.8872,136.0947,128.1939,0.372,0.6243,3.0,0.441
K60,SUS-RPS,30029,-8709.6409,116.6697,116.0782,0.3692,0.6247,2.5579,0.5264
K60,SUS+CQI-Feasible,30029,-1797.5826,154.7883,147.3457,0.453,0.5431,3.971,0.5208
K60,SUS+CQI@m=3,30029,-3584.4526,147.9374,140.527,0.4315,0.5645,2.9735,0.4918
K60,SUS-RPS,30030,-13620.025,125.0497,124.1758,0.3328,0.6614,2.5244,0.4912
K60,SUS+CQI-Feasible,30030,-4584.2904,169.7917,163.1184,0.43,0.5665,3.9287,0.4775
K60,SUS+CQI@m=3,30030,-6724.3412,160.8875,155.4439,0.4087,0.5879,3.0,0.4462
K60,SUS-RPS,30031,-10851.8513,106.837,105.7355,0.3405,0.654,2.1382,0.502
K60,SUS+CQI-Feasible,30031,-3189.9611,146.3649,138.9506,0.436,0.5606,3.9793,0.5036
K60,SUS+CQI@m=3,30031,-4807.2061,139.3485,132.8746,0.4169,0.5796,3.0,0.4748
K60,SUS-RPS,30032,-4616.6952,113.0874,112.4134,0.4102,0.5851,2.3543,0.536
K60,SUS+CQI-Feasible,30032,1378.044,143.9004,138.4063,0.4956,0.5016,3.9385,0.5468
K60,SUS+CQI@m=3,30032,420.6221,140.3632,134.667,0.4816,0.5154,3.0,0.5295
K60,SUS-RPS,30033,3517.6617,100.684,100.2933,0.5504,0.4458,2.7232,0.627
K60,SUS+CQI-Feasible,30033,4879.9159,112.3771,106.9096,0.575,0.4224,3.8936,0.6409
K60,SUS+CQI@m=3,30033,4512.8716,111.6204,105.1822,0.5652,0.4324,2.9983,0.6291
K60,SUS-RPS,30034,-15117.2942,119.8986,118.5781,0.3181,0.6759,2.0532,0.486
K60,SUS+CQI-Feasible,30034,-4592.6594,171.6331,164.0297,0.4287,0.5675,3.9808,0.4872
K60,SUS+CQI@m=3,30034,-6948.0275,162.5824,155.1321,0.4047,0.5915,3.0,0.4537
K60,SUS-RPS,30035,3199.4332,108.0582,107.6948,0.5376,0.4576,2.6792,0.6067
K60,SUS+CQI-Feasible,30035,4931.1894,120.1949,115.5252,0.5687,0.4276,3.8277,0.6283
K60,SUS+CQI@m=3,30035,4394.9357,119.2396,112.8844,0.5554,0.441,3.0,0.6194
K60,SUS-RPS,30036,3899.0818,95.0243,94.6649,0.5675,0.4287,2.7239,0.6287
K60,SUS+CQI-Feasible,30036,4526.8753,101.4614,97.7649,0.5794,0.4177,3.7196,0.6393
K60,SUS+CQI@m=3,30036,4108.8302,101.3706,95.5936,0.565,0.4319,2.9977,0.6349
K60,SUS-RPS,30037,-18256.319,118.8582,117.2415,0.2986,0.6954,2.1797,0.4829
K60,SUS+CQI-Feasible,30037,-6900.0923,173.256,165.6961,0.4119,0.5843,3.9911,0.4628
K60,SUS+CQI@m=3,30037,-9651.6477,161.8789,155.7526,0.3864,0.6097,3.0,0.4273
K60,SUS-RPS,30038,-20584.2267,118.657,117.3149,0.2832,0.7102,2.1784,0.4758
K60,SUS+CQI-Feasible,30038,-8397.1699,176.328,169.8594,0.3998,0.5955,3.9794,0.4496
K60,SUS+CQI@m=3,30038,-11807.6847,162.8296,157.0262,0.3688,0.6264,3.0,0.4157
K60,SUS-RPS,30039,4052.5007,89.1745,88.8166,0.577,0.4179,2.4361,0.645
K60,SUS+CQI-Feasible,30039,5067.8679,97.3896,93.5045,0.6001,0.3969,3.825,0.6661
K60,SUS+CQI@m=3,30039,4978.1097,97.8373,92.8826,0.595,0.402,2.9999,0.6604
K60,SUS-RPS,30040,-26409.4711,109.0791,105.855,0.2423,0.7508,1.7809,0.4431
K60,SUS+CQI-Feasible,30040,-13380.1482,168.7031,161.513,0.3601,0.635,3.9859,0.4226
K60,SUS+CQI@m=3,30040,-16491.4035,156.3062,149.4218,0.3331,0.6618,3.0,0.3902
K60,SUS-RPS,30041,-15965.3665,112.364,110.8418,0.3048,0.6889,1.9229,0.4847
K60,SUS+CQI-Feasible,30041,-4881.5295,165.306,158.1048,0.4243,0.5714,3.9905,0.4881
K60,SUS+CQI@m=3,30041,-7455.7055,155.2481,148.4468,0.3974,0.5982,3.0,0.4557
K60,SUS-RPS,30042,-14591.9326,117.8537,116.9708,0.3209,0.673,2.3992,0.4983
K60,SUS+CQI-Feasible,30042,-4865.0076,166.0237,159.3081,0.426,0.5697,3.964,0.4794
K60,SUS+CQI@m=3,30042,-7360.0129,156.0327,150.2069,0.4003,0.595,3.0,0.4448
K60,SUS-RPS,30043,-21578.6753,114.4389,112.502,0.2742,0.7191,1.8683,0.4705
K60,SUS+CQI-Feasible,30043,-8750.5828,175.1975,168.0007,0.3963,0.5993,3.9987,0.4541
K60,SUS+CQI@m=3,30043,-11614.8607,163.4716,157.2336,0.3705,0.625,3.0,0.4168
K60,SUS-RPS,30044,-23674.7358,116.3859,113.6788,0.2627,0.731,1.9339,0.4726
K60,SUS+CQI-Feasible,30044,-9972.9943,178.8712,171.1094,0.3889,0.6067,3.9953,0.4535
K60,SUS+CQI@m=3,30044,-13807.7816,164.0632,156.486,0.3554,0.6401,3.0,0.4157
K60,SUS-RPS,30045,5196.2666,94.7246,94.2372,0.6092,0.3879,2.9362,0.6528
K60,SUS+CQI-Feasible,30045,5366.1228,97.7738,95.2451,0.6107,0.387,3.6878,0.658
K60,SUS+CQI@m=3,30045,4991.7063,97.5805,93.3052,0.597,0.4003,2.9997,0.6528
K60,SUS-RPS,30046,-2279.1829,92.1943,91.6626,0.4349,0.5607,2.2872,0.5847
K60,SUS+CQI-Feasible,30046,2799.078,120.9711,114.4011,0.5226,0.4748,3.9839,0.6082
K60,SUS+CQI@m=3,30046,1791.2333,117.6125,110.4175,0.5034,0.494,3.0,0.5887
K60,SUS-RPS,30047,-26254.2141,118.2499,116.6256,0.2554,0.7378,1.911,0.4554
K60,SUS+CQI-Feasible,30047,-11984.9955,185.9563,177.8548,0.3775,0.6177,3.9914,0.4242
K60,SUS+CQI@m=3,30047,-15457.7724,170.8039,165.0956,0.3501,0.6448,3.0,0.382
K60,SUS-RPS,30048,-11724.5023,114.8757,113.7979,0.3368,0.6558,2.001,0.5048
K60,SUS+CQI-Feasible,30048,-1210.2385,165.5005,158.6123,0.4607,0.5344,3.9665,0.5114
K60,SUS+CQI@m=3,30048,-3152.2523,157.043,151.5478,0.4393,0.5555,3.0,0.4781
K60,SUS-RPS,30049,-1326.4629,111.7045,111.2437,0.4522,0.5422,2.6131,0.5628
K60,SUS+CQI-Feasible,30049,3059.0657,135.1838,130.9921,0.5232,0.4731,3.8909,0.5728
K60,SUS+CQI@m=3,30049,2095.5481,132.1235,127.0088,0.5065,0.4898,3.0,0.5577
K60,SUS-RPS,30050,-25592.0965,115.5161,111.8554,0.2521,0.7412,1.8064,0.4557
K60,SUS+CQI-Feasible,30050,-11012.7645,180.3271,173.6294,0.3831,0.6125,3.9929,0.4366
K60,SUS+CQI@m=3,30050,-14820.6453,165.0417,159.2899,0.3512,0.6443,3.0,0.3988
K60,SUS-RPS,30051,-24619.0384,121.0785,118.3659,0.2626,0.731,2.0434,0.4701
K60,SUS+CQI-Feasible,30051,-9782.6435,187.8843,181.9203,0.395,0.6005,3.9875,0.4424
K60,SUS+CQI@m=3,30051,-14240.2346,170.6894,164.6082,0.3571,0.6381,3.0,0.4012
K60,SUS-RPS,30052,-23677.6937,113.3127,110.4652,0.2594,0.7348,1.829,0.4621
K60,SUS+CQI-Feasible,30052,-9503.3504,175.9461,169.6779,0.3927,0.6033,3.9739,0.4441
K60,SUS+CQI@m=3,30052,-13522.5051,160.6311,153.8553,0.3563,0.6394,3.0,0.4084
K60,SUS-RPS,30053,-8135.6635,108.4958,107.6255,0.3686,0.6256,2.2511,0.5176
K60,SUS+CQI-Feasible,30053,-293.8691,147.4251,141.8858,0.4725,0.5234,3.9538,0.5333
K60,SUS+CQI@m=3,30053,-1983.8178,141.1339,135.2262,0.4502,0.5457,3.0,0.5096
K60,SUS-RPS,30054,-8806.36,112.3027,111.7459,0.3647,0.6295,2.4566,0.5274
K60,SUS+CQI-Feasible,30054,-603.8164,154.7523,148.1442,0.4681,0.528,3.9599,0.5279
K60,SUS+CQI@m=3,30054,-2468.6144,147.3128,141.3214,0.4453,0.5507,3.0,0.494
K60,SUS-RPS,30055,-6109.7462,108.4165,107.8016,0.3888,0.6055,2.2871,0.5218
K60,SUS+CQI-Feasible,30055,994.3462,143.4846,138.4044,0.4896,0.5065,3.9391,0.537
K60,SUS+CQI@m=3,30055,-401.0644,138.1918,132.9163,0.4698,0.5262,2.9999,0.5143
K60,SUS-RPS,30056,-11793.2045,111.4192,110.2449,0.3357,0.6583,2.117,0.5015
K60,SUS+CQI-Feasible,30056,-2243.4606,156.8977,150.8498,0.4507,0.5456,3.9649,0.504
K60,SUS+CQI@m=3,30056,-4274.146,149.2095,143.0893,0.4267,0.5693,3.0,0.4734
K60,SUS-RPS,30057,-5789.0266,105.5288,104.9029,0.3898,0.6047,2.3016,0.5318
K60,SUS+CQI-Feasible,30057,899.3139,139.3629,134.251,0.4877,0.5088,3.9278,0.5366
K60,SUS+CQI@m=3,30057,-425.2407,134.4161,128.9961,0.4681,0.5281,3.0,0.5141
K60,SUS-RPS,30058,-5206.3755,113.0079,112.344,0.401,0.5929,2.4099,0.5237
K60,SUS+CQI-Feasible,30058,1618.2421,146.0885,141.992,0.4992,0.4968,3.8813,0.5346
K60,SUS+CQI@m=3,30058,118.9311,140.9783,135.7103,0.4773,0.5186,3.0,0.5157
K60,SUS-RPS,30059,-19597.7566,116.1666,114.4696,0.2857,0.7076,2.0655,0.4737
K60,SUS+CQI-Feasible,30059,-7761.9996,171.6588,164.5643,0.4029,0.5924,3.9855,0.4607
K60,SUS+CQI@m=3,30059,-11298.3856,157.9895,151.1517,0.3693,0.6259,3.0,0.4203
