world,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth,jain
P055,SUS-RPS,30000,4560.485,115.7546,114.6672,0.5669,0.4295,2.7462,0.5891
P055,SUS+CQI-Feasible,30000,4336.9652,114.8997,114.2273,0.5639,0.4326,3.3331,0.5843
P055,SUS+CQI@m=3,30000,3758.4137,114.4601,111.1642,0.5476,0.4487,2.9986,0.5884
P055,SUS-RPS,30001,3315.6128,92.4974,91.5042,0.5574,0.4389,2.6699,0.6015
P055,SUS+CQI-Feasible,30001,3257.9761,92.6864,91.761,0.5575,0.4392,3.2174,0.599
P055,SUS+CQI@m=3,30001,2655.2205,92.9277,88.4564,0.5354,0.4613,2.9989,0.6039
P055,SUS-RPS,30002,-9261.3655,95.0521,94.4249,0.3471,0.6471,2.5621,0.5593
P055,SUS+CQI-Feasible,30002,-3292.5605,125.551,119.8669,0.43,0.5658,3.9151,0.5116
P055,SUS+CQI@m=3,30002,-4325.4279,122.2409,116.2115,0.4149,0.5809,3.0,0.4783
P055,SUS-RPS,30003,-3908.1726,73.0632,71.8375,0.3946,0.6007,2.1819,0.4981
P055,SUS+CQI-Feasible,30003,-2292.2079,81.1675,79.4114,0.432,0.5643,3.6779,0.4914
P055,SUS+CQI@m=3,30003,-2635.9976,82.5487,77.1258,0.4176,0.5786,3.0,0.4909
P055,SUS-RPS,30004,2682.1742,85.4858,85.2741,0.5485,0.4476,3.0314,0.6353
P055,SUS+CQI-Feasible,30004,3294.2246,90.1354,88.0291,0.5568,0.4397,3.7305,0.6404
P055,SUS+CQI@m=3,30004,3102.7184,91.2025,86.4724,0.5449,0.4513,2.9982,0.6335
P055,SUS-RPS,30005,284.0779,100.3586,99.8221,0.4813,0.5142,3.0254,0.61
P055,SUS+CQI-Feasible,30005,2577.374,113.2247,110.1502,0.523,0.473,3.7538,0.5977
P055,SUS+CQI@m=3,30005,2026.2779,112.6479,107.3508,0.508,0.488,2.9999,0.5869
P055,SUS-RPS,30006,-6689.9173,87.9959,87.3784,0.3691,0.6245,2.4018,0.6142
P055,SUS+CQI-Feasible,30006,-669.6813,118.3848,112.9793,0.4637,0.5318,3.939,0.5623
P055,SUS+CQI@m=3,30006,-1578.4136,115.9632,109.2169,0.4465,0.5487,3.0,0.5349
P055,SUS-RPS,30007,5441.5463,101.7611,100.8132,0.6068,0.3906,2.5902,0.6467
P055,SUS+CQI-Feasible,30007,5592.9384,102.1523,101.7493,0.6112,0.3861,3.2981,0.6494
P055,SUS+CQI@m=3,30007,5122.1578,102.3071,98.9567,0.5937,0.4036,2.9783,0.6514
P055,SUS-RPS,30008,4938.2147,98.5342,98.0146,0.5971,0.3999,3.0956,0.6683
P055,SUS+CQI-Feasible,30008,5074.6759,101.4083,98.7179,0.5944,0.4027,3.6731,0.6857
P055,SUS+CQI@m=3,30008,4134.6345,100.7966,93.6718,0.5637,0.4333,2.9986,0.6761
P055,SUS-RPS,30009,8301.223,99.4046,97.8964,0.7108,0.2873,2.6648,0.7645
P055,SUS+CQI-Feasible,30009,8256.8764,99.0418,98.1379,0.7106,0.2873,3.4343,0.7658
P055,SUS+CQI@m=3,30009,7677.7414,99.4543,94.6015,0.6841,0.3134,2.9902,0.7709
P055,SUS-RPS,30010,1104.7896,79.8682,78.9054,0.5083,0.4879,2.5737,0.5598
P055,SUS+CQI-Feasible,30010,1075.58,80.2283,79.0295,0.5072,0.4891,3.4586,0.5664
P055,SUS+CQI@m=3,30010,587.5722,81.0585,76.2035,0.4861,0.51,2.9995,0.5669
P055,SUS-RPS,30011,-4329.3405,107.0307,106.4526,0.4113,0.584,2.7615,0.5403
P055,SUS+CQI-Feasible,30011,16.8865,128.0463,125.2783,0.4787,0.5178,3.7849,0.5311
P055,SUS+CQI@m=3,30011,-1028.3465,126.0616,120.3003,0.4591,0.5373,3.0,0.5192
P055,SUS-RPS,30012,2595.0923,82.4644,80.9087,0.5478,0.4503,2.423,0.5936
P055,SUS+CQI-Feasible,30012,2465.9893,81.4236,80.7581,0.547,0.4512,3.2338,0.5874
P055,SUS+CQI@m=3,30012,2009.3518,82.3169,78.0476,0.5256,0.4722,2.9993,0.5902
P055,SUS-RPS,30013,-9118.926,96.0728,95.2704,0.3455,0.6483,2.0045,0.5482
P055,SUS+CQI-Feasible,30013,-112.8709,136.8153,133.0619,0.4747,0.521,3.8503,0.5338
P055,SUS+CQI@m=3,30013,-1327.7422,133.3233,127.7575,0.4551,0.5405,3.0,0.5126
P055,SUS-RPS,30014,-2571.2387,58.1327,56.4191,0.4072,0.5879,1.6985,0.445
P055,SUS+CQI-Feasible,30014,-3548.2026,53.1891,53.0474,0.3857,0.6093,2.4802,0.4121
P055,SUS+CQI@m=3,30014,-3908.5136,54.3194,50.3226,0.3656,0.6288,2.9936,0.438
P055,SUS-RPS,30015,-3882.4188,107.5033,107.0207,0.4191,0.5763,3.0556,0.5693
P055,SUS+CQI-Feasible,30015,824.3479,130.8417,127.2737,0.4907,0.5056,3.8895,0.5482
P055,SUS+CQI@m=3,30015,-491.0366,126.8657,121.7432,0.4688,0.5276,3.0,0.5244
P055,SUS-RPS,30016,4070.8148,115.0126,114.6858,0.559,0.4369,3.3346,0.6213
