world,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth,jain
STORM2,SUS-RPS,30000,3425.2782,111.2127,110.0435,0.543,0.4513,2.7106,0.5763
STORM2,SUS+CQI-Feasible,30000,3249.2058,110.8051,109.62,0.5411,0.4536,3.3345,0.5734
STORM2,SUS+CQI@m=3,30000,2744.7641,109.9971,106.9731,0.5272,0.4673,2.9981,0.5743
STORM2,SUS-RPS,30001,1748.9032,86.5707,84.936,0.5177,0.4764,2.6508,0.581
STORM2,SUS+CQI-Feasible,30001,1887.7622,87.767,85.9321,0.5225,0.4718,3.2759,0.5814
STORM2,SUS+CQI@m=3,30001,1413.5292,87.953,83.1764,0.5045,0.4895,2.9972,0.5839
STORM2,SUS-RPS,30002,-10844.6544,88.6875,87.7493,0.3247,0.6696,2.5511,0.5482
STORM2,SUS+CQI-Feasible,30002,-5169.29,118.407,112.0563,0.4026,0.5919,3.9409,0.5029
STORM2,SUS+CQI@m=3,30002,-6179.0248,115.2262,108.4435,0.3872,0.6075,3.0,0.4671
STORM2,SUS-RPS,30003,-5080.4503,68.5235,67.2588,0.3693,0.6258,2.4731,0.4756
STORM2,SUS+CQI-Feasible,30003,-3032.6683,78.6729,76.3589,0.4154,0.5798,3.5,0.4773
STORM2,SUS+CQI@m=3,30003,-3267.0242,79.815,74.72,0.4043,0.5912,3.0,0.4737
STORM2,SUS-RPS,30004,-360.0564,73.9514,72.5294,0.4702,0.5222,3.0898,0.6091
STORM2,SUS+CQI-Feasible,30004,281.148,79.2936,75.3609,0.4781,0.5127,3.7513,0.6119
STORM2,SUS+CQI@m=3,30004,297.2362,80.4677,74.6797,0.4715,0.5204,2.999,0.6073
STORM2,SUS-RPS,30005,-2628.0994,89.3699,87.7759,0.4248,0.5693,3.079,0.5812
STORM2,SUS+CQI-Feasible,30005,-135.3203,103.2069,98.6834,0.4689,0.5237,3.8314,0.5723
STORM2,SUS+CQI@m=3,30005,-330.8805,103.2912,97.5014,0.4622,0.5319,2.9999,0.5562
STORM2,SUS-RPS,30006,-7869.0398,83.6517,82.5894,0.3493,0.6441,2.4546,0.5908
STORM2,SUS+CQI-Feasible,30006,-1721.9844,114.264,108.6642,0.4464,0.5481,3.9589,0.5471
STORM2,SUS+CQI@m=3,30006,-2387.5738,112.5672,106.0598,0.4336,0.5615,3.0,0.5196
STORM2,SUS-RPS,30007,4761.1772,98.8161,97.8578,0.5906,0.4067,2.6745,0.6396
STORM2,SUS+CQI-Feasible,30007,5004.8483,100.0276,99.3613,0.5963,0.401,3.4581,0.6457
STORM2,SUS+CQI@m=3,30007,4467.4952,99.7494,96.3261,0.5771,0.4192,2.9792,0.6426
STORM2,SUS-RPS,30008,4164.8828,95.8001,95.1044,0.5782,0.4184,3.1038,0.6522
STORM2,SUS+CQI-Feasible,30008,4276.858,98.7856,95.5239,0.5743,0.4216,3.7452,0.67
STORM2,SUS+CQI@m=3,30008,3387.2088,98.1011,90.7274,0.545,0.4514,2.9988,0.6611
STORM2,SUS-RPS,30009,6744.9926,92.9568,91.4232,0.6647,0.3284,2.7068,0.7361
STORM2,SUS+CQI-Feasible,30009,6623.0902,93.0343,91.0398,0.6604,0.3324,3.493,0.7461
STORM2,SUS+CQI@m=3,30009,6075.1357,93.3806,87.711,0.6344,0.3589,2.9942,0.7453
STORM2,SUS-RPS,30010,504.1552,77.5117,76.5687,0.4932,0.5013,2.6592,0.5479
STORM2,SUS+CQI-Feasible,30010,636.4163,78.5862,77.2966,0.4959,0.4989,3.448,0.5543
STORM2,SUS+CQI@m=3,30010,160.5463,79.3365,74.4577,0.4752,0.5203,2.9995,0.5552
STORM2,SUS-RPS,30011,-6074.4268,100.6709,99.0652,0.3833,0.6116,2.7834,0.5213
