sched,seed,reward,goodput_mbps,deadline_miss_rate,mu_depth
SUS+CQI,30000,3796.1,128.79,0.4588,4.0
SUS+CQI,30001,2274.4,101.36,0.4778,3.995
SUS+CQI,30002,-6948.4,129.81,0.6029,4.0
SUS+CQI,30003,-4260.6,86.18,0.6,4.0
SUS+CQI,30004,1510.7,92.18,0.4971,3.998
SUS+CQI,30005,425.9,117.09,0.5199,4.0
SUS+CQI,30006,-3028.4,124.21,0.565,4.0
SUS+CQI,30007,4968.5,111.06,0.4244,3.99
SUS+Deadline-PF,30000,-9116.5,73.16,0.6841,4.0
SUS+Deadline-PF,30001,-6882.9,61.63,0.6737,4.0
SUS+Deadline-PF,30002,-24841.0,50.72,0.8327,4.0
SUS+Deadline-PF,30003,-16158.6,34.02,0.8309,4.0
SUS+Deadline-PF,30004,-7094.3,54.39,0.6924,4.0
SUS+Deadline-PF,30005,-11419.4,65.9,0.7232,4.0
SUS+Deadline-PF,30006,-16490.6,62.39,0.7679,4.0
SUS+Deadline-PF,30007,-3988.1,73.46,0.6127,4.0
SUS+PF,30000,-9338.1,71.06,0.6877,4.0
SUS+PF,30001,-6916.7,60.6,0.6747,4.0
SUS+PF,30002,-25242.9,50.13,0.8327,4.0
SUS+PF,30003,-16424.7,33.59,0.8323,4.0
SUS+PF,30004,-7073.7,54.27,0.6904,4.0
SUS+PF,30005,-11318.1,66.42,0.7172,4.0
SUS+PF,30006,-16917.2,61.68,0.7692,4.0
SUS+PF,30007,-3850.9,73.69,0.6089,4.0
SUS+Random,30000,-7442.3,79.33,0.6567,4.0
SUS+Random,30001,-6257.6,64.22,0.6605,4.0
SUS+Random,30002,-24524.8,51.84,0.8266,4.0
SUS+Random,30003,-15942.0,35.25,0.8242,4.0
SUS+Random,30004,-8352.0,48.67,0.7198,3.982
SUS+Random,30005,-12250.0,61.63,0.7349,4.0
SUS+Random,30006,-17873.3,56.58,0.7855,4.0
SUS+Random,30007,-3683.7,73.21,0.6087,4.0
SUS+MW,30000,4096.9,129.35,0.4574,4.0
SUS+MW,30001,2494.6,101.69,0.4804,4.0
SUS+MW,30002,-10635.3,113.4,0.6566,4.0
SUS+MW,30003,-5418.9,80.44,0.6283,4.0
SUS+MW,30004,-64.3,84.51,0.5394,4.0
SUS+MW,30005,-1130.2,109.46,0.5527,4.0
SUS+MW,30006,-6329.2,108.22,0.6217,4.0
SUS+MW,30007,5343.6,111.76,0.4225,3.989
SUS+EDF,30000,-12478.0,58.52,0.7446,4.0
SUS+EDF,30001,-9559.7,49.98,0.7314,4.0
SUS+EDF,30002,-29106.0,36.57,0.8764,4.0
SUS+EDF,30003,-18702.4,25.39,0.8723,4.0
SUS+EDF,30004,-11300.7,36.84,0.7856,3.979
SUS+EDF,30005,-19462.7,33.45,0.8515,4.0
SUS+EDF,30006,-20202.7,48.73,0.8169,4.0
SUS+EDF,30007,-7545.6,57.89,0.6882,4.0
SU+CQI,30000,-4918.2,95.33,0.5964,1.0
SU+CQI,30001,-2877.6,82.93,0.5725,1.0
SU+CQI,30002,-18334.8,88.23,0.7273,1.0
SU+CQI,30003,-8797.3,70.17,0.6738,1.0
SU+CQI,30004,-4263.8,70.61,0.6093,1.0
SU+CQI,30005,-7133.6,90.13,0.6295,1.0
SU+CQI,30006,-12936.4,87.66,0.6894,1.0
SU+CQI,30007,-2013.7,85.05,0.5571,1.0
SU+Deadline-PF,30000,-12685.2,58.67,0.7437,1.0
SU+Deadline-PF,30001,-9696.5,50.67,0.7299,1.0
SU+Deadline-PF,30002,-26467.3,48.04,0.8426,1.0
SU+Deadline-PF,30003,-16181.2,34.79,0.8296,1.0
SU+Deadline-PF,30004,-9190.9,46.9,0.7341,1.0
SU+Deadline-PF,30005,-14293.8,55.98,0.7646,1.0
SU+Deadline-PF,30006,-19788.4,51.96,0.8061,1.0
SU+Deadline-PF,30007,-7993.0,57.69,0.6935,1.0
SU+PF,30000,-12932.3,57.75,0.742,1.0
SU+PF,30001,-9676.4,51.05,0.7234,1.0
SU+PF,30002,-27093.7,46.87,0.8451,1.0
SU+PF,30003,-16367.5,35.26,0.8252,1.0
SU+PF,30004,-9543.3,46.59,0.7337,1.0
