p_arrival,seed,n_active,sched,reward,throughput_mbps,completion_rate,deadline_miss_rate,buffer_overflow_rate,mu_depth,mean_delay,mean_qlen,jain
0.1,10000,24,PPO-Mixed,1502.1,24.94,0.6201,0.3762,0.0,1.533,1.934,7.209,0.7131
0.1,10000,24,SUS+CQI,1112.4,23.85,0.5605,0.3619,0.0,3.827,2.416,8.128,0.7058
0.1,10000,24,SUS+MW,1110.4,23.88,0.5596,0.3619,0.0,3.828,2.4,8.086,0.704
0.1,10000,24,SU+CQI,1747.0,26.32,0.6448,0.3526,0.0,1.0,1.648,6.4,0.7357
0.22,10000,24,PPO-Mixed,2601.2,51.79,0.5899,0.4071,0.0,1.937,1.985,16.671,0.6318
0.22,10000,24,SUS+CQI,1980.2,49.73,0.5471,0.4097,0.0,3.99,2.506,18.875,0.6285
0.22,10000,24,SUS+MW,1868.5,49.24,0.5407,0.4161,0.0,3.992,2.48,18.914,0.6237
0.22,10000,24,SU+CQI,2580.2,52.36,0.5914,0.4067,0.0,1.0,1.502,15.202,0.633
0.33,10000,24,PPO-Mixed,2732.4,70.96,0.5581,0.4375,0.00013,2.121,2.149,26.542,0.6033
0.33,10000,24,SUS+CQI,1759.7,67.1,0.5154,0.4521,0.00013,3.995,2.751,29.955,0.5986
0.33,10000,24,SUS+MW,1712.4,66.89,0.5136,0.4576,0.00013,3.997,2.753,30.16,0.5956
0.33,10000,24,SU+CQI,2188.6,69.63,0.5444,0.4518,0.00013,1.0,1.487,24.585,0.5844
0.45,10000,24,PPO-Mixed,2906.2,92.88,0.5394,0.4564,0.00028,2.288,2.474,39.342,0.5768
0.45,10000,24,SUS+CQI,1205.3,85.99,0.4894,0.4893,0.00028,4.0,3.189,44.501,0.5732
0.45,10000,24,SUS+MW,1281.3,85.98,0.4909,0.4886,0.00028,3.999,3.239,44.734,0.5708
0.45,10000,24,SU+CQI,1092.1,86.88,0.5036,0.4926,0.00028,1.0,1.659,37.261,0.5323
0.5,10000,24,PPO-Mixed,2247.9,100.27,0.5167,0.4786,0.00067,2.336,2.711,46.27,0.5674
0.5,10000,24,SUS+CQI,285.1,92.36,0.466,0.5159,0.00067,3.997,3.473,52.095,0.5669
0.5,10000,24,SUS+MW,209.6,91.83,0.4639,0.5194,0.00067,3.999,3.488,52.372,0.5649
0.5,10000,24,SU+CQI,-297.4,92.23,0.471,0.5248,0.00075,1.0,1.674,43.938,0.511
0.1,10001,27,PPO-Mixed,4120.1,37.48,0.8365,0.1616,0.0,1.794,2.138,5.309,0.8948
0.1,10001,27,SUS+CQI,3809.9,36.82,0.7902,0.1672,0.0,3.416,2.705,6.668,0.9049
