world,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth,jain
P055,PPO,30000,4455.8304,115.9266,114.3546,0.5639,0.4325,2.6135,0.5843
P055,PPO,30001,3234.4389,93.1734,91.5101,0.5538,0.4426,2.5548,0.5878
P055,PPO,30002,-3922.6871,121.4957,118.2052,0.4235,0.5723,3.6412,0.4643
P055,PPO,30003,-2603.8741,79.9081,78.3155,0.4249,0.5713,2.2854,0.4552
P055,PPO,30004,2691.5419,88.1105,85.2446,0.5384,0.4577,3.2379,0.6069
P055,PPO,30005,2204.9804,110.9698,108.791,0.5166,0.4796,3.0246,0.5574
P055,PPO,30006,-1303.411,114.0632,111.2504,0.4561,0.5392,3.7353,0.5019
P055,PPO,30007,5458.9979,102.4536,100.8108,0.6046,0.3929,3.0455,0.6412
P055,PPO,30008,3771.1267,96.2041,93.4655,0.5634,0.4332,3.1083,0.6215
P055,PPO,30009,8313.7342,99.8496,97.9431,0.7085,0.2891,3.0189,0.7525
P055,PPO,30010,1109.4854,80.8808,79.1219,0.5054,0.4908,2.63,0.5391
P055,PPO,30011,-32.8304,127.6693,125.2078,0.4781,0.5186,3.2381,0.5131
P055,PPO,30012,2710.8165,83.1909,81.5989,0.5499,0.4483,2.4556,0.5834
P055,PPO,30013,378.66,137.6385,135.4997,0.4824,0.5131,3.1931,0.5085
P055,PPO,30014,-2652.3184,57.5839,56.1829,0.4057,0.5889,2.0403,0.4396
P055,PPO,30015,807.0504,129.8082,127.8095,0.4917,0.5049,3.6323,0.5192
P055,PPO,30016,4185.3384,117.6388,115.0382,0.5542,0.4413,3.8362,0.6056
P055,PPO,30017,-1352.1038,106.1833,103.5959,0.455,0.541,3.5473,0.5045
P055,PPO,30018,77.3474,102.5602,100.7586,0.4793,0.5165,3.2014,0.5213
P055,PPO,30019,-3533.0926,105.9958,102.2655,0.4209,0.5747,3.7547,0.4845
P055,PPO,30020,1374.9027,133.1268,130.6655,0.4979,0.4985,3.5245,0.5306
P055,PPO,30021,5641.6655,110.7236,108.9736,0.5972,0.3988,2.9436,0.6306
P055,PPO,30022,3634.1591,98.8436,96.6939,0.5574,0.4392,3.05,0.6049
P055,PPO,30023,2465.8363,128.4407,125.7722,0.5177,0.4791,3.5938,0.5598
P055,PPO,30024,2141.3856,89.8263,87.875,0.528,0.4685,2.5415,0.5676
P055,PPO,30025,8654.4004,128.3246,125.6784,0.6488,0.3483,3.6174,0.6964
P055,PPO,30026,2086.9568,122.9381,119.9559,0.5111,0.4846,3.3371,0.5626
P055,PPO,30027,5885.6099,116.7358,114.7331,0.5951,0.402,3.0743,0.6403
P055,PPO,30028,9772.854,105.3497,102.9208,0.7476,0.2499,3.3401,0.8083
P055,PPO,30029,3362.3289,89.9489,87.7241,0.5595,0.4373,2.8922,0.5995
P055,PPO,30030,1695.1442,135.3109,133.2072,0.5028,0.4937,3.3166,0.5333
P055,PPO,30031,-333.2003,88.1321,85.9952,0.4704,0.5258,2.7097,0.5108
P055,PPO,30032,-270.736,130.9615,126.9958,0.4729,0.5237,3.6925,0.5255
P055,PPO,30033,5255.2855,118.1073,115.752,0.5793,0.4178,3.3455,0.6213
P055,PPO,30034,2445.8662,138.0413,135.9304,0.5143,0.4818,3.1681,0.5445
P055,PPO,30035,6068.6293,112.3126,110.7442,0.6072,0.3898,2.8433,0.6274
P055,PPO,30036,3556.268,97.514,95.9546,0.5585,0.4382,2.8938,0.583
P055,PPO,30037,3681.5664,91.8848,90.2503,0.5676,0.4289,2.4944,0.5951
P055,PPO,30038,-2132.1042,114.8233,111.2025,0.4435,0.5519,3.6724,0.5003
P055,PPO,30039,3294.4113,97.9007,95.8541,0.5506,0.4459,2.5289,0.5987
P055,PPO,30040,3417.5338,98.2599,96.2021,0.5533,0.4433,3.1816,0.5997
P055,PPO,30041,3466.8799,107.8599,105.9344,0.5475,0.4489,2.8626,0.5849
P055,PPO,30042,5547.1514,99.5155,97.4826,0.6124,0.3853,2.7198,0.6629
P055,PPO,30043,1792.4421,127.2874,124.7416,0.5046,0.4915,3.4979,0.5508
P055,PPO,30044,6205.4882,121.6435,119.1125,0.5965,0.4001,3.1978,0.6447
P055,PPO,30045,1763.421,110.0768,107.12,0.5079,0.4878,3.5176,0.5552
P055,PPO,30046,-181.8842,131.3763,127.6036,0.4758,0.5207,3.4952,0.5259
P055,PPO,30047,731.5161,75.9987,73.3096,0.4934,0.5022,2.5919,0.5686
P055,PPO,30048,3046.6577,96.7355,94.6406,0.5449,0.4518,2.6951,0.588
P055,PPO,30049,5435.1526,97.9224,95.9178,0.6103,0.3869,2.9446,0.6579
P055,PPO,30050,4597.9324,90.929,89.3753,0.5962,0.4008,2.856,0.6398
P055,PPO,30051,2530.0826,133.2376,130.9959,0.5169,0.4801,3.088,0.5471
P055,PPO,30052,5099.2259,135.3582,132.5434,0.56,0.4366,3.6833,0.5986
P055,PPO,30053,2867.4087,99.8038,97.499,0.5381,0.4578,2.6573,0.5794
P055,PPO,30054,1024.2453,113.4139,111.34,0.497,0.4992,2.966,0.5298
P055,PPO,30055,2225.4261,127.62,124.4917,0.5113,0.4849,3.4241,0.5533
P055,PPO,30056,4920.1483,121.9717,119.2774,0.5672,0.4299,3.4809,0.6209
P055,PPO,30057,8183.1159,108.7827,106.7321,0.6763,0.3217,3.1073,0.7208
P055,PPO,30058,2602.6976,132.561,130.9149,0.5185,0.4786,2.9136,0.5463
P055,PPO,30059,1901.2631,123.2244,121.7245,0.5093,0.4878,2.7258,0.5275
P055,PPO,30060,2628.8112,95.4443,94.5297,0.5376,0.4584,2.8196,0.5532
P055,PPO,30061,3712.5361,121.3745,119.557,0.544,0.4524,2.6711,0.5736
P055,PPO,30062,6775.7616,98.6376,97.0982,0.6546,0.3433,2.8111,0.6903
P055,PPO,30063,5088.6172,139.231,137.403,0.5592,0.4375,2.785,0.5821
P055,PPO,30064,6661.0125,93.5995,91.7488,0.6635,0.3335,2.8322,0.6938
P055,PPO,30065,5664.1248,98.1455,96.2195,0.6168,0.3797,2.6781,0.6589
P055,PPO,30066,2479.2589,146.2972,144.1972,0.5133,0.4827,3.2737,0.5433
P055,PPO,30067,3700.4539,91.8534,89.742,0.5669,0.4306,2.7519,0.6104
P055,PPO,30068,2715.1982,112.6582,109.9665,0.5276,0.4684,3.1631,0.5712
P055,PPO,30069,2950.274,135.7248,133.462,0.5226,0.4739,3.2658,0.5555
P055,PPO,30070,1119.6333,111.8373,108.6267,0.4957,0.5007,3.4569,0.5541
P055,PPO,30071,2651.4966,138.4897,135.738,0.5181,0.4787,3.418,0.5529
P055,PPO,30072,2685.8447,113.5952,111.8783,0.5276,0.4691,2.9615,0.5576
P055,PPO,30073,2654.7195,116.4608,113.9524,0.5243,0.472,3.1487,0.5624
P055,PPO,30074,2106.1868,145.5004,143.0391,0.5072,0.4894,3.0953,0.5381
P055,PPO,30075,4315.0008,136.2292,133.9319,0.5458,0.4513,3.3793,0.5745
P055,PPO,30076,5291.0557,89.2923,87.2016,0.6201,0.3764,3.0222,0.6629
P055,PPO,30077,7383.7737,96.6062,94.0242,0.6797,0.3177,3.3949,0.7415
P055,PPO,30078,4142.8701,98.2975,95.9309,0.5701,0.4264,2.7384,0.6187
