world,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth,jain
K8,PPO,30000,3548.0793,26.7038,26.6006,0.994,0.006,1.9166,0.9977
K8,PPO,30001,5649.7852,49.8525,49.2168,0.8594,0.1389,2.7764,0.8843
K8,PPO,30002,4034.242,42.347,40.6404,0.7638,0.235,2.3628,0.8424
K8,PPO,30003,2465.2967,21.0838,20.0535,0.8832,0.1155,1.7219,0.9669
K8,PPO,30004,4524.3,42.1171,41.337,0.8245,0.1752,2.6267,0.8702
K8,PPO,30005,3668.0159,31.5418,30.4951,0.8802,0.1185,2.1398,0.9632
K8,PPO,30006,2103.5603,31.5987,29.8899,0.646,0.3499,1.9378,0.7224
K8,PPO,30007,2769.6016,27.3376,26.3399,0.7918,0.2063,2.0101,0.8566
K8,PPO,30008,4371.2238,43.3872,41.8694,0.7862,0.2118,2.6083,0.8622
K8,PPO,30009,2233.324,22.0767,20.3379,0.7896,0.2068,1.7636,0.9379
K8,PPO,30010,4245.7795,35.4456,34.3985,0.8992,0.0995,2.4121,0.9857
K8,PPO,30011,5627.8037,49.4039,48.6215,0.8633,0.1347,2.827,0.8938
K8,PPO,30012,1542.6911,19.2145,17.8613,0.6966,0.293,1.4539,0.8024
K8,PPO,30013,4000.7553,29.9888,29.972,0.9995,0.0005,2.127,0.9981
K8,PPO,30014,2683.629,40.5379,38.8862,0.6436,0.3535,2.1818,0.7011
K8,PPO,30015,1977.2165,29.1957,27.7467,0.6508,0.3447,2.033,0.7168
K8,PPO,30016,2685.496,39.5405,37.7973,0.6497,0.3475,2.0838,0.7253
K8,PPO,30017,3041.3575,35.5757,34.9694,0.7187,0.2797,2.3214,0.7475
K8,PPO,30018,2468.8087,26.6078,25.2304,0.7523,0.2401,1.8225,0.83
K8,PPO,30019,3091.7191,28.3575,27.3209,0.8369,0.1596,1.8853,0.896
K8,PPO,30020,3617.7655,31.1745,30.2356,0.8845,0.1108,2.0922,0.9341
K8,PPO,30021,952.8582,14.8922,14.7044,0.6415,0.355,1.4452,0.6387
K8,PPO,30022,4668.2534,37.0482,36.2774,0.9405,0.0566,2.4437,0.9904
K8,PPO,30023,3828.5355,43.4481,42.0882,0.7287,0.2683,2.3868,0.775
K8,PPO,30024,2846.2842,39.3118,37.5347,0.6664,0.3311,2.1754,0.7489
K8,PPO,30025,4203.2642,40.6872,39.5178,0.8042,0.1935,2.4113,0.8575
K8,PPO,30026,3844.8363,28.8735,28.7862,0.9934,0.0066,2.1164,0.997
K8,PPO,30027,2053.3056,33.909,32.7982,0.6277,0.368,2.2726,0.6676
K8,PPO,30028,6184.8613,47.0706,46.6957,0.9812,0.0181,2.9245,0.997
K8,PPO,30029,4423.0914,38.8704,37.8596,0.8655,0.1308,2.4019,0.914
K8,PPO,30030,4125.4029,41.0424,39.7451,0.7876,0.2099,2.4232,0.8584
K8,PPO,30031,3620.4894,34.4479,32.9672,0.8109,0.1867,2.1691,0.9362
K8,PPO,30032,3684.0712,32.7467,31.7512,0.8562,0.143,2.104,0.9148
K8,PPO,30033,2497.3611,21.8291,21.3948,0.8659,0.1296,1.6828,0.9108
K8,PPO,30034,2070.0391,33.5496,32.4901,0.6314,0.3643,1.964,0.6671
K8,PPO,30035,3308.7728,26.4926,25.7794,0.9424,0.0552,1.9281,0.9824
K8,PPO,30036,2234.1462,20.0939,19.2693,0.8486,0.1437,1.5824,0.9176
K8,PPO,30037,5069.1289,46.8015,45.3191,0.8294,0.1697,2.7451,0.9017
K8,PPO,30038,4480.8166,45.9473,44.2084,0.7742,0.2239,2.4487,0.8499
K8,PPO,30039,1743.1696,17.3091,16.4231,0.7952,0.1986,1.5689,0.8703
K8,PPO,30040,4152.022,45.8948,44.2199,0.7398,0.2591,2.6069,0.8287
K8,PPO,30041,4535.8385,41.4583,40.7617,0.8333,0.1641,2.5735,0.8715
K8,PPO,30042,6104.1222,48.5,47.5946,0.9443,0.0551,3.0385,0.9889
K8,PPO,30043,2341.8047,37.7985,36.2363,0.6309,0.3638,2.0128,0.6879
K8,PPO,30044,2778.5308,40.3619,39.013,0.655,0.3429,2.5656,0.7085
K8,PPO,30045,1999.814,17.9971,17.7164,0.848,0.1505,1.7622,0.8657
K8,PPO,30046,1694.0732,21.9732,20.5652,0.6854,0.3072,1.7991,0.7814
K8,PPO,30047,4801.467,49.4999,47.8252,0.7694,0.2286,2.7816,0.8426
K8,PPO,30048,3537.883,36.2416,35.0819,0.7764,0.2201,2.1524,0.8254
K8,PPO,30049,3455.9965,30.3204,29.4891,0.8665,0.1317,2.1054,0.9205
K8,PPO,30050,5474.0077,51.1737,49.8715,0.8213,0.1761,2.9499,0.8848
K8,PPO,30051,4631.0492,48.114,46.5258,0.7683,0.2306,2.5856,0.8311
K8,PPO,30052,2243.4762,37.6604,37.01,0.6249,0.3721,2.1209,0.6449
K8,PPO,30053,4781.0484,37.9354,37.1419,0.9426,0.0562,2.5739,0.9888
K8,PPO,30054,3970.7532,36.0048,34.3218,0.8385,0.1596,2.393,0.9605
K8,PPO,30055,5032.7096,38.2153,38.0515,0.9899,0.0101,2.5051,0.9988
K8,PPO,30056,5370.203,43.079,42.1703,0.9353,0.0639,2.7853,0.9853
K8,PPO,30057,2949.0046,30.0475,28.5512,0.781,0.2176,1.8841,0.8724
K8,PPO,30058,2586.4719,29.2419,27.7648,0.732,0.2633,1.9076,0.8284
K8,PPO,30059,5297.2258,47.2871,46.7498,0.8487,0.1504,2.9148,0.8725
K8,PPO,30060,4818.7585,44.7486,44.0261,0.8249,0.173,2.9729,0.8608
K8,PPO,30061,5343.011,40.4892,40.3272,0.9866,0.013,2.6909,0.9977
K8,PPO,30062,6276.448,52.9489,51.2704,0.8871,0.1098,3.2666,0.9783
K8,PPO,30063,2226.4242,22.017,21.0655,0.7947,0.1999,1.7718,0.8657
K8,PPO,30064,4461.3235,37.0548,35.9759,0.9026,0.0954,2.4289,0.9597
K8,PPO,30065,3027.6859,30.4512,29.2348,0.7864,0.2114,2.0131,0.8492
K8,PPO,30066,2577.7712,19.447,19.3774,0.9942,0.0041,1.5364,0.9893
K8,PPO,30067,4030.4612,38.004,36.6658,0.8185,0.178,2.5116,0.8688
K8,PPO,30068,3118.9556,35.6968,34.0574,0.7263,0.2714,2.1576,0.8127
K8,PPO,30069,3146.9129,27.5245,27.2227,0.8671,0.1232,1.8362,0.8928
K8,PPO,30070,4430.908,46.739,45.1842,0.7579,0.2395,2.5051,0.8308
K8,PPO,30071,403.8314,28.7468,28.6582,0.5088,0.4869,2.0552,0.5028
K8,PPO,30072,1480.4355,24.787,24.2907,0.6234,0.3633,1.7611,0.6488
K8,PPO,30073,5302.9324,49.8814,48.7668,0.8193,0.1796,3.1408,0.8652
K8,PPO,30074,5778.548,46.7492,45.6853,0.9273,0.0721,3.0349,0.9864
K8,PPO,30075,3142.6916,31.5106,30.1988,0.7869,0.2119,2.0514,0.8707
K8,PPO,30076,3981.9644,41.5656,40.0162,0.7672,0.2303,2.33,0.8263
K8,PPO,30077,4149.9593,31.4973,31.3747,0.9898,0.0102,2.2475,0.9982
K8,PPO,30078,3237.7074,27.797,26.6628,0.8878,0.1064,1.9185,0.9502
K8,PPO,30079,2187.0805,34.1755,32.6847,0.6369,0.3588,1.95,0.6942
K8,PPO,30080,3468.3138,31.6107,30.1654,0.8393,0.1589,2.0329,0.935
K8,PPO,30081,1725.7322,17.3099,16.7228,0.7842,0.2121,1.5222,0.8617
K8,PPO,30082,3962.3284,42.3954,40.5154,0.7551,0.244,2.3304,0.8332
K8,PPO,30083,2888.7411,26.66,25.9923,0.8304,0.1676,1.8459,0.8662
K8,PPO,30084,2396.298,22.5289,21.6774,0.8216,0.1711,1.6681,0.8759
K8,PPO,30085,3866.8627,39.4692,37.8658,0.7738,0.2233,2.3084,0.8461
K8,PPO,30086,2441.3454,35.1511,33.4812,0.6568,0.3382,1.9589,0.7122
K8,PPO,30087,3106.3551,42.5802,41.3656,0.6701,0.3261,2.4467,0.7128
K8,PPO,30088,3879.9087,35.064,33.5579,0.8454,0.153,2.2244,0.9469
K8,PPO,30089,2578.2323,34.7235,32.7722,0.6729,0.3232,1.9964,0.7457
K8,PPO,30090,1240.4759,15.6227,14.4383,0.6937,0.3011,1.5545,0.8012
K8,PPO,30091,1407.8282,14.9253,14.9073,0.7596,0.2379,1.5187,0.7503
K8,PPO,30092,3614.2692,44.2138,42.8531,0.7018,0.2953,2.4145,0.7617
K8,PPO,30093,4582.8428,39.7297,39.6098,0.8679,0.1311,2.4067,0.8723
K8,PPO,30094,1836.9797,36.9403,35.8717,0.5934,0.4029,2.0811,0.6378
K8,PPO,30095,2684.328,28.3433,27.3235,0.764,0.2297,1.8323,0.8189
K8,PPO,30096,1517.0229,16.9271,16.5403,0.7372,0.2557,1.5209,0.7668
K8,PPO,30097,2175.0501,21.188,20.2944,0.8013,0.1887,1.6806,0.8665
K8,PPO,30098,3643.949,31.5724,31.3985,0.8669,0.1305,2.1771,0.8729
K8,PPO,30099,1690.4628,18.5233,17.6995,0.7447,0.2527,1.6778,0.8425
K48,PPO,30000,4683.3839,95.6224,93.712,0.5925,0.4047,2.7063,0.6177
K48,PPO,30001,-1537.3941,160.6347,156.0045,0.4601,0.5359,3.8788,0.5001
K48,PPO,30002,77.1056,153.7574,149.5339,0.4789,0.5173,3.7853,0.517
K48,PPO,30003,5187.3358,86.7741,84.9355,0.6247,0.3724,3.0512,0.661
K48,PPO,30004,-1659.8907,141.0335,137.8789,0.4569,0.5391,3.7919,0.5002
K48,PPO,30005,4549.0689,120.7352,118.3278,0.5608,0.4359,3.269,0.5907
K48,PPO,30006,124.0807,136.2608,133.4514,0.48,0.5152,3.8674,0.5147
K48,PPO,30007,2335.2025,108.0244,105.3614,0.5213,0.4748,3.6477,0.5683
K48,PPO,30008,-3984.9941,142.2437,137.6114,0.4297,0.5654,3.9381,0.4778
K48,PPO,30009,5088.06,98.9542,97.1034,0.5989,0.398,3.0422,0.6224
K48,PPO,30010,3467.7005,125.502,122.5583,0.5364,0.4611,3.6523,0.569
K48,PPO,30011,-2387.2252,157.1925,154.2168,0.4509,0.5446,3.8586,0.4829
K48,PPO,30012,5087.5585,96.8156,94.0975,0.601,0.3952,3.3465,0.6488
K48,PPO,30013,4802.816,107.5884,104.8741,0.5793,0.418,3.486,0.6269
K48,PPO,30014,-1211.9012,176.9921,174.2484,0.466,0.5304,3.8376,0.4871
K48,PPO,30015,2386.4532,132.9339,130.8619,0.5148,0.4814,3.3341,0.5406
K48,PPO,30016,-271.2332,169.2597,166.1727,0.475,0.5206,3.6773,0.4988
K48,PPO,30017,-874.5368,135.6879,132.9125,0.4657,0.5305,3.7651,0.5034
K48,PPO,30018,4443.5621,118.3691,116.4011,0.5602,0.4357,3.2451,0.5844
K48,PPO,30019,4986.5071,114.9357,112.3144,0.5755,0.4212,3.4035,0.6128
K48,PPO,30020,3540.7779,113.9986,112.3886,0.5454,0.4514,2.8208,0.5645
K48,PPO,30021,3021.2933,76.8387,75.408,0.5662,0.4307,2.5765,0.6022
K48,PPO,30022,3653.7787,123.7746,122.2669,0.5421,0.4541,2.9033,0.5565
K48,PPO,30023,-990.6084,170.2943,167.8167,0.4692,0.5265,3.6527,0.4918
K48,PPO,30024,-2621.7474,155.1751,150.7429,0.4484,0.5473,3.9674,0.4894
K48,PPO,30025,1620.2799,144.3774,142.2231,0.5008,0.4956,3.5304,0.5205
K48,PPO,30026,5243.8759,106.7262,105.1551,0.5932,0.4039,3.1915,0.6303
K48,PPO,30027,2966.559,159.1903,156.7406,0.5175,0.4796,3.2487,0.5377
K48,PPO,30028,1274.1467,141.1688,138.5558,0.4976,0.5003,3.8353,0.5286
K48,PPO,30029,1433.6246,131.822,129.2038,0.4999,0.4968,3.7971,0.5345
K48,PPO,30030,-2680.8219,137.1966,133.9954,0.4443,0.5521,3.9671,0.4802
K48,PPO,30031,1768.769,130.7722,128.9512,0.5057,0.4908,3.5908,0.5307
K48,PPO,30032,1161.199,112.7383,110.2417,0.4981,0.4986,3.9141,0.5429
K48,PPO,30033,4496.0594,89.1159,87.6023,0.5962,0.4011,3.166,0.6252
K48,PPO,30034,-3855.9604,134.7324,131.0536,0.4284,0.5673,3.9556,0.4724
K48,PPO,30035,3528.8143,92.9137,91.3687,0.5635,0.4343,2.8584,0.5952
K48,PPO,30036,5607.8105,87.1529,86.032,0.6391,0.3576,2.9955,0.6735
K48,PPO,30037,-2720.8933,147.529,143.9668,0.4461,0.5494,3.9791,0.4845
K48,PPO,30038,-4789.5573,147.841,143.9772,0.4239,0.5723,3.7967,0.4633
K48,PPO,30039,5263.1653,81.78,80.0379,0.6386,0.3579,2.9206,0.6754
K48,PPO,30040,-5382.0466,152.7366,148.6773,0.4198,0.5758,3.9436,0.4561
K48,PPO,30041,-920.973,139.9228,135.4731,0.4649,0.5315,3.9054,0.5201
K48,PPO,30042,-679.1331,143.5166,139.8187,0.4685,0.5271,3.8682,0.5048
K48,PPO,30043,-1230.7438,161.6274,157.6923,0.4643,0.5319,3.7897,0.5005
K48,PPO,30044,-4223.3226,154.5014,151.3473,0.4316,0.5643,3.9093,0.4628
K48,PPO,30045,6135.7372,85.943,84.1903,0.6635,0.3342,2.978,0.7022
K48,PPO,30046,4646.3664,103.8591,100.3457,0.5788,0.4182,3.7164,0.6349
K48,PPO,30047,-8452.1317,150.2913,145.5553,0.3899,0.6051,3.9803,0.4427
K48,PPO,30048,-1964.1247,125.551,121.6433,0.4494,0.5468,3.9481,0.4976
K48,PPO,30049,3427.5799,110.7972,107.0901,0.5421,0.4543,3.8449,0.598
K48,PPO,30050,-3822.5051,163.6201,158.9713,0.4365,0.5592,3.9329,0.4758
K48,PPO,30051,-3484.8984,165.221,160.1422,0.4403,0.5551,3.8999,0.478
K48,PPO,30052,-1711.0896,163.6486,159.9211,0.4575,0.5385,3.8067,0.4859
K48,PPO,30053,1421.4296,122.4987,118.4473,0.499,0.4969,3.9085,0.5454
K48,PPO,30054,2695.6402,134.652,130.4988,0.5179,0.4784,3.7989,0.5658
K48,PPO,30055,4321.1355,126.7059,123.3954,0.552,0.4451,3.6309,0.5925
K48,PPO,30056,2562.0674,140.5574,137.7821,0.5146,0.4811,3.3972,0.5489
K48,PPO,30057,4487.2334,122.3296,119.2076,0.5583,0.4389,3.6395,0.6026
K48,PPO,30058,3724.8801,126.7915,123.2664,0.5391,0.4575,3.6032,0.5839
K48,PPO,30059,-171.434,159.0325,155.9505,0.4763,0.5202,3.7644,0.5041
K48,PPO,30060,-2522.3806,148.3163,144.8228,0.4481,0.548,3.8811,0.478
K48,PPO,30061,2727.5777,130.7579,128.2891,0.521,0.4759,3.4053,0.5508
K48,PPO,30062,-112.974,163.4724,159.2671,0.477,0.5192,3.8552,0.5165
K48,PPO,30063,5337.8774,100.2001,98.4871,0.6052,0.3926,2.94,0.6364
K48,PPO,30064,3111.977,129.6476,127.3666,0.5285,0.468,3.405,0.5571
K48,PPO,30065,3376.5637,120.5461,119.0594,0.538,0.4586,3.2514,0.5569
K48,PPO,30066,6128.2213,80.9194,79.2469,0.6789,0.3179,2.8698,0.7234
K48,PPO,30067,2961.9913,143.8724,142.0268,0.5211,0.476,3.2817,0.5368
K48,PPO,30068,2969.5936,146.0161,144.1261,0.5208,0.476,3.3087,0.5378
K48,PPO,30069,5109.331,115.6023,113.8383,0.5792,0.4183,3.0361,0.6025
K48,PPO,30070,-1953.7881,167.0316,164.12,0.4578,0.5385,3.8951,0.4819
K48,PPO,30071,-529.6046,159.6588,156.7992,0.4723,0.5242,3.849,0.4937
K48,PPO,30072,3871.9473,127.7924,126.2034,0.5434,0.4529,3.0219,0.5659
K48,PPO,30073,-3513.4608,156.6836,152.7729,0.4391,0.5566,3.9288,0.4801
K48,PPO,30074,323.7702,142.303,138.9766,0.4828,0.5136,3.7101,0.5152
K48,PPO,30075,3897.7774,127.3946,125.6676,0.5445,0.4523,3.0201,0.5695
K48,PPO,30076,1248.1389,157.4995,154.2891,0.4937,0.5031,3.7832,0.5211
K48,PPO,30077,3904.6736,104.8095,103.4722,0.5619,0.435,2.8155,0.5816
K48,PPO,30078,4500.5691,104.8454,103.2938,0.5762,0.4209,2.8587,0.6015
K48,PPO,30079,-1499.9865,144.5871,141.0054,0.4589,0.5368,3.957,0.5032
K48,PPO,30080,4198.3455,123.9858,121.6586,0.5521,0.4444,3.2813,0.5867
K48,PPO,30081,4220.9357,80.976,79.108,0.6012,0.3962,2.7078,0.6443
K48,PPO,30082,-696.2542,156.597,152.2227,0.4693,0.5272,3.876,0.5106
K48,PPO,30083,4303.7701,110.6241,107.642,0.5637,0.4335,3.5484,0.6059
K48,PPO,30084,5214.9486,95.9344,93.8496,0.6068,0.3902,3.0944,0.6412
K48,PPO,30085,700.6785,144.3475,140.6855,0.487,0.5097,3.7437,0.53
K48,PPO,30086,201.348,153.9186,149.3891,0.4792,0.5168,3.8189,0.5173
K48,PPO,30087,-4803.6795,164.5818,159.4718,0.4271,0.568,3.8746,0.4699
K48,PPO,30088,1067.9242,118.5643,113.7066,0.4933,0.503,3.9375,0.5624
K48,PPO,30089,-1647.6123,133.9501,130.1397,0.4545,0.542,3.9105,0.4948
K48,PPO,30090,6750.2875,86.9818,84.5973,0.6857,0.3132,3.2392,0.7464
K48,PPO,30091,6263.5491,81.4508,79.1959,0.6833,0.3139,3.0005,0.7287
K48,PPO,30092,-4389.1099,164.0694,160.1888,0.4326,0.5641,3.9222,0.4709
K48,PPO,30093,1948.1662,140.4953,137.4518,0.5056,0.4913,3.6509,0.5442
K48,PPO,30094,-2572.1938,166.2321,163.2433,0.4513,0.5445,3.869,0.4762
K48,PPO,30095,2633.8116,113.9023,111.9062,0.5267,0.4704,3.6297,0.5567
K48,PPO,30096,4516.5711,80.9029,79.3809,0.6125,0.3851,2.8935,0.6523
K48,PPO,30097,2695.1049,82.9447,81.7252,0.549,0.4466,2.6365,0.5659
K48,PPO,30098,2973.0435,116.4714,114.1512,0.5312,0.4645,3.6864,0.5649
K48,PPO,30099,3795.306,83.2822,81.6126,0.5828,0.4147,3.0181,0.6189
K60,PPO,30000,3839.4797,112.8518,111.0736,0.5518,0.4445,3.2321,0.5767
K60,PPO,30001,-6890.0126,180.9896,177.875,0.4172,0.5789,3.9199,0.4397
K60,PPO,30002,-8006.3719,159.6003,155.8819,0.3996,0.5962,3.9946,0.4407
K60,PPO,30003,4599.0872,103.3121,101.3287,0.58,0.4175,3.1866,0.6116
K60,PPO,30004,-5779.5832,161.837,158.3792,0.4198,0.5761,3.9845,0.4483
K60,PPO,30005,1818.2466,135.6296,132.4933,0.5043,0.492,3.7671,0.5403
K60,PPO,30006,-2222.4552,162.078,158.4671,0.4537,0.5416,3.9196,0.4862
K60,PPO,30007,3234.9135,136.6735,133.9909,0.5265,0.4692,3.8656,0.555
K60,PPO,30008,-7339.7343,168.2602,164.2899,0.4092,0.5869,3.9837,0.4405
K60,PPO,30009,5079.7547,118.2793,115.25,0.5752,0.4216,3.3905,0.6244
K60,PPO,30010,2552.6536,150.0079,147.267,0.5142,0.4824,3.5726,0.5357
K60,PPO,30011,-5390.5129,185.9805,182.2383,0.4295,0.5665,3.9647,0.4564
K60,PPO,30012,4548.7417,112.9271,109.1228,0.5669,0.4301,3.7243,0.6277
K60,PPO,30013,3223.4521,124.6846,122.5479,0.5318,0.4635,3.2867,0.5622
K60,PPO,30014,-10840.5873,186.7614,182.9441,0.3896,0.6062,3.9948,0.4187
K60,PPO,30015,-6.2026,154.5516,152.0002,0.4792,0.5176,3.8474,0.5039
K60,PPO,30016,-9073.8324,176.9874,173.3981,0.3987,0.5973,3.9987,0.4262
K60,PPO,30017,-4334.7704,156.0139,152.7007,0.4313,0.5645,3.9336,0.4687
K60,PPO,30018,1667.0548,130.9505,128.2357,0.503,0.4936,3.8366,0.5366
K60,PPO,30019,1882.8399,127.4478,124.2768,0.5067,0.4895,3.8145,0.5458
K60,PPO,30020,-845.28,120.6751,117.661,0.4654,0.5307,3.9547,0.513
K60,PPO,30021,4789.565,99.8767,98.4266,0.5891,0.4073,3.113,0.6151
K60,PPO,30022,-1171.9312,132.2073,129.2479,0.4617,0.5339,3.9617,0.5022
K60,PPO,30023,-16324.0165,155.7287,151.7956,0.3394,0.6561,3.9969,0.3704
K60,PPO,30024,-9946.0815,169.0635,165.4969,0.3875,0.6083,3.9927,0.4103
K60,PPO,30025,-6953.1552,146.386,143.0743,0.4031,0.5932,3.9934,0.4392
K60,PPO,30026,1594.3294,114.0889,110.8309,0.5052,0.491,3.7873,0.5529
K60,PPO,30027,-9686.2696,146.6902,143.2053,0.3794,0.6158,3.9875,0.4168
K60,PPO,30028,-7380.0915,139.0743,135.2878,0.3962,0.6001,3.9955,0.4421
K60,PPO,30029,-1849.8588,151.6,147.5018,0.4556,0.5405,3.7823,0.4921
K60,PPO,30030,-4023.3451,169.268,166.1597,0.438,0.5586,3.9224,0.461
K60,PPO,30031,-3166.4087,143.0413,139.4618,0.4395,0.5569,3.9349,0.4773
K60,PPO,30032,1546.5314,142.4346,139.2221,0.4999,0.4971,3.7393,0.5283
K60,PPO,30033,4754.7963,108.9839,106.2276,0.5774,0.4201,3.4499,0.6155
K60,PPO,30034,-4021.6504,171.0147,167.1925,0.4373,0.5591,3.8809,0.4663
K60,PPO,30035,5082.6556,118.5899,116.0729,0.5748,0.4216,3.2832,0.6093
K60,PPO,30036,4626.6698,99.9535,98.0461,0.5847,0.4122,2.9738,0.623
K60,PPO,30037,-5827.6268,174.1403,170.5369,0.4244,0.5717,3.977,0.4503
K60,PPO,30038,-7610.3756,176.8298,173.3696,0.4082,0.587,3.9583,0.4381
K60,PPO,30039,5125.8477,95.5381,93.7087,0.6057,0.3912,3.2101,0.6426
K60,PPO,30040,-13121.4039,166.6691,163.033,0.3644,0.6306,3.9994,0.3985
K60,PPO,30041,-4421.7878,164.2176,160.1129,0.4313,0.5645,3.9806,0.4723
K60,PPO,30042,-4384.2176,165.4234,161.5117,0.4329,0.5627,3.9823,0.4671
K60,PPO,30043,-8026.7752,175.1484,171.4427,0.4051,0.5905,3.9716,0.4346
K60,PPO,30044,-9264.0223,178.3675,174.382,0.3972,0.5982,3.9928,0.4335
K60,PPO,30045,5345.0583,96.4634,94.8651,0.6116,0.3858,2.999,0.6455
K60,PPO,30046,2090.7533,114.6849,110.3602,0.5143,0.483,3.9453,0.5826
K60,PPO,30047,-11316.0375,185.8686,181.099,0.3849,0.6101,3.9791,0.4112
K60,PPO,30048,-758.962,164.5321,161.0468,0.4684,0.5265,3.809,0.4943
K60,PPO,30049,3083.8119,133.8145,130.9739,0.5251,0.4713,3.3976,0.5602
K60,PPO,30050,-10179.1535,180.6909,177.2311,0.3917,0.6039,3.96,0.423
K60,PPO,30051,-9151.8932,188.1844,184.346,0.401,0.5944,3.9879,0.433
K60,PPO,30052,-9179.7816,174.7984,170.7527,0.3966,0.5992,3.9948,0.4298
K60,PPO,30053,-363.5967,144.9288,141.2234,0.4735,0.5224,3.8385,0.5152
K60,PPO,30054,-592.6704,152.1809,147.8753,0.4707,0.5254,3.9454,0.5117
K60,PPO,30055,1163.2584,141.9411,139.395,0.4939,0.5022,3.7303,0.5177
K60,PPO,30056,-1970.5875,155.7538,152.1105,0.4555,0.5404,3.8316,0.489
K60,PPO,30057,1036.0016,137.5867,134.8498,0.4919,0.5044,3.7051,0.5209
K60,PPO,30058,1804.8746,145.2336,142.8554,0.5033,0.4929,3.4988,0.5217
K60,PPO,30059,-7449.0336,170.1521,165.8921,0.4077,0.5874,3.9915,0.4447
K60,PPO,30060,-6236.6198,174.3486,170.5849,0.4204,0.5759,3.9686,0.4534
K60,PPO,30061,-265.309,148.0406,144.4593,0.4749,0.5215,3.8246,0.5147
K60,PPO,30062,-3791.761,189.2614,185.9947,0.444,0.5526,3.8895,0.4674
K60,PPO,30063,4303.1903,116.2548,113.3027,0.5587,0.438,3.6668,0.6001
K60,PPO,30064,340.5226,147.9893,144.604,0.483,0.5134,3.8734,0.5209
K60,PPO,30065,1978.8838,143.6347,139.4623,0.5053,0.4912,3.8769,0.5484
K60,PPO,30066,6146.3975,94.5431,92.9644,0.6425,0.3557,2.9895,0.6685
K60,PPO,30067,-3129.4599,152.8159,149.6908,0.4433,0.5536,3.9137,0.4753
K60,PPO,30068,-1138.114,164.2992,160.7678,0.4659,0.5302,3.895,0.4944
K60,PPO,30069,3062.9358,131.0565,128.742,0.5276,0.4699,3.5919,0.5562
K60,PPO,30070,-11698.2933,173.3399,169.0992,0.3776,0.6179,3.9883,0.4113
K60,PPO,30071,-5800.2654,181.7867,177.7419,0.4248,0.5712,3.9802,0.4519
K60,PPO,30072,-420.6062,140.4044,136.6827,0.4725,0.5239,3.9641,0.5212
K60,PPO,30073,-9599.0122,175.4891,171.2356,0.3924,0.6024,3.9985,0.4295
K60,PPO,30074,-4493.2342,158.4275,154.2679,0.4303,0.5659,3.9555,0.4696
K60,PPO,30075,454.8994,142.9846,139.0406,0.4845,0.5115,3.8898,0.525
