config,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
P065,SUS+CQI@0.60,30000,3232.2,130.2,126.7,0.5294,0.4672,4.0
P065,SUS+CQI@0.60,30001,1848.0,105.03,99.91,0.5112,0.4853,4.0
P065,SUS+CQI@0.60,30002,-8150.9,133.37,125.51,0.3786,0.6162,4.0
P065,SUS+CQI@0.60,30003,-4839.1,90.22,83.91,0.3854,0.6102,4.0
P065,SUS+CQI@0.60,30004,561.8,94.61,88.37,0.4805,0.5159,4.0
P065,SUS+CQI@0.60,30005,-550.2,120.86,113.09,0.4608,0.535,4.0
P065,SUS+CQI@0.60,30006,-5056.3,124.81,116.17,0.4041,0.5921,4.0
P065,SUS+CQI@0.60,30007,4183.6,113.02,108.26,0.5575,0.4394,3.984
P065,SUS+CQI@0.65,30000,3295.8,130.53,126.99,0.5303,0.4662,3.999
P065,SUS+CQI@0.65,30001,1879.1,105.27,99.98,0.5116,0.4849,3.998
P065,SUS+CQI@0.65,30002,-8029.7,134.04,125.92,0.38,0.6151,4.0
P065,SUS+CQI@0.65,30003,-4826.9,90.37,83.88,0.3854,0.6102,4.0
P065,SUS+CQI@0.65,30004,663.4,95.48,88.79,0.4818,0.5146,3.937
P065,SUS+CQI@0.65,30005,-474.5,121.43,113.38,0.4618,0.534,4.0
P065,SUS+CQI@0.65,30006,-4752.0,126.02,117.27,0.4081,0.588,4.0
P065,SUS+CQI@0.65,30007,4185.1,113.1,108.11,0.5572,0.4397,3.974
P065,SUS+CQI@0.70,30000,3332.8,130.6,127.08,0.5309,0.4655,3.972
P065,SUS+CQI@0.70,30001,1815.4,104.96,99.73,0.5102,0.486,3.989
P065,SUS+CQI@0.70,30002,-7844.0,134.85,126.55,0.382,0.6129,4.0
P065,SUS+CQI@0.70,30003,-4866.5,90.17,83.64,0.3846,0.6109,4.0
P065,SUS+CQI@0.70,30004,828.9,96.13,89.41,0.4852,0.5112,3.991
P065,SUS+CQI@0.70,30005,-424.8,121.58,113.56,0.4625,0.5331,4.0
P065,SUS+CQI@0.70,30006,-4514.5,127.15,118.4,0.4111,0.5851,4.0
P065,SUS+CQI@0.70,30007,4143.0,113.1,107.85,0.5559,0.441,3.949
P065,SUS+CQI@0.75,30000,3232.8,130.35,126.66,0.5292,0.4673,3.99
P065,SUS+CQI@0.75,30001,1718.8,104.81,99.19,0.5075,0.4887,3.981
P065,SUS+CQI@0.75,30002,-7978.5,134.79,125.79,0.3803,0.6147,4.0
P065,SUS+CQI@0.75,30003,-5042.5,89.69,82.82,0.3808,0.6147,4.0
P065,SUS+CQI@0.75,30004,847.3,96.41,89.61,0.4852,0.5113,3.974
P065,SUS+CQI@0.75,30005,-522.9,121.4,113.09,0.4609,0.5348,4.0
P065,SUS+CQI@0.75,30006,-4514.6,127.11,117.88,0.411,0.5852,4.0
P065,SUS+CQI@0.75,30007,4272.7,113.47,108.22,0.5586,0.4382,3.916
P065,SUS+CQI@0.80,30000,2979.7,129.58,125.45,0.5244,0.472,3.975
P065,SUS+CQI@0.80,30001,1543.6,104.3,98.71,0.5041,0.4922,3.948
P065,SUS+CQI@0.80,30002,-7930.1,134.69,125.45,0.38,0.6147,4.0
P065,SUS+CQI@0.80,30003,-5275.5,89.21,81.77,0.3756,0.6198,3.997
P065,SUS+CQI@0.80,30004,663.7,96.23,88.61,0.4802,0.5161,3.938
P065,SUS+CQI@0.80,30005,-742.7,121.05,112.16,0.4569,0.539,3.996
P065,SUS+CQI@0.80,30006,-4605.6,127.61,117.13,0.4083,0.5877,4.0
P065,SUS+CQI@0.80,30007,4173.2,113.25,107.92,0.5565,0.4402,3.876
P065,SU+CQI,30000,-5943.8,93.3,91.09,0.3827,0.6135,1.0
P065,SU+CQI,30001,-3352.5,83.0,81.2,0.414,0.5816,1.0
P065,SU+CQI,30002,-19165.7,87.59,85.46,0.2577,0.7369,1.0
P065,SU+CQI,30003,-9247.1,70.12,68.13,0.3125,0.6824,1.0
P065,SU+CQI,30004,-4570.2,72.43,69.22,0.3796,0.6165,1.0
P065,SU+CQI,30005,-8317.5,88.58,85.97,0.3476,0.648,1.0
P065,SU+CQI,30006,-13897.9,86.6,83.95,0.2934,0.7024,1.0
P065,SU+CQI,30007,-2746.3,84.66,81.89,0.4241,0.5719,1.0
P065,PPO-CQI4,30000,4273.5,132.77,131.42,0.5486,0.4481,2.665
P065,PPO-CQI4,30001,2818.4,106.59,104.54,0.5345,0.4624,2.679
P065,PPO-CQI4,30002,-8669.5,127.76,122.24,0.3738,0.621,3.974
P065,PPO-CQI4,30003,-4528.2,88.32,86.01,0.3964,0.5989,2.83
P065,PPO-CQI4,30004,127.4,90.86,86.21,0.4721,0.5237,3.776
P065,PPO-CQI4,30005,-578.8,118.11,113.4,0.463,0.5327,3.78
P065,PPO-CQI4,30006,-5396.3,119.85,113.66,0.4,0.5958,3.948
P065,PPO-CQI4,30007,4744.4,113.29,110.94,0.5708,0.4262,3.112
P065,PPO-HL(cont),30000,4491.2,133.64,132.5,0.5527,0.4439,2.651
P065,PPO-HL(cont),30001,2874.1,107.38,105.05,0.5358,0.4607,2.647
P065,PPO-HL(cont),30002,-8108.9,131.06,124.37,0.379,0.6158,3.908
P065,PPO-HL(cont),30003,-4152.4,90.16,87.67,0.4027,0.5927,2.631
P065,PPO-HL(cont),30004,889.1,94.85,89.76,0.4879,0.5086,3.786
P065,PPO-HL(cont),30005,150.0,121.4,116.53,0.4741,0.5215,3.652
P065,PPO-HL(cont),30006,-4410.9,125.04,117.56,0.4121,0.5836,3.93
P065,PPO-HL(cont),30007,4999.5,114.56,111.98,0.5758,0.421,3.129
V50,SUS+CQI@0.60,30000,2713.8,51.02,47.13,0.6005,0.3964,3.953
V50,SUS+CQI@0.60,30001,2956.1,80.68,75.51,0.553,0.4433,3.997
V50,SUS+CQI@0.60,30002,1645.3,109.65,103.16,0.502,0.495,4.0
V50,SUS+CQI@0.60,30003,1600.5,37.87,34.46,0.5667,0.4309,3.991
V50,SUS+CQI@0.60,30004,4358.1,74.37,70.07,0.6157,0.3824,3.975
V50,SUS+CQI@0.60,30005,4462.5,71.01,66.84,0.6304,0.3662,3.994
V50,SUS+CQI@0.60,30006,4559.0,99.52,94.22,0.5766,0.419,3.998
V50,SUS+CQI@0.60,30007,4124.8,57.02,55.2,0.6685,0.3273,3.813
V50,SUS+CQI@0.65,30000,2713.2,51.01,47.12,0.6005,0.3958,3.946
V50,SUS+CQI@0.65,30001,2938.9,80.71,75.37,0.5522,0.444,3.992
V50,SUS+CQI@0.65,30002,1725.5,110.29,103.16,0.5027,0.4943,4.0
V50,SUS+CQI@0.65,30003,1589.5,37.86,34.37,0.5657,0.432,3.985
V50,SUS+CQI@0.65,30004,4413.0,74.57,70.24,0.6172,0.3804,3.969
V50,SUS+CQI@0.65,30005,4468.9,71.21,66.79,0.6298,0.3666,3.992
V50,SUS+CQI@0.65,30006,4615.2,99.91,94.35,0.5774,0.4182,3.998
V50,SUS+CQI@0.65,30007,4146.6,57.11,55.28,0.6696,0.3269,3.77
V50,SUS+CQI@0.70,30000,2717.2,51.02,47.15,0.6007,0.3958,3.919
V50,SUS+CQI@0.70,30001,2957.4,80.72,75.48,0.5526,0.4435,3.98
V50,SUS+CQI@0.70,30002,1847.9,110.76,103.7,0.5051,0.492,4.0
V50,SUS+CQI@0.70,30003,1574.3,37.81,34.31,0.5646,0.433,3.972
V50,SUS+CQI@0.70,30004,4445.0,74.69,70.41,0.6185,0.3794,3.948
V50,SUS+CQI@0.70,30005,4442.4,71.1,66.65,0.6287,0.3675,3.987
V50,SUS+CQI@0.70,30006,4681.0,100.33,94.53,0.5787,0.4169,3.998
V50,SUS+CQI@0.70,30007,4155.9,57.17,55.34,0.67,0.3255,3.697
V50,SUS+CQI@0.75,30000,2740.2,51.04,47.25,0.6022,0.394,3.873
V50,SUS+CQI@0.75,30001,2941.0,80.63,75.38,0.5522,0.444,3.962
V50,SUS+CQI@0.75,30002,1882.7,111.03,103.84,0.5054,0.4916,3.998
V50,SUS+CQI@0.75,30003,1534.4,37.77,34.07,0.5613,0.4364,3.932
V50,SUS+CQI@0.75,30004,4452.8,74.8,70.36,0.6182,0.3794,3.924
V50,SUS+CQI@0.75,30005,4448.4,71.11,66.59,0.6289,0.3672,3.976
V50,SUS+CQI@0.75,30006,4679.4,100.6,94.42,0.578,0.4177,3.998
V50,SUS+CQI@0.75,30007,4172.6,57.23,55.38,0.6708,0.3245,3.604
V50,SUS+CQI@0.80,30000,2733.7,51.08,47.24,0.6015,0.394,3.773
V50,SUS+CQI@0.80,30001,2843.1,80.33,74.99,0.549,0.4471,3.911
V50,SUS+CQI@0.80,30002,1924.5,111.13,104.01,0.5061,0.4908,3.995
V50,SUS+CQI@0.80,30003,1522.1,37.68,34.05,0.5607,0.4369,3.862
V50,SUS+CQI@0.80,30004,4481.2,74.91,70.55,0.6195,0.3782,3.844
V50,SUS+CQI@0.80,30005,4377.1,70.93,66.33,0.626,0.3704,3.948
V50,SUS+CQI@0.80,30006,4649.5,100.58,94.07,0.5767,0.4189,3.997
V50,SUS+CQI@0.80,30007,4188.0,57.32,55.41,0.6714,0.3236,3.488
V50,SU+CQI,30000,3254.1,52.2,49.58,0.6314,0.3662,1.0
V50,SU+CQI,30001,1599.2,73.27,71.25,0.5212,0.475,1.0
V50,SU+CQI,30002,-5588.9,79.52,77.08,0.373,0.6235,1.0
V50,SU+CQI,30003,2108.4,38.85,36.99,0.6054,0.3923,1.0
V50,SU+CQI,30004,2266.4,64.78,62.82,0.5494,0.4476,1.0
V50,SU+CQI,30005,3405.2,65.52,63.4,0.5968,0.3987,1.0
V50,SU+CQI,30006,-1129.1,75.66,73.12,0.4476,0.5475,1.0
V50,SU+CQI,30007,4007.8,56.08,54.86,0.665,0.3325,1.0
V50,PPO-CQI4,30000,3428.5,51.7,49.99,0.6454,0.3514,2.239
V50,PPO-CQI4,30001,3820.3,81.4,79.51,0.5851,0.4111,2.539
V50,PPO-CQI4,30002,1863.6,106.92,103.76,0.5106,0.4862,3.738
V50,PPO-CQI4,30003,2138.0,38.05,36.59,0.6119,0.386,1.805
V50,PPO-CQI4,30004,4866.6,74.45,72.51,0.6386,0.3594,3.074
V50,PPO-CQI4,30005,5108.4,71.48,69.93,0.6613,0.3354,2.688
V50,PPO-CQI4,30006,4287.1,95.78,92.44,0.574,0.4214,3.338
V50,PPO-CQI4,30007,4350.6,57.37,56.16,0.6819,0.3156,2.37
V60,SUS+CQI@0.60,30000,2669.5,50.8,47.01,0.5985,0.3989,3.956
V60,SUS+CQI@0.60,30001,2864.0,80.38,75.12,0.5501,0.4459,4.0
V60,SUS+CQI@0.60,30002,1438.8,108.92,102.24,0.498,0.4991,4.0
V60,SUS+CQI@0.60,30003,1556.7,37.75,34.18,0.5631,0.4346,3.99
V60,SUS+CQI@0.60,30004,4301.6,73.83,69.99,0.6146,0.3831,3.949
V60,SUS+CQI@0.60,30005,4363.9,70.66,66.42,0.6268,0.3692,3.993
V60,SUS+CQI@0.60,30006,4442.2,99.07,93.81,0.574,0.4217,3.998
V60,SUS+CQI@0.60,30007,4149.8,57.11,55.27,0.6696,0.3259,3.796
V60,SUS+CQI@0.65,30000,2669.4,50.8,47.02,0.5985,0.3987,3.946
V60,SUS+CQI@0.65,30001,2881.1,80.43,75.13,0.5505,0.4455,3.994
V60,SUS+CQI@0.65,30002,1651.1,109.66,103.06,0.502,0.495,4.0
V60,SUS+CQI@0.65,30003,1540.8,37.73,34.11,0.5618,0.4359,3.983
V60,SUS+CQI@0.65,30004,4356.9,74.06,70.19,0.6162,0.3812,3.96
V60,SUS+CQI@0.65,30005,4359.0,70.66,66.34,0.6265,0.3695,3.992
V60,SUS+CQI@0.65,30006,4559.4,99.51,94.18,0.5769,0.4188,3.998
V60,SUS+CQI@0.65,30007,4166.0,57.17,55.34,0.6704,0.3247,3.739
V60,SUS+CQI@0.70,30000,2658.2,50.81,46.94,0.5977,0.3993,3.922
V60,SUS+CQI@0.70,30001,2839.1,80.3,74.94,0.5491,0.4468,3.985
V60,SUS+CQI@0.70,30002,1735.2,110.16,103.24,0.5031,0.4939,4.0
V60,SUS+CQI@0.70,30003,1555.8,37.69,34.21,0.5633,0.4346,3.969
V60,SUS+CQI@0.70,30004,4364.0,74.18,70.22,0.6161,0.3814,3.941
V60,SUS+CQI@0.70,30005,4298.8,70.65,66.0,0.6235,0.3728,3.988
V60,SUS+CQI@0.70,30006,4636.1,99.87,94.41,0.5784,0.4172,3.998
V60,SUS+CQI@0.70,30007,4196.5,57.27,55.49,0.6722,0.324,3.667
V60,SUS+CQI@0.75,30000,2646.9,50.82,46.9,0.5969,0.3997,3.877
V60,SUS+CQI@0.75,30001,2813.5,80.25,74.83,0.5482,0.4477,3.962
V60,SUS+CQI@0.75,30002,1786.1,110.23,103.46,0.5044,0.4926,4.0
V60,SUS+CQI@0.75,30003,1513.4,37.65,33.94,0.5597,0.438,3.935
V60,SUS+CQI@0.75,30004,4338.3,74.21,70.0,0.6148,0.3829,3.918
V60,SUS+CQI@0.75,30005,4293.7,70.61,65.99,0.6233,0.3728,3.978
V60,SUS+CQI@0.75,30006,4612.9,100.18,94.14,0.5769,0.4188,3.999
V60,SUS+CQI@0.75,30007,4211.2,57.28,55.57,0.6729,0.3224,3.568
V60,SUS+CQI@0.80,30000,2647.4,50.86,46.9,0.5967,0.3993,3.776
V60,SUS+CQI@0.80,30001,2754.9,80.0,74.62,0.5466,0.4489,3.906
V60,SUS+CQI@0.80,30002,1792.7,110.29,103.39,0.5043,0.4926,3.997
V60,SUS+CQI@0.80,30003,1480.4,37.58,33.82,0.5574,0.4406,3.863
V60,SUS+CQI@0.80,30004,4309.1,74.17,69.84,0.6132,0.3845,3.85
V60,SUS+CQI@0.80,30005,4251.5,70.46,65.83,0.6215,0.3746,3.95
V60,SUS+CQI@0.80,30006,4628.9,100.4,94.07,0.5767,0.419,3.996
V60,SUS+CQI@0.80,30007,4223.2,57.35,55.61,0.6735,0.3224,3.436
V60,SU+CQI,30000,3141.3,51.91,49.1,0.6251,0.3723,1.0
V60,SU+CQI,30001,1572.9,73.1,71.24,0.5208,0.4754,1.0
V60,SU+CQI,30002,-5751.2,78.63,76.43,0.3703,0.6263,1.0
V60,SU+CQI,30003,2029.0,38.69,36.62,0.5992,0.3988,1.0
V60,SU+CQI,30004,2154.5,64.28,62.33,0.5461,0.4514,1.0
V60,SU+CQI,30005,3408.6,65.45,63.32,0.5971,0.399,1.0
V60,SU+CQI,30006,-1134.1,75.49,72.95,0.4478,0.5472,1.0
V60,SU+CQI,30007,4025.8,56.21,54.94,0.6652,0.3327,1.0
V60,PPO-CQI4,30000,3365.6,51.54,49.72,0.6421,0.3538,2.245
V60,PPO-CQI4,30001,3776.0,81.27,79.51,0.5841,0.4125,2.55
V60,PPO-CQI4,30002,1710.9,106.54,103.26,0.5074,0.4892,3.666
V60,PPO-CQI4,30003,2043.0,37.86,36.28,0.6044,0.393,1.83
V60,PPO-CQI4,30004,4714.0,73.84,71.9,0.6334,0.3645,3.092
V60,PPO-CQI4,30005,4952.2,70.85,69.22,0.6554,0.3402,2.688
V60,PPO-CQI4,30006,4356.1,95.88,92.79,0.5762,0.4189,3.512
V60,PPO-CQI4,30007,4367.6,57.37,56.25,0.683,0.3137,2.406
P055,SUS+CQI@0.60,30000,3811.6,114.65,111.28,0.5486,0.4476,3.994
P055,SUS+CQI@0.60,30001,2419.3,92.28,87.42,0.529,0.4675,3.997
P055,SUS+CQI@0.60,30002,-3836.0,125.07,117.3,0.4192,0.5766,4.0
P055,SUS+CQI@0.60,30003,-2884.8,81.97,75.95,0.4112,0.5851,4.0
P055,SUS+CQI@0.60,30004,2720.3,90.02,84.65,0.5338,0.4622,3.989
P055,SUS+CQI@0.60,30005,2132.2,113.16,107.39,0.5092,0.4867,3.989
P055,SUS+CQI@0.60,30006,-1212.8,117.98,110.21,0.4507,0.5446,4.0
P055,SUS+CQI@0.60,30007,5055.1,102.22,98.46,0.5913,0.4061,3.959
P055,SUS+CQI@0.65,30000,3851.5,114.86,111.38,0.5491,0.4472,3.995
P055,SUS+CQI@0.65,30001,2442.1,92.38,87.5,0.5295,0.467,3.992
P055,SUS+CQI@0.65,30002,-3667.3,125.82,117.81,0.4215,0.5744,4.0
P055,SUS+CQI@0.65,30003,-2880.0,82.09,75.77,0.4109,0.5854,4.0
P055,SUS+CQI@0.65,30004,2807.4,90.38,84.99,0.536,0.4601,3.986
P055,SUS+CQI@0.65,30005,2176.3,113.66,107.68,0.5096,0.4864,3.991
P055,SUS+CQI@0.65,30006,-1148.0,118.48,110.25,0.4513,0.5442,4.0
P055,SUS+CQI@0.65,30007,5116.6,102.5,98.7,0.5927,0.4048,3.948
P055,SUS+CQI@0.70,30000,3809.1,114.83,111.23,0.5481,0.4482,3.994
P055,SUS+CQI@0.70,30001,2420.9,92.31,87.37,0.5289,0.4675,3.988
P055,SUS+CQI@0.70,30002,-3527.3,126.54,118.19,0.4229,0.573,4.0
P055,SUS+CQI@0.70,30003,-2900.1,82.08,75.6,0.4102,0.5861,3.998
P055,SUS+CQI@0.70,30004,2876.7,90.54,85.19,0.5379,0.4582,3.982
P055,SUS+CQI@0.70,30005,2179.3,113.72,107.51,0.5095,0.4865,3.981
P055,SUS+CQI@0.70,30006,-947.5,119.28,110.98,0.4543,0.5411,4.0
