p_arrival,scheduler,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
0.3,SUS+CQI,10000,2235.5633,66.6759,63.0609,0.547,0.4494,3.9935
0.3,SUS+CQI,10001,5964.3484,89.5486,83.8935,0.6452,0.3526,3.992
0.3,SUS+CQI,10002,6362.998,96.9547,91.1899,0.6405,0.3564,3.994
0.3,SUS+CQI,10003,4157.0704,82.6989,76.4396,0.5904,0.4072,3.9949
0.3,SUS+Deadline-PF,10000,947.0318,61.9935,57.4333,0.499,0.4968,3.9599
0.3,SUS+Deadline-PF,10001,3580.3634,81.9309,72.3738,0.5602,0.4363,3.9995
0.3,SUS+Deadline-PF,10002,2218.3645,84.0704,71.269,0.5063,0.4889,3.9997
0.3,SUS+Deadline-PF,10003,1094.0735,73.6712,62.2582,0.4817,0.5148,3.9996
0.3,SUS+PF,10000,982.5701,62.5218,57.6068,0.501,0.4949,3.9639
0.3,SUS+PF,10001,3590.1739,82.6863,72.7358,0.5649,0.4323,3.9992
0.3,SUS+PF,10002,2239.4377,85.5017,72.0331,0.5125,0.4828,3.9996
0.3,SUS+PF,10003,1118.8501,74.1754,63.0746,0.4883,0.5088,3.9993
0.3,SUS+Random,10000,818.2214,61.4521,56.7895,0.495,0.5007,3.8968
0.3,SUS+Random,10001,2312.5813,77.9417,66.9367,0.5222,0.474,3.9999
0.3,SUS+Random,10002,43.8416,78.0503,62.0655,0.447,0.548,3.9998
0.3,SUS+Random,10003,-532.3452,68.5505,55.5418,0.4338,0.5626,3.9999
0.3,SUS+MW,10000,2156.6808,66.483,62.7429,0.5438,0.4526,3.9946
0.3,SUS+MW,10001,5465.3739,89.1957,81.2318,0.6237,0.3737,3.9944
0.3,SUS+MW,10002,4983.9264,95.0441,84.4592,0.5893,0.4068,3.987
0.3,SUS+MW,10003,3197.901,81.189,72.3973,0.5535,0.4439,3.9996
0.3,SUS+EDF,10000,-2253.0529,47.8877,41.8471,0.367,0.6265,3.9009
0.3,SUS+EDF,10001,-374.7213,64.9795,53.2746,0.4177,0.5767,3.9999
0.3,SUS+EDF,10002,-3310.3862,62.1956,45.7031,0.3338,0.6602,3.9991
0.3,SUS+EDF,10003,-3044.4368,56.4094,42.8188,0.3364,0.6578,3.9998
0.3,SU+CQI,10000,2415.2933,66.2566,64.3187,0.5569,0.4398,1.0
0.3,SU+CQI,10001,3571.4506,77.9402,75.8142,0.582,0.4155,1.0
0.3,SU+CQI,10002,2124.8312,78.6731,75.9502,0.5326,0.4639,1.0
0.3,SU+CQI,10003,2383.3346,73.7735,71.1373,0.545,0.4526,1.0
0.3,SU+Deadline-PF,10000,209.8608,58.0551,54.0809,0.4706,0.5251,1.0
0.3,SU+Deadline-PF,10001,263.1949,65.4267,58.076,0.4508,0.5443,1.0
0.3,SU+Deadline-PF,10002,-1122.5975,66.6805,57.3051,0.4089,0.5852,1.0
0.3,SU+Deadline-PF,10003,-788.5353,62.406,54.3913,0.4219,0.5732,1.0
0.3,SU+PF,10000,269.6577,59.472,54.6339,0.4777,0.5186,1.0
0.3,SU+PF,10001,-141.9009,67.8436,57.3419,0.4512,0.5447,1.0
0.3,SU+PF,10002,-1515.1388,69.7494,57.2519,0.4129,0.5824,1.0
