seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
10000,PPO,3268.2895,74.4605,72.981,13.6641,0.5778,0.4191,0.0,2.4224,0.5984
10000,SU+CQI,2667.3834,72.766,70.9682,24.7702,0.5578,0.4388,0.0,1.0,0.5798
10000,SU+DPF,-477.2901,60.8252,56.6331,24.7327,0.4468,0.5479,0.0,1.0,0.5803
10000,SU+PF,-384.5992,62.7264,57.6457,24.6864,0.4559,0.54,0.0,1.0,0.5806
10000,SU+Rnd,-4889.3139,45.279,38.6329,23.1357,0.3116,0.6822,0.0,1.0,0.5887
10000,SUS+CQI,2776.2876,74.4596,70.8829,9.6127,0.5573,0.4396,0.0,3.9979,0.5988
10000,SUS+DPF,641.3913,66.5639,61.6284,9.998,0.4846,0.5114,0.0001,3.9686,0.5836
10000,SUS+PF,700.4625,67.451,62.1136,9.9487,0.4885,0.5079,0.0,3.9666,0.5835
10000,SUS+Rnd,642.7311,66.7371,61.4369,10.1259,0.4846,0.5105,0.0,3.8971,0.572
10001,PPO,7096.4103,87.5396,85.6818,9.6801,0.6997,0.2974,0.0,3.1207,0.7369
10001,SU+CQI,4137.0926,76.6254,74.5191,18.9076,0.6052,0.3917,0.0,1.0,0.6504
10001,SU+DPF,1135.3456,65.0614,58.313,18.4165,0.4779,0.516,0.0,1.0,0.752
10001,SU+PF,736.754,67.8226,57.6644,18.5382,0.4776,0.5178,0.0,1.0,0.7448
10001,SU+Rnd,-3467.6462,53.2636,39.7115,16.8387,0.3358,0.6586,0.0,1.0,0.7701
10001,SUS+CQI,6315.4007,87.1369,82.0325,8.0843,0.6667,0.3305,0.0,3.9953,0.7459
10001,SUS+DPF,4313.7422,80.8984,71.9836,8.1603,0.5898,0.4059,0.0,3.9996,0.7569
10001,SUS+PF,4253.2953,81.5155,72.2163,8.1597,0.5916,0.4047,0.0001,3.9994,0.7544
10001,SUS+Rnd,2782.1475,76.5552,65.4354,8.0201,0.5393,0.4566,0.0,3.9999,0.7205
10002,PPO,6860.8393,74.4881,72.7554,8.3172,0.7452,0.252,0.0,3.1366,0.7987
10002,SU+CQI,4742.6695,67.1302,64.8569,18.0098,0.6601,0.3371,0.0,1.0,0.733
10002,SU+DPF,2937.5023,61.5452,54.5974,18.0261,0.562,0.4338,0.0,1.0,0.8003
10002,SU+PF,2739.9188,62.5284,54.8668,17.9539,0.5658,0.4309,0.0,1.0,0.8007
10002,SU+Rnd,-1086.0098,49.7858,37.3333,16.5575,0.3991,0.5964,0.0,1.0,0.8142
10002,SUS+CQI,6321.4735,74.6173,70.2591,6.6843,0.7158,0.2815,0.0,3.9901,0.8049
10002,SUS+DPF,4567.8099,69.6448,61.4381,6.713,0.6325,0.3636,0.0,3.9991,0.8215
10002,SUS+PF,4554.5429,69.7969,61.7211,6.7067,0.6359,0.3607,0.0,3.9989,0.8207
10002,SUS+Rnd,2802.8848,64.5391,53.4861,6.5516,0.5568,0.439,0.0,3.9994,0.7927
10003,PPO,4295.4035,83.1733,80.154,9.524,0.5964,0.3992,0.0,3.193,0.6617
10003,SU+CQI,1871.968,74.5058,71.7109,21.6946,0.5269,0.4681,0.0001,1.0,0.5921
10003,SU+DPF,-1462.8322,62.4417,54.268,21.4004,0.4033,0.5902,0.0,1.0,0.6821
10003,SU+PF,-1625.1095,65.1434,54.8094,21.5076,0.4104,0.5838,0.0,1.0,0.6752
10003,SU+Rnd,-6063.5899,49.2962,35.8978,19.7848,0.2754,0.7179,0.0,1.0,0.7024
10003,SUS+CQI,3727.6237,84.1071,77.3878,8.3834,0.5713,0.4242,0.0,3.9995,0.6831
10003,SUS+DPF,459.3712,73.7187,62.39,8.3348,0.4633,0.5315,0.0,4.0,0.6891
10003,SUS+PF,520.2936,74.5634,63.1724,8.4051,0.47,0.5249,0.0,3.9999,0.6889
10003,SUS+Rnd,-943.9281,69.5821,56.8093,8.1279,0.4234,0.571,0.0,3.9996,0.6421
10004,PPO,6510.4041,106.2914,101.1219,11.8215,0.6243,0.3722,0.0,3.7679,0.716
10004,SU+CQI,2115.6253,89.2095,86.2331,25.6923,0.5256,0.4706,0.0,1.0,0.6011
10004,SU+DPF,-1216.5426,77.0981,66.4644,25.1687,0.4129,0.5805,0.0,1.0,0.7537
10004,SU+PF,-1369.4273,81.009,67.466,25.4122,0.4241,0.5708,0.0,1.0,0.741
10004,SU+Rnd,-6662.0959,62.0279,46.0872,23.5451,0.2917,0.7017,0.0,1.0,0.7915
10004,SUS+CQI,6596.6832,109.146,101.7905,11.7067,0.6224,0.3742,0.0,3.9998,0.7328
10004,SUS+DPF,3155.3267,99.9991,83.8445,11.6764,0.5206,0.475,0.0,4.0,0.7818
10004,SUS+PF,3341.1212,101.2191,85.9894,11.7255,0.5325,0.4635,0.0,4.0,0.7799
10004,SUS+Rnd,309.5815,91.3856,72.6311,11.3754,0.4523,0.543,0.0,4.0,0.7304
10005,PPO,4525.2586,41.804,40.4554,14.1914,0.8311,0.1682,0.0,2.3231,0.8928
10005,SU+CQI,4546.6833,42.1859,40.76,23.8378,0.8311,0.1679,0.0,1.0,0.8888
10005,SU+DPF,4205.0905,41.34,39.0949,23.8692,0.7983,0.2007,0.0,1.0,0.8945
10005,SU+PF,4177.1172,41.3265,39.1131,23.8655,0.7977,0.2017,0.0,1.0,0.8941
10005,SU+Rnd,3281.4448,38.6492,34.6075,23.8073,0.7119,0.2861,0.0,1.0,0.8862
10005,SUS+CQI,4021.625,41.1001,38.2618,7.2826,0.7817,0.217,0.0,3.8274,0.8845
10005,SUS+DPF,3940.3041,40.8371,37.9095,7.1965,0.7743,0.2241,0.0,3.8455,0.8834
10005,SUS+PF,3944.7507,40.8229,37.9578,7.2268,0.7753,0.2231,0.0,3.841,0.883
10005,SUS+Rnd,3726.3979,40.2624,36.8658,7.1332,0.7541,0.2439,0.0,3.8872,0.877
10006,PPO,3394.0907,45.8566,44.3827,11.0525,0.6731,0.3243,0.0,2.2858,0.7447
10006,SU+CQI,3444.0923,46.9335,44.8975,17.2297,0.6716,0.3262,0.0,1.0,0.7528
10006,SU+DPF,2483.9954,44.4065,40.5029,17.2153,0.6062,0.3905,0.0005,1.0,0.7326
10006,SU+PF,2508.3074,44.4241,40.7406,17.2121,0.6103,0.3864,0.0007,1.0,0.7329
10006,SU+Rnd,883.9309,38.7684,33.2539,16.6986,0.5029,0.493,0.0002,1.0,0.7024
10006,SUS+CQI,2617.7778,44.9156,41.0831,5.9035,0.6163,0.3808,0.0002,3.9556,0.7321
10006,SUS+DPF,2230.9055,43.635,39.5548,5.885,0.5924,0.4047,0.0002,3.9673,0.7134
10006,SUS+PF,2245.244,43.6603,39.6639,5.8697,0.5939,0.4032,0.0002,3.9656,0.7139
10006,SUS+Rnd,2091.319,42.8271,39.1025,5.9607,0.585,0.4119,0.0002,3.9717,0.6957
10007,PPO,6844.6834,72.2511,70.941,7.6707,0.7584,0.2406,0.0,3.0648,0.783
10007,SU+CQI,5044.1965,65.6877,63.8697,18.0049,0.6826,0.3162,0.0,1.0,0.7437
10007,SU+DPF,3376.1912,60.1459,55.1561,17.9962,0.592,0.4058,0.0,1.0,0.8022
10007,SU+PF,3246.8461,61.2153,55.0959,17.9604,0.5948,0.4036,0.0,1.0,0.8033
10007,SU+Rnd,-371.3053,48.4633,38.978,16.79,0.4315,0.5643,0.0,1.0,0.8046
10007,SUS+CQI,6287.5184,71.4822,68.2205,6.2041,0.7294,0.2692,0.0,3.9343,0.7947
10007,SUS+DPF,4851.1015,67.1239,61.2697,6.2192,0.6596,0.3386,0.0,3.9848,0.8119
10007,SUS+PF,4826.8871,67.5287,61.194,6.2266,0.6596,0.3386,0.0,3.9807,0.8112
10007,SUS+Rnd,3945.0045,64.1965,57.3409,6.0471,0.6193,0.378,0.0,3.9908,0.7895
10008,PPO,3587.3235,62.91,61.08,11.6924,0.6153,0.3824,0.0,2.6289,0.6662
10008,SU+CQI,2597.2845,60.2258,57.6268,20.2646,0.5736,0.4242,0.0,1.0,0.637
10008,SU+DPF,385.401,52.5313,46.7411,20.1973,0.4697,0.5265,0.0,1.0,0.6549
10008,SU+PF,211.6623,53.4866,46.7519,20.1995,0.4694,0.5276,0.0,1.0,0.6563
10008,SU+Rnd,-3593.3728,40.1471,30.2349,19.0488,0.3116,0.6832,0.0,1.0,0.6566
10008,SUS+CQI,2792.8476,62.5925,57.4401,8.7925,0.5743,0.4234,0.0,3.9746,0.6697
10008,SUS+DPF,813.385,56.1533,48.4975,8.7875,0.4875,0.5091,0.0,3.9926,0.6513
10008,SUS+PF,830.3281,56.5867,48.8677,8.7772,0.4913,0.506,0.0,3.9947,0.6501
10008,SUS+Rnd,171.0471,54.2131,46.047,8.9447,0.4633,0.5334,0.0,3.9245,0.6189
10009,PPO,7171.7747,102.9569,98.8871,11.7011,0.6529,0.3434,0.0,3.7348,0.7211
10009,SU+CQI,2427.12,84.6601,81.9026,24.5915,0.5375,0.4596,0.0,1.0,0.6008
10009,SU+DPF,-1353.5972,70.7509,61.4626,24.2186,0.4085,0.5865,0.0,1.0,0.7296
10009,SU+PF,-1385.8791,74.3599,62.8997,24.3943,0.4227,0.5733,0.0001,1.0,0.7222
10009,SU+Rnd,-6456.4516,56.6004,41.7854,22.428,0.2863,0.7087,0.0,1.0,0.7598
10009,SUS+CQI,7271.3837,104.8446,99.5589,11.0865,0.6543,0.3429,0.0,3.998,0.7274
10009,SUS+DPF,2593.2053,90.7423,77.578,11.2556,0.5145,0.4812,0.0,3.9993,0.7445
10009,SUS+PF,2729.5214,92.0137,79.1705,11.1247,0.5248,0.4717,0.0,3.9993,0.7424
10009,SUS+Rnd,826.4742,85.5893,70.2425,11.1059,0.4698,0.5256,0.0,3.9995,0.7076
10010,PPO,1962.1982,51.4969,49.4569,10.9197,0.5597,0.4372,0.0002,2.3318,0.6114
10010,SU+CQI,1629.8112,50.8819,48.418,17.9912,0.5431,0.4543,0.0,1.0,0.6048
10010,SU+DPF,231.6873,46.6152,41.8446,17.9747,0.4704,0.5264,0.0,1.0,0.601
10010,SU+PF,208.0442,47.0301,41.9782,17.9713,0.4724,0.5246,0.0,1.0,0.6017
10010,SU+Rnd,-2924.2103,35.5998,28.4647,16.8195,0.3256,0.6695,0.0,1.0,0.5882
10010,SUS+CQI,872.3088,49.5374,44.7394,7.3121,0.5029,0.4944,0.0,3.9898,0.6076
10010,SUS+DPF,-152.3869,46.2045,40.5185,7.391,0.4539,0.5429,0.0,3.9963,0.5806
10010,SUS+PF,-59.926,46.4013,41.108,7.3664,0.4602,0.5368,0.0,3.9955,0.5802
10010,SUS+Rnd,-488.1463,44.7271,39.2076,7.387,0.4399,0.5567,0.0,3.9987,0.5533
10011,PPO,8036.7631,99.0088,97.3426,13.121,0.7006,0.297,0.0,3.1228,0.7314
10011,SU+CQI,4209.4327,84.6392,82.66,23.8978,0.5925,0.4037,0.0,1.0,0.6404
10011,SU+DPF,499.8972,70.4,63.6775,23.5994,0.4622,0.5316,0.0,1.0,0.7301
10011,SU+PF,438.8452,73.6473,64.3705,23.742,0.471,0.5243,0.0,1.0,0.7214
10011,SU+Rnd,-4206.0626,56.8763,45.0015,21.9304,0.3334,0.6605,0.0,1.0,0.7516
10011,SUS+CQI,7350.7007,98.2817,93.9906,11.6648,0.6756,0.3217,0.0,3.9902,0.7375
10011,SUS+DPF,4327.7933,88.0547,80.141,11.4558,0.5788,0.4169,0.0,3.9993,0.7447
10011,SUS+PF,4360.2329,89.0849,80.539,11.511,0.5825,0.4137,0.0,3.9991,0.7448
10011,SUS+Rnd,3447.5934,85.9071,76.3673,11.3236,0.5531,0.4428,0.0,3.9994,0.7199
10012,PPO,2874.7233,62.0956,61.3324,11.336,0.5861,0.4112,0.0,2.357,0.6065
10012,SU+CQI,2814.9595,62.0445,61.0327,19.2978,0.5824,0.415,0.0,1.0,0.6066
10012,SU+DPF,903.5557,54.1262,52.5242,19.2322,0.5023,0.4945,0.0,1.0,0.5981
10012,SU+PF,1078.6749,55.7909,53.5923,19.2532,0.5135,0.4838,0.0,1.0,0.5976
10012,SU+Rnd,-2789.1636,41.8938,36.3377,17.9213,0.3567,0.6386,0.0,1.0,0.6017
10012,SUS+CQI,2807.066,62.2459,61.0057,7.1484,0.5819,0.4155,0.0,3.9867,0.6091
10012,SUS+DPF,1983.1628,59.0707,57.3216,7.1255,0.5476,0.4496,0.0,3.9942,0.6019
10012,SUS+PF,2043.101,59.6079,57.5076,7.1248,0.5502,0.447,0.0,3.9941,0.6023
10012,SUS+Rnd,2138.4641,59.6414,57.7421,7.1691,0.553,0.4438,0.0,3.966,0.5988
10013,PPO,5630.218,56.9637,55.5162,11.8892,0.7784,0.2201,0.0,2.6054,0.832
10013,SU+CQI,5095.1393,55.5716,53.851,20.2283,0.747,0.2519,0.0,1.0,0.8057
10013,SU+DPF,4334.8008,54.0053,49.5509,20.2221,0.6914,0.3064,0.0,1.0,0.8356
10013,SU+PF,4242.9944,53.9634,49.5008,20.2194,0.6905,0.3073,0.0,1.0,0.8338
10013,SU+Rnd,1878.112,46.4716,38.5385,19.6733,0.546,0.4509,0.0,1.0,0.8295
10013,SUS+CQI,5123.3114,56.6807,53.3788,7.8028,0.7426,0.2559,0.0,3.9512,0.8281
10013,SUS+DPF,4456.7636,55.1217,50.1105,7.7891,0.6989,0.2987,0.0,3.977,0.8372
10013,SUS+PF,4464.0545,55.0969,50.2417,7.7741,0.7011,0.2965,0.0,3.9728,0.8372
10013,SUS+Rnd,3914.609,53.349,47.6693,7.7534,0.6675,0.3299,0.0,3.9866,0.8187
10014,PPO,6632.4928,88.6887,87.197,11.8141,0.6761,0.3212,0.0002,2.9096,0.7034
10014,SU+CQI,4280.0059,80.041,78.248,23.4452,0.6048,0.3926,0.0,1.0,0.651
10014,SU+DPF,1128.6256,68.6643,62.6973,23.4963,0.4878,0.5079,0.0,1.0,0.683
10014,SU+PF,1021.4692,70.7034,63.0666,23.4443,0.4939,0.5028,0.0,1.0,0.6801
10014,SU+Rnd,-3831.3793,52.8124,42.5204,21.5985,0.3396,0.6561,0.0,1.0,0.7016
10014,SUS+CQI,5802.9107,87.1253,83.4201,9.6782,0.6462,0.351,0.0001,3.9982,0.7053
10014,SUS+DPF,3144.7017,78.885,71.5514,9.8914,0.555,0.4415,0.0,3.9998,0.696
10014,SUS+PF,3168.8509,79.3543,71.9685,9.8435,0.5586,0.4382,0.0001,3.9998,0.6953
10014,SUS+Rnd,2290.094,76.1963,67.7915,9.8699,0.528,0.4687,0.0,3.9988,0.6734
10015,PPO,5252.2842,53.7789,52.7951,10.787,0.7737,0.2243,0.0,2.51,0.8025
10015,SU+CQI,4907.8544,52.9099,51.5037,19.3092,0.7514,0.2463,0.0,1.0,0.7902
10015,SU+DPF,4239.1208,50.8763,48.2569,19.3058,0.7055,0.291,0.0,1.0,0.7913
10015,SU+PF,4139.0853,50.8599,48.0013,19.296,0.7018,0.2955,0.0,1.0,0.7905
10015,SU+Rnd,1578.437,42.4784,36.0954,18.8349,0.5392,0.4559,0.0002,1.0,0.7804
10015,SUS+CQI,4669.7932,52.971,50.2077,6.5878,0.7326,0.2648,0.0002,3.9008,0.7927
10015,SUS+DPF,4258.2976,51.6965,48.3213,6.639,0.7062,0.2906,0.0002,3.9277,0.789
10015,SUS+PF,4242.0091,51.6502,48.3379,6.6344,0.7062,0.291,0.0,3.9232,0.7883
10015,SUS+Rnd,3855.7,50.2733,46.4646,6.7287,0.6807,0.3156,0.0,3.8945,0.7752
10016,PPO,7825.9069,85.5856,83.4286,12.5648,0.7426,0.2548,0.0,3.234,0.7938
10016,SU+CQI,5575.8402,77.7649,75.235,29.2558,0.6643,0.3328,0.0001,1.0,0.7232
10016,SU+DPF,3823.0005,72.2806,65.305,29.2519,0.5814,0.4144,0.0,1.0,0.7946
