seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
10000,PPO,3268.8189,74.633,73.1675,13.0806,0.5776,0.4192,0.0001,2.3808,0.5986
10000,SU+CQI,2596.6418,72.4381,70.7606,24.6701,0.5558,0.4411,0.0001,1.0,0.5763
10000,SU+DPF,-462.1985,60.8254,56.5251,24.6305,0.4473,0.5475,0.0,1.0,0.5795
10000,SU+PF,-473.4557,62.5505,57.0223,24.5901,0.4525,0.5431,0.0,1.0,0.5805
10000,SU+Rnd,-4956.9446,45.1229,38.2632,23.0724,0.3091,0.6842,0.0,1.0,0.5833
10000,SUS+CQI,2742.4121,74.1997,70.8454,9.6319,0.5566,0.4402,0.0,3.9977,0.5963
10000,SUS+DPF,678.7228,66.5318,61.7072,9.9861,0.4865,0.5098,0.0,3.9537,0.5824
10000,SUS+PF,674.4736,67.3725,61.8413,9.923,0.4875,0.5088,0.0,3.9533,0.5824
10000,SUS+Rnd,630.7616,66.3908,61.4875,10.0969,0.4851,0.5102,0.0001,3.8991,0.5699
10001,PPO,6794.4231,86.2076,84.87,9.8886,0.6916,0.306,0.0,2.9747,0.724
10001,SU+CQI,4113.2324,76.5334,74.4727,18.9271,0.6046,0.3926,0.0,1.0,0.6493
10001,SU+DPF,1103.7384,65.3894,57.9726,18.4649,0.4768,0.5175,0.0,1.0,0.751
10001,SU+PF,773.776,67.6572,57.5164,18.5724,0.4796,0.5162,0.0,1.0,0.7438
10001,SU+Rnd,-3603.0415,53.0554,38.8878,16.8951,0.3305,0.6638,0.0003,1.0,0.7606
10001,SUS+CQI,6209.3884,86.7876,81.4901,8.1746,0.6632,0.334,0.0,3.9965,0.7423
10001,SUS+DPF,4029.8211,80.2532,70.8484,8.2335,0.5803,0.4162,0.0,3.9998,0.7539
10001,SUS+PF,3972.0096,80.8124,70.874,8.2434,0.5816,0.4151,0.0,3.9998,0.7512
10001,SUS+Rnd,2497.8062,75.5857,64.3676,8.0481,0.5299,0.4659,0.0001,3.9999,0.7183
10002,PPO,6513.3593,72.8105,71.5506,8.9817,0.7339,0.2632,0.0,2.9326,0.7884
10002,SU+CQI,4606.9149,66.6886,64.2087,18.061,0.6542,0.3433,0.0,1.0,0.7288
10002,SU+DPF,3016.6678,61.2039,54.953,18.0487,0.5681,0.4279,0.0,1.0,0.7995
10002,SU+PF,2687.5354,62.0166,54.5937,18.0062,0.5642,0.4321,0.0,1.0,0.7994
10002,SU+Rnd,-1219.0996,49.1829,36.8389,16.6317,0.3944,0.6006,0.0,1.0,0.8141
10002,SUS+CQI,6235.7178,74.2626,69.7388,6.6997,0.7122,0.2847,0.0,3.9922,0.8023
10002,SUS+DPF,4431.6454,69.0635,60.8126,6.7226,0.6271,0.369,0.0,3.9991,0.8199
10002,SUS+PF,4276.6291,69.105,60.438,6.7041,0.6234,0.3732,0.0,3.9987,0.819
10002,SUS+Rnd,2729.8228,64.3569,53.0114,6.5786,0.5531,0.4424,0.0,3.9993,0.79
10003,PPO,3961.9459,81.3069,79.3321,10.382,0.5902,0.4059,0.0,2.7897,0.6452
10003,SU+CQI,1784.324,74.058,71.2051,21.567,0.5246,0.4706,0.0,1.0,0.5869
10003,SU+DPF,-1624.5614,61.8585,53.5995,21.2281,0.3975,0.5961,0.0,1.0,0.6811
10003,SU+PF,-1718.922,64.6306,54.1656,21.3702,0.407,0.5872,0.0,1.0,0.6747
