seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
10000,PPO,3109.3012,88.0119,86.2299,13.0782,0.5549,0.4419,0.0,2.4657,0.581
10000,SU+CQI,1819.4505,83.1159,81.6816,25.6164,0.5232,0.4735,0.0,1.0,0.55
10000,SU+DPF,-2970.6952,64.5417,59.7516,25.4509,0.3853,0.6092,0.0,1.0,0.5606
10000,SU+PF,-2697.1538,67.6674,61.7706,25.4799,0.4006,0.5946,0.0,1.0,0.5543
10000,SU+Rnd,-8202.2018,47.2267,38.9676,23.2986,0.2574,0.7364,0.0,1.0,0.5791
10000,SUS+CQI,2639.8659,87.6176,84.3187,10.4735,0.5401,0.4566,0.0,4.0,0.5807
10000,SUS+DPF,-1125.7147,73.8082,67.7168,10.7745,0.4359,0.5596,0.0,3.9659,0.5628
10000,SUS+PF,-1074.9934,75.1054,68.1243,10.7487,0.4395,0.5562,0.0,3.97,0.5635
10000,SUS+Rnd,-879.5166,75.0622,68.4046,10.9204,0.4434,0.5515,0.0,3.8982,0.5566
10001,PPO,6766.4592,98.9767,96.9588,9.8352,0.6525,0.3447,0.0,3.1003,0.6961
10001,SU+CQI,2386.7438,82.3871,80.3737,19.4868,0.5377,0.4586,0.0,1.0,0.5886
10001,SU+DPF,-1850.5091,65.784,57.4544,18.5284,0.392,0.6011,0.0,1.0,0.7463
10001,SU+PF,-2281.8371,69.218,57.0813,18.8282,0.3943,0.6006,0.0,1.0,0.7389
10001,SU+Rnd,-6510.7828,54.368,39.2161,16.9938,0.2777,0.7158,0.0,1.0,0.7573
10001,SUS+CQI,5948.4064,98.439,92.9026,8.7964,0.624,0.373,0.0001,3.9999,0.7094
10001,SUS+DPF,1967.4655,84.6904,73.9647,8.6648,0.4999,0.4953,0.0,4.0,0.7383
10001,SUS+PF,1900.8565,86.7784,73.8969,8.7012,0.5028,0.4935,0.0,4.0,0.7342
10001,SUS+Rnd,528.5938,81.972,67.894,8.4435,0.4626,0.5328,0.0,4.0,0.6893
10002,PPO,6907.5969,79.5084,77.8515,8.6949,0.7234,0.2749,0.0001,3.0967,0.7727
10002,SU+CQI,4260.6669,70.0144,67.9491,18.4971,0.6268,0.3709,0.0,1.0,0.701
10002,SU+DPF,2206.492,63.3985,56.115,18.5254,0.5252,0.4711,0.0,1.0,0.7786
10002,SU+PF,1839.4703,64.457,55.5975,18.4547,0.5226,0.4743,0.0,1.0,0.7774
10002,SU+Rnd,-2203.3412,50.5144,37.5122,16.9662,0.3651,0.6305,0.0,1.0,0.7975
10002,SUS+CQI,6334.9826,79.7071,75.0394,7.2659,0.6941,0.3041,0.0,3.9899,0.7833
10002,SUS+DPF,3749.2541,72.645,62.0923,7.2603,0.5819,0.415,0.0,3.9992,0.8053
10002,SUS+PF,3732.7632,72.8947,62.7142,7.2515,0.5864,0.4107,0.0,3.999,0.8051
