seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
10000,PPO,2735.4364,86.6529,85.165,14.9509,0.5466,0.4499,0.0003,2.4515,0.5671
10000,SU+CQI,1166.1482,80.5273,79.0906,26.4316,0.5067,0.4898,0.0,1.0,0.5379
10000,SU+DPF,-3506.7364,61.6406,57.7138,25.4585,0.3721,0.6212,0.0001,1.0,0.5713
10000,SU+PF,-3292.7476,64.9838,59.237,25.6183,0.3852,0.6086,0.0008,1.0,0.5632
10000,SU+Rnd,-5807.8205,56.9459,47.7124,24.7179,0.3152,0.6785,0.0005,1.0,0.5707
10000,SUS+CQI,2447.8582,86.2938,83.9437,11.4781,0.5374,0.4591,0.0002,3.9725,0.5668
10000,SUS+DPF,-575.426,75.1301,70.2052,11.5361,0.4523,0.5424,0.0007,3.9992,0.5613
10000,SUS+PF,-548.5766,76.5107,70.2838,11.6334,0.4547,0.5403,0.0009,3.9981,0.5601
10000,SUS+Rnd,750.3946,80.4124,75.8018,11.5526,0.4884,0.5063,0.001,3.999,0.5589
10001,PPO,6241.2418,96.563,94.9026,10.8409,0.6397,0.3574,0.0,2.9434,0.6824
10001,SU+CQI,1916.5069,80.594,78.4999,19.7971,0.5249,0.4713,0.0,1.0,0.5767
10001,SU+DPF,-2515.5914,63.5075,55.0294,18.5331,0.375,0.6182,0.0,1.0,0.7409
10001,SU+PF,-3037.1207,65.5447,54.7971,18.7392,0.3756,0.6185,0.0005,1.0,0.7335
10001,SU+Rnd,-6123.0926,56.045,40.9832,17.3328,0.2883,0.7045,0.001,1.0,0.742
10001,SUS+CQI,5420.8172,96.2046,91.0284,9.1054,0.6109,0.386,0.0001,3.9973,0.6917
10001,SUS+DPF,1435.8901,82.4249,72.1128,8.8922,0.4874,0.5073,0.0006,4.0,0.7219
10001,SUS+PF,1190.597,83.8602,71.3534,8.9396,0.4847,0.5107,0.0007,4.0,0.7178
10001,SUS+Rnd,614.0806,81.6375,68.7229,8.8298,0.4672,0.5273,0.0006,4.0,0.6769
10002,PPO,6156.2843,76.3315,74.5687,10.193,0.6969,0.3012,0.0,2.9159,0.754
10002,SU+CQI,3823.5885,68.5403,66.1141,18.9715,0.6102,0.3875,0.0,1.0,0.689
10002,SU+DPF,2067.8509,63.0926,55.803,18.894,0.5212,0.4752,0.0,1.0,0.7718
10002,SU+PF,1772.4738,64.0427,55.5394,18.9282,0.5205,0.4764,0.0,1.0,0.7678
10002,SU+Rnd,-1749.3644,52.9905,39.1324,17.5034,0.3788,0.6161,0.0,1.0,0.7923
10002,SUS+CQI,5796.2064,77.5988,72.9452,7.6599,0.6748,0.3231,0.0,3.9869,0.7661
10002,SUS+DPF,4178.8695,73.5602,64.3816,7.7206,0.6021,0.395,0.0,3.9985,0.7988
10002,SUS+PF,4015.3429,73.528,64.0535,7.7089,0.5984,0.3988,0.0,3.9979,0.798
10002,SUS+Rnd,2220.2527,67.7329,55.9617,7.6196,0.527,0.4698,0.0001,3.9992,0.7628
10003,PPO,2957.5087,91.9575,89.6029,11.337,0.5457,0.4507,0.0,2.8006,0.5931
10003,SU+CQI,-569.7447,79.2693,76.6071,23.0302,0.4616,0.5345,0.0,1.0,0.5182
10003,SU+DPF,-5274.3157,61.3585,52.6599,21.6351,0.3225,0.671,0.0,1.0,0.6753
10003,SU+PF,-5282.3775,64.3262,54.2325,21.8343,0.3346,0.6602,0.0,1.0,0.6663
10003,SU+Rnd,-9400.4936,51.6912,36.545,20.4218,0.2306,0.7629,0.0002,1.0,0.6739
10003,SUS+CQI,1984.6169,92.041,84.6531,9.4948,0.513,0.483,0.0001,4.0,0.6201
10003,SUS+DPF,-2345.8072,76.9388,64.7318,9.1541,0.3948,0.5994,0.0002,4.0,0.6511
10003,SUS+PF,-2146.6637,79.1797,66.1659,9.35,0.4051,0.5898,0.0003,3.9999,0.6448
10003,SUS+Rnd,-3519.544,74.3618,60.2466,9.1022,0.3697,0.6248,0.0002,4.0,0.5882
10004,PPO,5276.9332,117.0994,113.5692,14.1945,0.5787,0.4173,0.0,3.4095,0.6362
10004,SU+CQI,-1254.3834,92.6546,90.2244,27.3872,0.4525,0.5428,0.0,1.0,0.4884
10004,SU+DPF,-6633.6723,72.1584,60.7076,25.1654,0.3121,0.6811,0.0,1.0,0.7685
10004,SU+PF,-7368.4595,74.7574,59.6065,25.2026,0.3112,0.6827,0.0,1.0,0.7702
10004,SU+Rnd,-11586.178,61.9037,41.5674,23.9795,0.2235,0.77,0.0,1.0,0.771
10004,SUS+CQI,4838.7502,119.6523,111.8035,13.5576,0.5626,0.4337,0.0,4.0,0.6551
10004,SUS+DPF,-1507.411,98.277,80.6817,12.6146,0.4125,0.5813,0.0001,4.0,0.7502
10004,SUS+PF,-1087.6956,102.9934,83.2603,12.8565,0.4274,0.567,0.0,4.0,0.7379
10004,SUS+Rnd,-3830.6632,93.5359,72.209,12.6842,0.3707,0.6236,0.0,4.0,0.6612
10005,PPO,4346.2954,41.7196,40.397,17.5247,0.8082,0.1896,0.0,2.0669,0.8645
10005,SU+CQI,4252.2804,41.8082,40.1246,25.1117,0.7977,0.1991,0.0003,1.0,0.8638
10005,SU+DPF,4042.6018,41.3282,39.1208,25.0967,0.7777,0.2188,0.0006,1.0,0.8655
10005,SU+PF,4030.2983,41.2873,39.0709,25.0945,0.7777,0.2185,0.001,1.0,0.8642
10005,SU+Rnd,3401.8405,39.6193,35.8127,25.0264,0.7169,0.2777,0.0013,1.0,0.8565
10005,SUS+CQI,3850.661,40.9212,38.2574,9.0345,0.7613,0.2359,0.0,3.7007,0.8522
10005,SUS+DPF,3776.557,40.7981,37.9002,8.9133,0.754,0.2429,0.0003,3.7225,0.8514
10005,SUS+PF,3776.9722,40.7871,37.928,8.9424,0.7543,0.2425,0.0003,3.7184,0.8513
10005,SUS+Rnd,3661.0304,40.4042,37.2972,8.8418,0.7438,0.2533,0.0,3.7837,0.8473
10006,PPO,3319.705,49.5614,47.9778,12.0458,0.6487,0.3494,0.0002,2.2235,0.7079
10006,SU+CQI,3126.7951,50.0492,47.3053,17.9879,0.6325,0.3656,0.0,1.0,0.7066
10006,SU+DPF,2716.8511,49.1015,45.2969,17.9604,0.6067,0.3895,0.0019,1.0,0.7059
10006,SU+PF,2735.2855,49.0729,45.498,17.9724,0.6093,0.3867,0.0021,1.0,0.705
10006,SU+Rnd,1438.8072,44.7077,39.2669,17.5297,0.5312,0.4643,0.0013,1.0,0.6923
10006,SUS+CQI,2639.9071,48.7721,45.1033,6.9904,0.6041,0.3935,0.0004,3.8513,0.6933
10006,SUS+DPF,2477.9817,48.2956,44.4759,6.9395,0.5948,0.4023,0.0011,3.8789,0.6882
10006,SUS+PF,2483.2432,48.2924,44.5118,6.9461,0.5954,0.4016,0.0011,3.8738,0.6881
10006,SUS+Rnd,2418.4908,47.9528,44.2597,6.9109,0.5918,0.4055,0.0006,3.9113,0.6809
10007,PPO,6005.1183,78.2551,76.2019,8.627,0.6793,0.3177,0.0,2.8673,0.7368
10007,SU+CQI,3531.7222,69.2449,66.7142,18.9211,0.5937,0.4032,0.0,1.0,0.6918
10007,SU+DPF,1123.1093,60.4893,54.3576,18.6941,0.4884,0.5063,0.0,1.0,0.7609
10007,SU+PF,1164.1357,62.6902,55.216,18.8434,0.4984,0.4972,0.0,1.0,0.7527
10007,SU+Rnd,-2542.3377,49.9868,38.8685,17.3469,0.3592,0.6349,0.0003,1.0,0.7728
10007,SUS+CQI,5600.0161,78.3473,74.1439,7.0667,0.6597,0.3372,0.0,3.9669,0.7534
10007,SUS+DPF,2980.3678,70.0214,61.8558,7.0354,0.5558,0.4398,0.0004,3.9954,0.7675
10007,SUS+PF,3048.1411,70.8299,62.4877,7.0497,0.5607,0.4352,0.0004,3.9941,0.7674
10007,SUS+Rnd,1662.0212,65.8284,56.0862,6.7892,0.5082,0.4867,0.0003,3.9981,0.744
10008,PPO,2538.466,67.5666,65.7017,13.6819,0.5613,0.436,0.0,2.4683,0.606
10008,SU+CQI,1314.3806,64.316,61.4374,21.8644,0.5174,0.4797,0.0,1.0,0.5717
10008,SU+DPF,-538.7553,57.7918,51.7013,21.7053,0.4393,0.5556,0.0,1.0,0.6292
10008,SU+PF,-657.2574,58.6423,51.9971,21.7803,0.442,0.5532,0.0003,1.0,0.6251
10008,SU+Rnd,-4361.8141,47.1515,35.4553,20.5361,0.3088,0.6856,0.0001,1.0,0.6301
10008,SUS+CQI,1890.2336,68.0208,62.7461,10.4272,0.5306,0.4662,0.0001,3.9754,0.6149
10008,SUS+DPF,406.976,63.5165,55.72,10.3472,0.4726,0.523,0.0,3.9971,0.6234
10008,SUS+PF,349.7283,63.8934,55.5717,10.3813,0.4718,0.5238,0.0001,3.997,0.6225
10008,SUS+Rnd,-535.5786,60.4477,51.8486,10.3589,0.4411,0.5543,0.0003,3.9981,0.5855
10009,PPO,5317.5802,111.661,108.0223,13.652,0.5852,0.412,0.0001,3.4251,0.6518
10009,SU+CQI,-967.8948,88.0243,85.6208,26.2714,0.4561,0.5402,0.0,1.0,0.503
10009,SU+DPF,-6319.3696,67.1798,57.228,24.2224,0.3119,0.6818,0.0,1.0,0.73
10009,SU+PF,-6757.6208,70.1022,57.773,24.279,0.3167,0.678,0.0,1.0,0.7285
10009,SU+Rnd,-11034.4341,57.358,39.0386,23.0458,0.2208,0.7733,0.0002,1.0,0.7259
10009,SUS+CQI,5228.1403,114.7586,107.9855,12.8024,0.5773,0.4199,0.0,4.0,0.6673
10009,SUS+DPF,-2069.1731,88.7376,74.1871,12.4315,0.4018,0.5925,0.0,4.0,0.7119
10009,SUS+PF,-2115.3197,91.7734,74.9786,12.5491,0.4071,0.5882,0.0,4.0,0.704
10009,SUS+Rnd,-3177.2986,88.3575,70.2182,12.5483,0.3821,0.6128,0.0001,4.0,0.6473
10010,PPO,778.8941,57.8515,55.7966,12.6176,0.502,0.4944,0.0,2.0127,0.5601
10010,SU+CQI,315.106,56.6886,54.2679,19.1685,0.4842,0.5122,0.0,1.0,0.5454
10010,SU+DPF,-1069.9623,52.8691,47.4845,19.1224,0.4245,0.5707,0.0006,1.0,0.565
10010,SU+PF,-1033.7563,53.2895,47.8205,19.1339,0.4287,0.5661,0.001,1.0,0.5628
10010,SU+Rnd,-3876.6866,42.9359,35.1366,18.0915,0.3201,0.6736,0.001,1.0,0.5566
10010,SUS+CQI,-348.6068,55.8482,50.9148,8.4589,0.4551,0.541,0.0003,3.9767,0.5473
10010,SUS+DPF,-1069.714,53.3574,47.6802,8.4528,0.427,0.5677,0.0013,3.9839,0.5423
10010,SUS+PF,-1012.7992,53.6402,48.0484,8.4342,0.4297,0.5657,0.0007,3.9819,0.5419
10010,SUS+Rnd,-1190.2615,52.5715,47.4508,8.5171,0.424,0.5716,0.0004,3.9911,0.5231
10011,PPO,7518.4745,113.0577,111.2921,14.5871,0.6448,0.3513,0.0001,3.0184,0.6797
10011,SU+CQI,982.9624,88.3966,86.1015,25.7709,0.4977,0.4977,0.0,1.0,0.5556
10011,SU+DPF,-4079.0601,68.3095,61.1613,24.0283,0.3579,0.6357,0.0,1.0,0.7232
10011,SU+PF,-4270.158,71.0973,61.0261,24.1584,0.3629,0.6316,0.0001,1.0,0.7133
10011,SU+Rnd,-7757.0693,59.9217,45.84,22.9518,0.2791,0.7143,0.0004,1.0,0.7246
10011,SUS+CQI,6846.1887,112.5541,108.0232,13.7052,0.6247,0.3712,0.0001,3.9841,0.6915
10011,SUS+DPF,749.8886,89.7772,80.8128,12.9569,0.4715,0.5228,0.0003,3.9997,0.6995
10011,SUS+PF,879.1438,93.2319,81.6275,13.127,0.4774,0.5176,0.0004,3.9997,0.6902
10011,SUS+Rnd,1054.307,93.8407,81.907,13.1291,0.4788,0.5153,0.0006,3.9998,0.6698
10012,PPO,3805.002,78.1007,77.2759,11.7086,0.5929,0.4035,0.0007,2.6862,0.6008
10012,SU+CQI,2767.4589,73.7594,72.958,20.9463,0.5609,0.4356,0.0002,1.0,0.5833
10012,SU+DPF,517.7683,64.3254,62.9476,20.7384,0.4847,0.5112,0.0002,1.0,0.5849
10012,SU+PF,681.531,66.1838,63.822,20.8895,0.4932,0.5022,0.0007,1.0,0.5819
10012,SU+Rnd,-104.8447,63.6503,59.4493,20.2559,0.4628,0.532,0.0002,1.0,0.5947
10012,SUS+CQI,3692.1681,77.8471,76.6063,9.6925,0.5885,0.4084,0.0002,3.5784,0.6018
10012,SUS+DPF,3540.0604,77.1746,75.9676,9.5397,0.5837,0.4131,0.0002,3.6746,0.6019
10012,SUS+PF,3552.8879,77.2552,75.9764,9.5766,0.5841,0.4127,0.0002,3.6615,0.6021
10012,SUS+Rnd,3604.0294,77.449,76.1135,9.4156,0.5852,0.4116,0.0002,3.7227,0.6011
10013,PPO,5443.3531,56.9899,55.7067,13.5738,0.7637,0.2352,0.0002,2.3654,0.8056
10013,SU+CQI,5057.532,56.1415,54.5385,20.917,0.7408,0.2584,0.0,1.0,0.7835
10013,SU+DPF,4149.0553,53.9465,49.899,20.908,0.6794,0.3189,0.0002,1.0,0.8039
10013,SU+PF,4063.3042,53.8599,49.8361,20.9034,0.6785,0.3198,0.0002,1.0,0.8029
10013,SU+Rnd,1650.0506,46.3361,38.3503,20.2654,0.5341,0.4634,0.0002,1.0,0.7979
10013,SUS+CQI,4985.7258,56.8959,53.7856,8.5802,0.7306,0.2681,0.0,3.9447,0.7982
10013,SUS+DPF,4232.2733,54.9274,50.172,8.5282,0.6839,0.3146,0.0,3.9718,0.8018
10013,SUS+PF,4212.3588,54.9221,50.1935,8.5368,0.6839,0.3146,0.0,3.969,0.8017
10013,SUS+Rnd,3606.1733,53.0071,47.263,8.5,0.6478,0.3507,0.0,3.9858,0.7805
10014,PPO,6353.9456,101.7332,100.257,13.3733,0.6326,0.3649,0.0,2.8868,0.6636
10014,SU+CQI,2005.2432,85.6426,83.6863,25.1092,0.5259,0.4711,0.0,1.0,0.5731
10014,SU+DPF,-2696.525,66.5362,60.5198,23.8108,0.385,0.6094,0.0,1.0,0.6717
10014,SU+PF,-2870.4747,69.7042,60.9134,23.9753,0.391,0.6046,0.0001,1.0,0.6632
10014,SU+Rnd,-5748.2956,60.7023,48.1484,22.8446,0.3148,0.6801,0.0001,1.0,0.6818
10014,SUS+CQI,5375.5136,100.307,95.7838,11.5128,0.603,0.3945,0.0,3.9833,0.6644
10014,SUS+DPF,1770.6832,87.6486,79.292,11.6174,0.5018,0.4937,0.0001,3.9995,0.6598
10014,SUS+PF,1915.0611,89.4152,80.3272,11.6441,0.5093,0.4868,0.0003,3.9988,0.6559
10014,SUS+Rnd,1964.8855,89.3421,80.064,11.6528,0.5085,0.4875,0.0001,3.9993,0.6468
10015,PPO,5053.1641,53.2959,52.214,12.7618,0.7603,0.2367,0.0002,2.3572,0.7914
10015,SU+CQI,4600.132,52.0021,50.4666,20.2529,0.7323,0.2649,0.0,1.0,0.7728
10015,SU+DPF,4321.9841,51.6026,48.8063,20.2087,0.7099,0.2855,0.0012,1.0,0.7885
10015,SU+PF,4266.8856,51.443,48.7117,20.213,0.7082,0.2874,0.0012,1.0,0.7869
10015,SU+Rnd,3101.5566,47.8525,42.7708,19.8971,0.6293,0.3649,0.0,1.0,0.7863
10015,SUS+CQI,4722.524,53.096,50.712,8.4511,0.7362,0.2615,0.0,3.61,0.7888
