seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
20050,PPO,6054.4833,93.6923,91.8813,11.0287,0.6381,0.3585,0.0,3.0611,0.6739
20050,SUS+CQI,5349.4526,93.747,88.2743,9.4668,0.6114,0.3849,0.0,3.9844,0.6924
20050,SUS+DPF,1626.6249,80.4669,70.6554,9.7619,0.495,0.4992,0.0006,3.9998,0.7098
20050,SUS+PF,1476.6369,81.7708,70.5069,9.6583,0.4958,0.4994,0.0004,3.9991,0.7064
20050,SUS+Rnd,655.0911,78.9011,66.3517,9.5195,0.4693,0.5246,0.0004,4.0,0.6818
20050,SU+CQI,2000.5311,78.5807,76.4473,21.5937,0.529,0.467,0.0,1.0,0.5858
20050,SU+DPF,-1664.8016,64.1836,56.7497,20.6622,0.4014,0.5923,0.0001,1.0,0.7239
20050,SU+PF,-1970.8324,66.8353,56.8013,20.8664,0.4058,0.5889,0.0003,1.0,0.7144
20050,SU+Rnd,-5405.9829,56.3841,41.65,19.3003,0.303,0.6901,0.0003,1.0,0.7368
20051,PPO,8795.8448,102.9873,101.2221,16.5174,0.7169,0.2811,0.0,3.0249,0.7624
20051,SUS+CQI,7763.217,101.4371,96.3002,14.8926,0.6815,0.316,0.0,3.9573,0.7711
20051,SUS+DPF,5584.3515,94.3427,86.1423,15.1934,0.6118,0.3849,0.0,3.9896,0.7701
20051,SUS+PF,5544.3854,94.9284,86.1864,15.0655,0.6128,0.3841,0.0,3.9839,0.7696
20051,SUS+Rnd,4939.5764,92.4443,83.4135,15.248,0.5938,0.4028,0.0,3.996,0.7504
20051,SU+CQI,4519.7415,87.1405,84.8665,29.6158,0.5991,0.3978,0.0,1.0,0.6561
20051,SU+DPF,1008.2286,72.9492,66.8083,28.5642,0.4761,0.5177,0.0,1.0,0.7746
20051,SU+PF,1144.2897,76.2104,68.2796,28.7874,0.4907,0.5043,0.0001,1.0,0.7601
20051,SU+Rnd,-2628.8998,63.8024,52.0201,27.6428,0.3793,0.6154,0.0,1.0,0.7847
20052,PPO,4171.8979,112.0521,109.7647,17.1404,0.5591,0.4375,0.0,2.7938,0.5943
20052,SUS+CQI,3235.6529,111.519,105.3171,15.4428,0.5342,0.4622,0.0,3.9973,0.602
20052,SUS+DPF,-3872.9529,85.7395,73.0457,14.7718,0.3738,0.6205,0.0,3.9997,0.6501
20052,SUS+PF,-3642.6703,89.009,74.3512,14.879,0.3829,0.6122,0.0,3.9996,0.6419
20052,SUS+Rnd,-3797.4521,87.7183,74.1705,15.2014,0.3808,0.614,0.0,3.9997,0.5825
20052,SU+CQI,-785.495,93.0092,91.291,31.3245,0.462,0.5344,0.0,1.0,0.4939
20052,SU+DPF,-7583.656,67.3025,58.2531,29.1259,0.2992,0.6946,0.0,1.0,0.6824
20052,SU+PF,-7758.1796,70.043,58.6233,29.249,0.3058,0.6885,0.0,1.0,0.6771
20052,SU+Rnd,-12132.8896,55.5885,40.3106,27.9391,0.2165,0.7773,0.0,1.0,0.6817
20053,PPO,7479.3658,72.5767,71.496,18.6103,0.8022,0.1957,0.0007,2.7226,0.8324
20053,SUS+CQI,6729.3522,70.8469,67.8586,15.0831,0.7632,0.2343,0.0007,3.754,0.8343
20053,SUS+DPF,6415.1212,69.9156,66.4224,14.8594,0.7478,0.2488,0.0016,3.7819,0.8334
20053,SUS+PF,6422.1837,69.985,66.4783,14.8934,0.7483,0.2483,0.0016,3.7777,0.8336
20053,SUS+Rnd,6174.9022,69.0922,65.2963,15.0034,0.7357,0.2607,0.0014,3.8564,0.8262
20053,SU+CQI,6359.0394,68.6638,66.8064,31.9548,0.751,0.2478,0.0,1.0,0.8096
20053,SU+DPF,5514.8146,65.9422,62.7008,31.9487,0.7063,0.2918,0.0004,1.0,0.8145
20053,SU+PF,5481.2434,66.0946,62.7355,31.9527,0.7077,0.2905,0.0004,1.0,0.8142
20053,SU+Rnd,3448.0259,59.1799,53.1567,31.4281,0.6056,0.3909,0.0007,1.0,0.8134
20054,PPO,4416.3228,93.8493,91.9729,21.5658,0.5864,0.4108,0.0,2.6201,0.6216
20054,SUS+CQI,3538.3849,93.8325,87.8493,18.3202,0.5562,0.4408,0.0,3.9955,0.632
20054,SUS+DPF,1691.1354,87.7244,78.9594,19.0872,0.5019,0.4937,0.0001,3.9991,0.6408
20054,SUS+PF,1736.2625,88.6038,79.4426,19.0346,0.5051,0.491,0.0003,3.999,0.6391
20054,SUS+Rnd,306.1851,82.5699,73.3015,18.8263,0.4668,0.5283,0.0004,3.9996,0.6044
20054,SU+CQI,2068.6899,85.2627,83.5069,38.2361,0.5276,0.4694,0.0,1.0,0.5622
20054,SU+DPF,-2456.7356,67.9298,60.7493,37.0535,0.3896,0.6036,0.0,1.0,0.666
20054,SU+PF,-2595.453,70.4513,61.26,37.1878,0.3958,0.5981,0.0002,1.0,0.6579
20054,SU+Rnd,-6877.5737,56.1076,43.0998,35.887,0.2836,0.7097,0.0005,1.0,0.6459
20055,PPO,4743.8594,106.3459,104.1856,12.8004,0.5776,0.4185,0.0,3.3257,0.6188
20055,SUS+CQI,4487.5973,107.9207,102.8394,11.7382,0.567,0.429,0.0,3.9973,0.628
20055,SUS+DPF,-1286.5557,88.4279,76.2703,11.745,0.4246,0.57,0.0002,4.0,0.6453
20055,SUS+PF,-1316.6349,90.3763,76.9034,11.7309,0.4292,0.5659,0.0002,4.0,0.6406
20055,SUS+Rnd,-2195.6895,87.4838,72.0389,11.5995,0.4059,0.5885,0.0002,4.0,0.6219
20055,SU+CQI,-1097.653,84.941,82.3012,25.497,0.4524,0.5433,0.0,1.0,0.5091
20055,SU+DPF,-6144.5183,64.8909,56.5002,23.9006,0.3159,0.6774,0.0,1.0,0.6588
20055,SU+PF,-6739.8571,66.8966,55.7013,24.0167,0.3155,0.6781,0.0005,1.0,0.6526
20055,SU+Rnd,-9444.2556,58.6489,43.5527,22.9116,0.2532,0.7409,0.0,1.0,0.6694
20056,PPO,7054.9979,103.3166,100.2969,18.7543,0.6496,0.3478,0.0,3.3329,0.7221
20056,SUS+CQI,6254.0592,103.3505,96.4408,16.9889,0.6223,0.3754,0.0,3.9719,0.741
20056,SUS+DPF,4660.387,98.9698,87.7407,18.2182,0.5701,0.4265,0.0,3.9952,0.7777
20056,SUS+PF,4758.9131,100.172,88.573,17.8853,0.5755,0.4213,0.0,3.9913,0.7746
20056,SUS+Rnd,2687.9584,92.8597,79.6583,18.5563,0.5201,0.4762,0.0,3.9982,0.7352
20056,SU+CQI,2125.7556,84.9743,82.0914,34.3069,0.5285,0.4682,0.0,1.0,0.5978
20056,SU+DPF,-1140.0994,72.0959,64.4161,33.1078,0.4189,0.576,0.0002,1.0,0.7895
20056,SU+PF,-1326.9106,74.4365,64.9296,33.3197,0.4247,0.5709,0.0002,1.0,0.7747
20056,SU+Rnd,-4853.1982,63.8378,48.8773,32.2317,0.3288,0.666,0.0,1.0,0.8082
20057,PPO,4907.8159,92.4396,91.155,12.8043,0.6033,0.3935,0.0,2.7515,0.6182
20057,SUS+CQI,4379.5169,92.3998,88.5178,11.0595,0.5846,0.412,0.0001,3.995,0.6286
20057,SUS+DPF,-135.9922,77.6628,67.6497,11.2587,0.4516,0.5429,0.0001,3.9998,0.6442
20057,SUS+PF,-208.5682,78.7066,67.875,11.2993,0.4538,0.5416,0.0001,3.9997,0.6424
20057,SUS+Rnd,-881.5341,75.6429,64.7655,11.0631,0.4345,0.5604,0.0003,3.9999,0.615
20057,SU+CQI,1009.5386,78.0372,76.0716,24.8914,0.5024,0.4939,0.0,1.0,0.555
20057,SU+DPF,-3361.1367,61.745,54.5147,23.826,0.3637,0.6302,0.0001,1.0,0.6608
20057,SU+PF,-3516.1348,64.173,54.9124,24.0871,0.3708,0.6239,0.0002,1.0,0.6496
20057,SU+Rnd,-7179.6991,52.566,38.7816,22.6211,0.2682,0.7258,0.0001,1.0,0.6653
20058,PPO,3458.6596,83.9272,82.1465,14.293,0.5693,0.4278,0.0,2.904,0.6103
20058,SUS+CQI,2844.6376,84.5846,78.7836,12.4264,0.5446,0.4522,0.0,3.9964,0.6335
20058,SUS+DPF,-1423.2594,70.3835,59.0766,12.9795,0.4131,0.5824,0.0,3.9996,0.6784
20058,SUS+PF,-1315.4472,72.007,59.9054,12.7648,0.4195,0.5762,0.0001,3.9995,0.6753
20058,SUS+Rnd,-2696.9937,67.4851,53.7757,13.0987,0.3785,0.6169,0.0,3.9995,0.6351
20058,SU+CQI,207.7416,71.928,69.8949,26.5251,0.4825,0.5141,0.0,1.0,0.5269
20058,SU+DPF,-3879.029,57.2238,49.4013,25.6853,0.3456,0.6493,0.0,1.0,0.6965
20058,SU+PF,-4081.7523,59.7178,49.3507,25.9877,0.3484,0.6472,0.0001,1.0,0.6863
20058,SU+Rnd,-7665.806,48.4551,33.8852,24.5073,0.2456,0.7495,0.0,1.0,0.7009
20059,PPO,3143.3557,88.202,85.9702,12.7361,0.5542,0.4436,0.0,2.9118,0.598
20059,SUS+CQI,2307.1088,88.1983,81.5267,11.2586,0.525,0.4729,0.0,3.9981,0.6258
20059,SUS+DPF,-2201.5022,73.0726,59.5818,11.4477,0.3924,0.603,0.0002,3.9998,0.6963
20059,SUS+PF,-2270.2056,75.2275,60.0494,11.4601,0.3948,0.6023,0.0001,3.9998,0.69
20059,SUS+Rnd,-3965.416,68.6078,53.4464,11.4825,0.3517,0.6451,0.0,3.9997,0.6271
20059,SU+CQI,-442.1854,74.7004,72.5436,21.6718,0.4659,0.5317,0.0,1.0,0.5262
20059,SU+DPF,-4729.319,59.9208,49.8191,20.3869,0.3263,0.668,0.0,1.0,0.7367
20059,SU+PF,-4765.8502,62.545,50.4362,20.7135,0.3358,0.6597,0.0001,1.0,0.7188
20059,SU+Rnd,-8934.4955,49.8583,33.437,19.1081,0.2252,0.7703,0.0,1.0,0.7314
