seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
20010,PPO,203.9013,59.8162,57.9747,12.9513,0.4831,0.5131,0.0001,1.9916,0.5185
20010,SUS+CQI,-496.0565,59.2009,54.938,8.4326,0.4541,0.5424,0.0,3.9872,0.5173
20010,SUS+DPF,-2837.1417,51.0802,44.2908,8.1471,0.3683,0.6273,0.0,3.9981,0.5197
20010,SUS+PF,-3009.3043,51.2525,43.7132,8.1851,0.3643,0.6317,0.0001,3.9972,0.5203
20010,SUS+Rnd,-2410.3732,52.6496,46.2663,8.1599,0.3851,0.6106,0.0,3.9986,0.4968
20010,SU+CQI,-206.7263,59.0269,56.6555,19.5792,0.4677,0.5287,0.0,1.0,0.5068
20010,SU+DPF,-3224.6305,47.9769,42.1799,19.2468,0.3514,0.6429,0.0001,1.0,0.5424
20010,SU+PF,-3330.7013,49.5178,42.4277,19.3999,0.3545,0.6407,0.0005,1.0,0.538
20010,SU+Rnd,-5740.0737,40.9075,31.8166,18.3043,0.2705,0.7232,0.0009,1.0,0.5313
20011,PPO,6285.8363,60.0183,58.6848,12.8528,0.8104,0.1883,0.0,2.5082,0.8572
20011,SUS+CQI,5741.2397,59.7249,56.3096,8.7134,0.7719,0.227,0.0,3.8463,0.8571
20011,SUS+DPF,5517.9308,59.374,55.0143,8.6049,0.756,0.2427,0.0002,3.887,0.868
20011,SUS+PF,5511.7547,59.3683,55.03,8.6137,0.7562,0.2423,0.0004,3.8821,0.8677
20011,SUS+Rnd,4956.1067,57.3989,52.6289,8.4601,0.7241,0.2744,0.0002,3.9455,0.8458
20011,SU+CQI,5672.5868,58.5573,56.4639,20.0469,0.7732,0.2255,0.0,1.0,0.8325
20011,SU+DPF,5321.491,57.9848,54.2281,20.0576,0.7457,0.2528,0.0,1.0,0.8669
20011,SU+PF,5249.0112,57.8367,54.2533,20.0494,0.7448,0.2539,0.0,1.0,0.8645
20011,SU+Rnd,2684.1129,49.7318,41.975,19.4617,0.5882,0.4073,0.0,1.0,0.8532
20012,PPO,4110.9331,59.3217,57.9784,9.9187,0.6559,0.3417,0.0002,2.4306,0.7044
20012,SUS+CQI,3517.7404,58.8569,55.4231,6.1659,0.6216,0.3757,0.0004,3.9141,0.7067
20012,SUS+DPF,2757.8488,57.0487,51.5124,6.0873,0.5801,0.4167,0.0004,3.9535,0.7256
20012,SUS+PF,2693.7444,57.0643,51.3217,6.1123,0.5777,0.4192,0.0004,3.9461,0.7253
20012,SUS+Rnd,1933.5169,54.3737,47.9607,6.0802,0.5407,0.4557,0.0002,3.981,0.6991
20012,SU+CQI,3343.2524,57.0814,55.2724,16.9912,0.6193,0.3782,0.0002,1.0,0.6765
20012,SU+DPF,2352.422,54.5606,49.7451,16.9957,0.5604,0.4364,0.0002,1.0,0.7262
20012,SU+PF,2313.1927,54.8876,49.9314,16.9772,0.5632,0.434,0.0,1.0,0.7258
20012,SU+Rnd,-526.3798,45.7663,36.7487,16.0719,0.4227,0.5723,0.0007,1.0,0.7215
20013,PPO,3666.3116,102.2883,100.5596,9.3439,0.5558,0.4411,0.0,2.7361,0.5884
20013,SUS+CQI,3322.1672,102.9189,98.846,8.3285,0.545,0.4521,0.0,3.9938,0.5974
20013,SUS+DPF,-5571.2309,71.4538,58.8399,7.4891,0.3301,0.6652,0.0002,3.9996,0.6353
20013,SUS+PF,-5902.4715,73.6779,57.9083,7.742,0.327,0.6687,0.0002,3.9996,0.6282
20013,SUS+Rnd,-4803.0137,77.0995,62.1007,7.6726,0.351,0.6442,0.0003,4.0,0.5857
20013,SU+CQI,-1883.7318,81.1611,79.0825,19.2258,0.4366,0.5596,0.0,1.0,0.4891
20013,SU+DPF,-7879.7664,58.9815,49.574,17.5231,0.2795,0.715,0.0,1.0,0.6648
20013,SU+PF,-8196.4643,62.3897,49.4673,17.8219,0.2819,0.7134,0.0,1.0,0.6577
20013,SU+Rnd,-11574.659,50.9239,35.3038,15.9898,0.2063,0.7881,0.0003,1.0,0.6526
20014,PPO,3954.1594,73.8109,72.0572,14.6222,0.6042,0.3924,0.0,2.5932,0.6467
20014,SUS+CQI,3174.0562,73.5893,68.1931,11.8443,0.5695,0.427,0.0,3.9895,0.6614
20014,SUS+DPF,445.6707,65.2448,55.3505,12.1663,0.4666,0.528,0.0,3.9984,0.6923
20014,SUS+PF,480.9512,65.9142,55.8414,12.0196,0.4702,0.5248,0.0,3.9988,0.6908
20014,SUS+Rnd,-828.6939,60.7952,50.3539,11.8829,0.4264,0.5681,0.0,3.9997,0.6434
20014,SU+CQI,2136.7316,67.5105,65.3356,25.8674,0.544,0.4522,0.0,1.0,0.5907
20014,SU+DPF,-714.8822,57.5375,50.7205,25.5752,0.4282,0.5658,0.0,1.0,0.7019
20014,SU+PF,-719.8764,59.6334,51.5156,25.7489,0.4363,0.5589,0.0,1.0,0.6923
20014,SU+Rnd,-4958.9246,45.5433,33.2207,24.123,0.2886,0.7049,0.0,1.0,0.7133
20015,PPO,6015.8983,73.3215,71.2895,12.3018,0.7023,0.2955,0.0,2.7495,0.766
20015,SUS+CQI,4961.8769,72.5817,66.2719,9.3592,0.6494,0.3481,0.0,3.9336,0.7757
20015,SUS+DPF,3668.8338,68.7502,59.9491,9.3204,0.5912,0.4051,0.0005,3.9701,0.7854
20015,SUS+PF,3616.9082,68.6408,60.0972,9.3029,0.5923,0.4038,0.0008,3.9638,0.7839
20015,SUS+Rnd,2576.5637,65.6862,55.2236,9.3998,0.5463,0.4498,0.0005,3.9865,0.7595
20015,SU+CQI,4415.1872,68.1069,65.5961,22.3152,0.6389,0.3589,0.0,1.0,0.7182
20015,SU+DPF,2596.2402,61.7619,55.885,22.2182,0.5492,0.4478,0.0,1.0,0.7718
20015,SU+PF,2493.4048,62.9962,56.4922,22.2306,0.5541,0.4417,0.0014,1.0,0.7649
20015,SU+Rnd,-578.4297,53.4972,41.7264,21.1394,0.4214,0.5734,0.0009,1.0,0.7962
20016,PPO,4820.229,99.5737,96.602,12.6091,0.5868,0.4096,0.0,3.2354,0.645
20016,SUS+CQI,4253.6158,100.5249,93.7573,11.612,0.5668,0.4296,0.0,3.9921,0.6723
20016,SUS+DPF,-43.9523,86.5418,73.52,11.7963,0.4489,0.5459,0.0,3.9999,0.7127
20016,SUS+PF,257.188,89.003,75.6613,11.7968,0.4612,0.5343,0.0,3.9991,0.7075
20016,SUS+Rnd,-1855.1457,81.819,66.1297,11.6395,0.4073,0.5876,0.0,3.9998,0.6606
20016,SU+CQI,-8.1528,81.4729,78.9818,24.0522,0.4757,0.52,0.0,1.0,0.5486
20016,SU+DPF,-4107.0045,66.7122,57.7139,22.7601,0.3503,0.6435,0.0,1.0,0.7366
20016,SU+PF,-4112.8882,69.3048,59.0991,22.9091,0.3629,0.6316,0.0,1.0,0.7254
20016,SU+Rnd,-8399.9521,56.33,40.0536,21.448,0.2542,0.7397,0.0,1.0,0.749
20017,PPO,5946.0041,86.151,84.5769,12.0426,0.6544,0.3425,0.0,2.762,0.6936
20017,SUS+CQI,5069.1104,84.3554,80.3916,9.9652,0.6217,0.3747,0.0,3.9589,0.7
20017,SUS+DPF,2678.1577,76.8515,68.8705,9.9176,0.5376,0.4577,0.0,3.9883,0.7174
20017,SUS+PF,2642.6708,77.3092,68.9596,9.94,0.5381,0.4576,0.0,3.9842,0.7169
20017,SUS+Rnd,1837.9321,74.1822,65.5829,9.7752,0.5116,0.4835,0.0,3.9961,0.687
20017,SU+CQI,3366.0942,76.4329,74.6648,23.6194,0.5756,0.4208,0.0,1.0,0.6325
20017,SU+DPF,394.7881,65.1793,59.2657,23.0856,0.4628,0.5309,0.0,1.0,0.7292
20017,SU+PF,511.9462,68.0506,60.4418,23.3116,0.4739,0.5206,0.0,1.0,0.7157
20017,SU+Rnd,-3643.2717,54.1012,42.0159,21.9917,0.3386,0.6559,0.0001,1.0,0.7291
20018,PPO,3700.1669,56.9464,55.8162,15.1654,0.6415,0.356,0.0005,2.2864,0.6826
20018,SUS+CQI,3037.2958,55.7529,52.7706,10.5242,0.6058,0.3916,0.0005,3.8532,0.6801
20018,SUS+DPF,2176.5206,53.6872,48.5631,10.4522,0.5602,0.4365,0.0011,3.9157,0.6841
20018,SUS+PF,2219.8253,53.7512,48.891,10.4513,0.5638,0.4325,0.0015,3.9082,0.6843
20018,SUS+Rnd,1711.6496,51.9858,46.5209,10.5774,0.5388,0.4581,0.0005,3.9566,0.6662
20018,SU+CQI,3221.4565,55.5713,54.0108,23.2218,0.6184,0.3792,0.0,1.0,0.6693
20018,SU+DPF,2039.1736,52.3931,48.0306,23.2158,0.5542,0.4424,0.0011,1.0,0.6876
20018,SU+PF,1947.9285,52.453,47.9016,23.2151,0.5523,0.444,0.0013,1.0,0.6872
20018,SU+Rnd,-309.7081,44.9879,37.4695,22.4697,0.44,0.556,0.0004,1.0,0.6811
20019,PPO,2620.6344,110.7832,108.6686,11.3877,0.5263,0.4699,0.0,3.0877,0.558
20019,SUS+CQI,1809.4417,110.4984,104.6164,10.746,0.5064,0.49,0.0001,3.9868,0.573
20019,SUS+DPF,-6145.0058,79.6099,69.8123,9.9304,0.3424,0.6522,0.0,3.9998,0.5927
20019,SUS+PF,-6365.7979,82.8058,68.8023,10.1511,0.3395,0.6554,0.0,3.9997,0.5858
20019,SUS+Rnd,-4147.2806,90.7313,77.8618,10.3483,0.3823,0.613,0.0,3.9997,0.5681
20019,SU+CQI,-3673.7654,86.4867,84.382,22.1802,0.4102,0.5861,0.0,1.0,0.4607
20019,SU+DPF,-10067.7871,61.4577,53.8531,20.1258,0.2659,0.7276,0.0001,1.0,0.6094
20019,SU+PF,-10624.7803,63.5601,53.1016,20.2584,0.2645,0.7296,0.0002,1.0,0.6046
20019,SU+Rnd,-12151.3156,59.5133,45.7907,19.5227,0.2328,0.7618,0.0001,1.0,0.6074
