threshold,seed,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
0.5,10000,2795.3527,74.5161,0.5578,0.4391,0.0,3.9757,0.599
0.6,10000,2791.3491,74.5282,0.5577,0.4392,0.0,3.976,0.5993
0.7,10000,2776.2876,74.4596,0.5573,0.4396,0.0,3.9979,0.5988
0.75,10000,2739.3715,74.3226,0.5562,0.4406,0.0,3.9955,0.5979
0.8,10000,2723.5869,74.2454,0.5558,0.4411,0.0,3.9815,0.5965
0.9,10000,2688.448,74.0791,0.5549,0.4419,0.0,3.7034,0.5949
0.5,10001,6368.2076,86.8702,0.67,0.3273,0.0,4.0,0.7388
0.6,10001,6344.5381,86.9939,0.6687,0.3288,0.0,4.0,0.7419
0.7,10001,6315.4007,87.1369,0.6667,0.3305,0.0,3.9953,0.7459
0.75,10001,6265.375,87.0575,0.6649,0.3326,0.0,3.9909,0.7472
0.8,10001,6147.6909,86.8771,0.6599,0.3371,0.0001,3.97,0.7476
0.9,10001,5912.1898,86.2031,0.6515,0.3454,0.0001,3.7121,0.7479
0.5,10002,6271.9475,74.2152,0.715,0.2824,0.0,3.9899,0.7988
0.6,10002,6304.9343,74.407,0.7159,0.2815,0.0,3.9927,0.8014
0.7,10002,6321.4735,74.6173,0.7158,0.2815,0.0,3.9901,0.8049
0.75,10002,6322.3891,74.634,0.7158,0.2816,0.0,3.9811,0.8069
0.8,10002,6258.4537,74.5303,0.7126,0.2847,0.0,3.9594,0.807
0.9,10002,6122.1992,74.1789,0.7061,0.2912,0.0,3.6879,0.807
0.5,10003,3608.2034,83.37,0.569,0.4266,0.0,4.0,0.6726
0.6,10003,3729.1567,83.801,0.5724,0.4232,0.0,4.0,0.6771
0.7,10003,3727.6237,84.1071,0.5713,0.4242,0.0,3.9995,0.6831
0.75,10003,3660.0976,84.0266,0.5687,0.4267,0.0,3.9986,0.6853
0.8,10003,3555.5158,83.6723,0.5656,0.4299,0.0,3.9935,0.6862
0.9,10003,3139.958,82.4221,0.5526,0.4426,0.0,3.8273,0.6818
0.5,10004,6367.2643,107.6948,0.6186,0.378,0.0,4.0,0.7195
0.6,10004,6512.1698,108.4313,0.6216,0.375,0.0,4.0,0.7252
0.7,10004,6596.6832,109.146,0.6224,0.3742,0.0,3.9998,0.7328
0.75,10004,6650.0923,109.4783,0.6233,0.3733,0.0,3.9996,0.7377
0.8,10004,6521.1376,109.3998,0.6191,0.3774,0.0,3.9955,0.743
0.9,10004,5813.6533,107.8448,0.5993,0.397,0.0,3.8594,0.744
0.5,10005,4008.6699,40.9914,0.7811,0.2176,0.0,3.9034,0.8814
0.6,10005,4024.1931,41.0372,0.7824,0.2163,0.0,3.8844,0.8826
0.7,10005,4021.625,41.1001,0.7817,0.217,0.0,3.8274,0.8845
0.75,10005,4032.4937,41.1277,0.7827,0.216,0.0,3.7622,0.8857
0.8,10005,4068.0296,41.2138,0.786,0.2127,0.0,3.6441,0.888
0.9,10005,4221.6914,41.605,0.7999,0.1991,0.0,3.0416,0.8946
0.5,10006,2629.5495,44.9478,0.617,0.3804,0.0,3.9917,0.7329
0.6,10006,2634.0802,44.9383,0.6175,0.3799,0.0,3.9809,0.7327
0.7,10006,2617.7778,44.9156,0.6163,0.3808,0.0002,3.9556,0.7321
0.75,10006,2629.8369,44.924,0.6172,0.3799,0.0002,3.9172,0.7318
0.8,10006,2644.2448,44.9568,0.6182,0.3789,0.0002,3.8306,0.7321
0.9,10006,2780.7822,45.4272,0.6266,0.3707,0.0002,3.3245,0.7379
0.5,10007,6278.6195,71.1579,0.7305,0.2684,0.0,3.9815,0.7882
0.6,10007,6324.1935,71.3774,0.7323,0.2665,0.0,3.9699,0.7911
0.7,10007,6287.5184,71.4822,0.7294,0.2692,0.0,3.9343,0.7947
0.75,10007,6253.3413,71.3709,0.7281,0.2709,0.0,3.8863,0.7967
0.8,10007,6239.4311,71.3663,0.7272,0.2717,0.0,3.7816,0.7987
0.9,10007,6165.8939,71.2026,0.7242,0.2748,0.0,3.2179,0.7998
0.5,10008,2829.8778,62.5359,0.5765,0.4212,0.0,3.9634,0.6676
0.6,10008,2836.9255,62.6326,0.5765,0.4212,0.0,3.9699,0.6689
0.7,10008,2792.8476,62.5925,0.5743,0.4234,0.0,3.9746,0.6697
0.75,10008,2739.1822,62.5,0.5717,0.4259,0.0,3.9706,0.6694
0.8,10008,2668.5603,62.2734,0.5689,0.4287,0.0,3.9478,0.6681
0.9,10008,2567.2156,61.8889,0.5651,0.4325,0.0,3.6251,0.6665
0.5,10009,6998.2477,103.7361,0.6476,0.3495,0.0,3.9997,0.7195
0.6,10009,7119.9449,104.3515,0.6504,0.3469,0.0,3.9997,0.7229
0.7,10009,7271.3837,104.8446,0.6543,0.3429,0.0,3.998,0.7274
0.75,10009,7264.8527,104.9756,0.6536,0.3436,0.0,3.9914,0.7298
0.8,10009,7185.4794,104.9763,0.6508,0.3465,0.0,3.9787,0.7318
0.9,10009,6777.2499,103.7416,0.6395,0.3578,0.0,3.828,0.7327
0.5,10010,918.8758,49.699,0.5047,0.4925,0.0,3.9936,0.6094
0.6,10010,923.3631,49.6927,0.505,0.4921,0.0,3.9933,0.6092
0.7,10010,872.3088,49.5374,0.5029,0.4944,0.0,3.9898,0.6076
0.75,10010,798.9543,49.3603,0.4993,0.498,0.0,3.9752,0.6059
0.8,10010,753.862,49.1948,0.4973,0.5,0.0,3.9368,0.6042
0.9,10010,813.7696,49.3561,0.5002,0.4971,0.0,3.5437,0.606
0.5,10011,7308.9425,98.0136,0.6747,0.3226,0.0,3.9973,0.7349
0.6,10011,7338.1861,98.2277,0.6753,0.3219,0.0,3.9969,0.7364
0.7,10011,7350.7007,98.2817,0.6756,0.3217,0.0,3.9902,0.7375
0.75,10011,7308.5811,98.1748,0.6743,0.3229,0.0,3.9798,0.7377
0.8,10011,7267.747,97.9649,0.6733,0.324,0.0,3.947,0.7374
0.9,10011,7079.2042,97.441,0.6676,0.3298,0.0,3.6974,0.7359
0.5,10012,2813.2942,62.2772,0.5821,0.4153,0.0,3.9999,0.6095
0.6,10012,2809.4779,62.2713,0.5819,0.4155,0.0,3.9982,0.6094
0.7,10012,2807.066,62.2459,0.5819,0.4155,0.0,3.9867,0.6091
0.75,10012,2803.9666,62.2348,0.5818,0.4156,0.0,3.9619,0.6089
0.8,10012,2810.5818,62.2275,0.5821,0.4153,0.0,3.921,0.6087
0.9,10012,2824.3114,62.3073,0.5825,0.4149,0.0,3.5734,0.6099
0.5,10013,5146.5869,56.6142,0.7446,0.2537,0.0,3.9857,0.8259
0.6,10013,5141.6398,56.6595,0.7441,0.2543,0.0,3.9773,0.8266
0.7,10013,5123.3114,56.6807,0.7426,0.2559,0.0,3.9512,0.8281
0.75,10013,5110.0539,56.6609,0.7417,0.2568,0.0,3.9175,0.8288
0.8,10013,5128.4429,56.665,0.7426,0.2552,0.0,3.8424,0.8299
0.9,10013,5227.4857,56.9537,0.749,0.2495,0.0,3.3697,0.8343
0.5,10014,5857.3348,87.2258,0.6481,0.3492,0.0001,4.0,0.7041
0.6,10014,5845.0674,87.229,0.6476,0.3496,0.0001,4.0,0.7049
0.7,10014,5802.9107,87.1253,0.6462,0.351,0.0001,3.9982,0.7053
0.75,10014,5699.9178,86.9447,0.6425,0.3547,0.0001,3.9958,0.7049
0.8,10014,5639.7178,86.6518,0.6409,0.3563,0.0001,3.987,0.7032
0.9,10014,5264.2283,85.3696,0.6292,0.3681,0.0,3.81,0.6971
0.5,10015,4703.4343,53.0665,0.7347,0.2628,0.0002,3.9516,0.794
0.6,10015,4717.4968,53.0513,0.7359,0.2618,0.0,3.9388,0.7936
0.7,10015,4669.7932,52.971,0.7326,0.2648,0.0002,3.9008,0.7927
0.75,10015,4678.1839,52.9214,0.7335,0.2639,0.0002,3.8504,0.7923
0.8,10015,4671.9036,52.9224,0.7331,0.2644,0.0002,3.7582,0.7925
0.9,10015,4743.3525,53.0063,0.7384,0.259,0.0002,3.2599,0.7938
0.5,10016,7234.917,85.441,0.7147,0.2823,0.0,3.9989,0.8015
0.6,10016,7276.3887,85.6346,0.716,0.2811,0.0,3.9961,0.8032
0.7,10016,7296.375,85.8165,0.7163,0.2808,0.0,3.9906,0.8051
0.75,10016,7311.9221,85.9333,0.7167,0.2805,0.0,3.9824,0.8065
0.8,10016,7274.2759,85.9473,0.7149,0.2825,0.0,3.9681,0.808
0.9,10016,7039.6787,85.2816,0.7056,0.291,0.0003,3.7503,0.8085
0.5,10017,5182.8772,71.2107,0.6636,0.3335,0.0,3.9766,0.8006
0.6,10017,5221.2845,71.304,0.6654,0.3317,0.0,3.9837,0.8025
0.7,10017,5252.6884,71.5707,0.6663,0.3306,0.0,3.9737,0.8044
0.75,10017,5221.4934,71.4783,0.6649,0.332,0.0,3.9448,0.804
0.8,10017,5227.628,71.5179,0.6654,0.3317,0.0,3.8702,0.8054
0.9,10017,5401.8457,71.9883,0.6735,0.3236,0.0,3.4008,0.8083
0.5,10018,3465.7752,87.7511,0.5616,0.4354,0.0,3.9973,0.6274
0.6,10018,3522.2137,88.1805,0.5625,0.4345,0.0,3.9979,0.6317
0.7,10018,3553.6166,88.5296,0.5625,0.4344,0.0,3.9993,0.6374
0.75,10018,3554.8064,88.6411,0.5621,0.4347,0.0,3.9993,0.6407
0.8,10018,3404.0852,88.4843,0.5569,0.44,0.0,3.9966,0.643
0.9,10018,2646.347,85.9517,0.535,0.4613,0.0,3.8913,0.6389
0.5,10019,6044.6812,81.7672,0.6713,0.326,0.0,3.9986,0.7421
0.6,10019,6080.137,81.995,0.6722,0.325,0.0,3.9988,0.745
0.7,10019,6115.2686,82.156,0.6732,0.3241,0.0,3.9982,0.7483
0.75,10019,6075.0589,82.1134,0.6715,0.3258,0.0,3.9957,0.7498
0.8,10019,5994.3756,81.858,0.6681,0.3287,0.0,3.982,0.7512
0.9,10019,5526.6622,80.5793,0.6507,0.3464,0.0,3.7305,0.7511
