train_seed,best_update,seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
2024,866,21000,PPO,6646.6832,102.454,100.9562,17.4645,0.641,0.3567,0.0,2.2951,0.6734
2024,866,21000,SUS+CQI,6606.7553,106.8282,99.0204,12.6729,0.627,0.3705,0.0,3.9955,0.7329
2024,866,21001,PPO,6296.4177,76.4723,75.1281,23.6425,0.7036,0.2939,0.0,2.0556,0.7613
2024,866,21001,SUS+CQI,5916.862,77.6967,72.2664,17.2052,0.6768,0.3203,0.0,3.9554,0.806
2024,866,21002,PPO,2932.4321,81.1731,80.0813,12.9033,0.5577,0.4393,0.0001,2.0584,0.5777
2024,866,21002,SUS+CQI,2425.0399,81.4583,77.2524,7.9603,0.5373,0.4596,0.0001,3.9857,0.5874
2024,866,21003,PPO,4284.1886,64.6082,63.2954,16.0703,0.6453,0.3523,0.0,1.6197,0.6906
2024,866,21003,SUS+CQI,3784.9448,65.9463,60.3124,7.8036,0.6121,0.385,0.0,3.9954,0.7185
2024,866,21004,PPO,2501.4441,81.5367,79.9715,14.524,0.5447,0.4522,0.0,2.067,0.5801
2024,866,21004,SUS+CQI,2106.4145,82.6854,77.5864,9.4394,0.5261,0.4704,0.0001,3.9813,0.5967
2024,866,21005,PPO,3672.2111,37.9951,36.5611,20.328,0.7666,0.2321,0.0,1.5092,0.8437
2024,866,21005,SUS+CQI,2922.275,36.8775,33.1865,10.4332,0.693,0.3037,0.0016,3.591,0.832
2024,866,21006,PPO,4499.4511,82.9103,81.4375,13.0917,0.6088,0.3891,0.0,2.2404,0.6286
2024,866,21006,SUS+CQI,4198.7182,83.1206,79.759,8.7234,0.5949,0.4028,0.0,3.9469,0.6401
2024,866,21007,PPO,6552.8828,76.5476,75.0901,15.4977,0.7199,0.2775,0.0,2.1665,0.7475
2024,866,21007,SUS+CQI,6164.1591,76.4185,73.0344,10.4083,0.699,0.2984,0.0,3.8564,0.7603
2024,866,21008,PPO,4741.1661,86.0681,84.4958,16.4516,0.6082,0.3874,0.0,2.1503,0.6517
2024,866,21008,SUS+CQI,5011.0768,91.1432,84.0916,10.3311,0.6037,0.3923,0.0,3.9877,0.7052
2024,866,21009,PPO,3795.7333,39.3645,37.9716,16.373,0.7668,0.2301,0.0013,1.5142,0.852
2024,866,21009,SUS+CQI,3062.2178,38.1842,34.6212,7.9897,0.6969,0.2999,0.0003,3.676,0.8437
2024,866,21010,PPO,3613.7737,70.4064,68.7989,19.1503,0.5985,0.3995,0.0001,1.775,0.6368
2024,866,21010,SUS+CQI,3172.3549,71.8905,65.9756,11.0609,0.5723,0.4253,0.0003,3.9921,0.6708
2024,866,21011,PPO,4418.8515,97.6424,96.1538,15.4589,0.5817,0.415,0.0,2.3754,0.6133
2024,866,21011,SUS+CQI,4136.5393,99.3749,93.6162,11.6836,0.5668,0.4294,0.0,3.947,0.6494
2024,866,21012,PPO,3594.3264,67.964,66.3177,18.6218,0.6024,0.3951,0.0,1.6724,0.6758
2024,866,21012,SUS+CQI,3263.1933,71.5079,63.2913,11.4407,0.5724,0.4246,0.0,3.9926,0.7414
2024,866,21013,PPO,5299.7114,100.0245,98.8445,19.2796,0.6028,0.3938,0.0,2.2418,0.6326
2024,866,21013,SUS+CQI,5444.2624,103.7972,98.2334,13.459,0.5977,0.3992,0.0,3.9797,0.6752
2024,866,21014,PPO,4764.4089,65.3953,63.8623,16.2685,0.6672,0.3302,0.0,1.6557,0.738
2024,866,21014,SUS+CQI,4544.4481,67.7104,62.1309,8.6752,0.6454,0.3516,0.0002,3.9648,0.77
2024,866,21015,PPO,5193.543,56.5557,55.0308,13.0004,0.7426,0.2544,0.0,1.4874,0.8293
2024,866,21015,SUS+CQI,5019.4631,58.9619,53.6414,4.9409,0.7174,0.2788,0.0002,3.888,0.8558
2024,866,21016,PPO,5334.9377,71.0738,69.1649,17.6,0.6753,0.3225,0.0,1.7827,0.753
2024,866,21016,SUS+CQI,5247.66,75.463,67.9497,9.2791,0.6542,0.3434,0.0,3.992,0.8063
2024,866,21017,PPO,6045.5132,79.3335,78.2279,14.0887,0.6807,0.3171,0.0,1.936,0.7156
2024,866,21017,SUS+CQI,6443.3577,83.0883,79.0803,8.5222,0.6862,0.3118,0.0,3.9687,0.7574
2024,866,21018,PPO,5923.2695,69.0738,67.7126,18.8732,0.7174,0.2801,0.0,1.7716,0.7721
2024,866,21018,SUS+CQI,5637.0049,70.6769,65.9566,9.7795,0.695,0.3027,0.0,3.9429,0.7975
2024,866,21019,PPO,4915.6135,109.2263,107.4658,13.5692,0.5802,0.417,0.0,2.6064,0.6378
2024,866,21019,SUS+CQI,5609.8265,116.6051,108.1262,10.5055,0.5827,0.4145,0.0,3.9932,0.7037
2024,866,21020,PPO,7365.407,102.8279,101.4587,16.6025,0.6638,0.3337,0.0,2.457,0.7007
2024,866,21020,SUS+CQI,7158.7565,105.2967,99.1069,12.459,0.6485,0.349,0.0,3.9844,0.7456
2024,866,21021,PPO,5618.8131,61.1549,60.046,20.5331,0.7453,0.2526,0.0,1.639,0.7975
2024,866,21021,SUS+CQI,5236.4621,61.6162,57.8766,10.4501,0.7166,0.2811,0.0,3.8815,0.8188
2024,866,21022,PPO,3268.3859,98.7598,97.2823,14.4938,0.5485,0.4475,0.0,2.3407,0.5863
2024,866,21022,SUS+CQI,3295.876,102.2648,96.0232,11.1364,0.5403,0.4556,0.0001,3.9829,0.6244
2024,866,21023,PPO,1702.7764,100.4613,98.7654,20.6434,0.5121,0.4835,0.0,2.2044,0.5498
2024,866,21023,SUS+CQI,1132.3354,104.7893,93.2366,15.4419,0.4849,0.5106,0.0,3.9951,0.6289
2024,866,21024,PPO,4848.3081,83.7918,82.3421,19.5605,0.6189,0.3786,0.0,2.0064,0.6469
2024,866,21024,SUS+CQI,4667.3847,85.9366,80.7132,14.4021,0.6047,0.3927,0.0001,3.9875,0.6771
2024,866,21025,PPO,3782.7257,67.7752,66.5543,16.9294,0.6113,0.3856,0.0,1.7172,0.6457
2024,866,21025,SUS+CQI,3326.0135,68.5919,63.9798,9.9875,0.5858,0.4109,0.0001,3.97,0.6667
2024,866,21026,PPO,4840.0001,60.8644,59.6865,14.7428,0.6933,0.3056,0.0,1.5959,0.7465
2024,866,21026,SUS+CQI,4291.9948,61.3159,56.5601,7.6118,0.6561,0.3427,0.0,3.9037,0.778
2024,866,21027,PPO,1359.7527,28.2209,27.3625,12.1559,0.5891,0.4061,0.0024,1.3092,0.6205
2024,866,21027,SUS+CQI,1344.8526,28.2482,27.2715,7.954,0.587,0.4089,0.0017,2.5589,0.6238
2024,866,21028,PPO,3507.351,62.3704,60.5696,15.6563,0.6125,0.3841,0.0,1.6578,0.6645
2024,866,21028,SUS+CQI,2961.6948,63.661,57.8453,7.9944,0.5781,0.4186,0.0,3.9622,0.6822
2024,866,21029,PPO,6394.2788,76.9258,75.6287,13.4994,0.709,0.2887,0.0001,2.3108,0.7461
2024,866,21029,SUS+CQI,6246.2006,77.2631,74.7269,9.1623,0.7004,0.2974,0.0001,3.7653,0.7542
2024,866,21030,PPO,4077.9102,73.9728,72.8189,14.3327,0.6105,0.3872,0.0,1.8298,0.6362
2024,866,21030,SUS+CQI,3651.4387,74.0971,70.4163,8.1591,0.5906,0.4064,0.0004,3.871,0.6489
2024,866,21031,PPO,5640.149,70.7826,69.1587,23.5405,0.6927,0.3046,0.0,1.8384,0.786
2024,866,21031,SUS+CQI,5194.5508,73.8434,66.4885,13.0664,0.6571,0.3401,0.0,3.9911,0.8271
2024,866,21032,PPO,6915.722,65.2289,64.1925,19.444,0.8183,0.1801,0.0004,2.0059,0.8444
2024,866,21032,SUS+CQI,6873.0768,65.4791,63.8932,12.9944,0.814,0.1845,0.0002,3.5352,0.8502
2024,866,21033,PPO,2089.1466,105.3046,103.8156,14.7808,0.5193,0.4777,0.0,2.2748,0.5517
2024,866,21033,SUS+CQI,2002.2393,109.632,101.1485,11.9945,0.5064,0.4907,0.0,3.9995,0.6103
2024,866,21034,PPO,5626.8812,66.9571,65.6875,21.9942,0.7101,0.287,0.0,1.7328,0.7554
2024,866,21034,SUS+CQI,5410.8316,68.6345,64.0784,11.3213,0.6906,0.3065,0.0,3.9804,0.7812
2024,866,21035,PPO,1575.2447,70.0638,68.659,15.0097,0.5253,0.4725,0.0,2.0659,0.5663
2024,866,21035,SUS+CQI,1194.0609,71.0874,66.2632,9.0396,0.5057,0.4916,0.0001,3.9066,0.5913
2024,866,21036,PPO,4117.5577,63.3214,61.6086,26.0766,0.6407,0.3555,0.0003,1.808,0.6806
2024,866,21036,SUS+CQI,3518.6059,63.1446,58.6553,12.8231,0.6086,0.3875,0.0003,3.9602,0.6876
2024,866,21037,PPO,4603.5043,106.0166,104.3493,15.6697,0.5755,0.4207,0.0,2.6555,0.6339
2024,866,21037,SUS+CQI,5163.4488,113.2537,104.8322,12.7346,0.575,0.4209,0.0,3.9989,0.6947
2024,866,21038,PPO,6243.6423,87.4424,85.9591,16.8732,0.6627,0.3356,0.0,2.1458,0.7182
2024,866,21038,SUS+CQI,6200.9331,91.2768,84.0766,10.1351,0.6477,0.3504,0.0,3.9968,0.7739
2024,866,21039,PPO,5257.7646,72.9552,71.9622,16.5381,0.6661,0.3316,0.0,1.8619,0.686
2024,866,21039,SUS+CQI,5118.633,74.0506,70.7448,9.368,0.6547,0.3426,0.0003,3.8695,0.7037
2024,866,21040,PPO,4327.0382,70.8055,69.1219,20.5917,0.6275,0.3686,0.0,1.8378,0.6808
2024,866,21040,SUS+CQI,4012.6278,72.5987,67.1193,9.691,0.6055,0.3906,0.0,3.9767,0.7062
2024,866,21041,PPO,4492.9063,63.3534,61.9741,19.2478,0.6607,0.3368,0.0,1.674,0.7079
2024,866,21041,SUS+CQI,3732.2431,63.3865,58.2219,10.2116,0.6172,0.3798,0.0002,3.9688,0.7201
2024,866,21042,PPO,4574.2115,108.1149,106.5349,18.2522,0.5738,0.4236,0.0,2.2994,0.6094
2024,866,21042,SUS+CQI,4255.1784,111.0703,103.6302,13.6586,0.5574,0.4401,0.0,3.9908,0.6462
2024,866,21043,PPO,2954.7145,87.3155,85.7287,18.4411,0.551,0.4461,0.0,2.0764,0.5949
2024,866,21043,SUS+CQI,3049.6775,92.1435,84.166,12.4471,0.5407,0.4562,0.0,3.9941,0.6623
2024,866,21044,PPO,4704.5356,89.496,88.0596,16.7202,0.6031,0.3943,0.0,2.0707,0.6281
2024,866,21044,SUS+CQI,4793.399,93.4997,86.9867,12.4289,0.5945,0.4026,0.0,3.9978,0.6782
2024,866,21045,PPO,3604.156,116.547,115.1093,15.9963,0.5441,0.4516,0.0,2.7454,0.5771
2024,866,21045,SUS+CQI,4277.2462,122.4611,116.2468,13.4556,0.5488,0.4467,0.0,3.962,0.618
