train_seed,best_update,seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
3024,489,21000,PPO,7208.653,104.6396,102.1116,13.8882,0.6534,0.3442,0.0,3.269,0.7053
3024,489,21000,SUS+CQI,6606.7553,106.8282,99.0204,12.6729,0.627,0.3705,0.0,3.9955,0.7329
3024,489,21001,PPO,6731.5358,78.1755,76.2523,18.9242,0.7177,0.2797,0.0,3.0637,0.791
3024,489,21001,SUS+CQI,5916.862,77.6967,72.2664,17.2052,0.6768,0.3203,0.0,3.9554,0.806
3024,489,21002,PPO,3180.1861,82.1938,80.758,10.0014,0.5636,0.4333,0.0001,2.5637,0.5867
3024,489,21002,SUS+CQI,2425.0399,81.4583,77.2524,7.9603,0.5373,0.4596,0.0001,3.9857,0.5874
3024,489,21003,PPO,4380.8265,64.7418,63.207,12.657,0.6494,0.3483,0.0,2.3448,0.7026
3024,489,21003,SUS+CQI,3784.9448,65.9463,60.3124,7.8036,0.6121,0.385,0.0,3.9954,0.7185
3024,489,21004,PPO,2836.1497,82.6158,80.9967,11.9285,0.5535,0.4434,0.0001,2.6561,0.5921
3024,489,21004,SUS+CQI,2106.4145,82.6854,77.5864,9.4394,0.5261,0.4704,0.0001,3.9813,0.5967
3024,489,21005,PPO,3620.9219,37.5616,36.3241,19.2812,0.7646,0.2334,0.0003,1.7677,0.8457
3024,489,21005,SUS+CQI,2922.275,36.8775,33.1865,10.4332,0.693,0.3037,0.0016,3.591,0.832
3024,489,21006,PPO,4602.6697,83.2327,81.7552,11.1524,0.6118,0.3859,0.0001,2.7241,0.6326
3024,489,21006,SUS+CQI,4198.7182,83.1206,79.759,8.7234,0.5949,0.4028,0.0,3.9469,0.6401
3024,489,21007,PPO,6688.0226,76.8734,75.4428,13.2498,0.7254,0.2717,0.0002,2.7006,0.7541
3024,489,21007,SUS+CQI,6164.1591,76.4185,73.0344,10.4083,0.699,0.2984,0.0,3.8564,0.7603
3024,489,21008,PPO,5361.3868,88.5151,86.2393,11.9857,0.6242,0.3715,0.0,3.1632,0.6789
3024,489,21008,SUS+CQI,5011.0768,91.1432,84.0916,10.3311,0.6037,0.3923,0.0,3.9877,0.7052
3024,489,21009,PPO,3779.6115,39.1149,37.7308,14.6979,0.7664,0.2295,0.0022,1.9436,0.8591
3024,489,21009,SUS+CQI,3062.2178,38.1842,34.6212,7.9897,0.6969,0.2999,0.0003,3.676,0.8437
3024,489,21010,PPO,3806.1516,70.604,68.8706,15.3989,0.6062,0.3917,0.0001,2.4306,0.6536
3024,489,21010,SUS+CQI,3172.3549,71.8905,65.9756,11.0609,0.5723,0.4253,0.0003,3.9921,0.6708
3024,489,21011,PPO,4795.3643,98.879,97.1569,12.175,0.5903,0.4064,0.0,3.2128,0.6312
3024,489,21011,SUS+CQI,4136.5393,99.3749,93.6162,11.6836,0.5668,0.4294,0.0,3.947,0.6494
3024,489,21012,PPO,4016.652,69.1372,67.2281,14.4205,0.6175,0.3798,0.0,2.6105,0.71
3024,489,21012,SUS+CQI,3263.1933,71.5079,63.2913,11.4407,0.5724,0.4246,0.0,3.9926,0.7414
3024,489,21013,PPO,5987.5252,102.6803,101.0429,14.9903,0.6185,0.3783,0.0,2.9746,0.6579
3024,489,21013,SUS+CQI,5444.2624,103.7972,98.2334,13.459,0.5977,0.3992,0.0,3.9797,0.6752
3024,489,21014,PPO,5066.597,66.275,64.6298,12.6353,0.6798,0.3175,0.0002,2.5201,0.7563
3024,489,21014,SUS+CQI,4544.4481,67.7104,62.1309,8.6752,0.6454,0.3516,0.0002,3.9648,0.77
3024,489,21015,PPO,5443.0838,57.2719,55.9051,9.7823,0.7571,0.2399,0.0,2.3653,0.8426
3024,489,21015,SUS+CQI,5019.4631,58.9619,53.6414,4.9409,0.7174,0.2788,0.0002,3.888,0.8558
3024,489,21016,PPO,5855.0312,72.5851,70.771,12.6763,0.6954,0.3021,0.0,2.7697,0.7744
3024,489,21016,SUS+CQI,5247.66,75.463,67.9497,9.2791,0.6542,0.3434,0.0,3.992,0.8063
3024,489,21017,PPO,6680.4869,81.7215,80.3139,10.148,0.7019,0.2963,0.0,3.0207,0.7393
3024,489,21017,SUS+CQI,6443.3577,83.0883,79.0803,8.5222,0.6862,0.3118,0.0,3.9687,0.7574
3024,489,21018,PPO,6318.9511,70.4145,68.9326,13.8623,0.7341,0.2634,0.0002,2.659,0.7918
3024,489,21018,SUS+CQI,5637.0049,70.6769,65.9566,9.7795,0.695,0.3027,0.0,3.9429,0.7975
3024,489,21019,PPO,5774.4953,112.9078,109.2152,10.7093,0.5954,0.4017,0.0,3.7099,0.6728
3024,489,21019,SUS+CQI,5609.8265,116.6051,108.1262,10.5055,0.5827,0.4145,0.0,3.9932,0.7037
3024,489,21020,PPO,7839.933,104.6625,102.7161,13.0557,0.6746,0.3231,0.0,3.3009,0.7236
3024,489,21020,SUS+CQI,7158.7565,105.2967,99.1069,12.459,0.6485,0.349,0.0,3.9844,0.7456
3024,489,21021,PPO,5962.9,62.2193,61.2567,15.8145,0.7627,0.2352,0.0,2.4799,0.8124
3024,489,21021,SUS+CQI,5236.4621,61.6162,57.8766,10.4501,0.7166,0.2811,0.0,3.8815,0.8188
3024,489,21022,PPO,3815.9958,101.1858,98.9113,11.4956,0.5583,0.4377,0.0,3.3834,0.6017
3024,489,21022,SUS+CQI,3295.876,102.2648,96.0232,11.1364,0.5403,0.4556,0.0001,3.9829,0.6244
3024,489,21023,PPO,1865.5641,101.7568,97.4983,16.0933,0.5121,0.4833,0.0,3.5175,0.5839
3024,489,21023,SUS+CQI,1132.3354,104.7893,93.2366,15.4419,0.4849,0.5106,0.0,3.9951,0.6289
3024,489,21024,PPO,5214.9013,84.9291,83.4313,16.7589,0.6298,0.3675,0.0,2.6311,0.6628
3024,489,21024,SUS+CQI,4667.3847,85.9366,80.7132,14.4021,0.6047,0.3927,0.0001,3.9875,0.6771
3024,489,21025,PPO,3952.2553,68.448,66.9659,13.6302,0.6176,0.3795,0.0,2.4036,0.6597
3024,489,21025,SUS+CQI,3326.0135,68.5919,63.9798,9.9875,0.5858,0.4109,0.0001,3.97,0.6667
3024,489,21026,PPO,5104.4152,61.6765,60.3379,10.9097,0.705,0.2939,0.0,2.5806,0.7706
3024,489,21026,SUS+CQI,4291.9948,61.3159,56.5601,7.6118,0.6561,0.3427,0.0,3.9037,0.778
3024,489,21027,PPO,1342.4775,28.169,27.2577,11.0225,0.5873,0.4078,0.0024,1.6728,0.6226
3024,489,21027,SUS+CQI,1344.8526,28.2482,27.2715,7.954,0.587,0.4089,0.0017,2.5589,0.6238
3024,489,21028,PPO,3702.0693,62.8679,61.1114,12.5657,0.6207,0.3761,0.0,2.3675,0.6758
3024,489,21028,SUS+CQI,2961.6948,63.661,57.8453,7.9944,0.5781,0.4186,0.0,3.9622,0.6822
3024,489,21029,PPO,6555.4657,77.4428,76.1525,10.9252,0.7149,0.2829,0.0001,2.9982,0.7523
3024,489,21029,SUS+CQI,6246.2006,77.2631,74.7269,9.1623,0.7004,0.2974,0.0001,3.7653,0.7542
3024,489,21030,PPO,4286.1707,74.617,73.4678,11.0684,0.6176,0.3798,0.0001,2.5475,0.6452
3024,489,21030,SUS+CQI,3651.4387,74.0971,70.4163,8.1591,0.5906,0.4064,0.0004,3.871,0.6489
3024,489,21031,PPO,5977.3771,71.7448,69.8745,18.6395,0.7064,0.2909,0.0,2.5853,0.8092
