train_seed,best_update,seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
4024,849,21067,PPO,5401.9637,96.2807,94.0454,12.0931,0.611,0.3862,0.0,3.276,0.6719
4024,849,21067,SUS+CQI,5366.6928,99.7218,93.6557,11.2586,0.6015,0.3959,0.0001,3.9903,0.6947
4024,849,21068,PPO,5645.0669,117.4927,115.2888,10.7237,0.5879,0.4088,0.0,3.1013,0.6198
4024,849,21068,SUS+CQI,5100.8803,118.259,112.5349,10.1181,0.5717,0.4248,0.0,3.9825,0.6399
4024,849,21069,PPO,7857.1273,92.9605,90.6582,14.9009,0.7122,0.2863,0.0,3.1281,0.7759
4024,849,21069,SUS+CQI,7404.764,94.9827,88.7348,12.7395,0.6876,0.3109,0.0,3.9906,0.7957
4024,849,21070,PPO,6015.1201,80.0902,78.6662,11.8551,0.6751,0.322,0.0,2.8613,0.7334
4024,849,21070,SUS+CQI,5618.9998,82.1358,76.7997,9.455,0.6511,0.3462,0.0,3.9856,0.7459
4024,849,21071,PPO,4440.6121,78.6784,77.0066,12.0236,0.6134,0.3843,0.0,2.7119,0.6672
4024,849,21071,SUS+CQI,3535.835,78.4501,72.8679,8.8517,0.5758,0.4215,0.0001,3.99,0.6754
4024,849,21072,PPO,3945.7651,94.1965,91.9087,12.7657,0.5725,0.425,0.0,2.971,0.6276
4024,849,21072,SUS+CQI,3698.9881,97.2695,90.5458,11.5366,0.5568,0.4405,0.0,3.9988,0.6508
4024,849,21073,PPO,2854.3876,46.0371,44.6357,13.7152,0.6302,0.3665,0.0,2.0379,0.7029
4024,849,21073,SUS+CQI,2194.8781,46.0181,42.0164,5.0059,0.5816,0.4148,0.0,3.9389,0.6976
4024,849,21074,PPO,3371.2768,66.2516,64.6371,20.295,0.5963,0.4006,0.0,2.4469,0.6542
4024,849,21074,SUS+CQI,2738.9288,67.1689,62.0345,16.2007,0.5625,0.4342,0.0,3.9546,0.656
4024,849,21075,PPO,4747.3985,58.0592,56.6841,18.8732,0.702,0.2955,0.0006,2.3491,0.7607
4024,849,21075,SUS+CQI,4404.5963,59.2062,55.2466,12.6047,0.6746,0.3232,0.0,3.9641,0.7619
4024,849,21076,PPO,4280.1079,78.8551,76.6097,17.5335,0.6057,0.3916,0.0,2.5926,0.6793
4024,849,21076,SUS+CQI,3098.8877,77.9478,71.3302,13.5215,0.5586,0.4385,0.0,3.957,0.6857
4024,849,21077,PPO,3221.0425,55.8445,54.5324,11.1876,0.6176,0.3781,0.0007,2.2596,0.6543
4024,849,21077,SUS+CQI,2882.844,56.0034,53.1759,6.5789,0.5967,0.3982,0.0011,3.8838,0.6529
4024,849,21078,PPO,1090.2771,46.2745,44.774,10.4025,0.5265,0.4704,0.0004,1.9974,0.5722
4024,849,21078,SUS+CQI,586.8313,45.9784,42.6406,5.5338,0.4967,0.5006,0.0002,3.7003,0.5698
4024,849,21079,PPO,3164.8162,97.7453,96.4734,9.9472,0.5477,0.4489,0.0,2.8784,0.5738
4024,849,21079,SUS+CQI,2553.8493,97.5116,93.5375,8.7085,0.5296,0.4668,0.0001,3.8752,0.5804
4024,849,21080,PPO,2562.9604,44.9321,43.6925,10.9067,0.6157,0.3789,0.0013,2.3482,0.6508
4024,849,21080,SUS+CQI,2489.4268,44.917,43.3692,8.3008,0.6103,0.3854,0.0002,3.2539,0.6526
4024,849,21081,PPO,5363.3476,106.4011,105.8151,9.8533,0.5973,0.3991,0.0002,2.8941,0.5963
4024,849,21081,SUS+CQI,4998.0366,105.3663,104.1551,9.2599,0.5882,0.4083,0.0002,3.6809,0.598
4024,849,21082,PPO,4274.3291,107.7723,106.0609,9.2715,0.5656,0.4311,0.0,3.1826,0.5996
4024,849,21082,SUS+CQI,3942.2286,109.0186,104.2789,8.4477,0.5531,0.4434,0.0,3.9832,0.6196
4024,849,21083,PPO,4829.3853,97.0463,95.4725,12.266,0.5941,0.4027,0.0001,2.8429,0.6245
4024,849,21083,SUS+CQI,4138.4911,96.5406,92.2996,10.8073,0.5717,0.4249,0.0,3.9324,0.629
4024,849,21084,PPO,5952.125,104.0276,102.187,16.021,0.6166,0.38,0.0,2.8709,0.6547
4024,849,21084,SUS+CQI,5088.2051,104.1784,98.5075,13.6982,0.5884,0.4081,0.0,3.9909,0.6602
4024,849,21085,PPO,4272.8693,103.2274,101.4993,12.5381,0.5706,0.4254,0.0,2.8385,0.6109
4024,849,21085,SUS+CQI,4122.6278,105.7104,100.597,10.8256,0.5605,0.4355,0.0,3.9929,0.6281
4024,849,21086,PPO,1698.0972,109.7823,107.5886,9.4327,0.5089,0.4875,0.0,3.2223,0.5465
4024,849,21086,SUS+CQI,1761.0839,112.9633,107.5812,8.7214,0.5051,0.4914,0.0,3.9906,0.5595
4024,849,21087,PPO,1870.3233,45.2811,43.8365,11.9901,0.5706,0.4261,0.001,2.0977,0.6149
4024,849,21087,SUS+CQI,1557.2312,44.7805,42.6104,7.4943,0.551,0.4453,0.0006,3.4968,0.6094
4024,849,21088,PPO,7969.7557,77.6938,76.4737,15.0631,0.795,0.2029,0.0,2.7765,0.8421
4024,849,21088,SUS+CQI,7494.3467,78.628,74.1618,11.8894,0.7645,0.2327,0.0003,3.9086,0.8583
4024,849,21089,PPO,6328.7998,66.8477,65.452,12.1156,0.7604,0.2378,0.0,2.6683,0.7851
4024,849,21089,SUS+CQI,5838.3036,66.3732,63.5645,8.3227,0.7323,0.2657,0.0002,3.8675,0.7795
4024,849,21090,PPO,5081.5473,44.6686,43.261,14.0582,0.8627,0.1357,0.0006,2.2609,0.9237
4024,849,21090,SUS+CQI,4610.3569,44.4122,41.3541,7.9661,0.8153,0.1837,0.0,3.5902,0.9118
4024,849,21091,PPO,5364.3385,41.1475,40.6986,17.8024,0.9688,0.029,0.0004,2.2973,0.9954
4024,849,21091,SUS+CQI,5284.7548,41.1518,40.3831,14.0134,0.9601,0.0384,0.0,3.0499,0.9953
4024,849,21092,PPO,5590.4521,75.4816,74.1715,18.395,0.672,0.326,0.0,2.6599,0.7261
4024,849,21092,SUS+CQI,5151.3686,76.3732,72.1022,14.7183,0.6477,0.3502,0.0,3.9838,0.7311
4024,849,21093,PPO,5943.9448,84.7971,82.9738,15.53,0.6564,0.3403,0.0,3.091,0.724
4024,849,21093,SUS+CQI,5501.846,86.8538,80.7538,11.8904,0.6314,0.3653,0.0,3.9916,0.7507
4024,849,21094,PPO,6370.8594,61.6952,60.4255,19.283,0.7973,0.2013,0.0,2.584,0.8484
4024,849,21094,SUS+CQI,5669.6416,61.6967,57.2818,13.9297,0.7486,0.2493,0.0,3.8905,0.8537
4024,849,21095,PPO,4455.6204,89.2158,86.488,12.4472,0.5923,0.4051,0.0,3.2818,0.6734
4024,849,21095,SUS+CQI,4121.9022,92.2434,84.9586,11.4153,0.5725,0.4248,0.0,3.9903,0.6927
4024,849,21096,PPO,5117.9919,55.895,54.4063,15.9952,0.7426,0.2557,0.0,2.4075,0.8213
4024,849,21096,SUS+CQI,4232.9868,55.1816,50.6017,8.6644,0.6824,0.3154,0.0,3.8665,0.8133
4024,849,21097,PPO,5317.0314,55.5229,54.2517,17.544,0.7622,0.2359,0.0002,2.3505,0.8244
4024,849,21097,SUS+CQI,4401.445,54.5173,50.0824,12.3883,0.6989,0.2989,0.0002,3.8878,0.8201
4024,849,21098,PPO,4762.9266,44.1571,42.9297,11.7338,0.8256,0.1738,0.0,2.1269,0.897
4024,849,21098,SUS+CQI,4281.4477,43.7358,40.8499,7.1256,0.7798,0.219,0.0,3.5192,0.8935
4024,849,21099,PPO,5131.6444,69.9025,68.4642,12.5133,0.6697,0.3283,0.0,2.5967,0.7275
4024,849,21099,SUS+CQI,4558.7386,70.4812,65.951,9.4356,0.638,0.36,0.0,3.8825,0.7309
