train_seed,best_update,seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
5024,389,21034,PPO,5935.757,68.1692,66.6482,16.0295,0.7235,0.2741,0.0,2.5595,0.7721
5024,389,21034,SUS+CQI,5410.8316,68.6345,64.0784,11.3213,0.6906,0.3065,0.0,3.9804,0.7812
5024,389,21035,PPO,1979.4691,71.4711,69.9881,11.6914,0.5372,0.4606,0.0,2.8646,0.5843
5024,389,21035,SUS+CQI,1194.0609,71.0874,66.2632,9.0396,0.5057,0.4916,0.0001,3.9066,0.5913
5024,389,21036,PPO,4140.5845,63.3055,61.4604,21.0158,0.642,0.3547,0.0,2.4359,0.6897
5024,389,21036,SUS+CQI,3518.6059,63.1446,58.6553,12.8231,0.6086,0.3875,0.0003,3.9602,0.6876
5024,389,21037,PPO,5339.0524,109.285,106.3813,13.1126,0.5891,0.407,0.0,3.382,0.6609
5024,389,21037,SUS+CQI,5163.4488,113.2537,104.8322,12.7346,0.575,0.4209,0.0,3.9989,0.6947
5024,389,21038,PPO,6850.9944,89.4491,87.7432,11.7161,0.6811,0.317,0.0001,3.0389,0.7453
5024,389,21038,SUS+CQI,6200.9331,91.2768,84.0766,10.1351,0.6477,0.3504,0.0,3.9968,0.7739
5024,389,21039,PPO,5622.3488,74.3606,73.2368,12.5523,0.6791,0.3181,0.0004,2.469,0.7008
5024,389,21039,SUS+CQI,5118.633,74.0506,70.7448,9.368,0.6547,0.3426,0.0003,3.8695,0.7037
5024,389,21040,PPO,4655.3604,71.8342,70.2216,16.0015,0.6393,0.3565,0.0001,2.4838,0.6937
5024,389,21040,SUS+CQI,4012.6278,72.5987,67.1193,9.691,0.6055,0.3906,0.0,3.9767,0.7062
5024,389,21041,PPO,4620.1412,63.9498,62.2888,14.9083,0.6649,0.3321,0.0,2.4086,0.7226
5024,389,21041,SUS+CQI,3732.2431,63.3865,58.2219,10.2116,0.6172,0.3798,0.0002,3.9688,0.7201
5024,389,21042,PPO,5108.9232,110.2015,108.1659,14.8967,0.5844,0.4132,0.0,2.8098,0.6238
5024,389,21042,SUS+CQI,4255.1784,111.0703,103.6302,13.6586,0.5574,0.4401,0.0,3.9908,0.6462
5024,389,21043,PPO,3723.0457,90.0712,87.9077,13.837,0.5697,0.4273,0.0,2.889,0.6239
5024,389,21043,SUS+CQI,3049.6775,92.1435,84.166,12.4471,0.5407,0.4562,0.0,3.9941,0.6623
