train_seed,best_update,seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
2024,289,21000,PPO,7328.9477,105.1661,102.7159,14.6116,0.6566,0.3411,0.0,3.0994,0.7053
2024,289,21000,SUS+CQI,6606.7553,106.8282,99.0204,12.6729,0.627,0.3705,0.0,3.9955,0.7329
2024,289,21001,PPO,6852.7869,79.0905,76.7129,19.4286,0.7203,0.2772,0.0,2.927,0.7969
2024,289,21001,SUS+CQI,5916.862,77.6967,72.2664,17.2052,0.6768,0.3203,0.0,3.9554,0.806
2024,289,21002,PPO,3294.7595,82.7856,81.2499,10.6546,0.5667,0.43,0.0004,2.5558,0.5883
2024,289,21002,SUS+CQI,2425.0399,81.4583,77.2524,7.9603,0.5373,0.4596,0.0001,3.9857,0.5874
2024,289,21003,PPO,4464.5831,65.124,63.5775,12.6137,0.6529,0.3447,0.0,2.3086,0.7079
2024,289,21003,SUS+CQI,3784.9448,65.9463,60.3124,7.8036,0.6121,0.385,0.0,3.9954,0.7185
2024,289,21004,PPO,2965.7682,83.3436,81.7188,12.4233,0.5566,0.4401,0.0003,2.6477,0.5952
2024,289,21004,SUS+CQI,2106.4145,82.6854,77.5864,9.4394,0.5261,0.4704,0.0001,3.9813,0.5967
2024,289,21005,PPO,3588.4175,37.7799,36.1014,18.9294,0.7594,0.2383,0.0007,1.7885,0.8478
2024,289,21005,SUS+CQI,2922.275,36.8775,33.1865,10.4332,0.693,0.3037,0.0016,3.591,0.832
2024,289,21006,PPO,4582.1599,83.3655,81.6557,11.422,0.6107,0.3871,0.0,2.6476,0.634
2024,289,21006,SUS+CQI,4198.7182,83.1206,79.759,8.7234,0.5949,0.4028,0.0,3.9469,0.6401
2024,289,21007,PPO,6711.0724,77.1347,75.5849,13.4994,0.7257,0.2715,0.0002,2.654,0.7562
2024,289,21007,SUS+CQI,6164.1591,76.4185,73.0344,10.4083,0.699,0.2984,0.0,3.8564,0.7603
2024,289,21008,PPO,5604.9948,89.3519,87.4447,12.7315,0.6324,0.3636,0.0,2.9517,0.681
2024,289,21008,SUS+CQI,5011.0768,91.1432,84.0916,10.3311,0.6037,0.3923,0.0,3.9877,0.7052
2024,289,21009,PPO,3778.2465,39.4286,37.864,14.4478,0.7649,0.2323,0.0013,1.9475,0.8565
2024,289,21009,SUS+CQI,3062.2178,38.1842,34.6212,7.9897,0.6969,0.2999,0.0003,3.676,0.8437
