train_seed,best_update,seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
2024,449,21000,PPO,6598.1657,104.1152,99.0796,12.4794,0.6333,0.3641,0.0,4.0,0.7112
2024,449,21000,SUS+CQI,6606.7553,106.8282,99.0204,12.6729,0.627,0.3705,0.0,3.9955,0.7329
2024,449,21001,PPO,5788.6981,76.1322,71.7941,17.0205,0.6759,0.3209,0.0001,3.9975,0.7924
2024,449,21001,SUS+CQI,5916.862,77.6967,72.2664,17.2052,0.6768,0.3203,0.0,3.9554,0.806
2024,449,21002,PPO,2459.1787,80.5773,77.3793,7.5871,0.5405,0.4563,0.0001,3.9998,0.5828
2024,449,21002,SUS+CQI,2425.0399,81.4583,77.2524,7.9603,0.5373,0.4596,0.0001,3.9857,0.5874
2024,449,21003,PPO,3628.1159,63.5501,59.7713,7.4154,0.6129,0.384,0.0002,4.0,0.6951
2024,449,21003,SUS+CQI,3784.9448,65.9463,60.3124,7.8036,0.6121,0.385,0.0,3.9954,0.7185
2024,449,21004,PPO,2184.6682,81.5984,78.1019,9.177,0.5317,0.4649,0.0,3.9995,0.5851
2024,449,21004,SUS+CQI,2106.4145,82.6854,77.5864,9.4394,0.5261,0.4704,0.0001,3.9813,0.5967
2024,449,21005,PPO,2738.491,35.8284,32.4341,8.8716,0.6806,0.3155,0.0016,3.8985,0.8176
2024,449,21005,SUS+CQI,2922.275,36.8775,33.1865,10.4332,0.693,0.3037,0.0016,3.591,0.832
2024,449,21006,PPO,4261.8256,82.6083,80.335,8.3436,0.5991,0.3986,0.0,3.9999,0.6288
2024,449,21006,SUS+CQI,4198.7182,83.1206,79.759,8.7234,0.5949,0.4028,0.0,3.9469,0.6401
2024,449,21007,PPO,6079.3609,75.7106,72.8343,9.8799,0.6972,0.3,0.0,3.9947,0.7497
2024,449,21007,SUS+CQI,6164.1591,76.4185,73.0344,10.4083,0.699,0.2984,0.0,3.8564,0.7603
