train_seed,best_update,seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
2024,809,21000,PPO,7365.0663,105.6932,102.9563,13.3826,0.6564,0.3413,0.0,3.5,0.706
2024,809,21000,SUS+CQI,6606.7553,106.8282,99.0204,12.6729,0.627,0.3705,0.0,3.9955,0.7329
2024,809,21001,PPO,6641.0943,78.445,75.9395,17.8096,0.7115,0.2857,0.0,3.293,0.7923
2024,809,21001,SUS+CQI,5916.862,77.6967,72.2664,17.2052,0.6768,0.3203,0.0,3.9554,0.806
2024,809,21002,PPO,3366.3072,83.1231,81.5176,9.1044,0.5682,0.4288,0.0001,2.705,0.5896
2024,809,21002,SUS+CQI,2425.0399,81.4583,77.2524,7.9603,0.5373,0.4596,0.0001,3.9857,0.5874
2024,809,21003,PPO,4553.5048,65.7311,64.1119,10.4823,0.6553,0.3422,0.0,2.7471,0.7023
2024,809,21003,SUS+CQI,3784.9448,65.9463,60.3124,7.8036,0.6121,0.385,0.0,3.9954,0.7185
2024,809,21004,PPO,2980.5293,83.4868,81.6698,10.9685,0.5565,0.4406,0.0,2.918,0.5933
2024,809,21004,SUS+CQI,2106.4145,82.6854,77.5864,9.4394,0.5261,0.4704,0.0001,3.9813,0.5967
2024,809,21005,PPO,3676.502,37.96,36.5498,17.3462,0.7676,0.2295,0.0013,2.0877,0.8476
2024,809,21005,SUS+CQI,2922.275,36.8775,33.1865,10.4332,0.693,0.3037,0.0016,3.591,0.832
2024,809,21006,PPO,4647.2685,83.4416,81.8391,10.7073,0.6128,0.3849,0.0,2.8221,0.6349
2024,809,21006,SUS+CQI,4198.7182,83.1206,79.759,8.7234,0.5949,0.4028,0.0,3.9469,0.6401
2024,809,21007,PPO,6786.0596,77.377,75.7958,12.6226,0.7286,0.2686,0.0002,2.8575,0.7596
2024,809,21007,SUS+CQI,6164.1591,76.4185,73.0344,10.4083,0.699,0.2984,0.0,3.8564,0.7603
2024,809,21008,PPO,5524.6139,89.6318,87.1466,10.9981,0.6281,0.3678,0.0,3.3584,0.6742
2024,809,21008,SUS+CQI,5011.0768,91.1432,84.0916,10.3311,0.6037,0.3923,0.0,3.9877,0.7052
2024,809,21009,PPO,3812.7077,39.5916,37.9137,13.3386,0.7661,0.2307,0.0009,2.2275,0.8564
2024,809,21009,SUS+CQI,3062.2178,38.1842,34.6212,7.9897,0.6969,0.2999,0.0003,3.676,0.8437
2024,809,21010,PPO,4017.8177,71.8252,70.0879,13.5985,0.6124,0.3858,0.0001,2.6598,0.6513
2024,809,21010,SUS+CQI,3172.3549,71.8905,65.9756,11.0609,0.5723,0.4253,0.0003,3.9921,0.6708
2024,809,21011,PPO,4993.5002,99.9395,97.927,11.7487,0.5943,0.4024,0.0,3.3109,0.6322
2024,809,21011,SUS+CQI,4136.5393,99.3749,93.6162,11.6836,0.5668,0.4294,0.0,3.947,0.6494
2024,809,21012,PPO,4165.8096,70.1071,67.9241,12.6652,0.6217,0.3756,0.0,2.9242,0.7027
2024,809,21012,SUS+CQI,3263.1933,71.5079,63.2913,11.4407,0.5724,0.4246,0.0,3.9926,0.7414
2024,809,21013,PPO,6081.2334,103.6651,101.5441,14.1787,0.6192,0.3775,0.0,3.1026,0.6593
2024,809,21013,SUS+CQI,5444.2624,103.7972,98.2334,13.459,0.5977,0.3992,0.0,3.9797,0.6752
2024,809,21014,PPO,5258.7827,67.5815,65.6435,10.8126,0.6859,0.3116,0.0002,2.8998,0.7537
2024,809,21014,SUS+CQI,4544.4481,67.7104,62.1309,8.6752,0.6454,0.3516,0.0002,3.9648,0.77
2024,809,21015,PPO,5633.8213,58.3941,56.8134,8.1256,0.765,0.2316,0.0002,2.7295,0.8477
2024,809,21015,SUS+CQI,5019.4631,58.9619,53.6414,4.9409,0.7174,0.2788,0.0002,3.888,0.8558
2024,809,21016,PPO,5981.7159,73.8914,71.6358,11.23,0.6979,0.3,0.0,3.1327,0.7722
2024,809,21016,SUS+CQI,5247.66,75.463,67.9497,9.2791,0.6542,0.3434,0.0,3.992,0.8063
2024,809,21017,PPO,6806.3878,82.6121,81.0592,9.4607,0.7053,0.2926,0.0,3.1279,0.7402
2024,809,21017,SUS+CQI,6443.3577,83.0883,79.0803,8.5222,0.6862,0.3118,0.0,3.9687,0.7574
2024,809,21018,PPO,6504.4583,71.3606,69.8998,12.0705,0.7411,0.2568,0.0,2.964,0.7956
2024,809,21018,SUS+CQI,5637.0049,70.6769,65.9566,9.7795,0.695,0.3027,0.0,3.9429,0.7975
2024,809,21019,PPO,5783.2025,113.3028,109.4525,10.6576,0.5951,0.4019,0.0,3.7946,0.6723
2024,809,21019,SUS+CQI,5609.8265,116.6051,108.1262,10.5055,0.5827,0.4145,0.0,3.9932,0.7037
2024,809,21020,PPO,7853.8375,105.2926,102.7202,13.0754,0.6736,0.3238,0.0,3.3998,0.726
2024,809,21020,SUS+CQI,7158.7565,105.2967,99.1069,12.459,0.6485,0.349,0.0,3.9844,0.7456
2024,809,21021,PPO,5997.219,62.7559,61.3797,12.9248,0.7631,0.235,0.0,2.9773,0.809
2024,809,21021,SUS+CQI,5236.4621,61.6162,57.8766,10.4501,0.7166,0.2811,0.0,3.8815,0.8188
2024,809,21022,PPO,3847.5184,101.7236,99.2302,11.3642,0.5587,0.4376,0.0,3.2876,0.6002
2024,809,21022,SUS+CQI,3295.876,102.2648,96.0232,11.1364,0.5403,0.4556,0.0001,3.9829,0.6244
2024,809,21023,PPO,1692.2943,101.6114,97.1776,15.764,0.5078,0.4876,0.0,3.6431,0.5758
2024,809,21023,SUS+CQI,1132.3354,104.7893,93.2366,15.4419,0.4849,0.5106,0.0,3.9951,0.6289
2024,809,21024,PPO,5355.0643,85.7919,84.0679,16.1321,0.6334,0.3639,0.0001,2.8147,0.6638
2024,809,21024,SUS+CQI,4667.3847,85.9366,80.7132,14.4021,0.6047,0.3927,0.0001,3.9875,0.6771
2024,809,21025,PPO,4209.3318,69.7052,68.1405,12.2315,0.6255,0.3714,0.0001,2.8269,0.6645
2024,809,21025,SUS+CQI,3326.0135,68.5919,63.9798,9.9875,0.5858,0.4109,0.0001,3.97,0.6667
2024,809,21026,PPO,5162.4845,62.5865,60.7333,9.2989,0.7049,0.2942,0.0,2.9456,0.7696
2024,809,21026,SUS+CQI,4291.9948,61.3159,56.5601,7.6118,0.6561,0.3427,0.0,3.9037,0.778
2024,809,21027,PPO,1354.0117,28.2334,27.3078,10.2281,0.588,0.4068,0.0028,1.8772,0.623
2024,809,21027,SUS+CQI,1344.8526,28.2482,27.2715,7.954,0.587,0.4089,0.0017,2.5589,0.6238
2024,809,21028,PPO,3865.4784,63.7294,61.8203,11.4038,0.6266,0.3704,0.0,2.6542,0.6835
2024,809,21028,SUS+CQI,2961.6948,63.661,57.8453,7.9944,0.5781,0.4186,0.0,3.9622,0.6822
2024,809,21029,PPO,6678.7771,78.0392,76.6248,10.5369,0.719,0.2787,0.0001,3.0995,0.7561
2024,809,21029,SUS+CQI,6246.2006,77.2631,74.7269,9.1623,0.7004,0.2974,0.0001,3.7653,0.7542
2024,809,21030,PPO,4437.0311,75.4505,74.0829,10.0419,0.6219,0.3754,0.0004,2.7015,0.6489
2024,809,21030,SUS+CQI,3651.4387,74.0971,70.4163,8.1591,0.5906,0.4064,0.0004,3.871,0.6489
2024,809,21031,PPO,6114.9663,72.7991,70.6288,16.0273,0.7098,0.2876,0.0,2.9825,0.814
2024,809,21031,SUS+CQI,5194.5508,73.8434,66.4885,13.0664,0.6571,0.3401,0.0,3.9911,0.8271
2024,809,21032,PPO,7007.516,65.6636,64.5332,14.8646,0.8225,0.176,0.0002,2.9791,0.852
2024,809,21032,SUS+CQI,6873.0768,65.4791,63.8932,12.9944,0.814,0.1845,0.0002,3.5352,0.8502
2024,809,21033,PPO,2461.8223,107.692,104.2058,12.0387,0.5232,0.474,0.0,3.6251,0.5791
2024,809,21033,SUS+CQI,2002.2393,109.632,101.1485,11.9945,0.5064,0.4907,0.0,3.9995,0.6103
2024,809,21034,PPO,6077.6872,68.9601,67.3057,14.2181,0.7283,0.2688,0.0002,2.9073,0.7735
2024,809,21034,SUS+CQI,5410.8316,68.6345,64.0784,11.3213,0.6906,0.3065,0.0,3.9804,0.7812
2024,809,21035,PPO,2063.8376,72.0889,70.361,10.7528,0.5389,0.459,0.0,3.2148,0.5871
2024,809,21035,SUS+CQI,1194.0609,71.0874,66.2632,9.0396,0.5057,0.4916,0.0001,3.9066,0.5913
2024,809,21036,PPO,4343.7695,64.1997,62.3164,21.1896,0.6496,0.347,0.0005,2.6109,0.6922
2024,809,21036,SUS+CQI,3518.6059,63.1446,58.6553,12.8231,0.6086,0.3875,0.0003,3.9602,0.6876
2024,809,21037,PPO,5264.1151,110.0187,106.1451,12.7002,0.5855,0.411,0.0,3.7904,0.6597
2024,809,21037,SUS+CQI,5163.4488,113.2537,104.8322,12.7346,0.575,0.4209,0.0,3.9989,0.6947
2024,809,21038,PPO,6814.7991,90.0642,87.7692,10.7454,0.6777,0.3205,0.0001,3.4006,0.7401
2024,809,21038,SUS+CQI,6200.9331,91.2768,84.0766,10.1351,0.6477,0.3504,0.0,3.9968,0.7739
2024,809,21039,PPO,5703.9856,74.7535,73.6471,11.6774,0.6817,0.3154,0.0003,2.7173,0.6986
2024,809,21039,SUS+CQI,5118.633,74.0506,70.7448,9.368,0.6547,0.3426,0.0003,3.8695,0.7037
2024,809,21040,PPO,4794.7616,72.6949,70.8949,12.6977,0.6433,0.3529,0.0,2.7525,0.6945
2024,809,21040,SUS+CQI,4012.6278,72.5987,67.1193,9.691,0.6055,0.3906,0.0,3.9767,0.7062
2024,809,21041,PPO,4821.597,64.7948,63.1105,13.2214,0.6729,0.3242,0.0002,2.7244,0.7241
2024,809,21041,SUS+CQI,3732.2431,63.3865,58.2219,10.2116,0.6172,0.3798,0.0002,3.9688,0.7201
2024,809,21042,PPO,5122.514,110.7401,108.2004,14.2183,0.5833,0.4141,0.0,3.1229,0.6247
