train_seed,best_update,seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
2024,419,21000,PPO,7326.1782,105.4678,102.6812,13.4108,0.6554,0.3423,0.0,3.4344,0.7099
2024,419,21000,SUS+CQI,6606.7553,106.8282,99.0204,12.6729,0.627,0.3705,0.0,3.9955,0.7329
2024,419,21001,PPO,6752.442,78.6273,76.2964,18.7505,0.7171,0.2805,0.0,3.165,0.7907
2024,419,21001,SUS+CQI,5916.862,77.6967,72.2664,17.2052,0.6768,0.3203,0.0,3.9554,0.806
2024,419,21002,PPO,3255.8904,82.5895,81.1185,9.5249,0.5655,0.4313,0.0003,2.6717,0.5872
2024,419,21002,SUS+CQI,2425.0399,81.4583,77.2524,7.9603,0.5373,0.4596,0.0001,3.9857,0.5874
2024,419,21003,PPO,4408.8584,65.1094,63.1767,10.9784,0.6496,0.3482,0.0,2.6524,0.7068
2024,419,21003,SUS+CQI,3784.9448,65.9463,60.3124,7.8036,0.6121,0.385,0.0,3.9954,0.7185
2024,419,21004,PPO,2806.9112,82.6486,80.9117,11.4865,0.5525,0.4446,0.0,2.745,0.5912
2024,419,21004,SUS+CQI,2106.4145,82.6854,77.5864,9.4394,0.5261,0.4704,0.0001,3.9813,0.5967
2024,419,21005,PPO,3643.627,37.8002,36.3909,18.0267,0.7653,0.2328,0.0003,1.9786,0.8452
2024,419,21005,SUS+CQI,2922.275,36.8775,33.1865,10.4332,0.693,0.3037,0.0016,3.591,0.832
2024,419,21006,PPO,4657.3915,83.3631,81.8808,10.7948,0.6133,0.3843,0.0,2.7842,0.6342
2024,419,21006,SUS+CQI,4198.7182,83.1206,79.759,8.7234,0.5949,0.4028,0.0,3.9469,0.6401
2024,419,21007,PPO,6769.431,77.2226,75.743,12.8792,0.7283,0.2691,0.0,2.7665,0.7581
2024,419,21007,SUS+CQI,6164.1591,76.4185,73.0344,10.4083,0.699,0.2984,0.0,3.8564,0.7603
2024,419,21008,PPO,5440.5566,88.954,86.4709,11.313,0.6264,0.3695,0.0,3.3368,0.6823
2024,419,21008,SUS+CQI,5011.0768,91.1432,84.0916,10.3311,0.6037,0.3923,0.0,3.9877,0.7052
2024,419,21009,PPO,3804.3054,39.399,37.9092,13.7943,0.7671,0.2298,0.0009,2.1192,0.8569
2024,419,21009,SUS+CQI,3062.2178,38.1842,34.6212,7.9897,0.6969,0.2999,0.0003,3.676,0.8437
2024,419,21010,PPO,3826.0948,71.1525,68.8915,13.6665,0.6051,0.3928,0.0001,2.7072,0.6627
2024,419,21010,SUS+CQI,3172.3549,71.8905,65.9756,11.0609,0.5723,0.4253,0.0003,3.9921,0.6708
2024,419,21011,PPO,4908.8078,99.5877,97.399,11.7028,0.5921,0.4045,0.0,3.2859,0.6382
2024,419,21011,SUS+CQI,4136.5393,99.3749,93.6162,11.6836,0.5668,0.4294,0.0,3.947,0.6494
2024,419,21012,PPO,4035.4261,69.6952,67.298,12.9769,0.6166,0.3807,0.0,3.0302,0.713
2024,419,21012,SUS+CQI,3263.1933,71.5079,63.2913,11.4407,0.5724,0.4246,0.0,3.9926,0.7414
2024,419,21013,PPO,5840.4793,102.5006,100.2491,14.3841,0.614,0.3826,0.0001,3.1042,0.6607
2024,419,21013,SUS+CQI,5444.2624,103.7972,98.2334,13.459,0.5977,0.3992,0.0,3.9797,0.6752
2024,419,21014,PPO,5079.8635,66.7089,64.5987,10.9617,0.679,0.3185,0.0,2.9307,0.7616
2024,419,21014,SUS+CQI,4544.4481,67.7104,62.1309,8.6752,0.6454,0.3516,0.0002,3.9648,0.77
2024,419,21015,PPO,5555.5964,58.0102,56.3408,8.1023,0.7612,0.2358,0.0,2.762,0.8508
2024,419,21015,SUS+CQI,5019.4631,58.9619,53.6414,4.9409,0.7174,0.2788,0.0002,3.888,0.8558
2024,419,21016,PPO,5731.8445,72.8864,70.0818,11.4326,0.6883,0.3093,0.0002,3.1153,0.7846
2024,419,21016,SUS+CQI,5247.66,75.463,67.9497,9.2791,0.6542,0.3434,0.0,3.992,0.8063
2024,419,21017,PPO,6723.9539,82.2551,80.3293,9.6335,0.7019,0.2962,0.0,3.2433,0.7499
2024,419,21017,SUS+CQI,6443.3577,83.0883,79.0803,8.5222,0.6862,0.3118,0.0,3.9687,0.7574
2024,419,21018,PPO,6291.4332,70.88,68.8175,12.4146,0.7304,0.2671,0.0,2.9783,0.7993
2024,419,21018,SUS+CQI,5637.0049,70.6769,65.9566,9.7795,0.695,0.3027,0.0,3.9429,0.7975
2024,419,21019,PPO,5965.6037,113.8347,109.8572,10.6352,0.5984,0.3986,0.0,3.7779,0.6823
2024,419,21019,SUS+CQI,5609.8265,116.6051,108.1262,10.5055,0.5827,0.4145,0.0,3.9932,0.7037
2024,419,21020,PPO,7924.7572,105.3886,102.9353,13.033,0.6761,0.3216,0.0,3.3015,0.7262
2024,419,21020,SUS+CQI,7158.7565,105.2967,99.1069,12.459,0.6485,0.349,0.0,3.9844,0.7456
2024,419,21021,PPO,5947.6464,62.4691,61.129,14.0408,0.7607,0.2371,0.0,2.7109,0.814
2024,419,21021,SUS+CQI,5236.4621,61.6162,57.8766,10.4501,0.7166,0.2811,0.0,3.8815,0.8188
2024,419,21022,PPO,3915.3037,101.6614,99.0731,11.567,0.5606,0.4356,0.0001,3.2881,0.6098
2024,419,21022,SUS+CQI,3295.876,102.2648,96.0232,11.1364,0.5403,0.4556,0.0001,3.9829,0.6244
2024,419,21023,PPO,1931.8116,102.271,97.647,15.8021,0.5125,0.4828,0.0,3.6072,0.5872
2024,419,21023,SUS+CQI,1132.3354,104.7893,93.2366,15.4419,0.4849,0.5106,0.0,3.9951,0.6289
2024,419,21024,PPO,5209.8161,85.1377,83.1939,16.41,0.6292,0.3683,0.0,2.7719,0.6664
2024,419,21024,SUS+CQI,4667.3847,85.9366,80.7132,14.4021,0.6047,0.3927,0.0001,3.9875,0.6771
2024,419,21025,PPO,4050.7589,68.8985,67.3482,12.6427,0.6208,0.3763,0.0,2.6695,0.664
2024,419,21025,SUS+CQI,3326.0135,68.5919,63.9798,9.9875,0.5858,0.4109,0.0001,3.97,0.6667
2024,419,21026,PPO,5119.4713,62.0711,60.3456,10.0757,0.7045,0.2946,0.0,2.7749,0.7766
2024,419,21026,SUS+CQI,4291.9948,61.3159,56.5601,7.6118,0.6561,0.3427,0.0,3.9037,0.778
2024,419,21027,PPO,1355.1855,28.2212,27.341,10.4241,0.5884,0.4068,0.0024,1.8393,0.6229
2024,419,21027,SUS+CQI,1344.8526,28.2482,27.2715,7.954,0.587,0.4089,0.0017,2.5589,0.6238
2024,419,21028,PPO,3707.5014,63.0748,61.1655,11.7172,0.6204,0.3764,0.0,2.5833,0.6776
2024,419,21028,SUS+CQI,2961.6948,63.661,57.8453,7.9944,0.5781,0.4186,0.0,3.9622,0.6822
2024,419,21029,PPO,6609.4637,77.7617,76.2879,10.741,0.7164,0.2814,0.0001,3.0562,0.7549
2024,419,21029,SUS+CQI,6246.2006,77.2631,74.7269,9.1623,0.7004,0.2974,0.0001,3.7653,0.7542
2024,419,21030,PPO,4342.9776,74.9572,73.7651,10.4383,0.6194,0.3782,0.0001,2.6499,0.6461
2024,419,21030,SUS+CQI,3651.4387,74.0971,70.4163,8.1591,0.5906,0.4064,0.0004,3.871,0.6489
2024,419,21031,PPO,5936.2683,71.9952,69.6939,15.8739,0.7034,0.2938,0.0,3.019,0.8111
2024,419,21031,SUS+CQI,5194.5508,73.8434,66.4885,13.0664,0.6571,0.3401,0.0,3.9911,0.8271
2024,419,21032,PPO,6985.5351,65.605,64.4718,15.2379,0.8213,0.1771,0.0004,2.8171,0.8512
2024,419,21032,SUS+CQI,6873.0768,65.4791,63.8932,12.9944,0.814,0.1845,0.0002,3.5352,0.8502
2024,419,21033,PPO,2563.0888,107.7808,104.23,12.0867,0.5251,0.4719,0.0,3.469,0.585
2024,419,21033,SUS+CQI,2002.2393,109.632,101.1485,11.9945,0.5064,0.4907,0.0,3.9995,0.6103
2024,419,21034,PPO,5896.3078,67.8682,66.2294,15.0141,0.7221,0.2752,0.0,2.8297,0.7785
2024,419,21034,SUS+CQI,5410.8316,68.6345,64.0784,11.3213,0.6906,0.3065,0.0,3.9804,0.7812
2024,419,21035,PPO,1989.8143,71.6636,70.1399,11.2277,0.5372,0.4606,0.0,2.9401,0.5817
2024,419,21035,SUS+CQI,1194.0609,71.0874,66.2632,9.0396,0.5057,0.4916,0.0001,3.9066,0.5913
2024,419,21036,PPO,4188.9217,63.4045,61.6745,19.5671,0.6446,0.3517,0.0006,2.546,0.6889
2024,419,21036,SUS+CQI,3518.6059,63.1446,58.6553,12.8231,0.6086,0.3875,0.0003,3.9602,0.6876
2024,419,21037,PPO,5350.297,110.3405,105.8426,12.7177,0.586,0.4101,0.0,3.7254,0.6723
2024,419,21037,SUS+CQI,5163.4488,113.2537,104.8322,12.7346,0.575,0.4209,0.0,3.9989,0.6947
2024,419,21038,PPO,6702.2784,89.4875,86.8906,11.0564,0.6745,0.3236,0.0001,3.3752,0.7506
2024,419,21038,SUS+CQI,6200.9331,91.2768,84.0766,10.1351,0.6477,0.3504,0.0,3.9968,0.7739
2024,419,21039,PPO,5529.2487,74.0831,72.7184,11.6508,0.6754,0.322,0.0003,2.7591,0.7001
2024,419,21039,SUS+CQI,5118.633,74.0506,70.7448,9.368,0.6547,0.3426,0.0003,3.8695,0.7037
2024,419,21040,PPO,4630.7541,71.9127,69.992,13.1543,0.6382,0.3581,0.0,2.7952,0.7003
2024,419,21040,SUS+CQI,4012.6278,72.5987,67.1193,9.691,0.6055,0.3906,0.0,3.9767,0.7062
2024,419,21041,PPO,4634.3649,63.9049,62.1262,14.2282,0.6655,0.3314,0.0002,2.6802,0.7247
2024,419,21041,SUS+CQI,3732.2431,63.3865,58.2219,10.2116,0.6172,0.3798,0.0002,3.9688,0.7201
2024,419,21042,PPO,5068.5724,110.1465,107.5774,14.4618,0.583,0.4145,0.0,2.9956,0.6291
2024,419,21042,SUS+CQI,4255.1784,111.0703,103.6302,13.6586,0.5574,0.4401,0.0,3.9908,0.6462
2024,419,21043,PPO,3602.0638,90.1392,87.0938,13.3698,0.5649,0.4323,0.0,3.2055,0.6323
2024,419,21043,SUS+CQI,3049.6775,92.1435,84.166,12.4471,0.5407,0.4562,0.0,3.9941,0.6623
2024,419,21044,PPO,5383.9542,92.1114,89.875,13.4173,0.6197,0.3774,0.0,3.0745,0.6616
2024,419,21044,SUS+CQI,4793.399,93.4997,86.9867,12.4289,0.5945,0.4026,0.0,3.9978,0.6782
2024,419,21045,PPO,4469.7921,120.4888,117.4756,13.7832,0.5575,0.438,0.0,3.2616,0.6041
2024,419,21045,SUS+CQI,4277.2462,122.4611,116.2468,13.4556,0.5488,0.4467,0.0,3.962,0.618
2024,419,21046,PPO,4319.1078,71.8379,70.2919,14.1129,0.6262,0.372,0.0003,2.7265,0.6668
2024,419,21046,SUS+CQI,3981.9173,72.4339,68.5409,11.1347,0.6076,0.3905,0.0,3.9477,0.6764
2024,419,21047,PPO,4169.7159,46.784,45.5941,13.4573,0.7347,0.2625,0.001,2.3226,0.778
2024,419,21047,SUS+CQI,3792.3982,46.5907,43.8532,8.8909,0.7034,0.2941,0.0005,3.6673,0.7759
2024,419,21048,PPO,4452.7421,94.5614,92.3836,11.5393,0.584,0.4127,0.0,3.2642,0.6406
2024,419,21048,SUS+CQI,4374.4992,96.3296,91.7293,11.2775,0.5774,0.4193,0.0,3.9931,0.6537
2024,419,21049,PPO,5247.2704,89.2528,87.3782,15.605,0.6198,0.3774,0.0,3.2472,0.6701
2024,419,21049,SUS+CQI,5317.1611,92.4948,87.3577,14.8551,0.6136,0.3834,0.0,3.9986,0.6898
2024,419,21050,PPO,5392.677,91.8788,89.1237,14.6901,0.6182,0.3782,0.0,3.3731,0.689
2024,419,21050,SUS+CQI,4857.2828,93.5937,86.1911,13.2662,0.5932,0.403,0.0,3.9806,0.7103
2024,419,21051,PPO,3614.6889,78.6409,77.1459,9.2457,0.5843,0.4138,0.0,2.5875,0.6098
2024,419,21051,SUS+CQI,3201.7318,78.7191,75.2159,7.296,0.5668,0.4311,0.0,3.9764,0.6174
2024,419,21052,PPO,1705.785,45.1566,43.6948,8.0582,0.5616,0.4349,0.0006,2.1669,0.6074
2024,419,21052,SUS+CQI,1412.3216,44.7083,42.5855,4.068,0.544,0.4526,0.0006,3.7799,0.6003
2024,419,21053,PPO,3532.8787,92.4882,90.9499,13.1578,0.5625,0.4344,0.0,2.8812,0.5998
2024,419,21053,SUS+CQI,3321.5999,94.4469,89.3213,12.026,0.5505,0.4467,0.0,3.9976,0.62
2024,419,21054,PPO,3874.344,49.6955,48.309,15.4035,0.69,0.3084,0.0007,2.4871,0.7353
2024,419,21054,SUS+CQI,3629.874,49.4928,47.2054,11.5785,0.6723,0.3248,0.0016,3.3741,0.7314
2024,419,21055,PPO,4151.3603,54.0945,52.5653,14.53,0.684,0.3131,0.0006,2.4935,0.732
2024,419,21055,SUS+CQI,3695.0606,53.5258,50.7621,9.3926,0.6556,0.3417,0.0004,3.8209,0.7249
2024,419,21056,PPO,6420.6242,100.3477,97.4058,13.2027,0.6346,0.3619,0.0,3.3007,0.7073
2024,419,21056,SUS+CQI,5962.8031,100.8823,95.3672,12.9273,0.6186,0.378,0.0002,3.939,0.7174
2024,419,21057,PPO,5700.2371,69.3693,67.654,13.945,0.7027,0.2952,0.0,3.1055,0.7563
2024,419,21057,SUS+CQI,5252.6172,70.2863,65.5184,12.1658,0.6743,0.3236,0.0,3.9203,0.7667
2024,419,21058,PPO,4945.1645,48.4776,47.0758,9.1087,0.7951,0.2017,0.0016,2.461,0.8492
