train_seed,best_update,seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
4024,849,20034,PPO,5200.6876,118.7058,116.7154,14.0575,0.5773,0.4192,0.0001,3.0281,0.6186
4024,849,20034,SUS+CQI,4463.8093,118.7482,112.6438,13.1141,0.5565,0.4398,0.0,3.9992,0.6358
4024,849,20035,PPO,3771.7503,94.658,92.9127,8.137,0.5659,0.4309,0.0,2.9945,0.607
4024,849,20035,SUS+CQI,3753.3935,96.4376,92.6204,7.2457,0.5612,0.4356,0.0,3.9944,0.6226
4024,849,20036,PPO,5612.7006,84.0228,82.8141,11.8482,0.6477,0.3507,0.0,2.6929,0.6828
4024,849,20036,SUS+CQI,4899.3881,83.3628,79.4327,9.4658,0.6193,0.3788,0.0001,3.9635,0.6906
4024,849,20037,PPO,5757.3946,74.4625,73.4384,12.7878,0.6862,0.3116,0.0,2.6005,0.7135
4024,849,20037,SUS+CQI,5340.5181,74.3975,71.5732,9.4936,0.6651,0.3322,0.0001,3.9762,0.717
4024,849,20038,PPO,6195.4076,95.5467,92.9924,11.3558,0.6381,0.3588,0.0,3.1984,0.7045
4024,849,20038,SUS+CQI,5657.1002,97.8855,90.667,10.1358,0.6125,0.3843,0.0001,3.9849,0.7225
4024,849,20039,PPO,5611.4987,73.5225,71.9463,10.7373,0.6804,0.3172,0.0,2.7878,0.739
4024,849,20039,SUS+CQI,5051.7192,73.7063,69.3426,8.4684,0.6507,0.3464,0.0,3.8767,0.7454
4024,849,20040,PPO,3682.1874,50.3313,49.1592,10.6276,0.6685,0.3274,0.0002,2.208,0.704
4024,849,20040,SUS+CQI,3328.1254,49.983,47.4859,5.8201,0.6439,0.351,0.0004,3.808,0.7047
4024,849,20041,PPO,4615.7462,114.0304,112.2155,14.2061,0.5672,0.4292,0.0001,2.9341,0.6007
4024,849,20041,SUS+CQI,3876.0705,113.5225,108.5984,12.5088,0.5472,0.4488,0.0002,3.998,0.6096
4024,849,20042,PPO,1356.0538,30.8008,29.2989,14.2782,0.5762,0.4198,0.0012,1.6991,0.6378
4024,849,20042,SUS+CQI,955.7078,30.2236,27.6988,8.7521,0.5392,0.4565,0.0006,3.2604,0.6254
4024,849,20043,PPO,8331.0458,98.2225,96.2399,14.1016,0.7136,0.2844,0.0,3.0689,0.7724
4024,849,20043,SUS+CQI,7912.3621,99.339,93.9411,12.5302,0.6933,0.3045,0.0,3.9544,0.7854
4024,849,20044,PPO,4753.2852,82.8022,81.4381,9.7536,0.6165,0.3804,0.0,2.7433,0.6506
4024,849,20044,SUS+CQI,4183.4061,82.7201,78.5089,7.6331,0.5926,0.4039,0.0,3.9807,0.6624
4024,849,20045,PPO,4153.34,97.6539,94.8083,11.7362,0.5717,0.4258,0.0,3.1175,0.6447
4024,849,20045,SUS+CQI,3524.4571,100.6859,91.3483,10.6377,0.5433,0.454,0.0,3.9918,0.6801
4024,849,20046,PPO,5694.6977,64.6154,63.1376,17.6545,0.728,0.2691,0.0002,2.5029,0.783
4024,849,20046,SUS+CQI,4930.8211,64.1258,59.9428,11.7982,0.6837,0.3136,0.0,3.9402,0.776
4024,849,20047,PPO,5562.8894,61.0967,59.7932,10.9864,0.7405,0.2577,0.0,2.7093,0.7997
4024,849,20047,SUS+CQI,5058.0755,61.536,57.3791,6.9629,0.7049,0.2931,0.0002,3.806,0.811
4024,849,20048,PPO,2224.6291,91.9439,89.6639,10.1672,0.5272,0.469,0.0,2.8416,0.5899
4024,849,20048,SUS+CQI,1596.9272,93.7256,86.2537,8.6303,0.5027,0.4931,0.0,3.9927,0.6181
4024,849,20049,PPO,6297.5183,70.7224,69.4155,11.4484,0.7315,0.2665,0.0,2.7441,0.7877
4024,849,20049,SUS+CQI,5962.9398,72.3508,68.0391,8.2451,0.7066,0.291,0.0,3.9383,0.7962
4024,849,20050,PPO,5894.9031,92.8707,91.1602,11.0932,0.6349,0.3619,0.0,2.9914,0.6746
4024,849,20050,SUS+CQI,5349.4526,93.747,88.2743,9.4668,0.6114,0.3849,0.0,3.9844,0.6924
4024,849,20051,PPO,8737.7787,102.6003,100.9309,16.7378,0.7157,0.2822,0.0,3.0352,0.7649
4024,849,20051,SUS+CQI,7763.217,101.4371,96.3002,14.8926,0.6815,0.316,0.0,3.9573,0.7711
4024,849,20052,PPO,4080.5992,111.1484,109.261,17.1995,0.5585,0.4381,0.0,2.7893,0.5933
4024,849,20052,SUS+CQI,3235.6529,111.519,105.3171,15.4428,0.5342,0.4622,0.0,3.9973,0.602
4024,849,20053,PPO,7377.754,71.9904,70.9573,19.0638,0.7982,0.1996,0.0007,2.7402,0.834
4024,849,20053,SUS+CQI,6729.3522,70.8469,67.8586,15.0831,0.7632,0.2343,0.0007,3.754,0.8343
4024,849,20054,PPO,4309.4973,93.1898,91.3901,21.5435,0.5844,0.4128,0.0,2.6788,0.6176
4024,849,20054,SUS+CQI,3538.3849,93.8325,87.8493,18.3202,0.5562,0.4408,0.0,3.9955,0.632
4024,849,20055,PPO,4648.1189,105.7067,103.9162,12.8766,0.5768,0.4194,0.0,3.1582,0.619
4024,849,20055,SUS+CQI,4487.5973,107.9207,102.8394,11.7382,0.567,0.429,0.0,3.9973,0.628
4024,849,20056,PPO,6953.0283,102.3561,99.9031,19.096,0.6493,0.3482,0.0,3.3279,0.722
4024,849,20056,SUS+CQI,6254.0592,103.3505,96.4408,16.9889,0.6223,0.3754,0.0,3.9719,0.741
4024,849,20057,PPO,4743.8971,91.6788,90.3997,12.994,0.5999,0.397,0.0,2.8756,0.6153
4024,849,20057,SUS+CQI,4379.5169,92.3998,88.5178,11.0595,0.5846,0.412,0.0001,3.995,0.6286
4024,849,20058,PPO,3291.8255,83.0948,81.2971,14.4687,0.5654,0.4313,0.0,2.7581,0.6116
