train_seed,best_update,seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
4024,849,20067,PPO,4859.9302,93.0265,90.8216,11.128,0.5987,0.3981,0.0,2.9455,0.6445
4024,849,20067,SUS+CQI,4124.7702,93.1285,87.2777,9.8651,0.5723,0.4245,0.0,3.9674,0.6636
4024,849,20068,PPO,2831.7338,53.7291,52.1507,13.8666,0.6023,0.3946,0.0002,2.1262,0.6358
4024,849,20068,SUS+CQI,2400.0152,53.8609,50.3719,8.2776,0.575,0.4219,0.0,3.9357,0.6387
4024,849,20069,PPO,4939.629,84.1714,82.4726,10.1055,0.6193,0.378,0.0001,3.1418,0.678
4024,849,20069,SUS+CQI,4979.2304,87.2072,82.6389,8.6017,0.6124,0.3847,0.0,3.9863,0.6906
4024,849,20070,PPO,5340.2992,96.251,93.2587,12.9395,0.6067,0.3896,0.0,3.3497,0.6894
4024,849,20070,SUS+CQI,5555.792,100.7745,94.1693,12.2442,0.6035,0.3929,0.0,3.9963,0.7193
4024,849,20071,PPO,3920.5387,58.983,57.6348,10.5775,0.6441,0.351,0.0003,2.312,0.6972
4024,849,20071,SUS+CQI,3305.0458,59.4086,54.9046,6.0931,0.6062,0.3887,0.0002,3.9702,0.7034
4024,849,20072,PPO,5426.3978,82.8186,81.3701,11.2829,0.6425,0.3547,0.0,2.8278,0.6848
4024,849,20072,SUS+CQI,5122.9943,83.8186,79.6775,8.8464,0.6263,0.3705,0.0,3.9362,0.6962
4024,849,20073,PPO,6475.9266,75.4892,74.0901,10.331,0.7163,0.2819,0.0,2.8136,0.7792
4024,849,20073,SUS+CQI,6489.2082,78.5664,74.1088,7.5687,0.7062,0.2919,0.0,3.9805,0.7929
4024,849,20074,PPO,4406.7984,108.6646,106.5095,17.7748,0.5685,0.4283,0.0,2.7694,0.6136
4024,849,20074,SUS+CQI,3672.9112,109.3784,103.0794,15.7919,0.546,0.4508,0.0,3.998,0.6224
4024,849,20075,PPO,7125.4166,109.8534,106.5587,16.8467,0.6391,0.3582,0.0,3.3698,0.717
4024,849,20075,SUS+CQI,6449.8781,113.2621,103.7766,15.4073,0.6102,0.3871,0.0,3.9932,0.7371
4024,849,20076,PPO,7472.4841,96.9953,94.4873,9.8797,0.6804,0.3173,0.0,3.4143,0.7725
4024,849,20076,SUS+CQI,7723.433,101.221,95.5575,8.7747,0.679,0.3187,0.0,3.9555,0.7859
4024,849,20077,PPO,7487.0643,81.962,80.4436,14.6835,0.7414,0.2559,0.0,2.9683,0.799
4024,849,20077,SUS+CQI,6952.7182,83.0864,77.9832,12.2291,0.7113,0.286,0.0,3.9545,0.8045
4024,849,20078,PPO,4545.4957,55.8214,54.2342,22.2206,0.7011,0.2954,0.0004,2.3695,0.7645
4024,849,20078,SUS+CQI,4007.2385,55.8752,52.1263,16.9802,0.6647,0.332,0.0002,3.8853,0.7628
4024,849,20079,PPO,4403.6337,108.4099,105.8017,18.2607,0.5675,0.429,0.0,3.0121,0.6263
4024,849,20079,SUS+CQI,3975.8509,110.3865,103.6589,17.0411,0.5509,0.4455,0.0,3.9984,0.6445
4024,849,20080,PPO,5051.6988,81.4766,79.6323,14.4414,0.6309,0.367,0.0,2.8486,0.6891
4024,849,20080,SUS+CQI,4498.2726,83.0827,77.3685,11.9182,0.6032,0.3943,0.0001,3.9745,0.7001
4024,849,20081,PPO,1948.3019,89.298,87.3833,17.3392,0.5238,0.4724,0.0,2.8071,0.566
4024,849,20081,SUS+CQI,1205.4577,90.5268,83.7776,15.0935,0.4969,0.4993,0.0,3.9981,0.5872
4024,849,20082,PPO,7363.6575,103.3497,101.6884,15.1628,0.661,0.3359,0.0,3.0593,0.6979
4024,849,20082,SUS+CQI,6817.4257,104.3777,98.7839,13.9359,0.6387,0.358,0.0001,3.9904,0.7146
4024,849,20083,PPO,3459.603,101.6232,99.2437,17.5925,0.5507,0.4464,0.0,3.0367,0.5944
4024,849,20083,SUS+CQI,3103.979,103.4275,97.314,16.6436,0.5361,0.461,0.0,3.9996,0.6116
4024,849,20084,PPO,7056.7373,81.5637,80.3715,16.9801,0.7222,0.2756,0.0001,2.7957,0.7452
4024,849,20084,SUS+CQI,6322.988,80.6461,76.8408,13.0673,0.6894,0.3085,0.0,3.9745,0.7536
4024,849,20085,PPO,4376.2586,124.0306,120.956,17.919,0.5543,0.4425,0.0001,3.3373,0.601
4024,849,20085,SUS+CQI,3943.2223,126.1626,118.6077,17.3366,0.5395,0.4572,0.0,3.9985,0.618
4024,849,20086,PPO,3631.3793,112.5149,111.2793,15.8131,0.5486,0.4488,0.0,2.7645,0.5714
4024,849,20086,SUS+CQI,2996.8373,112.5046,107.997,14.1562,0.5311,0.4662,0.0,3.9982,0.5803
4024,849,20087,PPO,3394.2679,124.2056,120.3662,15.1463,0.5337,0.4632,0.0,3.6967,0.5932
4024,849,20087,SUS+CQI,3113.5622,126.8227,119.0114,15.4372,0.5226,0.4745,0.0,3.9999,0.6138
4024,849,20088,PPO,1826.359,70.6757,69.5192,11.1079,0.5336,0.4636,0.0,2.5511,0.5514
4024,849,20088,SUS+CQI,1405.0791,69.58,67.6201,8.2616,0.5188,0.4782,0.0001,3.7738,0.5495
4024,849,20089,PPO,3206.0221,34.2334,32.8119,8.5295,0.7522,0.246,0.0004,1.8347,0.8327
4024,849,20089,SUS+CQI,2615.9932,33.8783,30.3614,2.8669,0.6857,0.3122,0.0004,3.5757,0.8198
4024,849,20090,PPO,4408.5647,76.1405,74.5167,10.7514,0.6172,0.3801,0.0,2.6885,0.6677
4024,849,20090,SUS+CQI,3736.2845,76.5429,71.4111,7.9756,0.5865,0.4105,0.0003,3.935,0.6729
4024,849,20091,PPO,5420.5128,82.6431,80.81,11.9005,0.6429,0.355,0.0,2.7969,0.6936
4024,849,20091,SUS+CQI,4883.5598,83.2152,78.3213,9.6814,0.6185,0.3792,0.0,3.9806,0.6994
4024,849,20092,PPO,6617.8663,73.7197,72.2012,13.1068,0.7367,0.2615,0.0,2.7159,0.7826
4024,849,20092,SUS+CQI,6117.6629,73.7023,69.9142,9.7131,0.7093,0.2886,0.0002,3.9527,0.7846
4024,849,20093,PPO,6825.602,73.5135,72.6928,11.7266,0.7508,0.2465,0.0003,2.7739,0.7724
4024,849,20093,SUS+CQI,6628.9545,73.4223,71.6799,8.9214,0.7396,0.2567,0.0008,3.7886,0.7739
4024,849,20094,PPO,4822.1501,54.1037,52.7089,17.2845,0.7326,0.2643,0.0007,2.364,0.8024
4024,849,20094,SUS+CQI,4304.5287,54.2722,50.4266,10.3113,0.6938,0.3022,0.0011,3.8484,0.7997
4024,849,20095,PPO,2110.452,121.3144,118.6335,13.6422,0.5131,0.4835,0.0,3.1964,0.5583
4024,849,20095,SUS+CQI,1551.2869,122.6296,115.7781,13.111,0.4977,0.4988,0.0,3.9873,0.5711
4024,849,20096,PPO,4676.7446,45.217,44.1703,15.7824,0.8014,0.1958,0.0009,2.1116,0.8486
4024,849,20096,SUS+CQI,4456.4193,45.1514,43.1226,9.8129,0.781,0.2158,0.0011,3.587,0.846
4024,849,20097,PPO,5322.2861,69.7653,68.0443,8.253,0.6786,0.3195,0.0,2.8246,0.7561
4024,849,20097,SUS+CQI,4769.9406,71.3011,65.2778,5.5304,0.6435,0.3542,0.0,3.967,0.7784
4024,849,20098,PPO,3663.3497,73.3375,71.866,14.5259,0.5928,0.403,0.0,2.6104,0.6328
4024,849,20098,SUS+CQI,3045.4826,72.9839,68.7865,11.2759,0.5661,0.4294,0.0,3.9532,0.6417
4024,849,20099,PPO,4189.4426,116.0954,113.361,13.3137,0.5565,0.4405,0.0,3.2792,0.6012
4024,849,20099,SUS+CQI,3707.7932,118.2617,110.7395,12.523,0.5394,0.4575,0.0,3.9992,0.6232
