train_seed,best_update,seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
5024,389,20000,PPO,4607.2295,48.6838,47.2825,16.0468,0.7609,0.236,0.0013,2.3069,0.8099
5024,389,20000,SUS+CQI,4222.354,48.0842,45.6189,10.4067,0.7311,0.265,0.0013,3.5441,0.8021
5024,389,20001,PPO,1874.9911,35.4675,33.7692,16.6675,0.6005,0.3956,0.0,1.6745,0.6959
5024,389,20001,SUS+CQI,1070.726,35.2394,30.3742,7.1965,0.5277,0.4679,0.0,3.9658,0.6841
5024,389,20002,PPO,-187.7336,53.7461,52.2303,13.7132,0.4715,0.5251,0.0,1.8942,0.5066
5024,389,20002,SUS+CQI,-1034.5948,52.4587,48.4264,7.2648,0.4343,0.5617,0.0001,3.9707,0.501
5024,389,20003,PPO,5827.906,71.9031,70.2647,10.6542,0.6982,0.2988,0.0,2.7456,0.7593
5024,389,20003,SUS+CQI,5340.7185,74.0368,67.4111,7.8097,0.6631,0.3333,0.0,3.9855,0.7908
5024,389,20004,PPO,2564.5381,33.1193,31.6463,10.168,0.684,0.3126,0.001,1.651,0.7784
5024,389,20004,SUS+CQI,1800.7306,32.2385,28.3655,3.3627,0.6039,0.3907,0.0027,3.7325,0.7582
5024,389,20005,PPO,3217.3169,100.8227,98.7504,12.611,0.5456,0.4516,0.0,2.8715,0.5865
5024,389,20005,SUS+CQI,2740.725,103.2488,95.6047,11.9251,0.5253,0.4718,0.0,3.9997,0.618
5024,389,20006,PPO,2739.6913,99.4759,97.6715,9.7723,0.5357,0.4615,0.0001,3.2479,0.5886
5024,389,20006,SUS+CQI,2747.53,103.1044,96.8883,9.2021,0.5283,0.4691,0.0,3.994,0.6146
5024,389,20007,PPO,2572.6891,100.9703,99.0389,9.8952,0.5305,0.4656,0.0,2.9769,0.5649
5024,389,20007,SUS+CQI,2495.4018,103.4066,97.8472,9.2194,0.5229,0.4733,0.0,3.9862,0.5927
5024,389,20008,PPO,4310.7555,101.9998,100.457,13.6855,0.5726,0.4233,0.0,3.2701,0.6144
5024,389,20008,SUS+CQI,4392.295,106.7231,99.5915,13.02,0.5643,0.4319,0.0,3.9982,0.6557
5024,389,20009,PPO,5251.3419,63.2458,62.0386,11.777,0.7081,0.2893,0.0005,2.4282,0.75
5024,389,20009,SUS+CQI,4572.0635,62.4164,59.0097,8.2568,0.67,0.3276,0.0002,3.8965,0.7492
5024,389,20010,PPO,65.6253,59.2054,57.4379,12.647,0.4792,0.5171,0.0003,1.9939,0.5152
5024,389,20010,SUS+CQI,-496.0565,59.2009,54.938,8.4326,0.4541,0.5424,0.0,3.9872,0.5173
5024,389,20011,PPO,6287.3175,60.0218,58.7859,12.4514,0.8106,0.1881,0.0,2.5201,0.8546
5024,389,20011,SUS+CQI,5741.2397,59.7249,56.3096,8.7134,0.7719,0.227,0.0,3.8463,0.8571
5024,389,20012,PPO,4073.4476,59.1973,57.9517,9.6439,0.6547,0.3433,0.0,2.4431,0.7009
5024,389,20012,SUS+CQI,3517.7404,58.8569,55.4231,6.1659,0.6216,0.3757,0.0004,3.9141,0.7067
5024,389,20013,PPO,3499.0074,101.4515,100.0548,9.3432,0.5536,0.4433,0.0,2.7644,0.5823
5024,389,20013,SUS+CQI,3322.1672,102.9189,98.846,8.3285,0.545,0.4521,0.0,3.9938,0.5974
5024,389,20014,PPO,3871.0572,73.4318,71.8797,14.5218,0.6022,0.3943,0.0,2.5196,0.639
5024,389,20014,SUS+CQI,3174.0562,73.5893,68.1931,11.8443,0.5695,0.427,0.0,3.9895,0.6614
5024,389,20015,PPO,6042.3834,73.2643,71.6729,12.338,0.7046,0.2932,0.0002,2.6832,0.7647
5024,389,20015,SUS+CQI,4961.8769,72.5817,66.2719,9.3592,0.6494,0.3481,0.0,3.9336,0.7757
5024,389,20016,PPO,4732.6753,98.77,96.7059,12.5126,0.5873,0.4091,0.0,3.0364,0.6391
5024,389,20016,SUS+CQI,4253.6158,100.5249,93.7573,11.612,0.5668,0.4296,0.0,3.9921,0.6723
5024,389,20017,PPO,5861.8364,85.6287,84.447,11.8542,0.6528,0.3438,0.0,2.7379,0.6868
5024,389,20017,SUS+CQI,5069.1104,84.3554,80.3916,9.9652,0.6217,0.3747,0.0,3.9589,0.7
5024,389,20018,PPO,3718.9333,56.952,55.9331,15.0297,0.6431,0.3549,0.0004,2.2513,0.6814
5024,389,20018,SUS+CQI,3037.2958,55.7529,52.7706,10.5242,0.6058,0.3916,0.0005,3.8532,0.6801
5024,389,20019,PPO,2305.2926,109.501,107.7826,11.3888,0.5216,0.4747,0.0001,2.8997,0.5492
5024,389,20019,SUS+CQI,1809.4417,110.4984,104.6164,10.746,0.5064,0.49,0.0001,3.9868,0.573
5024,389,20020,PPO,4578.8083,57.1537,55.7592,15.9559,0.6969,0.3013,0.0,2.3663,0.7448
5024,389,20020,SUS+CQI,4098.5338,57.0065,53.6481,9.8903,0.6654,0.3324,0.0004,3.938,0.7414
5024,389,20021,PPO,2820.8413,52.2937,50.7455,15.4178,0.6073,0.3906,0.0006,2.1035,0.6579
5024,389,20021,SUS+CQI,2255.4034,51.7845,48.312,9.2934,0.5741,0.424,0.0004,3.8664,0.6523
5024,389,20022,PPO,3035.0608,67.3703,65.9419,10.8366,0.5815,0.4163,0.0,2.3166,0.6078
