baseline,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,units_m1,first_ack_m1,acks_m2,units_m2,first_ack_m2,acks_m3,units_m3,first_ack_m3,acks_m4,units_m4,first_ack_m4
SUS+CQI,4819.1247,73.3677,0.6571,0.3402,0.0000,3.9414,0.7486,0.9832,1.0165,0.0163,68.6564,152.0000,181.0000,0.8398,2342.0000,2355.0000,0.9945,12232.0000,12345.0000,0.9908,225893.0000,229879.0000,0.9827
SUS+Deadline-PF,3090.3808,68.0759,0.5923,0.4042,0.0000,3.9545,0.7558,0.9864,1.0123,0.0123,60.3196,122.0000,144.0000,0.8472,1913.0000,1920.0000,0.9964,10620.0000,10697.0000,0.9928,230846.0000,234121.0000,0.9860
SUS+PF,3085.9422,68.5353,0.5945,0.4023,0.0000,3.9521,0.7554,0.9865,1.0130,0.0129,60.6138,140.0000,165.0000,0.8485,1970.0000,1979.0000,0.9955,11038.0000,11139.0000,0.9909,229968.0000,233160.0000,0.9863
SUS+Random,1998.7720,64.7854,0.5542,0.4420,0.0000,3.9591,0.7296,0.9845,1.0145,0.0144,55.6808,93.0000,115.0000,0.8087,1271.0000,1279.0000,0.9937,9506.0000,9621.0000,0.9880,232688.0000,236400.0000,0.9843
SUS+MW,4245.3305,72.6587,0.6328,0.3642,0.0000,3.9531,0.7536,0.9838,1.0156,0.0154,65.8657,136.0000,155.0000,0.8774,2037.0000,2048.0000,0.9946,9996.0000,10071.0000,0.9926,229949.0000,233866.0000,0.9833
SUS+EDF,-122.8539,54.6198,0.4674,0.5266,0.0000,3.9781,0.7565,0.9858,1.0082,0.0083,44.9823,57.0000,68.0000,0.8382,543.0000,544.0000,0.9982,5174.0000,5228.0000,0.9897,242026.0000,245539.0000,0.9857
SU+CQI,3571.2139,66.8805,0.6326,0.3646,0.0000,1.0000,0.6927,0.9513,1.0457,0.0436,64.7269,58228.0000,61198.0000,0.9515,0.0000,0.0000,nan,0.0000,0.0000,nan,0.0000,0.0000,nan
SU+Deadline-PF,1372.6825,59.1080,0.5374,0.4582,0.0001,1.0000,0.7497,0.9429,1.0346,0.0328,53.1287,58363.0000,61893.0000,0.9430,0.0000,0.0000,nan,0.0000,0.0000,nan,0.0000,0.0000,nan
SU+PF,1253.7259,60.7745,0.5421,0.4544,0.0001,1.0000,0.7466,0.9511,1.0437,0.0418,53.4253,58330.0000,61315.0000,0.9513,0.0000,0.0000,nan,0.0000,0.0000,nan,0.0000,0.0000,nan
SU+Random,-2296.8231,48.1917,0.4075,0.5875,0.0000,1.0000,0.7575,0.9047,1.0811,0.0743,38.0628,53599.0000,59241.0000,0.9048,0.0000,0.0000,nan,0.0000,0.0000,nan,0.0000,0.0000,nan
SU+MW,2891.4540,65.6070,0.5986,0.3980,0.0000,1.0000,0.7164,0.9459,1.0481,0.0455,61.6793,57785.0000,61077.0000,0.9461,0.0000,0.0000,nan,0.0000,0.0000,nan,0.0000,0.0000,nan
SU+EDF,-6202.3944,28.1642,0.2547,0.7388,0.0000,1.0000,0.6768,0.8768,1.0370,0.0328,23.7471,54281.0000,61901.0000,0.8769,0.0000,0.0000,nan,0.0000,0.0000,nan,0.0000,0.0000,nan
