seed,n_active,sched,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,buffer_overflow_rate,mu_depth,jain,mean_delay,p95_delay,mean_qlen
10000,24,L2b-zeroshot,2619.675487,52.083245,0.593281,0.404842,0.0,0.0,1.224411,0.625196,1.655489,4.0,15.663
10000,24,SUS+CQI,1980.178778,49.728103,0.54711,0.409722,0.039977,0.0,3.99037,0.628499,2.50566,5.0,18.875
10000,24,SUS+MW,1868.474572,49.243267,0.540728,0.416104,0.039977,0.0,3.991841,0.623731,2.480389,5.0,18.914
10000,24,SU+CQI,2580.248784,52.363809,0.591404,0.406719,0.0,0.0,1.0,0.63295,1.50238,4.0,15.202
10001,27,L2b-zeroshot,6356.554141,70.112519,0.733154,0.264493,0.0,0.0,1.847785,0.771574,2.210864,5.0,15.047
10001,27,SUS+CQI,5944.471497,68.967511,0.694505,0.266678,0.03596,0.0,3.96876,0.81011,2.99129,7.0,18.079
10001,27,SUS+MW,5867.91247,68.538142,0.690136,0.276256,0.030583,0.0,3.97485,0.807398,3.039932,7.0,18.397
10001,27,SU+CQI,4746.906687,64.994003,0.668291,0.329524,0.0,0.0,1.0,0.723306,1.707569,5.0,15.046
10002,30,L2b-zeroshot,7277.182549,78.77478,0.740449,0.257277,0.000152,0.0,2.157972,0.778843,2.431204,5.0,17.483
10002,30,SUS+CQI,6713.227779,76.67428,0.69997,0.275015,0.021831,0.0,3.980214,0.815932,3.294997,7.0,21.232
10002,30,SUS+MW,6733.514253,76.66294,0.699515,0.276834,0.020164,0.0,3.981986,0.818146,3.376463,7.0,21.578
10002,30,SU+CQI,4231.54026,68.257237,0.629472,0.367799,0.0,0.0,1.0,0.696645,1.835742,6.0,18.601
10003,27,L2b-zeroshot,5053.441185,65.949544,0.674535,0.321447,0.001005,0.0,1.888204,0.725004,2.40829,6.0,17.569
10003,27,SUS+CQI,4382.803261,64.024584,0.626151,0.349908,0.020593,0.0,3.986469,0.7643,3.154278,7.0,20.744
10003,27,SUS+MW,4207.348126,63.450096,0.616943,0.358112,0.02143,0.0,3.988394,0.758734,3.203799,8.0,21.032
10003,27,SU+CQI,3633.836707,61.586439,0.619287,0.3777,0.0,0.0,1.0,0.688088,1.775885,6.0,16.933
10004,32,L2b-zeroshot,7985.949161,84.712007,0.744503,0.25266,0.0,0.0,2.41066,0.816099,2.483613,6.0,18.334
10004,32,SUS+CQI,7655.624546,83.873748,0.712441,0.270535,0.014045,0.0,3.972558,0.866313,3.112903,7.0,21.125
10004,32,SUS+MW,7304.769371,82.962948,0.696695,0.288693,0.011207,0.0,3.980206,0.866404,3.257585,8.0,22.076
10004,32,SU+CQI,4738.908525,73.608702,0.638105,0.359342,0.0,0.0,1.0,0.721105,1.730769,5.0,18.935
10005,19,L2b-zeroshot,5291.760453,53.908659,0.774201,0.2237,0.0,0.0,1.332277,0.822846,1.659837,4.0,8.448
10005,19,SUS+CQI,4808.854209,52.158217,0.725216,0.257289,0.014696,0.0,3.83459,0.851525,2.847218,7.0,12.444
10005,19,SUS+MW,4828.671512,52.123394,0.726382,0.258922,0.01213,0.0,3.843185,0.849979,2.920681,7.0,12.67
10005,19,SU+CQI,5245.688696,53.967464,0.772102,0.225799,0.0,0.0,1.0,0.826259,1.533233,4.0,8.005
10006,19,L2b-zeroshot,3199.889494,45.496786,0.656476,0.341117,0.0,0.0,1.249488,0.725679,1.855152,6.0,11.25
10006,19,SUS+CQI,2692.448253,43.547908,0.609533,0.349302,0.038276,0.0,3.892289,0.723505,2.770932,7.0,13.949
10006,19,SUS+MW,2687.969288,43.441165,0.608811,0.348098,0.040202,0.0,3.89971,0.721311,2.752076,7.0,13.939
10006,19,SU+CQI,3216.360688,46.294615,0.655753,0.34208,0.0,0.0,1.0,0.740767,1.64978,5.0,10.645
10007,17,L2b-zeroshot,5219.000599,49.868304,0.807318,0.19084,0.0,0.0,1.445841,0.84487,1.870884,4.0,7.247
10007,17,SUS+CQI,4869.149251,48.464224,0.765201,0.210582,0.020532,0.0,3.469908,0.877171,3.076367,7.0,10.832
10007,17,SUS+MW,4753.226476,48.064204,0.754936,0.218215,0.022638,0.0,3.478175,0.87671,3.171897,7.0,11.181
10007,17,SU+CQI,4913.811471,49.11757,0.786523,0.210845,0.0,0.0,1.0,0.835586,1.651606,4.0,7.041
10008,25,L2b-zeroshot,3394.962119,55.458157,0.623415,0.373828,0.000184,0.0,1.555473,0.677967,2.247642,6.0,16.936
10008,25,SUS+CQI,2644.098521,53.111142,0.567359,0.385591,0.04411,0.0,3.973366,0.693158,3.053774,8.0,19.78
10008,25,SUS+MW,2511.193417,52.709339,0.559088,0.390369,0.047418,0.0,3.971635,0.687358,3.040763,8.0,19.908
10008,25,SU+CQI,2703.196047,54.026912,0.591987,0.405992,0.0,0.0,1.0,0.666896,1.769947,6.0,16.256
10009,30,L2b-zeroshot,7352.543264,78.857904,0.746015,0.251708,0.000152,0.0,1.916751,0.772565,2.226699,5.0,16.435
10009,30,SUS+CQI,6540.092152,76.104877,0.696068,0.275846,0.025353,0.0,3.949996,0.804868,3.015485,7.0,20.353
10009,30,SUS+MW,6428.010146,75.748382,0.690451,0.283893,0.023076,0.0,3.955824,0.803283,3.041337,7.0,20.585
10009,30,SU+CQI,4942.596902,70.940346,0.656445,0.340823,0.0,0.0,1.0,0.716671,1.688252,5.0,17.049
