seed,n_active,sched,threshold,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,buffer_overflow_rate,mu_depth,jain,mean_delay,p95_delay,mean_qlen
10000,24,SUS-CQI,0.5,1886.879556,49.271257,0.539602,0.402215,0.054805,0.0,3.99906,0.626278,2.495652,5.0,18.79
10000,24,SUS+MW,0.5,1910.261788,49.336141,0.542042,0.405593,0.049362,0.0,3.998521,0.623257,2.512465,5.0,18.913
10000,24,SUS-CQI,0.6,1953.144708,49.541609,0.543731,0.402965,0.0503,0.0,3.99763,0.628448,2.500518,5.0,18.773
10000,24,SUS+MW,0.6,1947.506636,49.429747,0.544107,0.408971,0.043731,0.0,3.998541,0.624242,2.51604,5.0,18.936
10000,24,SUS-CQI,0.7,1934.116324,49.523642,0.543919,0.408408,0.04467,0.0,3.996848,0.627622,2.495514,5.0,18.82
10000,24,SUS+MW,0.7,1909.624492,49.370787,0.54298,0.411036,0.04298,0.0,3.996764,0.624701,2.511925,5.0,18.936
10000,24,SUS-CQI,0.75,1980.178778,49.728103,0.54711,0.409722,0.039977,0.0,3.99037,0.628499,2.50566,5.0,18.875
10000,24,SUS+MW,0.75,1868.474572,49.243267,0.540728,0.416104,0.039977,0.0,3.991841,0.623731,2.480389,5.0,18.914
10000,24,SUS-CQI,0.8,1898.751676,49.395412,0.543356,0.417793,0.035473,0.0,3.97058,0.625686,2.476684,5.0,18.909
10000,24,SUS+MW,0.8,1879.69163,49.376297,0.542042,0.423048,0.031344,0.0,3.972946,0.623938,2.465028,5.0,18.975
10000,24,SUS-CQI,0.85,1829.749563,49.295949,0.540916,0.426051,0.03003,0.0,3.903987,0.624465,2.470854,5.0,19.038
10000,24,SUS+MW,0.85,1799.691094,49.137172,0.53979,0.430743,0.026276,0.0,3.907888,0.621388,2.447497,5.0,19.103
10000,24,SUS-CQI,0.9,1806.301472,49.228622,0.541667,0.437312,0.01783,0.0,3.664801,0.623747,2.423423,5.0,19.007
10000,24,SUS+MW,0.9,1766.95261,49.225078,0.539602,0.44238,0.014827,0.0,3.668359,0.622709,2.452174,5.0,19.198
10001,27,SUS-CQI,0.5,5856.892088,68.526698,0.689632,0.266678,0.040833,0.0,3.995213,0.807788,3.030214,7.0,18.23
10001,27,SUS+MW,0.5,5823.849004,68.382019,0.687111,0.272223,0.037809,0.0,3.996454,0.805969,3.089753,7.0,18.59
10001,27,SUS-CQI,0.6,5907.868998,68.738021,0.692153,0.268358,0.036632,0.0,3.989507,0.80985,3.023549,7.0,18.235
10001,27,SUS+MW,0.6,5900.73804,68.547736,0.691648,0.272391,0.03344,0.0,3.992744,0.807019,3.048348,7.0,18.359
10001,27,SUS-CQI,0.7,5957.253244,68.81329,0.695513,0.269535,0.032263,0.0,3.981511,0.810506,3.053636,7.0,18.308
10001,27,SUS+MW,0.7,5878.500277,68.689328,0.690472,0.274576,0.032095,0.0,3.98308,0.809716,3.06936,7.0,18.44
10001,27,SUS-CQI,0.75,5944.471497,68.967511,0.694505,0.266678,0.03596,0.0,3.96876,0.81011,2.99129,7.0,18.079
10001,27,SUS+MW,0.75,5867.91247,68.538142,0.690136,0.276256,0.030583,0.0,3.97485,0.807398,3.039932,7.0,18.397
10001,27,SUS-CQI,0.8,5904.83859,69.010235,0.693833,0.275752,0.027558,0.0,3.928701,0.812593,2.998789,7.0,18.251
10001,27,SUS+MW,0.8,5844.707671,68.758016,0.690136,0.277936,0.029071,0.0,3.935239,0.810389,3.050402,7.0,18.424
10001,27,SUS-CQI,0.85,5781.719035,68.591774,0.689632,0.284994,0.022517,0.0,3.834932,0.812466,3.024123,7.0,18.406
10001,27,SUS+MW,0.85,5715.444086,68.42615,0.684087,0.288355,0.024366,0.0,3.849903,0.8107,3.049619,7.0,18.624
10001,27,SUS-CQI,0.9,5664.09888,68.516504,0.685095,0.30079,0.011091,0.0,3.587482,0.812001,2.974246,7.0,18.576
10001,27,SUS+MW,0.9,5650.472942,68.447414,0.683247,0.301462,0.012267,0.0,3.608111,0.810483,3.020905,7.0,18.753
10002,30,SUS-CQI,0.5,6540.379085,75.679837,0.690722,0.27547,0.030625,0.0,3.995259,0.811948,3.377305,7.0,21.632
10002,30,SUS+MW,0.5,6440.39694,75.468154,0.685112,0.281383,0.030321,0.0,3.995376,0.811331,3.414915,7.0,21.997
10002,30,SUS-CQI,0.6,6715.453908,76.683781,0.698908,0.270922,0.027138,0.0,3.993507,0.814979,3.345336,7.0,21.433
10002,30,SUS+MW,0.6,6572.411645,76.059677,0.691176,0.279109,0.02638,0.0,3.996215,0.814363,3.427506,7.0,21.917
10002,30,SUS-CQI,0.7,6761.078264,77.009223,0.701334,0.271225,0.024409,0.0,3.988175,0.815934,3.311716,7.0,21.326
10002,30,SUS+MW,0.7,6683.371086,76.493892,0.697089,0.274409,0.025318,0.0,3.991407,0.815936,3.364071,7.0,21.51
10002,30,SUS-CQI,0.75,6713.227779,76.67428,0.69997,0.275015,0.021831,0.0,3.980214,0.815932,3.294997,7.0,21.232
10002,30,SUS+MW,0.75,6733.514253,76.66294,0.699515,0.276834,0.020164,0.0,3.981986,0.818146,3.376463,7.0,21.578
10002,30,SUS-CQI,0.8,6698.702061,76.646517,0.700576,0.278502,0.01789,0.0,3.953252,0.815903,3.291712,7.0,21.253
10002,30,SUS+MW,0.8,6656.420119,76.686244,0.696634,0.279867,0.020619,0.0,3.961493,0.817334,3.356474,7.0,21.526
10002,30,SUS-CQI,0.85,6597.562611,76.655808,0.697089,0.287599,0.012432,0.0,3.888576,0.812636,3.259678,7.0,21.393
10002,30,SUS+MW,0.85,6575.01068,76.509367,0.694209,0.291086,0.011825,0.0,3.900428,0.816427,3.36995,7.0,21.681
10002,30,SUS-CQI,0.9,6406.69543,76.198363,0.69148,0.298363,0.007277,0.0,3.693919,0.811272,3.194475,7.0,21.311
10002,30,SUS+MW,0.9,6331.4648,76.103226,0.685264,0.304427,0.007429,0.0,3.72732,0.814856,3.380531,8.0,22.032
10003,27,SUS-CQI,0.5,4191.049394,63.470684,0.614934,0.344718,0.037,0.0,3.998382,0.760063,3.178873,7.0,20.768
10003,27,SUS+MW,0.5,4003.846899,62.659507,0.605391,0.357777,0.033484,0.0,3.999099,0.756202,3.246128,8.0,21.31
10003,27,SUS-CQI,0.6,4422.185126,63.858895,0.626653,0.342039,0.027792,0.0,3.996957,0.763924,3.213732,8.0,20.752
10003,27,SUS+MW,0.6,4167.644433,63.18541,0.61326,0.356605,0.026787,0.0,3.99762,0.757355,3.221403,8.0,21.077
10003,27,SUS-CQI,0.7,4337.232688,63.665824,0.623472,0.347229,0.025783,0.0,3.993123,0.763792,3.192266,7.0,20.755
10003,27,SUS+MW,0.7,4260.13234,63.592079,0.618785,0.356605,0.021262,0.0,3.995259,0.760403,3.219426,8.0,21.109
10003,27,SUS-CQI,0.75,4382.803261,64.024584,0.626151,0.349908,0.020593,0.0,3.986469,0.7643,3.154278,7.0,20.744
10003,27,SUS+MW,0.75,4207.348126,63.450096,0.616943,0.358112,0.02143,0.0,3.988394,0.758734,3.203799,8.0,21.032
10003,27,SUS-CQI,0.8,4235.886292,63.732709,0.619956,0.355433,0.021095,0.0,3.965148,0.761339,3.153929,8.0,20.827
10003,27,SUS+MW,0.8,4029.606492,62.913137,0.608237,0.367487,0.020593,0.0,3.974702,0.758759,3.227636,8.0,21.272
10003,27,SUS-CQI,0.85,3992.274151,62.881245,0.609242,0.373012,0.014063,0.0,3.905166,0.756848,3.176147,8.0,21.244
10003,27,SUS+MW,0.85,3984.113401,62.878785,0.608404,0.374016,0.013728,0.0,3.914682,0.757277,3.253715,8.0,21.498
10003,27,SUS-CQI,0.9,3826.159331,62.310907,0.605224,0.382555,0.008538,0.0,3.71444,0.753904,3.170401,8.0,21.418
10003,27,SUS+MW,0.9,3763.504991,62.312754,0.599196,0.388582,0.008538,0.0,3.720628,0.753207,3.253982,8.0,21.783
10004,32,SUS-CQI,0.5,7376.778358,82.502956,0.700525,0.274791,0.021705,0.0,3.992712,0.859338,3.156136,7.0,21.47
10004,32,SUS+MW,0.5,6964.893165,81.173087,0.681941,0.292949,0.021989,0.0,3.995832,0.855749,3.259205,8.0,22.414
10004,32,SUS-CQI,0.6,7605.817296,83.437856,0.710739,0.265995,0.020003,0.0,3.990282,0.863364,3.168663,7.55,21.388
10004,32,SUS+MW,0.6,7136.489582,81.986837,0.689743,0.289545,0.017591,0.0,3.992536,0.860117,3.280954,8.0,22.309
10004,32,SUS-CQI,0.7,7649.160226,83.86276,0.712441,0.269684,0.014896,0.0,3.98427,0.867068,3.136599,7.0,21.15
10004,32,SUS+MW,0.7,7231.769599,82.604285,0.693715,0.29068,0.012342,0.0,3.986788,0.865084,3.260123,8.0,22.125
10004,32,SUS-CQI,0.75,7655.624546,83.873748,0.712441,0.270535,0.014045,0.0,3.972558,0.866313,3.112903,7.0,21.125
10004,32,SUS+MW,0.75,7304.769371,82.962948,0.696695,0.288693,0.011207,0.0,3.980206,0.866404,3.257585,8.0,22.076
10004,32,SUS-CQI,0.8,7645.878124,84.026519,0.713435,0.27167,0.011917,0.0,3.948892,0.867996,3.139988,7.0,21.22
10004,32,SUS+MW,0.8,7209.845745,82.794927,0.69329,0.290538,0.01291,0.0,3.958139,0.86717,3.243503,8.0,22.047
10004,32,SUS-CQI,0.85,7443.498347,83.54731,0.706483,0.281033,0.009505,0.0,3.888284,0.866841,3.092369,8.0,21.341
10004,32,SUS+MW,0.85,7147.574749,82.702173,0.691446,0.29451,0.010782,0.0,3.908379,0.867732,3.218917,8.0,22.094
10004,32,SUS-CQI,0.9,7123.164769,82.756694,0.695702,0.293801,0.007519,0.0,3.683791,0.862941,3.056485,8.0,21.542
10004,32,SUS+MW,0.9,6847.418245,82.018073,0.681941,0.307703,0.007377,0.0,3.733752,0.865361,3.249012,8.0,22.552
10005,19,SUS-CQI,0.5,4660.143967,51.405467,0.714019,0.250058,0.033123,0.0,3.92479,0.846008,2.937275,7.0,12.717
10005,19,SUS+MW,0.5,4596.433694,51.378905,0.70982,0.258223,0.029158,0.0,3.928219,0.844964,2.929675,7.0,12.829
10005,19,SUS-CQI,0.6,4640.90453,51.480535,0.71262,0.257523,0.027059,0.0,3.910489,0.847926,2.913584,7.0,12.675
10005,19,SUS+MW,0.6,4677.239745,51.531744,0.714719,0.257289,0.025192,0.0,3.916913,0.846129,2.940927,7.0,12.795
10005,19,SUS-CQI,0.7,4795.086548,52.10477,0.723116,0.257523,0.016562,0.0,3.879381,0.851815,2.878065,7.0,12.564
10005,19,SUS+MW,0.7,4774.912735,51.902034,0.72265,0.25659,0.017961,0.0,3.879703,0.849235,2.950613,7.0,12.712
10005,19,SUS-CQI,0.75,4808.854209,52.158217,0.725216,0.257289,0.014696,0.0,3.83459,0.851525,2.847218,7.0,12.444
10005,19,SUS+MW,0.75,4828.671512,52.123394,0.726382,0.258922,0.01213,0.0,3.843185,0.849979,2.920681,7.0,12.67
10005,19,SUS-CQI,0.8,4850.120395,52.365551,0.728481,0.258223,0.01073,0.0,3.767807,0.85207,2.829971,7.0,12.423
10005,19,SUS+MW,0.8,4824.877602,52.333543,0.726149,0.262888,0.008164,0.0,3.754514,0.851221,2.844202,7.0,12.553
10005,19,SUS-CQI,0.85,4895.094739,52.659483,0.732214,0.260322,0.004665,0.0,3.604497,0.853091,2.776362,6.1,12.225
10005,19,SUS+MW,0.85,4841.619782,52.461821,0.728248,0.264987,0.003965,0.0,3.610571,0.850883,2.795003,7.0,12.376
10005,19,SUS-CQI,0.9,4918.32654,52.951615,0.735479,0.260555,0.001166,0.0,3.262206,0.851737,2.647954,6.0,11.917
10005,19,SUS+MW,0.9,4873.619459,52.823288,0.732214,0.263588,0.001166,0.0,3.273231,0.851019,2.669959,6.0,12.014
10006,19,SUS-CQI,0.5,2701.964833,43.465667,0.607848,0.337747,0.051517,0.0,3.983563,0.722539,2.790099,7.0,13.961
10006,19,SUS+MW,0.5,2707.702391,43.410906,0.608329,0.336062,0.05272,0.0,3.983493,0.71904,2.814009,7.0,13.987
10006,19,SUS-CQI,0.6,2722.885349,43.512764,0.609774,0.332451,0.054887,0.0,3.969777,0.722036,2.780497,7.0,13.879
10006,19,SUS+MW,0.6,2715.806352,43.422417,0.609533,0.337987,0.049591,0.0,3.972172,0.721051,2.798973,7.0,13.968
10006,19,SUS-CQI,0.7,2740.189063,43.590182,0.612181,0.343284,0.041647,0.0,3.934162,0.724312,2.793158,7.0,13.913
10006,19,SUS+MW,0.7,2708.454979,43.537874,0.609774,0.346413,0.040924,0.0,3.940211,0.721178,2.784445,7.0,14.006
10006,19,SUS-CQI,0.75,2692.448253,43.547908,0.609533,0.349302,0.038276,0.0,3.892289,0.723505,2.770932,7.0,13.949
10006,19,SUS+MW,0.75,2687.969288,43.441165,0.608811,0.348098,0.040202,0.0,3.89971,0.721311,2.752076,7.0,13.939
10006,19,SUS-CQI,0.8,2756.314666,43.744692,0.614829,0.352191,0.030091,0.0,3.814526,0.72559,2.75881,7.0,13.898
10006,19,SUS+MW,0.8,2698.989069,43.518167,0.610977,0.356283,0.029851,0.0,3.813452,0.722485,2.772262,7.0,13.992
10006,19,SUS-CQI,0.85,2699.667829,43.672622,0.611459,0.364468,0.021184,0.0,3.638311,0.723385,2.695669,7.0,13.917
10006,19,SUS+MW,0.85,2672.551142,43.623402,0.610496,0.36519,0.021425,0.0,3.651061,0.723013,2.702681,7.0,13.968
10006,19,SUS-CQI,0.9,2704.049692,43.842405,0.613625,0.369523,0.013962,0.0,3.320466,0.724235,2.627305,6.0,13.782
10006,19,SUS+MW,0.9,2667.387285,43.764652,0.611459,0.370968,0.014685,0.0,3.317668,0.722005,2.635433,7.0,13.868
10007,17,SUS-CQI,0.5,4469.033531,46.68035,0.732298,0.20716,0.056857,0.0,3.773541,0.861854,3.261682,7.0,11.328
10007,17,SUS+MW,0.5,4389.461192,46.372777,0.724928,0.208739,0.062385,0.0,3.786171,0.861055,3.313725,7.0,11.583
10007,17,SUS-CQI,0.6,4604.178716,47.219109,0.742564,0.20558,0.047907,0.0,3.717358,0.867705,3.248848,7.0,11.327
10007,17,SUS+MW,0.6,4542.100741,46.901918,0.737299,0.20716,0.051593,0.0,3.730448,0.864194,3.265976,7.0,11.39
10007,17,SUS-CQI,0.7,4767.808112,47.996716,0.756515,0.209792,0.030008,0.0,3.598227,0.873518,3.204245,7.0,11.183
10007,17,SUS+MW,0.7,4687.31426,47.811343,0.750461,0.215583,0.030008,0.0,3.601891,0.873418,3.22799,7.0,11.31
10007,17,SUS-CQI,0.75,4869.149251,48.464224,0.765201,0.210582,0.020532,0.0,3.469908,0.877171,3.076367,7.0,10.832
10007,17,SUS+MW,0.75,4753.226476,48.064204,0.754936,0.218215,0.022638,0.0,3.478175,0.87671,3.171897,7.0,11.181
10007,17,SUS-CQI,0.8,4846.135992,48.651842,0.763885,0.218479,0.013688,0.0,3.292191,0.878382,3.034114,6.0,10.847
10007,17,SUS+MW,0.8,4793.913619,48.475588,0.759147,0.222427,0.014741,0.0,3.305875,0.877578,3.038488,7.0,10.855
10007,17,SUS-CQI,0.85,4945.699851,49.033852,0.772835,0.217162,0.006054,0.0,3.02332,0.878351,2.884877,6.0,10.35
10007,17,SUS+MW,0.85,4974.966111,49.183193,0.774941,0.21453,0.006581,0.0,3.031598,0.876201,2.883832,6.0,10.4
10007,17,SUS-CQI,0.9,5030.625501,49.389028,0.781258,0.214267,0.000526,0.0,2.671499,0.873221,2.715296,6.0,9.933
10007,17,SUS+MW,0.9,4983.171445,49.405306,0.776783,0.218479,0.00079,0.0,2.698473,0.872795,2.768892,6.0,10.117
10008,25,SUS-CQI,0.5,2668.387666,53.092994,0.565521,0.376034,0.055505,0.0,3.98494,0.691394,3.070198,8.0,19.664
10008,25,SUS+MW,0.5,2515.309249,52.650841,0.556515,0.389267,0.051094,0.0,3.98356,0.689489,3.062748,8.0,19.994
10008,25,SUS-CQI,0.6,2679.803438,53.302023,0.566808,0.378056,0.052196,0.0,3.98822,0.695087,3.037289,8.0,19.588
10008,25,SUS+MW,0.6,2602.052622,52.838885,0.561845,0.384304,0.050726,0.0,3.986352,0.689403,3.076219,8.0,19.876
10008,25,SUS-CQI,0.7,2632.046176,52.94692,0.565337,0.379158,0.052564,0.0,3.982253,0.689633,3.027308,7.0,19.647
10008,25,SUS+MW,0.7,2570.548821,52.790861,0.561294,0.388164,0.047602,0.0,3.984813,0.689441,3.086117,8.0,19.999
10008,25,SUS-CQI,0.75,2644.098521,53.111142,0.567359,0.385591,0.04411,0.0,3.973366,0.693158,3.053774,8.0,19.78
10008,25,SUS+MW,0.75,2511.193417,52.709339,0.559088,0.390369,0.047418,0.0,3.971635,0.687358,3.040763,8.0,19.908
10008,25,SUS-CQI,0.8,2561.170084,52.988315,0.564602,0.394413,0.038228,0.0,3.939719,0.690641,3.041667,8.0,19.913
10008,25,SUS+MW,0.8,2462.32379,52.684263,0.557802,0.400478,0.03878,0.0,3.94267,0.688564,3.039868,8.0,19.988
10008,25,SUS-CQI,0.85,2435.135661,52.710678,0.559456,0.405808,0.031612,0.0,3.830702,0.689996,3.013469,8.0,20.004
10008,25,SUS+MW,0.85,2369.965799,52.599928,0.555413,0.410402,0.031428,0.0,3.845322,0.68604,3.030113,8.0,20.184
10008,25,SUS-CQI,0.9,2355.669876,52.596907,0.558353,0.421246,0.01746,0.0,3.548706,0.684843,2.920342,7.0,20.022
10008,25,SUS+MW,0.9,2288.1115,52.549216,0.553575,0.424738,0.018747,0.0,3.578452,0.685255,2.970452,8.0,20.26
10009,30,SUS-CQI,0.5,6356.160499,75.10048,0.6862,0.273417,0.037954,0.0,3.993861,0.799468,3.056858,7.0,20.57
10009,30,SUS+MW,0.5,6299.81949,75.057303,0.683164,0.277516,0.036739,0.0,3.994759,0.79798,3.128667,7.0,21.005
10009,30,SUS-CQI,0.6,6427.85434,75.510697,0.689236,0.270988,0.037194,0.0,3.987562,0.800595,3.027753,7.0,20.366
10009,30,SUS+MW,0.6,6361.306537,75.359289,0.685896,0.276909,0.034462,0.0,3.991521,0.800745,3.083665,7.0,20.79
10009,30,SUS-CQI,0.7,6613.592425,76.256133,0.698801,0.271292,0.027327,0.0,3.975992,0.804548,3.036932,7.0,20.363
10009,30,SUS+MW,0.7,6491.891413,75.793626,0.69288,0.278124,0.026264,0.0,3.97528,0.803861,3.074934,7.0,20.615
10009,30,SUS-CQI,0.75,6540.092152,76.104877,0.696068,0.275846,0.025353,0.0,3.949996,0.804868,3.015485,7.0,20.353
10009,30,SUS+MW,0.75,6428.010146,75.748382,0.690451,0.283893,0.023076,0.0,3.955824,0.803283,3.041337,7.0,20.585
10009,30,SUS-CQI,0.8,6595.070689,76.419659,0.698649,0.280704,0.017914,0.0,3.904325,0.80797,2.982182,7.0,20.207
10009,30,SUS+MW,0.8,6443.129341,76.158335,0.691362,0.288599,0.01761,0.0,3.909508,0.805556,3.017567,7.0,20.562
10009,30,SUS-CQI,0.85,6505.669722,76.443423,0.696675,0.288902,0.011842,0.0,3.787695,0.806294,2.949662,7.0,20.313
10009,30,SUS+MW,0.85,6422.513555,76.178665,0.690603,0.293305,0.013208,0.0,3.798115,0.805349,3.001978,7.0,20.599
10009,30,SUS-CQI,0.9,6441.648911,76.611823,0.695461,0.297556,0.004251,0.0,3.510258,0.806498,2.859638,7.0,20.047
10009,30,SUS+MW,0.9,6430.175914,76.551813,0.693335,0.298467,0.005465,0.0,3.526791,0.80658,2.905189,7.0,20.28
